Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,23.891273,24.020029,23.476395,23.962805,21.260607,5307000
2006-01-04,23.998569,24.198856,23.869814,24.027182,21.317726,4195800
2006-01-05,23.927038,24.656652,23.927038,24.656652,21.876213,4835400
2006-01-06,24.678112,24.885551,24.384836,24.785408,21.990448,6146300
2006-01-09,24.785408,24.892704,24.620888,24.713877,21.926983,4082800
2006-01-10,24.499285,25.035765,24.391989,25.035765,22.212574,3010800
2006-01-11,25.035765,25.092991,24.749641,25.028612,22.206232,2874900
2006-01-12,24.856939,24.928469,24.449213,24.477825,21.717554,5484300
2006-01-13,24.413448,24.499285,24.027182,24.291845,21.552546,4101500
2006-01-17,24.084406,24.148785,23.819742,24.148785,21.425617,3496600
2006-01-18,24.134478,24.735336,23.898426,24.6495,21.869865,3948700
2006-01-19,24.678112,25.214592,24.670958,25.035765,22.212574,4376100
2006-01-20,24.928469,25.035765,24.320457,24.499285,21.736591,5196600
2006-01-23,24.46352,24.735336,24.420601,24.499285,21.736591,2203100
2006-01-24,24.499285,24.713877,24.427753,24.549356,21.781017,2460700
2006-01-25,24.556509,24.592276,24.434908,24.513592,21.749281,1933400
2006-01-26,24.635193,24.670958,24.098713,24.399141,21.647739,3194500
2006-01-27,24.391989,24.678112,24.377682,24.420601,21.66678,2827300
2006-01-30,24.391989,24.656652,24.391989,24.606581,21.831787,1832600
2006-01-31,24.499285,24.549356,24.256081,24.256081,21.520809,4088300
2006-02-01,24.16309,25.035765,24.16309,25.007153,22.187189,4049000
2006-02-02,24.678112,24.892704,24.320457,24.513592,21.749281,2170600
2006-02-03,24.427753,24.742489,24.341917,24.556509,21.787361,1999900
2006-02-06,24.513592,25.028612,24.413448,24.849785,22.047565,2263000
2006-02-07,24.713877,24.806868,23.97711,24.320457,21.577929,3002000
2006-02-08,24.356224,24.742489,24.356224,24.706724,21.920641,2496200
2006-02-09,25.0,25.321888,25.0,25.128756,22.295082,6363100
2006-02-10,25.035765,25.658083,25.035765,25.658083,22.764715,7803600
2006-02-13,25.178827,25.264664,24.334764,24.642345,21.863516,8885400
2006-02-14,24.735336,25.200287,24.563662,24.892704,22.085644,5104000
2006-02-15,24.713877,25.114449,24.391989,25.028612,22.206232,4798200
2006-02-16,24.957081,25.178827,24.821173,24.878397,22.07295,3285700
2006-02-17,24.749641,25.135908,24.699572,25.028612,22.206232,4504900
2006-02-21,24.985693,25.293276,24.97854,25.135908,22.30142,4502100
2006-02-22,25.135908,25.3505,25.114449,25.3505,22.491816,3762200
2006-02-23,25.393419,25.965666,25.37196,25.751074,22.847221,7033600
2006-02-24,25.815451,25.951359,25.579399,25.693848,22.79645,2933800
2006-02-27,25.643776,26.280401,25.643776,26.173105,23.221664,4910300
2006-02-28,25.929899,26.108727,25.715307,25.751074,22.847221,3259000
2006-03-01,25.822603,26.258942,25.822603,26.258942,23.297813,2668000
2006-03-02,26.144491,26.180258,25.894135,25.979971,23.050304,2916700
2006-03-03,25.801144,26.180258,25.779686,25.908442,22.986845,2123900
2006-03-06,25.894135,25.994278,25.665236,25.879827,22.961452,2164900
2006-03-07,25.758226,26.072962,25.686695,26.001431,23.069345,3846800
2006-03-08,26.001431,26.337626,25.894135,26.151646,23.202621,3577400
2006-03-09,26.280401,26.316166,25.872675,25.901287,22.980494,4092700
2006-03-10,25.894135,26.144491,25.572247,26.02289,23.088383,2974100
2006-03-13,26.037195,26.444921,26.037195,26.416309,23.437439,4551400
2006-03-14,26.337626,26.430614,26.080114,26.351931,23.380318,4287900
2006-03-15,26.223175,26.888412,26.051502,26.845493,23.818226,5612400
2006-03-16,26.802574,27.174536,26.802574,26.995708,23.9515,5037200
2006-03-17,27.002861,27.281832,26.909872,27.124464,24.065739,7066000
2006-03-20,27.088697,27.110157,26.731045,26.981401,23.938808,2414900
2006-03-21,26.895565,26.981401,26.466381,26.552217,23.558025,3594800
2006-03-22,26.523605,26.595137,26.330473,26.53791,23.545328,4593400
2006-03-23,26.573677,26.716738,26.23033,26.609442,23.608793,2907000
2006-03-24,26.53791,26.824034,26.502146,26.731045,23.716684,2495800
2006-03-27,26.552217,26.55937,26.237482,26.237482,23.278776,2823500
2006-03-28,26.216022,26.273247,25.901287,25.944206,23.018574,2805200
2006-03-29,25.958511,26.523605,25.958511,26.437769,23.456474,3813600
2006-03-30,26.39485,26.824034,26.37339,26.680973,23.672258,3540000
2006-03-31,26.680973,26.93133,26.680973,26.8598,23.830919,3822400
2006-04-03,27.038626,27.439199,26.967096,27.25322,24.179972,4227400
2006-04-04,27.203148,27.324749,27.06724,27.217453,24.148243,2554500
2006-04-05,27.203148,27.39628,27.138769,27.339056,24.256132,2414200
2006-04-06,27.288984,27.575108,27.25322,27.539341,24.433828,3291700
2006-04-07,27.453505,27.539341,26.93133,27.081545,24.02766,3174700
2006-04-10,27.010014,27.181688,26.216022,26.409157,23.431097,3005200
2006-04-11,26.53791,26.645208,26.072962,26.444921,23.462826,2249200
2006-04-12,26.39485,26.53791,25.937054,25.987125,23.056654,1992000
2006-04-13,25.85837,26.273247,25.829758,26.23033,23.272434,1634800
2006-04-17,26.223175,26.494993,26.108727,26.366238,23.393015,2351800
2006-04-18,26.523605,27.331903,26.430614,27.174536,24.110161,5097200
2006-04-19,27.124464,27.682404,27.11731,27.618025,24.503641,4215900
2006-04-20,27.668097,28.218884,27.632332,27.875536,24.732113,4884700
2006-04-21,27.93276,27.997139,27.58226,27.76824,24.636917,3201200
2006-04-24,27.660944,27.696709,27.339056,27.482117,24.383059,2539100
2006-04-25,27.489271,27.88269,27.467812,27.804007,24.668646,3163300
2006-04-26,27.861231,27.896996,27.539341,27.753935,24.624224,2369600
2006-04-27,27.711016,28.283262,27.660944,27.896996,24.751156,4104200
2006-04-28,27.825464,27.868383,27.453505,27.482117,24.383059,2775000
2006-05-01,27.575108,27.896996,27.467812,27.718168,24.592491,2977700
2006-05-02,27.718168,27.968527,27.696709,27.918455,24.770197,2400900
2006-05-03,27.861231,27.911303,27.589413,27.846924,24.706732,1912700
2006-05-04,27.846924,28.097282,27.682404,27.796852,24.662296,2827700
2006-05-05,27.896996,28.075823,27.7897,28.004292,24.84635,2047300
2006-05-08,27.968527,28.218884,27.868383,27.896996,24.751156,3057800
2006-05-09,27.997139,27.997139,27.610872,27.811159,24.674995,2259800
2006-05-10,27.682404,27.889843,27.517883,27.660944,24.541719,2768500
2006-05-11,27.467812,27.718168,27.303291,27.660944,24.541719,3574500
2006-05-12,27.503576,27.575108,26.595137,26.645208,23.640528,4735000
2006-05-15,26.716738,27.274677,26.645208,27.160229,24.097473,4782600
2006-05-16,25.929899,26.173105,24.81402,24.928469,22.117376,13497100
2006-05-17,24.892704,25.178827,24.742489,24.885551,22.079296,6133500
2006-05-18,25.014307,25.429184,24.871244,24.921316,22.111036,4384800
2006-05-19,25.0,25.128756,24.713877,25.02146,22.199879,5709100
2006-05-22,24.985693,25.014307,24.427753,24.635193,21.857174,4911000
2006-05-23,24.699572,25.121603,24.606581,24.670958,21.888906,3992100
2006-05-24,24.599428,25.050072,23.962805,24.406294,21.654087,4552500
2006-05-25,24.606581,24.642345,23.948498,24.256081,21.520809,5302000
2006-05-26,24.427753,24.892704,24.32761,24.771101,21.977751,3066300
2006-05-30,24.728184,24.785408,24.334764,24.377682,21.628696,3688700
2006-05-31,24.370529,25.0,24.370529,24.957081,22.142763,5449600
2006-06-01,24.821173,25.143061,24.756796,25.057224,22.231613,4336800
2006-06-02,25.100143,25.472103,24.949928,25.407724,22.542591,3670700
2006-06-05,25.250359,25.300428,24.542204,24.563662,21.793703,4340300
2006-06-06,24.742489,24.756796,24.098713,24.34907,21.603315,4452200
2006-06-07,24.356224,24.62804,24.034334,24.248926,21.51446,3134100
2006-06-08,24.105865,24.120173,23.46209,23.969957,21.266953,4266600
2006-06-09,23.969957,24.356224,23.79113,24.127325,21.406578,3288900
2006-06-12,24.105865,24.206009,23.018599,23.319027,20.689428,7134500
2006-06-13,23.247496,23.44063,22.389128,22.496424,19.959585,10513700
2006-06-14,22.496424,22.854076,22.424892,22.832619,20.25787,6152300
2006-06-15,22.918455,23.962805,22.904148,23.876966,21.184446,5643800
2006-06-16,23.762518,23.97711,23.648069,23.855509,21.165417,3529300
2006-06-19,23.891273,23.991417,23.06867,23.147354,20.537115,2779000
2006-06-20,23.1402,23.361946,22.939915,23.018599,20.422873,2086300
2006-06-21,23.011444,23.519314,23.011444,23.361946,20.727505,1933700
2006-06-22,23.290415,23.404863,22.961374,23.082975,20.479998,1848400
