Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,36.099998,37.279999,35.98,36.959999,36.457111,1115200
2006-01-04,36.970001,38.0,36.970001,37.849998,37.334995,971800
2006-01-05,38.0,38.389999,37.779999,37.91,37.39418,1074700
2006-01-06,38.099998,38.900002,38.099998,38.810001,38.281933,1883900
2006-01-09,38.799999,39.400002,38.720001,38.799999,38.272068,829200
2006-01-10,38.799999,39.540001,38.720001,39.400002,38.863911,748100
2006-01-11,40.0,40.0,39.200001,39.889999,39.347237,1045200
2006-01-12,39.889999,39.889999,38.990002,39.110001,38.577854,563300
2006-01-13,39.299999,39.549999,39.060001,39.099998,38.567989,389100
2006-01-17,38.900002,39.0,38.759998,38.880001,38.350983,259500
2006-01-18,38.630001,40.529999,38.619999,40.459999,39.909485,1168500
2006-01-19,40.450001,41.200001,40.349998,41.07,40.511185,1351400
2006-01-20,41.049999,41.130001,40.5,40.630001,40.077175,595800
2006-01-23,40.880001,41.0,40.459999,40.73,40.175812,542000
2006-01-24,40.970001,41.939999,40.970001,41.790001,41.22139,1034700
2006-01-25,41.900002,42.290001,41.66,41.91,41.33976,693200
2006-01-26,42.099998,42.610001,42.049999,42.240002,41.665268,957500
2006-01-27,42.200001,42.450001,41.98,42.450001,41.87241,920700
2006-01-30,42.5,42.970001,42.299999,42.459999,41.882271,871100
2006-01-31,42.5,42.57,41.619999,42.25,41.675133,1439100
2006-02-01,42.0,42.700001,41.900002,42.689999,42.109142,1108000
2006-02-02,40.5,44.419998,40.200001,44.419998,43.815605,3648600
2006-02-03,44.169998,44.18,43.369999,43.73,43.134991,1410900
2006-02-06,43.650002,43.900002,43.040001,43.740002,43.144855,604600
2006-02-07,43.5,43.599998,42.75,42.849998,42.266964,733800
2006-02-08,42.950001,43.09,42.540001,43.009998,42.424786,453800
2006-02-09,43.119999,43.5,42.66,42.709999,42.128872,410200
2006-02-10,42.75,43.119999,42.490002,43.040001,42.454384,406000
2006-02-13,43.0,43.32,42.689999,43.150002,42.562885,489300
2006-02-14,43.23,43.970001,43.0,43.700001,43.105396,711500
2006-02-15,43.5,43.790001,43.130001,43.490002,42.898258,393600
2006-02-16,43.599998,43.810001,43.259998,43.790001,43.194172,412800
2006-02-17,43.84,43.889999,43.220001,43.560001,42.967308,771500
2006-02-21,43.950001,43.950001,43.150002,43.630001,43.036354,367400
2006-02-22,43.650002,44.799999,43.349998,44.48,43.874786,461700
2006-02-23,44.400002,44.990002,44.139999,44.369999,43.766285,583400
2006-02-24,44.380001,44.380001,43.759998,43.849998,43.253357,613800
2006-02-27,43.900002,44.099998,43.75,44.0,43.401318,544200
2006-02-28,43.950001,43.970001,43.259998,43.259998,42.671387,338100
2006-03-01,43.27,44.419998,42.639999,44.34,43.736694,621400
2006-03-02,44.240002,44.560001,43.52,44.41,43.805737,428400
2006-03-03,44.16,44.200001,43.110001,43.619999,43.026489,609800
2006-03-06,43.639999,44.27,43.419998,43.700001,43.105396,337600
2006-03-07,43.549999,43.830002,43.130001,43.759998,43.164577,412900
2006-03-08,43.700001,45.299999,43.349998,45.220001,44.604725,1076000
2006-03-09,45.650002,46.360001,45.59,46.0,45.374104,1665700
2006-03-10,46.049999,46.189999,45.560001,46.009998,45.383968,665200
2006-03-13,46.209999,47.209999,46.18,46.860001,46.222408,1471900
2006-03-14,46.799999,46.939999,46.560001,46.599998,45.965939,758200
2006-03-15,46.599998,47.150002,46.41,47.0,46.360497,650700
2006-03-16,47.0,47.049999,46.360001,46.599998,45.965939,828500
2006-03-17,46.75,46.759998,46.099998,46.32,45.689754,707500
2006-03-20,46.32,46.610001,45.709999,46.200001,45.571384,773200
2006-03-21,46.080002,46.380001,45.16,45.650002,45.028866,665000
2006-03-22,45.650002,46.240002,44.75,46.130001,45.502338,651300
2006-03-23,46.139999,46.139999,45.400002,46.080002,45.453022,493700
2006-03-24,46.099998,46.599998,45.98,46.5,45.867302,414400
2006-03-27,46.599998,47.139999,46.330002,46.439999,45.808121,412400
2006-03-28,46.450001,46.470001,46.150002,46.299999,45.670025,636000
2006-03-29,46.450001,46.810001,46.200001,46.610001,45.975811,338500
2006-03-30,46.650002,46.779999,46.119999,46.34,45.709476,292900
2006-03-31,46.400002,46.830002,46.029999,46.77,46.133633,383500
2006-04-03,46.52,46.630001,45.34,45.5,44.880909,674900
2006-04-04,45.549999,46.380001,45.349998,46.240002,45.610844,586700
2006-04-05,46.439999,46.759998,46.07,46.630001,45.995537,472300
2006-04-06,46.599998,46.720001,46.330002,46.57,45.936348,509100
2006-04-07,46.700001,47.040001,45.82,46.07,45.443153,357000
2006-04-10,46.0,46.34,45.900002,46.0,45.374104,365500
2006-04-11,46.200001,46.34,45.759998,46.279999,45.650295,441900
2006-04-12,46.349998,48.0,46.25,47.73,47.08057,1076500
2006-04-13,47.549999,47.560001,46.860001,46.98,46.340775,815600
2006-04-17,47.09,47.169998,46.5,47.130001,46.488731,548900
2006-04-18,47.380001,48.580002,47.32,48.34,47.682262,1197400
2006-04-19,48.5,48.52,47.68,48.139999,47.484985,675600
2006-04-20,53.240002,56.990002,53.240002,54.799999,54.054375,5468500
2006-04-21,54.689999,56.220001,54.669998,56.07,55.307091,2121900
2006-04-24,56.0,56.220001,54.209999,54.77,54.024776,1587800
2006-04-25,54.52,55.689999,54.25,55.439999,54.685661,1232000
2006-04-26,55.540001,56.310001,54.5,55.900002,55.139408,1235900
2006-04-27,54.5,55.200001,53.290001,55.029999,54.281242,2104200
2006-04-28,55.099998,55.150002,54.650002,55.0,54.251652,808800
2006-05-01,55.900002,55.900002,53.66,53.66,52.929882,1474200
2006-05-02,53.77,54.049999,53.27,53.939999,53.206074,498500
2006-05-03,53.700001,54.220001,53.220001,53.290001,52.564915,799100
2006-05-04,53.5,54.080002,53.169998,54.080002,53.344166,854200
2006-05-05,53.919998,54.259998,53.099998,54.18,53.442806,607100
2006-05-08,54.099998,54.200001,53.41,54.139999,53.403347,843300
2006-05-09,54.150002,54.150002,53.400002,53.48,52.752327,813500
2006-05-10,53.25,54.18,53.029999,53.75,53.018654,677800
2006-05-11,53.25,53.5,52.32,52.529999,51.815258,1245300
2006-05-12,52.470001,52.48,51.259998,51.330002,50.631588,932800
2006-05-15,51.330002,52.529999,50.5,52.200001,51.48975,939500
2006-05-16,52.209999,53.439999,51.860001,53.349998,52.624096,1003900
2006-05-17,53.349998,54.18,52.529999,53.009998,52.288727,1205300
2006-05-18,53.009998,53.18,51.700001,51.98,51.272732,1287000
2006-05-19,52.5,53.110001,52.189999,52.689999,51.97308,729900
2006-05-22,52.689999,52.900002,51.389999,52.830002,52.111176,642500
2006-05-23,53.0,54.490002,53.0,53.860001,53.127163,1110400
2006-05-24,53.619999,54.439999,52.970001,54.209999,53.472397,1071200
2006-05-25,54.25,54.25,53.330002,53.900002,53.166618,882300
2006-05-26,54.150002,54.439999,53.700001,54.02,53.284985,528900
2006-05-30,54.0,54.009998,52.790001,52.830002,52.111176,455500
2006-05-31,53.0,53.639999,52.759998,53.07,52.347908,585300
2006-06-01,53.41,54.099998,53.41,54.009998,53.27512,613900
2006-06-02,54.299999,55.639999,54.299999,55.169998,54.419334,965300
2006-06-05,55.200001,55.240002,53.400002,53.549999,52.821381,521100
2006-06-06,53.549999,53.66,52.619999,53.459999,52.732601,550600
2006-06-07,53.77,55.400002,53.73,54.5,53.75845,693500
2006-06-08,54.450001,54.459999,52.09,53.389999,52.663551,777700
2006-06-09,53.450001,54.52,53.299999,53.740002,53.008793,393500
2006-06-12,53.75,54.080002,53.0,53.610001,52.880566,618400
2006-06-13,53.610001,54.060001,52.529999,52.939999,52.219677,842600
2006-06-14,52.900002,53.830002,52.799999,53.509998,52.781921,677400
2006-06-15,54.450001,55.16,53.869999,54.860001,54.113556,846600
2006-06-16,55.049999,55.450001,54.709999,55.220001,54.468655,990100
2006-06-19,55.299999,55.360001,53.77,53.959999,53.225796,701300
2006-06-20,54.200001,54.5,53.57,54.029999,53.294849,463100
2006-06-21,54.200001,55.919998,54.029999,55.759998,55.001305,1317700
2006-06-22,56.0,56.75,55.330002,55.529999,54.774437,907900
2006-06-23,55.299999,56.049999,54.700001,55.799999,55.040764,633400
2006-06-26,55.799999,56.150002,55.200001,55.389999,54.636341,781300
2006-06-27,55.700001,55.919998,54.900002,55.799999,55.040764,715500
2006-06-28,55.900002,55.900002,55.0,55.5,54.744843,700000
2006-06-29,56.029999,57.860001,55.75,56.82,56.046886,1363500
2006-06-30,57.779999,59.75,57.68,58.82,58.019672,1783400
2006-07-03,59.509998,61.400002,59.389999,60.110001,59.292118,1014100
2006-07-05,60.110001,60.139999,58.099998,58.810001,58.009811,1225400
2006-07-06,59.549999,59.880001,58.799999,59.27,58.463547,693400
2006-07-07,59.099998,59.099998,57.389999,57.68,56.895184,889900
2006-07-10,58.560001,58.970001,57.59,58.130001,57.339058,575500
