Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,32.599998,32.98,32.400002,32.939999,31.200645,1062700
2006-01-04,33.009998,33.299999,32.84,32.91,31.172232,845600
2006-01-05,32.75,33.139999,32.599998,33.02,31.27643,848700
2006-01-06,33.07,33.5,32.950001,33.419998,31.6553,509700
2006-01-09,33.360001,33.68,33.330002,33.549999,31.778437,750900
2006-01-10,33.66,35.27,33.599998,34.759998,32.924541,1725500
2006-01-11,34.5,34.549999,34.049999,34.209999,32.403584,1084900
2006-01-12,34.25,34.279999,33.84,34.0,32.20467,590700
2006-01-13,33.939999,34.16,33.720001,33.880001,32.091019,389400
2006-01-17,33.610001,33.720001,33.380001,33.560001,31.787926,797600
2006-01-18,33.5,33.599998,33.349998,33.48,31.712133,410100
2006-01-19,33.32,33.549999,33.099998,33.369999,31.607939,592500
2006-01-20,33.470001,33.689999,33.290001,33.5,31.731075,1001300
2006-01-23,33.470001,33.68,33.299999,33.380001,31.617418,728800
2006-01-24,33.369999,33.450001,32.98,33.279999,31.522692,994400
2006-01-25,33.240002,33.529999,33.009998,33.509998,31.740559,774000
2006-01-26,33.59,33.889999,33.240002,33.549999,31.778437,744300
2006-01-27,33.450001,33.75,33.360001,33.549999,31.778437,758300
2006-01-30,33.470001,33.529999,33.27,33.470001,31.702669,343000
2006-01-31,33.369999,33.450001,32.810001,33.09,31.342722,1053000
2006-02-01,33.029999,33.25,32.619999,33.220001,31.465864,879000
2006-02-02,32.849998,32.900002,32.139999,32.330002,30.62286,1261500
2006-02-03,32.259998,32.610001,31.93,32.060001,30.367117,958500
2006-02-06,32.060001,32.09,31.629999,31.75,30.073488,987000
2006-02-07,31.67,32.220001,31.65,31.950001,30.262922,593300
2006-02-08,32.029999,32.540001,31.959999,32.389999,30.679689,1067100
2006-02-09,32.34,32.580002,32.049999,32.189999,30.490252,768000
2006-02-10,32.189999,32.200001,31.73,32.130001,30.433426,582600
2006-02-13,32.049999,32.290001,31.92,32.119999,30.423948,737900
2006-02-14,32.189999,32.549999,32.150002,32.400002,30.689163,1178100
2006-02-15,32.389999,32.59,32.099998,32.59,30.916834,797800
2006-02-16,32.5,32.669998,32.169998,32.5,30.831461,727800
2006-02-17,31.9,31.950001,30.370001,30.76,29.180792,3981600
2006-02-21,29.42,30.6,29.42,29.83,28.298536,1860000
2006-02-22,29.91,30.610001,29.91,30.41,28.848768,1514900
2006-02-23,30.309999,30.5,29.92,30.0,28.459814,1757200
2006-02-24,30.17,30.33,30.08,30.1,28.554678,997900
2006-02-27,30.25,30.65,30.24,30.360001,28.801332,848900
2006-02-28,30.25,30.290001,29.85,29.98,28.440834,1127300
2006-03-01,30.01,30.08,29.75,30.08,28.535702,989300
2006-03-02,30.08,30.33,29.950001,30.02,28.478783,564900
2006-03-03,29.959999,30.450001,29.83,30.1,28.554678,549100
2006-03-06,30.139999,30.389999,30.07,30.110001,28.564163,709400
2006-03-07,30.17,30.459999,29.879999,29.969999,28.431343,560200
2006-03-08,30.0,30.49,29.969999,30.440001,28.877216,525500
