Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,37.919998,38.849998,37.759998,38.720001,23.831776,466200
2006-01-04,38.91,39.09,38.639999,39.07,24.047192,688400
2006-01-05,39.07,39.810001,39.0,39.720001,24.447268,1017700
2006-01-06,39.849998,40.240002,39.759998,40.220001,24.755007,948400
2006-01-09,40.25,40.75,40.240002,40.650002,25.019667,893600
2006-01-10,40.599998,41.360001,40.369999,41.310001,25.425898,1221600
2006-01-11,41.310001,41.419998,40.82,41.25,25.388969,961300
2006-01-12,41.27,41.41,41.060001,41.41,25.48744,607900
2006-01-13,41.41,41.41,40.630001,40.77,25.093527,707200
2006-01-17,40.779999,40.830002,40.330002,40.669998,25.031969,430500
2006-01-18,40.68,40.98,40.369999,40.57,24.97043,354300
2006-01-19,40.75,41.049999,40.59,41.0,25.235085,434100
2006-01-20,41.0,41.0,40.360001,40.400002,24.865799,539600
2006-01-23,40.599998,40.950001,40.5,40.799999,25.111992,293300
2006-01-24,40.970001,41.610001,40.880001,41.41,25.48744,475400
2006-01-25,41.279999,41.84,41.279999,41.810001,25.733635,484900
2006-01-26,41.91,42.139999,41.82,41.939999,25.81365,700300
2006-01-27,42.0,42.740002,41.900002,42.580002,26.207575,486400
2006-01-30,42.580002,42.580002,42.099998,42.25,26.004452,302500
2006-01-31,42.240002,43.0,42.049999,42.52,26.170633,586700
2006-02-01,42.799999,43.349998,42.5,42.799999,26.342972,1114200
2006-02-02,42.849998,43.049999,42.610001,42.810001,26.349129,896800
2006-02-03,42.639999,42.900002,41.799999,42.369999,26.078312,503000
2006-02-06,42.349998,42.720001,42.200001,42.700001,26.281427,455600
2006-02-07,42.700001,42.860001,42.080002,42.150002,25.942909,536200
2006-02-08,42.119999,43.099998,41.400002,42.41,26.10293,1176800
2006-02-09,42.5,42.650002,42.02,42.400002,26.096781,643600
2006-02-10,43.450001,43.490002,42.41,42.98,26.453773,636800
2006-02-13,42.720001,43.009998,42.669998,42.959999,26.441452,833900
2006-02-14,43.0,43.130001,42.330002,42.889999,26.398365,816200
2006-02-15,42.889999,43.560001,42.790001,43.48,26.761509,799000
2006-02-16,43.48,43.48,43.220001,43.299999,26.650721,695900
2006-02-17,43.459999,43.779999,43.150002,43.639999,26.859982,1277800
2006-02-21,43.650002,44.09,43.450001,43.799999,26.958458,578900
2006-02-22,43.799999,44.09,43.470001,43.970001,27.063101,862000
2006-02-23,43.970001,44.049999,43.48,43.869999,27.001549,833600
2006-02-24,43.830002,43.98,43.639999,43.900002,27.02002,510200
2006-02-27,44.299999,44.450001,43.889999,44.330002,27.284679,761200
2006-02-28,44.23,44.439999,44.0,44.310001,27.272369,1150200
2006-03-01,44.220001,44.57,44.110001,44.57,27.432379,813500
2006-03-02,44.470001,44.540001,44.049999,44.5,27.389307,525500
2006-03-03,44.349998,44.400002,43.759998,43.939999,27.044636,893500
2006-03-06,44.049999,45.25,43.889999,44.98,27.684748,732100
2006-03-07,44.98,44.98,44.080002,44.32,27.278513,475600
2006-03-08,44.25,44.32,43.73,44.200001,27.204657,713000
2006-03-09,44.25,44.669998,44.110001,44.66,27.48778,823900
2006-03-10,44.57,45.220001,44.549999,45.0,27.697058,674800
2006-03-13,45.0,45.369999,44.66,45.02,27.70937,659600
2006-03-14,45.02,45.59,44.900002,45.48,27.992487,545200
2006-03-15,45.599998,46.740002,45.549999,46.52,28.632603,744300
2006-03-16,46.799999,47.540001,46.650002,47.209999,29.057287,451100
2006-03-17,46.900002,47.509998,46.779999,47.509998,29.24193,476700
2006-03-20,47.400002,47.459999,46.189999,46.950001,28.897253,485500
2006-03-21,47.049999,47.200001,46.25,46.790001,28.798786,827700
2006-03-22,46.619999,47.139999,46.279999,47.049999,28.958805,548000
2006-03-23,47.200001,47.200001,46.709999,47.0,28.928036,1117400
2006-03-24,47.009998,47.369999,46.869999,47.189999,29.044975,584300
2006-03-27,47.09,47.130001,46.5,46.849998,28.835703,513200
2006-03-28,46.849998,47.790001,46.59,47.450001,29.204994,545300
