Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,18.040001,18.389999,17.74,18.33,14.59061,17129900
2006-01-04,18.35,18.59,18.209999,18.49,14.717973,17032500
2006-01-05,18.459999,18.76,18.459999,18.700001,14.885128,18382000
2006-01-06,18.9,19.440001,18.790001,19.370001,15.41845,27346100
2006-01-09,19.370001,19.59,19.32,19.52,15.537848,18700200
2006-01-10,19.49,19.84,19.43,19.790001,15.75277,26595500
2006-01-11,19.889999,20.77,19.67,20.65,16.437328,47633800
2006-01-12,20.559999,21.059999,20.26,20.82,16.572638,49071800
2006-01-13,20.4,20.41,19.93,20.15,16.039322,43514700
2006-01-17,19.700001,19.77,19.41,19.76,15.728892,33912500
2006-01-18,19.719999,20.200001,19.530001,19.74,15.712965,45441300
2006-01-19,20.27,20.440001,19.82,19.99,15.911968,45442900
2006-01-20,19.889999,20.0,19.0,19.07,15.179647,36845500
2006-01-23,19.219999,19.309999,18.91,18.98,15.108014,25884000
2006-01-24,19.02,19.34,18.75,18.98,15.108014,31776000
2006-01-25,19.18,19.209999,18.790001,18.969999,15.100048,26159900
2006-01-26,19.25,19.75,19.030001,19.73,15.705003,41570300
2006-01-27,19.969999,20.0,19.49,19.75,15.720931,30374500
2006-01-30,19.860001,19.91,19.450001,19.58,15.585607,16439400
2006-01-31,19.48,19.5,18.879999,19.049999,15.16373,36911600
2006-02-01,18.969999,19.440001,18.85,19.33,15.386611,35925700
2006-02-02,19.24,19.540001,18.82,18.860001,15.012492,25979300
2006-02-03,18.9,18.959999,18.6,18.68,14.869212,30173500
2006-02-06,18.639999,19.17,18.59,19.08,15.18761,27082300
2006-02-07,19.120001,19.530001,19.049999,19.5,15.521926,33818400
2006-02-08,19.9,20.1,19.700001,20.1,15.999527,36722800
2006-02-09,20.190001,20.690001,20.01,20.08,15.983605,42755600
2006-02-10,20.110001,20.110001,19.75,19.959999,15.888091,26658300
2006-02-13,19.790001,20.040001,19.559999,19.860001,15.808491,22929000
2006-02-14,19.99,20.27,19.799999,20.26,16.151278,25472300
2006-02-15,20.290001,20.5,20.09,20.459999,16.310719,29766200
2006-02-16,20.809999,20.9,19.809999,19.959999,15.912119,58252300
2006-02-17,19.91,20.0,19.530001,19.719999,15.720793,42116400
2006-02-21,19.719999,19.790001,19.08,19.290001,15.377996,33953400
2006-02-22,19.219999,19.59,19.030001,19.23,15.330162,30943200
2006-02-23,19.219999,19.48,19.0,19.059999,15.194645,22791600
2006-02-24,19.07,19.110001,18.690001,18.799999,14.987367,27051700
2006-02-27,18.540001,18.57,18.24,18.4,14.668489,43129800
2006-02-28,18.4,18.549999,18.209999,18.32,14.604717,34342600
2006-03-01,18.459999,18.91,18.42,18.85,15.027234,40122400
2006-03-02,18.690001,19.09,18.68,19.02,15.162755,34403800
2006-03-03,18.82,19.049999,18.620001,18.620001,14.843875,26098700
2006-03-06,18.75,18.92,18.540001,18.559999,14.796041,19739500
2006-03-07,18.5,18.620001,18.27,18.33,14.612687,22313600
2006-03-08,18.24,18.27,17.59,17.879999,14.253949,55643500
2006-03-09,18.01,18.190001,17.68,17.700001,14.110446,27467400
