Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,31.0,32.599998,31.0,32.445,27.307905,3870800
2006-01-04,32.075001,32.75,31.875,32.715,27.535149,3021400
2006-01-05,32.299999,32.82,31.879999,32.485001,27.341564,2650200
2006-01-06,32.985001,33.744999,32.98,33.450001,28.15377,2387600
2006-01-09,33.450001,34.0,33.395,33.845001,28.486225,2987400
2006-01-10,33.735001,34.639999,33.689999,33.884998,28.519888,2307400
2006-01-11,33.799999,34.41,33.099998,33.915001,28.545151,3535800
2006-01-12,34.25,34.91,33.994999,34.075001,28.679825,2661000
2006-01-13,34.075001,35.470001,33.950001,35.345001,29.748735,3531600
2006-01-17,35.674999,35.935001,35.435001,35.564999,29.933895,2309800
2006-01-18,35.325001,35.575001,34.165001,35.005001,29.462566,2323800
2006-01-19,35.040001,35.974998,34.855,35.695,30.04331,2487200
2006-01-20,36.064999,36.549999,35.400002,35.674999,30.026476,2645400
2006-01-23,35.674999,35.68,34.779999,35.395,29.790821,2112000
2006-01-24,35.275002,35.43,34.595001,35.16,29.593031,2689000
2006-01-25,35.509998,35.755001,33.595001,34.134998,28.730309,3685800
2006-01-26,34.450001,34.900002,33.355,34.599998,29.121696,3445200
2006-01-27,35.049999,35.715,34.91,35.029999,29.483604,1709800
2006-01-30,35.525002,36.950001,35.435001,36.189999,30.459949,2567000
2006-01-31,35.724998,36.455002,35.25,36.235001,30.497816,2927000
2006-02-01,36.235001,36.990002,35.0,35.005001,29.462566,4162000
2006-02-02,34.305,34.474998,32.875,33.305,28.031727,6988000
2006-02-03,33.299999,33.34,32.560001,32.625,27.459398,4525000
2006-02-06,33.099998,33.5,32.465,32.645,27.476233,3866400
2006-02-07,32.575001,32.580002,31.25,31.735001,26.710306,3815600
2006-02-08,31.735001,31.75,30.799999,31.35,26.386276,4736200
2006-02-09,31.625,31.870001,30.645,30.764999,25.893896,5566400
2006-02-10,30.844999,30.844999,29.790001,30.41,25.595098,6102600
2006-02-13,30.415001,31.0,30.299999,30.605,25.759237,3475400
2006-02-14,30.049999,30.26,29.014999,29.67,24.972269,4582600
2006-02-15,29.795,30.32,29.235001,29.455,24.791313,4392200
2006-02-16,29.75,31.389999,29.635,31.139999,26.20952,4539200
2006-02-17,31.4,31.775,31.0,31.4,26.428358,3025600
2006-02-21,32.25,32.575001,31.575001,31.799999,26.765024,3188000
2006-02-22,31.174999,31.4,30.879999,31.200001,26.260029,2151400
2006-02-23,31.0,31.93,30.775,31.280001,26.327356,2184600
2006-02-24,32.25,32.310001,31.525,31.615,26.609318,2204600
2006-02-27,30.950001,31.135,30.540001,30.76,25.930696,1999400
2006-02-28,30.725,30.969999,30.004999,30.205,25.462833,3965000
2006-03-01,30.33,31.045,30.299999,30.815001,25.97706,2010800
2006-03-02,30.924999,31.735001,30.885,31.5,26.554514,3318400
2006-03-03,31.325001,31.74,31.110001,31.195,26.297401,1757400
2006-03-06,30.975,31.01,29.915001,30.049999,25.332169,1787000
2006-03-07,30.174999,30.25,29.15,29.5,24.868519,3305600
2006-03-08,29.325001,29.975,28.834999,29.49,24.860088,3090800
2006-03-09,29.84,30.295,29.51,29.959999,25.256298,2649800
2006-03-10,29.719999,30.695,29.475,30.58,25.778961,2669200
2006-03-13,30.875,31.57,30.67,31.190001,26.293186,2104800
2006-03-14,31.18,32.029999,30.870001,31.860001,26.858,3074000
2006-03-15,31.860001,32.514999,31.695,32.189999,27.136185,2991200
2006-03-16,32.099998,32.91,32.035,32.75,27.608274,2635000
2006-03-17,32.75,32.939999,32.314999,32.439999,27.346933,2201800
2006-03-20,32.049999,32.439999,31.280001,31.639999,26.672539,2023200
2006-03-21,31.375,32.195,31.27,31.565001,26.60932,1876400
2006-03-22,31.565001,32.439999,31.355,31.74,26.756834,2418600
2006-03-23,32.150002,32.535,32.084999,32.200001,27.144619,2597000
2006-03-24,32.200001,32.744999,32.174999,32.490002,27.38909,1584800
2006-03-27,32.375,33.095001,32.0,32.77,27.625132,1692600
2006-03-28,33.0,33.740002,32.790001,33.41,28.16465,3162200
2006-03-29,33.389999,34.125,33.299999,34.0,28.662024,3489200
2006-03-30,34.014999,34.650002,34.014999,34.165001,28.801117,2555000
