Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,36.02,37.299999,35.900002,37.25,31.746227,2292400
2006-01-04,37.099998,38.07,36.990002,37.380001,31.857016,2375500
2006-01-05,37.150002,37.32,36.959999,37.099998,31.61838,1898300
2006-01-06,37.25,37.349998,36.860001,36.950001,31.490543,2997500
2006-01-09,37.0,37.34,36.810001,37.310001,31.797352,1941000
2006-01-10,37.0,37.040001,36.689999,36.919998,31.464966,2051000
2006-01-11,36.919998,37.34,36.740002,37.299999,31.788834,1038700
2006-01-12,37.48,38.299999,37.380001,37.669998,32.104172,5052800
2006-01-13,37.630001,37.810001,37.360001,37.450001,31.916658,2687500
2006-01-17,37.25,37.490002,37.209999,37.349998,31.83144,879900
2006-01-18,37.150002,37.560001,37.040001,37.119999,31.63542,977600
2006-01-19,37.279999,37.330002,36.849998,36.880001,31.430887,952300
2006-01-20,36.880001,37.099998,36.200001,36.220001,30.868404,1501200
2006-01-23,36.099998,36.369999,35.919998,35.959999,30.646811,922900
2006-01-24,36.049999,36.439999,36.049999,36.189999,30.842836,1016000
2006-01-25,36.209999,36.360001,35.580002,35.779999,30.493412,1327400
2006-01-26,36.029999,36.380001,36.009998,36.009998,30.689434,1155400
2006-01-27,35.950001,36.0,35.650002,35.880001,30.57864,1110800
2006-01-30,35.599998,35.98,35.59,35.799999,30.638548,1387300
2006-01-31,35.599998,35.619999,34.189999,34.220001,29.286346,3293100
2006-02-01,34.23,34.689999,34.02,34.240002,29.303463,2323400
2006-02-02,34.349998,34.48,33.610001,33.919998,29.029598,1979600
2006-02-03,33.849998,33.860001,33.470001,33.700001,28.841314,1709900
2006-02-06,33.57,33.720001,33.450001,33.540001,28.704378,1139200
2006-02-07,33.549999,34.400002,33.549999,34.02,29.115173,2241900
2006-02-08,34.330002,34.810001,34.080002,34.669998,29.671459,1540500
2006-02-09,35.029999,35.150002,34.560001,34.880001,29.851189,2453100
2006-02-10,36.5,38.619999,36.450001,38.110001,32.615501,6295200
2006-02-13,37.950001,38.220001,37.709999,38.060001,32.572727,2338100
2006-02-14,37.959999,39.060001,37.830002,38.389999,32.855129,2416300
2006-02-15,38.200001,38.700001,38.200001,38.470001,32.923607,3052400
2006-02-16,38.5,39.25,38.5,38.900002,33.291599,2254100
2006-02-17,38.869999,39.110001,38.66,39.049999,33.419979,3009900
2006-02-21,39.349998,39.68,38.91,38.98,33.360069,1799100
2006-02-22,39.029999,39.98,39.029999,39.639999,33.924908,2114300
2006-02-23,39.5,39.759998,39.139999,39.450001,33.762306,1270200
2006-02-24,39.400002,39.84,39.25,39.779999,34.044716,1048300
2006-02-27,39.880001,40.139999,39.619999,39.619999,33.907803,3278100
2006-02-28,39.279999,39.639999,39.02,39.610001,33.899239,2527000
2006-03-01,39.650002,40.5,39.599998,40.41,34.583908,2557100
2006-03-02,40.25,40.41,39.990002,40.25,34.446983,1760100
2006-03-03,40.0,40.330002,39.84,39.860001,34.113201,2107000
2006-03-06,39.75,40.060001,39.639999,39.98,34.215889,1221700
2006-03-07,39.759998,39.810001,39.169998,39.349998,33.676727,1380900
2006-03-08,39.459999,39.75,39.25,39.740002,34.01049,1586600
2006-03-09,39.650002,40.119999,39.299999,39.389999,33.710964,3424900
2006-03-10,39.299999,40.240002,39.25,40.139999,34.35284,3410900
2006-03-13,40.02,40.580002,40.0,40.400002,34.575348,1424500
2006-03-14,40.200001,40.939999,40.130001,40.900002,35.003273,1405800
2006-03-15,40.599998,41.18,40.450001,40.98,35.07172,1750700
2006-03-16,40.950001,41.439999,40.950001,41.0,35.088852,1174500
2006-03-17,41.200001,41.669998,41.060001,41.189999,35.251434,1766100
2006-03-20,40.450001,41.540001,40.25,41.209999,35.26857,1574700
2006-03-21,40.25,41.25,40.25,41.139999,35.208649,1584200
2006-03-22,41.139999,41.93,41.139999,41.900002,35.859081,1868900
2006-03-23,41.75,42.040001,41.599998,41.709999,35.696472,1792500
2006-03-24,41.5,42.16,41.419998,41.810001,35.782078,1473700
2006-03-27,41.5,41.810001,41.5,41.700001,35.687916,1504000
2006-03-28,41.759998,41.759998,41.459999,41.599998,35.602322,1334100
2006-03-29,41.450001,41.59,41.23,41.41,35.439724,1735100
2006-03-30,41.41,41.599998,41.23,41.23,35.285686,858000
2006-03-31,41.25,41.790001,41.169998,41.509998,35.525299,1329500
2006-04-03,41.450001,41.580002,40.889999,40.959999,35.054604,1402500
2006-04-04,40.77,41.119999,40.740002,40.919998,35.02037,2238400
2006-04-05,40.919998,41.599998,40.849998,41.5,35.516743,1559400
2006-04-06,40.950001,41.66,40.810001,41.599998,35.602322,1205900
2006-04-07,41.599998,41.919998,40.639999,40.68,34.814976,1047200
2006-04-10,40.599998,40.970001,40.459999,40.669998,34.806419,1136900
2006-04-11,40.799999,40.84,40.18,40.25,34.446983,983300
2006-04-12,39.900002,40.349998,39.830002,40.330002,34.515434,1350000
2006-04-13,40.34,40.560001,40.130001,40.470001,34.635246,743500
2006-04-17,40.700001,41.610001,40.689999,40.98,35.07172,1849500
2006-04-18,41.02,42.299999,41.02,42.060001,35.996021,1902700
2006-04-19,42.0,42.459999,42.0,42.310001,36.209969,1351900
2006-04-20,42.099998,42.5,41.689999,41.790001,35.764942,1635300
2006-04-21,41.919998,42.130001,41.720001,41.82,35.790623,1006200
