Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,5.87,6.146667,5.863333,6.141667,5.00802,1702800
2006-01-04,6.141667,6.23,6.12,6.175,5.0352,1293600
2006-01-05,6.258333,6.28,6.085,6.116667,4.987634,1296400
2006-01-06,6.283333,6.375,6.266667,6.326667,5.158871,2917200
2006-01-09,6.308333,6.601666,6.308333,6.541667,5.334187,2010400
2006-01-10,6.541667,6.78,6.49,6.698333,5.461934,2080800
2006-01-11,6.68,6.708333,6.565,6.598333,5.380394,1474800
2006-01-12,6.601666,6.665,6.436666,6.455,5.263516,1913200
2006-01-13,6.475,6.505,6.445,6.468333,5.274389,1042800
2006-01-17,6.483333,6.581666,6.458333,6.531667,5.326034,1850400
2006-01-18,6.53,6.738333,6.511667,6.738333,5.494552,2258800
2006-01-19,6.741667,6.78,6.618333,6.631667,5.407574,1537200
2006-01-20,6.916667,7.401667,6.791667,7.316667,5.966136,6706000
2006-01-23,7.075,7.121666,6.818333,7.008333,5.714714,3603600
2006-01-24,7.041667,7.221667,7.026667,7.166667,5.843821,1592400
2006-01-25,7.17,7.17,7.023334,7.083333,5.775869,916800
2006-01-26,7.116667,7.146667,7.066667,7.101666,5.79082,1342000
2006-01-27,7.058333,7.151667,7.001667,7.108333,5.818106,955200
2006-01-30,7.15,7.236667,7.15,7.2,5.893135,1289200
2006-01-31,7.2,7.238333,7.13,7.181667,5.878129,1650400
2006-02-01,7.161667,7.161667,6.756667,6.988333,5.719886,4589200
2006-02-02,7.055,7.148334,6.988333,7.046667,5.767631,1760800
2006-02-03,7.038333,7.115,6.975,6.975,5.708974,1265200
2006-02-06,7.033333,7.708333,7.025,7.458333,6.104577,5599600
2006-02-07,7.46,7.5,7.265,7.275,5.95452,2308800
2006-02-08,7.375,7.375,7.045,7.18,5.876763,1836000
2006-02-09,7.18,7.42,7.155,7.258333,5.940879,2358400
2006-02-10,7.258333,7.336667,7.16,7.291667,5.968162,2634000
2006-02-13,7.291667,7.301667,7.191667,7.216667,5.906775,3368400
2006-02-14,7.245,7.638333,7.228333,7.598333,6.219167,2558400
2006-02-15,7.583333,7.585,7.423333,7.486667,6.127766,2089600
2006-02-16,7.5,7.616667,7.496666,7.568333,6.194611,2650800
2006-02-17,7.601666,7.74,7.543334,7.711667,6.311925,1591200
2006-02-21,7.711667,7.756667,7.625,7.716667,6.31602,1842400
2006-02-22,7.72,7.895,7.716667,7.816667,6.39787,1802400
2006-02-23,7.821667,7.858333,7.746666,7.825,6.40469,907600
2006-02-24,7.833333,7.833333,7.773334,7.79,6.376042,1322400
2006-02-27,7.823333,7.888333,7.773334,7.821667,6.401962,1153600
2006-02-28,7.796667,7.806667,7.706666,7.716667,6.31602,1111600
2006-03-01,7.741667,7.906667,7.71,7.853333,6.427878,3299200
2006-03-02,7.853333,7.993333,7.845,7.875,6.445616,2138800
2006-03-03,7.866667,8.178333,7.85,8.138333,6.66115,2590800
2006-03-06,8.0,8.176666,7.975,7.996666,6.545198,1714800
2006-03-07,7.991667,8.061666,7.945,8.058333,6.595671,2106000
2006-03-08,8.041667,8.071667,7.856667,7.966667,6.520643,1474000
2006-03-09,7.966667,8.071667,7.966667,8.021667,6.56566,945600
2006-03-10,8.005,8.141666,7.941667,8.106667,6.635231,883600
2006-03-13,8.148334,8.27,8.081667,8.1,6.629777,1452000
