Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,69.830002,70.919998,68.550003,70.900002,62.126091,2622900
2006-01-04,69.949997,71.370003,69.669998,70.699997,61.950867,2788100
2006-01-05,70.620003,70.620003,68.75,69.18,60.618965,3264300
2006-01-06,70.800003,71.400002,70.059998,70.129997,61.45142,3688700
2006-01-09,70.349998,70.779999,69.580002,70.43,61.714283,2499900
2006-01-10,70.269997,71.82,70.169998,70.650002,61.907059,3118000
2006-01-11,70.650002,71.660004,69.699997,71.0,62.213718,2592300
2006-01-12,71.75,72.389999,69.910004,70.110001,61.433872,3602500
2006-01-13,70.110001,71.459999,69.849998,71.370003,62.53793,1863200
2006-01-17,72.330002,73.400002,72.330002,73.370003,64.290436,2570000
2006-01-18,73.169998,73.279999,70.699997,72.080002,63.160084,2717800
2006-01-19,71.5,73.599998,71.480003,73.230003,64.256912,2596900
2006-01-20,74.800003,75.269997,73.239998,74.089996,65.011536,3850500
2006-01-23,73.879997,73.889999,72.690002,73.089996,64.134071,3512600
2006-01-24,72.900002,74.07,72.589996,73.0,64.055092,3314700
2006-01-25,73.25,73.800003,70.169998,70.660004,62.001831,4104300
2006-01-26,70.550003,70.559998,68.419998,69.620003,61.089237,5299300
2006-01-27,71.209999,71.849998,70.699997,71.360001,62.616024,2897300
2006-01-30,71.75,74.220001,71.68,73.190002,64.221832,3267900
2006-01-31,72.980003,76.120003,72.349998,75.529999,66.275063,5371900
2006-02-01,75.480003,76.25,73.57,73.900002,64.844833,3757200
2006-02-02,72.849998,74.300003,71.5,73.139999,64.177948,3876100
2006-02-03,73.139999,74.150002,72.360001,73.400002,64.406113,4152900
2006-02-06,74.800003,75.330002,73.650002,74.099998,65.020302,2824100
2006-02-07,72.800003,72.970001,70.769997,71.239998,62.510761,3651100
2006-02-08,72.400002,72.400002,69.690002,71.25,62.519527,4059500
2006-02-09,71.449997,72.849998,68.93,69.120003,60.65052,4247900
2006-02-10,70.199997,70.25,67.610001,69.290001,60.799683,3771000
2006-02-13,69.290001,69.989998,67.849998,68.440002,60.053829,3213700
2006-02-14,67.529999,68.889999,66.849998,68.25,59.887135,3495000
2006-02-15,68.800003,69.5,67.400002,68.309998,59.939766,3187400
2006-02-16,69.25,70.410004,68.93,70.199997,61.59819,3372300
2006-02-17,70.800003,71.160004,69.900002,69.949997,61.37883,3330100
2006-02-21,71.050003,71.5,70.580002,70.720001,62.05447,3128600
2006-02-22,69.5,69.510002,68.010002,68.459999,60.071396,3521900
2006-02-23,68.510002,69.389999,67.400002,68.099998,59.755474,3577600
2006-02-24,69.400002,69.739998,68.849998,69.169998,60.694416,2595700
2006-02-27,68.650002,68.900002,67.139999,67.410004,59.150051,2188500
2006-02-28,66.900002,67.339996,65.599998,66.919998,58.720093,3536100
2006-03-01,67.18,68.269997,66.919998,68.199997,59.843273,2778900
2006-03-02,68.449997,69.970001,67.720001,69.629997,61.098019,3560200
2006-03-03,68.800003,70.550003,68.800003,70.010002,61.431473,2206700
2006-03-06,68.839996,69.25,66.599998,67.099998,58.878056,3538600
2006-03-07,67.18,67.199997,65.309998,66.029999,57.939156,3256300
2006-03-08,65.0,65.580002,63.459999,64.940002,56.982697,4502300
2006-03-09,65.400002,65.699997,63.68,64.239998,56.368462,3550500
2006-03-10,63.599998,64.830002,63.25,64.150002,56.289509,3191200
2006-03-13,64.769997,66.0,64.769997,65.32,57.316139,2440500
2006-03-14,65.800003,65.800003,64.360001,65.230003,57.237175,4706400
2006-03-15,65.0,66.0,64.300003,65.440002,57.421432,4211900
2006-03-16,65.449997,66.779999,65.260002,66.410004,58.272591,3052300
2006-03-17,66.839996,66.839996,65.970001,66.07,57.974239,3007400
2006-03-20,66.050003,66.209999,64.110001,64.519997,56.614159,2919700
2006-03-21,64.300003,64.980003,63.419998,64.0,56.157894,3371700
2006-03-22,63.169998,65.0,63.169998,63.970001,56.131569,3662400
2006-03-23,65.690002,65.690002,64.300003,64.699997,56.772121,2921900
2006-03-24,64.699997,66.379997,64.699997,65.620003,57.57938,2184200
2006-03-27,65.949997,66.239998,64.669998,65.949997,57.868938,2158000
2006-03-28,66.5,67.230003,66.010002,66.370003,58.23748,3030300
2006-03-29,66.620003,67.309998,66.239998,66.800003,58.614796,2363700
2006-03-30,67.0,67.459999,66.389999,66.529999,58.377884,2989400
2006-03-31,65.599998,65.900002,64.720001,65.510002,57.482868,2874600
2006-04-03,66.260002,66.980003,65.620003,65.709999,57.658348,3111100
2006-04-04,64.75,66.760002,64.75,66.629997,58.465618,3012400
2006-04-05,66.699997,68.010002,66.199997,67.919998,59.597546,3120600
2006-04-06,68.260002,68.400002,67.0,67.769997,59.465931,2607600
2006-04-07,67.769997,67.870003,66.400002,67.019997,58.807819,2949800
2006-04-10,67.900002,68.980003,67.68,68.540001,60.141582,2764800
2006-04-11,69.480003,69.949997,68.5,68.980003,60.527676,3324200
2006-04-12,68.739998,69.330002,67.68,67.809998,59.501026,2881900
2006-04-13,67.489998,68.709999,66.779999,68.699997,60.282001,2278200
2006-04-17,69.650002,69.650002,68.25,68.889999,60.448696,3130500
2006-04-18,69.550003,71.0,69.349998,70.230003,61.624527,5021300
2006-04-19,72.0,73.900002,71.400002,73.730003,64.787903,5659500
2006-04-20,73.769997,74.379997,71.660004,74.290001,65.279961,5365600
2006-04-21,74.739998,75.349998,74.43,75.220001,66.097191,3261900
2006-04-24,75.220001,75.230003,73.720001,74.580002,65.534813,3837400
2006-04-25,75.099998,75.660004,73.279999,74.379997,65.359047,4517700
2006-04-26,73.099998,74.900002,72.019997,72.379997,63.601631,4543400
2006-04-27,70.480003,72.440002,69.5,71.580002,62.898655,3881500
2006-04-28,70.949997,72.650002,70.949997,71.040001,62.424141,3752800
2006-05-01,71.139999,73.25,71.139999,71.919998,63.197441,3598800
2006-05-02,72.300003,72.839996,71.690002,72.57,63.768574,3823200
2006-05-03,72.57,72.57,70.75,71.879997,63.162262,4113600
2006-05-04,71.25,71.870003,69.669998,70.730003,62.151718,3929800
2006-05-05,71.980003,72.5,71.199997,71.75,63.04805,3103100
2006-05-08,71.330002,71.660004,70.300003,71.330002,62.67897,2460900
2006-05-09,71.330002,72.949997,71.0,71.639999,62.95137,2896200
2006-05-10,71.5,72.93,71.160004,72.589996,63.786156,2781200
2006-05-11,73.25,73.790001,71.900002,72.059998,63.320427,2889700
2006-05-12,71.900002,71.910004,68.68,68.82,60.473389,4472200
2006-05-15,67.169998,68.199997,66.239998,67.440002,59.260757,3957800
2006-05-16,67.699997,68.220001,66.849998,67.440002,59.260757,3006700
2006-05-17,67.440002,68.0,65.160004,65.75,57.77573,4019200
2006-05-18,65.57,66.330002,64.169998,64.230003,56.440086,3159500
2006-05-19,64.349998,65.099998,63.02,64.580002,56.747639,4444800
2006-05-22,63.400002,64.349998,61.779999,63.93,56.176456,4808600
2006-05-23,66.0,66.809998,63.849998,64.010002,56.246754,4497900
2006-05-24,63.299999,64.230003,61.400002,62.279999,54.726574,6026400
2006-05-25,63.400002,64.660004,62.950001,63.959999,56.202808,3417300
2006-05-26,64.400002,65.139999,63.82,64.629997,56.791561,2033900
2006-05-30,65.300003,65.540001,64.099998,64.230003,56.440086,3505900
2006-05-31,64.449997,65.389999,63.650002,64.879997,57.011246,4504900
2006-06-01,63.91,65.650002,63.77,65.269997,57.353935,3817800
2006-06-02,65.949997,66.18,65.019997,65.889999,57.898743,2773500
2006-06-05,66.440002,66.779999,63.380001,63.509998,55.807392,4046400
2006-06-06,63.509998,64.550003,62.799999,63.459999,55.763466,4547500
2006-06-07,63.049999,63.150002,60.950001,61.07,53.66333,5255900
2006-06-08,60.099998,61.93,58.560001,61.650002,54.17297,7224100
2006-06-09,61.919998,62.759998,60.200001,61.23,53.803917,3407300
2006-06-12,61.5,62.450001,59.810001,59.889999,52.626427,3543900
2006-06-13,59.27,59.810001,56.5,57.23,50.289036,7437600
2006-06-14,57.470001,59.119999,57.450001,59.07,51.905891,5512700
2006-06-15,60.349998,61.799999,59.950001,61.610001,54.137825,4718400
2006-06-16,61.599998,61.799999,59.880001,61.240002,53.812702,3611400
2006-06-19,61.0,61.009998,58.599998,58.900002,51.756504,3756600
2006-06-20,59.75,60.560001,58.82,58.990002,51.835583,3543000
2006-06-21,59.299999,61.689999,59.299999,60.66,53.303043,3580600
2006-06-22,60.66,61.200001,60.02,60.799999,53.426071,2336300
