Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,80.75,82.57,79.459999,82.360001,55.684364,126500
2006-01-04,82.300003,83.209999,82.150002,82.68,55.900703,71100
2006-01-05,82.800003,84.199997,82.75,83.739998,56.617374,68700
2006-01-06,83.989998,84.709999,83.690002,84.699997,57.26646,96100
2006-01-09,84.699997,85.830002,84.599998,85.800003,58.010155,59200
2006-01-10,85.5,87.040001,85.199997,86.099998,58.212986,156700
2006-01-11,86.0,86.099998,84.970001,85.550003,57.841133,138700
2006-01-12,85.599998,86.099998,85.5,86.0,58.145393,79300
2006-01-13,85.75,85.860001,83.800003,84.75,57.300236,92500
2006-01-17,84.599998,84.650002,83.610001,84.489998,57.124462,65200
2006-01-18,84.25,84.879997,83.879997,84.0,56.793167,103300
2006-01-19,84.0,84.940002,83.75,84.900002,57.40168,125200
2006-01-20,85.300003,85.300003,83.949997,84.080002,56.847275,113800
2006-01-23,84.18,86.459999,84.18,86.449997,58.449635,107100
2006-01-24,86.699997,87.779999,86.660004,87.599998,59.227184,137500
2006-01-25,87.559998,88.400002,86.949997,87.32,59.037861,83500
2006-01-26,87.57,87.900002,87.209999,87.5,59.159557,165500
2006-01-27,87.75,88.82,87.660004,88.050003,59.531422,116600
2006-01-30,88.050003,88.050003,87.199997,87.57,59.206879,75000
2006-01-31,87.32,88.650002,87.129997,88.25,59.666653,120600
2006-02-01,88.099998,88.800003,87.959999,88.379997,59.75452,76800
2006-02-02,88.129997,88.300003,87.029999,87.400002,59.091934,120500
2006-02-03,86.800003,87.080002,85.650002,86.269997,58.327927,145600
2006-02-06,86.279999,86.620003,86.099998,86.620003,58.564602,63700
2006-02-07,86.550003,86.790001,85.5,85.620003,57.888474,82700
2006-02-08,85.75,85.75,84.5,84.900002,57.40168,67300
2006-02-09,84.949997,85.25,84.309998,84.760002,57.307007,120400
2006-02-10,84.699997,86.300003,84.400002,85.75,57.976364,106300
2006-02-13,85.790001,85.830002,84.93,85.199997,57.604515,92800
2006-02-14,85.300003,85.779999,84.68,85.669998,57.922287,112900
2006-02-15,85.550003,85.849998,85.150002,85.830002,58.030464,109200
2006-02-16,86.0,87.150002,85.940002,87.110001,58.89587,129000
2006-02-17,87.300003,88.400002,87.0,88.300003,59.700459,261200
2006-02-21,88.260002,88.769997,87.949997,88.769997,60.018219,122100
2006-02-22,88.699997,90.209999,88.559998,89.459999,60.484722,145500
2006-02-23,89.300003,89.970001,88.489998,89.349998,60.410374,68400
2006-02-24,89.110001,89.190002,88.349998,88.800003,60.038506,101500
2006-02-27,88.800003,89.019997,88.309998,88.589996,59.896511,91700
2006-02-28,88.529999,88.699997,87.699997,88.019997,59.511127,214700
2006-03-01,88.099998,88.980003,88.099998,88.980003,60.160183,80200
2006-03-02,88.849998,89.260002,88.389999,89.220001,60.32246,127900
2006-03-03,89.0,89.739998,88.389999,89.110001,60.248112,98800
2006-03-06,87.160004,90.5,87.160004,89.5,60.511761,119700
2006-03-07,89.300003,89.919998,88.739998,89.349998,60.410374,110600
2006-03-08,89.349998,89.889999,88.730003,89.849998,60.748386,139800
2006-03-09,90.0,91.349998,89.900002,90.949997,61.492134,90100
2006-03-10,90.879997,92.120003,90.879997,92.120003,62.283195,134700
2006-03-13,92.300003,93.489998,91.959999,92.57,62.587429,168200
2006-03-14,92.559998,94.199997,92.0,93.730003,63.371742,101100
2006-03-15,93.900002,96.449997,93.699997,95.599998,64.636055,111900
2006-03-16,95.800003,97.339996,95.550003,96.400002,65.176933,79100
2006-03-17,96.75,98.0,96.0,97.080002,65.636688,304000
2006-03-20,97.050003,97.050003,94.93,94.93,64.183044,236400
2006-03-21,94.730003,96.199997,93.800003,94.230003,63.709747,152500
2006-03-22,94.0,95.449997,93.900002,95.199997,64.365608,99900
2006-03-23,95.160004,95.739998,94.599998,95.400002,64.500832,92900
2006-03-24,95.599998,95.849998,94.949997,95.57,64.615746,104000
2006-03-27,95.510002,95.559998,94.269997,94.610001,63.966694,114300
2006-03-28,94.360001,96.449997,94.199997,95.160004,64.338554,208700
2006-03-29,95.400002,97.400002,95.400002,97.0,65.582581,201600
2006-03-30,96.300003,96.300003,94.800003,95.25,64.8675,215200
2006-03-31,95.099998,95.489998,94.169998,95.330002,64.922005,146200
2006-04-03,95.150002,95.699997,93.260002,93.279999,63.525913,128100
2006-04-04,93.199997,94.040001,92.75,93.470001,63.655312,159000
2006-04-05,93.699997,94.599998,93.5,94.199997,64.152451,154200
2006-04-06,93.949997,94.540001,93.800003,94.0,64.016258,108100
2006-04-07,94.050003,94.260002,92.400002,92.449997,62.960674,142400
2006-04-10,92.0,92.900002,91.300003,91.849998,62.552017,95800
2006-04-11,92.0,92.599998,91.010002,91.18,62.095749,111800
2006-04-12,91.18,91.559998,90.209999,90.300003,61.496441,201200
2006-04-13,89.900002,90.57,88.949997,89.32,60.829041,94500
2006-04-17,88.699997,89.800003,88.699997,89.099998,60.679203,137700
2006-04-18,89.32,91.300003,89.150002,91.029999,61.99361,182200
2006-04-19,90.800003,92.209999,90.699997,91.699997,62.449886,208700
2006-04-20,91.800003,91.889999,90.5,91.57,62.361347,76900
2006-04-21,92.349998,92.349998,90.879997,91.25,62.143417,104500
2006-04-24,91.099998,91.25,89.699997,90.5,61.632668,84500
2006-04-25,90.300003,90.440002,89.519997,90.050003,61.32618,119200
2006-04-26,90.300003,90.489998,88.959999,89.199997,60.74733,121300
2006-04-27,88.800003,91.199997,88.489998,89.989998,61.285324,179800
2006-04-28,89.900002,92.150002,89.800003,90.599998,61.700775,182400
2006-05-01,90.849998,91.199997,90.0,90.080002,61.346626,171000
2006-05-02,90.050003,90.589996,89.510002,90.349998,61.530499,173000
2006-05-03,90.099998,90.919998,89.889999,90.709999,61.775677,131400
2006-05-04,90.550003,92.139999,90.010002,91.93,62.606529,100600
2006-05-05,92.5,94.050003,92.400002,93.949997,63.982174,131600
2006-05-08,93.949997,94.400002,93.650002,93.650002,63.777882,123100
2006-05-09,93.5,95.040001,93.220001,94.550003,64.3908,147300
2006-05-10,94.400002,94.5,93.080002,93.300003,63.539513,111100
2006-05-11,93.25,93.290001,89.910004,90.25,61.462399,170700
2006-05-12,90.0,90.0,87.800003,88.480003,60.256973,115900
2006-05-15,88.5,89.75,86.790001,89.300003,60.815411,172800
2006-05-16,89.5,90.0,88.849998,88.949997,60.577061,92600
2006-05-17,87.949997,88.599998,87.5,87.589996,59.650864,211300
2006-05-18,87.949997,88.889999,87.07,87.190002,59.378475,83200
2006-05-19,87.099998,87.18,84.5,85.550003,58.26157,387200
2006-05-22,84.800003,85.400002,83.43,84.949997,57.852962,185300
2006-05-23,85.5,85.839996,84.5,84.75,57.716778,158700
2006-05-24,84.5,84.709999,81.519997,83.300003,56.729282,259800
2006-05-25,83.5,84.529999,82.870003,84.529999,57.566925,248700
2006-05-26,84.779999,85.440002,84.400002,85.199997,58.023235,140500
2006-05-30,85.0,85.32,84.459999,84.650002,57.64867,172600
2006-05-31,84.900002,85.400002,83.080002,83.959999,57.178768,134400
2006-06-01,84.0,86.779999,84.0,86.779999,59.099258,110500
2006-06-02,88.0,88.68,87.5,88.150002,60.032234,156500
2006-06-05,87.75,89.949997,87.720001,88.879997,60.529392,217800
2006-06-06,88.879997,88.919998,87.540001,87.900002,59.861996,288200
2006-06-07,87.75,89.050003,86.769997,87.989998,59.923267,108000
2006-06-08,87.550003,87.949997,85.959999,87.800003,59.79388,104700
2006-06-09,88.0,89.190002,87.790001,88.580002,60.325089,103300
2006-06-12,88.480003,88.480003,86.5,86.610001,58.983482,78900
2006-06-13,86.0,86.25,83.529999,83.790001,57.062977,219600
2006-06-14,83.779999,84.800003,83.489998,84.5,57.546513,168100
2006-06-15,84.400002,85.099998,84.32,84.389999,57.4716,203300
2006-06-16,84.150002,84.589996,84.0,84.5,57.546513,1605800
2006-06-19,84.300003,84.889999,84.0,84.480003,57.532898,361200
2006-06-20,84.099998,84.580002,84.029999,84.129997,57.294521,196600
2006-06-21,84.110001,84.93,84.099998,84.879997,57.805286,165100
2006-06-22,84.699997,86.18,84.559998,85.889999,58.493134,365800
2006-06-23,85.699997,86.080002,85.010002,85.68,58.350128,214500
2006-06-26,86.099998,86.980003,85.43,86.980003,59.235439,223600
2006-06-27,86.849998,87.449997,86.199997,86.43,58.860855,191200
2006-06-28,86.949997,86.949997,86.199997,86.839996,59.140087,197100
2006-06-29,86.849998,88.489998,86.419998,88.489998,60.753525,245100
2006-06-30,88.599998,89.970001,88.0,88.68,60.883972,237200
2006-07-03,88.709999,89.489998,88.089996,89.019997,61.117382,82000
2006-07-05,88.599998,90.510002,88.199997,90.239998,61.954994,160900
2006-07-06,90.099998,91.099998,89.739998,90.650002,62.236481,113600
2006-07-07,90.449997,91.739998,90.010002,90.309998,62.003044,90700
2006-07-10,90.550003,91.519997,90.519997,91.449997,62.785725,104000
2006-07-11,91.199997,92.400002,90.290001,92.379997,63.424221,141300
2006-07-12,92.379997,92.470001,91.650002,92.0,63.163345,150600
2006-07-13,91.5,92.040001,90.25,91.0,62.476807,222400
2006-07-14,91.0,91.150002,89.489998,90.510002,62.140369,259600
2006-07-17,90.260002,90.849998,89.32,89.650002,61.549938,121300
2006-07-18,89.800003,91.5,89.720001,91.489998,62.81319,157400
2006-07-19,91.699997,94.150002,91.650002,93.989998,64.529602,185000
2006-07-20,94.199997,94.400002,93.550003,93.599998,64.261841,224400
2006-07-21,93.300003,93.400002,91.110001,91.120003,62.559166,176800
2006-07-24,91.800003,92.43,91.410004,92.0,63.163345,289100
2006-07-25,91.849998,93.43,91.639999,93.099998,63.918556,144000
2006-07-26,93.099998,94.220001,91.889999,93.5,64.193199,251600
2006-07-27,94.400002,94.650002,93.540001,93.639999,64.289291,128500
2006-07-28,94.0,95.120003,93.879997,95.099998,65.291679,131500
2006-07-31,94.5,95.029999,93.68,94.419998,64.824829,119000
2006-08-01,93.949997,94.629997,92.900002,94.150002,64.63945,105800
2006-08-02,94.050003,94.370003,93.599998,93.959999,64.509003,115800
2006-08-03,93.300003,95.220001,93.300003,94.779999,65.071938,95300
2006-08-04,95.400002,96.639999,95.400002,96.0,65.909599,158900
2006-08-07,95.75,95.769997,94.629997,95.18,65.346588,103900
2006-08-08,95.0,95.0,93.68,93.959999,64.509003,188900
2006-08-09,94.25,94.25,92.889999,93.25,64.02153,189700
2006-08-10,93.0,94.599998,92.029999,94.139999,64.632576,81900
2006-08-11,94.0,94.0,93.150002,93.620003,64.275574,145400
2006-08-14,93.550003,94.980003,93.550003,93.949997,64.502129,136100
2006-08-15,94.599998,95.830002,94.489998,95.68,65.68988,200100
2006-08-16,95.93,96.0,93.970001,94.239998,64.701256,197400
2006-08-17,93.699997,94.650002,93.220001,94.099998,64.60511,115600
2006-08-18,94.510002,95.300003,94.230003,95.300003,65.428986,112300
2006-08-21,95.050003,96.099998,94.730003,95.900002,65.840904,73400
2006-08-22,95.5,97.199997,95.5,97.099998,66.66478,103200
2006-08-23,96.5,97.099998,95.470001,95.949997,65.875229,131500
2006-08-24,96.099998,96.300003,95.910004,96.300003,66.115524,105300
2006-08-25,96.300003,96.400002,95.849998,96.269997,66.09494,74400
2006-08-28,96.400002,97.0,96.150002,96.889999,66.520584,133300
2006-08-29,97.0,97.0,96.0,96.800003,66.458817,117000
2006-08-30,97.0,98.580002,96.75,98.5,67.625946,79600
2006-08-31,98.75,99.150002,98.019997,98.019997,67.296417,396200
2006-09-01,98.099998,98.870003,96.790001,96.870003,66.506874,141900
2006-09-05,96.620003,98.330002,96.550003,98.199997,67.419991,92600
2006-09-06,97.949997,98.199997,97.220001,97.220001,66.747185,112800
2006-09-07,97.0,97.339996,96.339996,96.949997,66.561783,114900
2006-09-08,97.099998,97.300003,96.199997,96.93,66.548073,91000
2006-09-11,96.75,97.099998,95.949997,96.849998,66.493164,100500
2006-09-12,96.849998,97.830002,96.190002,97.830002,67.165947,206900
2006-09-13,98.0,99.209999,97.5,98.940002,67.928078,80700
2006-09-14,98.599998,98.800003,98.129997,98.5,67.625946,82000
2006-09-15,99.220001,99.349998,98.709999,99.220001,68.120293,229300
2006-09-18,99.0,99.099998,97.709999,97.900002,67.214043,91100
2006-09-19,98.059998,98.68,97.349998,98.330002,67.509254,154500
2006-09-20,98.599998,99.0,97.900002,98.25,67.454315,76000
2006-09-21,98.25,98.639999,96.599998,97.139999,66.69223,127500
2006-09-22,97.059998,97.25,96.5,97.25,66.767776,155300
2006-09-25,97.230003,97.610001,96.32,96.989998,66.589279,143200
2006-09-26,94.290001,95.089996,94.110001,94.550003,64.914055,545600
2006-09-27,94.57,95.019997,94.360001,95.019997,65.236763,345700
2006-09-28,94.550003,94.550003,93.870003,94.239998,65.195244,191000
2006-09-29,94.040001,94.389999,93.739998,93.800003,64.890831,149000
