Date,Open,High,Low,Close,Adj Close,Volume
2009-08-06,16.5,16.91,15.56,16.18,14.402187,24197800
2009-08-07,16.15,16.76,16.030001,16.43,14.624723,2454300
2009-08-10,16.629999,16.629999,15.61,15.97,14.215264,2421000
2009-08-11,15.98,16.0,15.5,15.67,13.948226,2305400
2009-08-12,16.15,16.200001,15.66,16.0,14.241969,1451300
2009-08-13,16.0,16.719999,16.0,16.549999,14.731532,1150600
2009-08-14,16.5,17.0,16.25,16.6,14.776045,637800
2009-08-17,16.27,16.370001,16.200001,16.219999,14.437795,254400
2009-08-18,16.48,17.200001,16.35,17.07,15.1944,1446700
2009-08-19,16.84,17.940001,16.799999,17.889999,15.9243,2070800
2009-08-20,17.950001,17.950001,17.290001,17.76,15.808582,1882100
2009-08-21,17.790001,17.969999,17.58,17.82,15.861991,863600
2009-08-24,17.52,17.85,17.299999,17.5,15.577154,1021600
2009-08-25,17.65,17.9,17.549999,17.85,15.888696,530800
2009-08-26,17.690001,17.85,17.15,17.85,15.888696,708600
2009-08-27,17.85,18.209999,17.549999,18.16,16.164631,1161100
2009-08-28,18.1,19.0,18.0,18.469999,16.440569,1295000
2009-08-31,18.35,18.4,17.809999,18.200001,16.200239,1004800
2009-09-01,18.25,18.440001,16.940001,17.85,15.888696,1383500
2009-09-02,17.76,18.25,17.48,17.68,15.737376,1293400
2009-09-03,17.969999,17.969999,17.0,17.450001,15.532647,3657700
2009-09-04,17.75,18.0,17.49,17.76,15.808582,1158600
2009-09-08,17.76,17.93,17.450001,17.700001,15.755177,574900
2009-09-09,17.85,17.85,17.219999,17.26,15.363523,551200
2009-09-10,17.01,17.459999,16.950001,17.049999,15.176593,415200
2009-09-11,17.0,17.33,16.540001,16.879999,15.025277,620300
2009-09-14,16.639999,16.9,16.309999,16.65,14.820545,1614500
2009-09-15,17.25,17.35,16.629999,17.18,15.292315,1986900
2009-09-16,17.4,17.75,17.110001,17.58,15.648363,2021100
2009-09-17,17.66,17.9,16.530001,16.639999,14.811649,1446400
2009-09-18,16.57,17.02,16.18,16.200001,14.419991,899900
2009-09-21,16.280001,16.629999,15.87,16.610001,14.784944,553000
2009-09-22,16.959999,17.370001,16.82,17.25,15.354626,1114100
2009-09-23,17.620001,17.790001,17.299999,17.4,15.488139,530300
2009-09-24,17.33,17.85,16.75,17.49,15.568253,778800
2009-09-25,17.48,17.48,17.1,17.129999,15.24781,468500
2009-09-28,17.32,17.85,17.030001,17.65,15.710669,233600
2009-09-29,17.549999,17.84,16.950001,17.030001,15.158799,356700
2009-09-30,17.0,17.33,16.959999,17.07,15.1944,512600
2009-10-01,17.0,17.09,16.209999,16.309999,14.517907,660500
2009-10-02,16.200001,16.360001,15.9,16.09,14.322078,629600
2009-10-05,16.1,16.530001,16.0,16.49,14.678129,188900
2009-10-06,16.74,17.200001,16.440001,16.469999,14.660324,469400
2009-10-07,16.57,16.610001,15.92,16.129999,14.357683,291700
2009-10-08,16.110001,16.18,15.94,16.01,14.250869,557300
2009-10-09,15.98,16.450001,15.94,16.25,14.464497,870500
2009-10-12,16.219999,16.450001,16.040001,16.34,14.544609,1288800
2009-10-13,16.190001,16.67,16.15,16.530001,14.713737,557300
2009-10-14,16.84,17.0,16.540001,16.860001,15.007477,695500
2009-10-15,17.4,17.950001,17.1,17.16,15.274509,2092000
2009-10-16,17.23,17.23,16.209999,16.43,14.624723,1263800
2009-10-19,16.459999,16.639999,16.059999,16.24,14.455597,2142900
2009-10-20,16.34,16.73,16.27,16.530001,14.713737,489000
2009-10-21,16.370001,16.91,16.110001,16.49,14.678129,233800
2009-10-22,16.33,16.33,15.61,16.280001,14.491204,983400
2009-10-23,16.129999,16.41,15.92,16.049999,14.286474,1134100
2009-10-26,15.91,16.120001,15.81,15.84,14.099548,162400
2009-10-27,15.95,15.99,15.26,15.45,13.752401,328800
2009-10-28,15.5,15.5,14.89,14.93,13.28954,622000
2009-10-29,14.95,15.2,14.72,15.04,13.38745,1183300
2009-10-30,15.1,15.19,14.87,15.0,13.351844,278100
2009-11-02,15.1,15.1,14.72,14.87,13.23613,276600
2009-11-03,14.68,14.82,14.44,14.49,12.897882,363700
2009-11-04,14.6,15.25,14.33,14.78,13.156018,805300
2009-11-05,15.02,15.74,14.85,15.32,13.636683,274100
2009-11-06,15.32,15.69,14.87,15.29,13.609981,257500
2009-11-09,15.26,15.74,15.09,15.66,13.939327,252900
2009-11-10,15.69,15.69,15.18,15.45,13.752401,146800
2009-11-11,15.53,15.53,15.12,15.36,13.672289,153500
2009-11-12,15.4,15.95,15.4,15.6,13.885921,130000
2009-11-13,15.61,15.75,15.41,15.58,13.868116,62100
2009-11-16,15.63,16.209999,15.53,16.01,14.250869,155600
2009-11-17,15.83,16.190001,15.58,16.07,14.304276,98500
2009-11-18,16.15,16.15,15.81,16.030001,14.268673,115500
2009-11-19,15.84,15.89,15.25,15.57,13.859219,116600
2009-11-20,15.56,15.65,15.31,15.44,13.743499,423700
2009-11-23,15.54,15.61,15.15,15.19,13.520967,465300
2009-11-24,15.1,15.33,15.01,15.26,13.583279,522800
2009-11-25,15.38,15.98,15.36,15.5,13.796906,135300
2009-11-27,15.13,15.88,15.06,15.86,14.11735,61600
2009-11-30,15.87,15.99,15.25,15.86,14.11735,276500
2009-12-01,15.9,16.34,15.9,15.96,14.206363,417800
2009-12-02,16.030001,16.110001,15.38,15.61,13.894819,846500
2009-12-03,15.58,15.94,15.58,15.93,14.179658,507900
2009-12-04,16.4,16.709999,15.6,16.52,14.704832,946800
2009-12-07,16.5,16.93,16.5,16.870001,15.016376,308400
2009-12-08,16.610001,16.969999,16.549999,16.75,14.909565,249500
2009-12-09,16.610001,16.809999,16.34,16.809999,14.962968,96700
2009-12-10,16.799999,16.99,16.75,16.77,14.927363,255500
2009-12-11,16.690001,16.700001,16.459999,16.58,14.75824,77400
2009-12-14,16.74,16.9,16.690001,16.85,14.998572,224800
2009-12-15,16.85,16.9,16.709999,16.74,14.90066,140400
2009-12-16,16.879999,17.129999,16.74,17.0,15.132093,315700
2009-12-17,16.91,16.98,16.139999,16.309999,14.517907,149000
2009-12-18,16.299999,16.799999,16.23,16.389999,14.589116,417800
2009-12-21,16.790001,16.85,16.360001,16.49,14.678129,144300
2009-12-22,16.5,16.73,16.23,16.73,14.891756,312700
2009-12-23,16.75,16.84,16.65,16.780001,14.936266,223500
2009-12-24,16.719999,17.0,16.719999,16.780001,14.936266,30800
2009-12-28,16.75,17.799999,16.75,17.379999,15.470338,795400
2009-12-29,17.52,17.68,17.4,17.530001,15.603858,227600
2009-12-30,17.309999,17.780001,17.309999,17.690001,15.746275,302500
2009-12-31,17.610001,18.290001,17.610001,18.290001,16.280348,555800
2010-01-04,18.299999,18.9,18.01,18.860001,16.787724,538700
2010-01-05,18.950001,19.24,18.1,19.0,16.912331,301100
2010-01-06,18.950001,19.299999,18.59,19.15,17.045856,533100
2010-01-07,19.040001,19.17,18.65,19.030001,16.939037,271800
2010-01-08,18.9,19.299999,18.85,19.17,17.063658,289900
2010-01-11,19.200001,19.549999,19.030001,19.290001,17.170475,512700
2010-01-12,19.139999,19.139999,18.74,19.0,16.912331,916700
2010-01-13,18.959999,18.959999,18.25,18.42,16.396067,943900
2010-01-14,18.48,18.870001,18.15,18.43,16.404964,1065400
2010-01-15,18.559999,18.559999,18.15,18.24,16.235846,158700
2010-01-19,17.9,18.15,17.299999,17.809999,15.853093,381300
2010-01-20,17.709999,18.01,17.440001,17.959999,15.986607,193800
2010-01-21,17.870001,18.49,17.790001,17.99,16.013311,338600
2010-01-22,17.879999,18.059999,17.379999,17.559999,15.630561,923500
2010-01-25,17.67,17.799999,17.459999,17.65,15.710669,261400
2010-01-26,17.030001,18.0,16.84,17.76,15.808582,765400
2010-01-27,17.639999,17.950001,17.25,17.41,15.497042,696300
2010-01-28,17.549999,17.74,17.25,17.719999,15.772981,14457600
