Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,51.700001,52.580002,51.049999,52.580002,43.25161,7825700
2006-01-04,52.439999,52.57,51.810001,51.950001,42.831131,5729400
2006-01-05,51.900002,52.509998,51.900002,52.5,43.284576,3925800
2006-01-06,52.639999,52.869999,52.279999,52.68,43.432983,4137800
2006-01-09,52.82,53.990002,52.82,53.990002,44.513035,6093300
2006-01-10,53.580002,53.91,53.509998,53.830002,44.381123,4894100
2006-01-11,53.700001,53.82,53.419998,53.540001,44.14204,4610900
2006-01-12,53.580002,53.700001,53.25,53.549999,44.150269,2995000
2006-01-13,53.700001,53.919998,53.400002,53.439999,44.059586,7639300
2006-01-17,53.080002,53.25,52.830002,52.959999,43.663841,4914900
2006-01-18,52.650002,53.07,52.599998,52.77,43.507202,5602500
2006-01-19,53.060001,53.099998,52.48,52.59,43.35878,4638600
2006-01-20,52.59,52.59,51.279999,51.400002,42.37767,11871700
2006-01-23,51.5,52.349998,51.380001,51.439999,42.410645,10460600
2006-01-24,51.900002,52.970001,51.810001,52.82,43.548412,8565000
2006-01-25,52.5,53.25,52.5,52.900002,43.614365,7591000
2006-01-26,53.150002,53.48,52.950001,53.32,43.96064,5300900
2006-01-27,53.220001,53.490002,53.049999,53.299999,43.944153,6928900
2006-01-30,53.150002,53.220001,52.52,52.68,43.432983,6335800
2006-01-31,52.509998,52.91,52.25,52.450001,43.243366,5701300
2006-02-01,52.450001,52.82,52.32,52.619999,43.383511,3847400
2006-02-02,52.599998,52.860001,52.32,52.560001,43.334049,5521200
2006-02-03,52.57,52.880001,52.279999,52.330002,43.144424,4008900
2006-02-06,52.220001,52.400002,51.799999,52.220001,43.05373,2948400
2006-02-07,52.099998,52.450001,52.02,52.07,42.930061,3516800
2006-02-08,51.970001,52.860001,51.650002,52.73,43.474216,4784600
2006-02-09,52.950001,53.740002,52.77,53.040001,43.72979,4959000
2006-02-10,53.139999,53.439999,52.720001,53.0,43.696815,3741400
2006-02-13,53.0,53.490002,52.939999,53.02,43.713326,3812100
2006-02-14,53.299999,53.950001,53.150002,53.509998,44.117294,4900700
2006-02-15,53.68,54.240002,53.560001,54.189999,44.677929,4576100
2006-02-16,54.049999,54.48,53.82,54.48,44.91703,4240600
2006-02-17,54.48,54.490002,54.099998,54.450001,44.892292,4385800
2006-02-21,54.5,54.57,53.830002,53.860001,44.405865,3990900
2006-02-22,53.970001,54.950001,53.950001,54.84,45.213833,6256200
2006-02-23,54.279999,55.0,54.18,54.57,44.991234,4328300
2006-02-24,54.59,54.950001,54.509998,54.869999,45.238586,2887400
2006-02-27,54.869999,54.939999,54.599998,54.740002,45.131397,2582500
2006-02-28,54.299999,54.490002,53.880001,53.880001,44.422344,8026700
2006-03-01,53.950001,54.200001,53.77,54.119999,44.620228,2866500
2006-03-02,54.110001,54.290001,53.75,53.779999,44.339897,4595300
2006-03-03,53.599998,54.349998,53.549999,53.75,44.315166,3755200
2006-03-06,53.73,54.130001,53.639999,53.75,44.315166,3216400
2006-03-07,53.549999,54.0,53.43,53.59,44.183258,4394200
2006-03-08,53.59,54.049999,53.419998,53.84,44.389381,5726400
2006-03-09,53.810001,53.919998,53.09,53.200001,43.861713,5611500
2006-03-10,53.25,54.310001,53.099998,54.23,44.710918,4243400
2006-03-13,54.450001,54.490002,53.549999,53.84,44.389381,3693400
2006-03-14,53.77,54.060001,53.73,53.959999,44.4883,3675200
2006-03-15,53.959999,54.139999,53.799999,54.02,44.537785,2821700
2006-03-16,54.0,54.349998,53.950001,54.119999,44.620228,3365000
2006-03-17,54.41,54.66,54.279999,54.650002,45.05719,5720300
2006-03-20,55.0,55.0,54.080002,54.119999,44.620228,2893000
2006-03-21,53.959999,54.02,53.48,53.59,44.183258,5350200
2006-03-22,53.549999,53.700001,53.279999,53.549999,44.150269,3542700
2006-03-23,53.549999,53.549999,52.75,53.099998,43.779266,4385800
2006-03-24,53.099998,53.279999,52.689999,53.18,43.845207,2686400
2006-03-27,53.18,53.459999,52.93,53.360001,43.993626,3811900
2006-03-28,53.400002,53.470001,52.540001,52.57,43.3423,4857900
2006-03-29,52.849998,52.91,52.459999,52.5,43.284576,5282100
2006-03-30,52.400002,52.549999,51.959999,52.130001,42.979534,6196800
2006-03-31,51.759998,52.779999,51.759998,52.549999,43.325821,5182300
2006-04-03,52.810001,53.099998,52.349998,52.43,43.226875,4105800
2006-04-04,52.419998,53.23,52.189999,53.23,43.886436,2893100
2006-04-05,53.450001,53.450001,52.860001,52.900002,43.71291,4179200
2006-04-06,52.799999,52.84,52.029999,52.27,43.192329,4898900
2006-04-07,52.439999,52.580002,51.650002,51.700001,42.721321,4555000
2006-04-10,51.68,52.139999,51.529999,51.849998,42.845261,2273600
2006-04-11,51.77,51.93,51.110001,51.25,42.349461,3458200
2006-04-12,51.25,51.490002,51.099998,51.189999,42.299896,2331000
2006-04-13,51.200001,51.279999,51.0,51.209999,42.316418,2534700
2006-04-17,51.09,51.41,50.919998,51.0,42.142879,4037300
2006-04-18,51.099998,52.34,50.919998,52.299999,43.21711,5451200
2006-04-19,52.299999,52.330002,51.759998,51.869999,42.861786,3198000
2006-04-20,51.880001,52.630001,51.860001,52.439999,43.332806,3651300
2006-04-21,52.73,52.98,52.169998,52.25,43.175804,7002500
2006-04-24,52.200001,52.630001,51.5,51.779999,42.787426,6387600
2006-04-25,51.77,51.849998,51.18,51.310001,42.399044,4538500
2006-04-26,51.5,51.950001,51.48,51.900002,42.886585,5061100
2006-04-27,52.0,53.700001,51.93,53.700001,44.373997,9230100
2006-04-28,53.630001,54.139999,53.610001,53.810001,44.464882,6648500
2006-05-01,53.880001,53.959999,52.68,52.810001,43.638561,6330100
2006-05-02,52.900002,53.130001,52.459999,52.529999,43.407177,4540500
2006-05-03,52.450001,52.580002,52.240002,52.380001,43.283234,4844900
2006-05-04,52.25,52.919998,52.18,52.75,43.588959,4708000
2006-05-05,53.0,53.919998,52.959999,53.75,44.415306,5817900
2006-05-08,53.650002,54.02,53.560001,53.599998,44.291359,3875500
2006-05-09,53.599998,53.759998,53.43,53.57,44.266556,3794700
