Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,91.849998,92.940002,89.989998,92.760002,92.760002,1056900
2006-01-04,92.760002,93.419998,91.519997,91.900002,91.900002,664500
2006-01-05,91.760002,92.529999,91.510002,91.980003,91.980003,714800
2006-01-06,92.230003,92.699997,90.82,91.010002,91.010002,436300
2006-01-09,90.889999,92.599998,90.669998,92.459999,92.459999,673700
2006-01-10,92.220001,92.769997,91.75,92.459999,92.459999,479300
2006-01-11,92.559998,93.379997,92.470001,93.330002,93.330002,687600
2006-01-12,95.5,98.0,95.379997,95.93,95.93,2268300
2006-01-13,95.739998,96.660004,95.410004,95.779999,95.779999,645300
2006-01-17,95.610001,95.769997,94.730003,94.93,94.93,470400
2006-01-18,94.830002,96.080002,94.349998,94.949997,94.949997,447300
2006-01-19,95.199997,95.370003,94.5,95.370003,95.370003,402100
2006-01-20,95.629997,95.629997,94.160004,94.779999,94.779999,822200
2006-01-23,94.900002,95.379997,94.279999,94.480003,94.480003,315500
2006-01-24,94.699997,95.809998,94.589996,95.519997,95.519997,490700
2006-01-25,95.720001,95.730003,94.440002,95.029999,95.029999,392900
2006-01-26,95.449997,96.669998,94.790001,94.949997,94.949997,444900
2006-01-27,94.860001,96.440002,94.800003,95.82,95.82,803200
2006-01-30,96.129997,96.889999,96.0,96.519997,96.519997,811700
2006-01-31,96.669998,97.980003,96.629997,97.75,97.75,977900
2006-02-01,98.199997,98.5,97.050003,97.610001,97.610001,526600
2006-02-02,97.610001,97.949997,96.309998,97.040001,97.040001,445800
2006-02-03,96.940002,97.68,96.459999,97.199997,97.199997,361700
2006-02-06,97.190002,97.190002,95.389999,96.400002,96.400002,944100
2006-02-07,96.400002,97.589996,96.389999,97.120003,97.120003,633400
2006-02-08,97.099998,97.75,96.510002,97.279999,97.279999,461500
2006-02-09,97.330002,98.690002,97.050003,98.230003,98.230003,571800
2006-02-10,99.050003,99.32,96.610001,98.050003,98.050003,896800
2006-02-13,98.0,98.809998,97.440002,98.419998,98.419998,327700
2006-02-14,98.589996,100.449997,98.449997,100.230003,100.230003,856900
2006-02-15,99.839996,100.260002,98.900002,99.75,99.75,684200
2006-02-16,99.720001,99.800003,98.480003,99.370003,99.370003,435200
2006-02-17,99.449997,99.739998,98.730003,99.300003,99.300003,458300
2006-02-21,99.169998,99.75,97.690002,98.18,98.18,367500
2006-02-22,98.379997,99.699997,98.209999,99.010002,99.010002,297000
2006-02-23,98.800003,99.699997,98.440002,98.940002,98.940002,304500
2006-02-24,99.029999,99.489998,98.449997,99.419998,99.419998,398800
2006-02-27,99.660004,100.150002,98.860001,98.910004,98.910004,461000
2006-02-28,98.75,98.75,96.669998,96.68,96.68,736100
2006-03-01,94.260002,100.75,94.019997,100.290001,100.290001,2526900
2006-03-02,100.400002,100.550003,97.25,97.68,97.68,1554600
2006-03-03,97.43,97.709999,95.790001,95.809998,95.809998,633000
2006-03-06,95.82,96.120003,95.019997,95.400002,95.400002,521000
2006-03-07,95.339996,96.300003,95.029999,95.93,95.93,503300
2006-03-08,95.900002,96.209999,95.199997,95.870003,95.870003,362600
2006-03-09,95.860001,95.860001,94.769997,95.199997,95.199997,498100
2006-03-10,95.099998,97.080002,94.620003,96.830002,96.830002,469800
2006-03-13,97.029999,97.610001,96.68,97.239998,97.239998,437600
2006-03-14,96.639999,97.800003,96.309998,97.519997,97.519997,373200
2006-03-15,97.900002,98.400002,96.940002,97.589996,97.589996,449300
2006-03-16,98.400002,99.120003,97.540001,97.779999,97.779999,399500
2006-03-17,98.0,98.0,96.769997,97.220001,97.220001,659400
2006-03-20,98.099998,98.339996,96.730003,97.32,97.32,321000
2006-03-21,97.239998,97.900002,96.470001,96.809998,96.809998,453100
2006-03-22,96.559998,97.629997,96.519997,97.25,97.25,713100
2006-03-23,97.800003,98.650002,97.75,98.220001,98.220001,1028300
2006-03-24,97.970001,98.440002,97.220001,98.260002,98.260002,409900
2006-03-27,98.010002,98.980003,97.849998,98.849998,98.849998,494500
2006-03-28,98.75,99.610001,98.150002,98.769997,98.769997,488700
2006-03-29,98.849998,99.379997,98.25,98.919998,98.919998,608700
2006-03-30,98.93,99.889999,98.82,99.480003,99.480003,625600
2006-03-31,99.620003,100.360001,99.620003,99.690002,99.690002,749800
2006-04-03,99.739998,99.849998,98.75,99.559998,99.559998,513600
2006-04-04,99.5,100.669998,99.459999,99.879997,99.879997,713300
2006-04-05,99.879997,101.209999,99.879997,101.059998,101.059998,518700
2006-04-06,100.809998,101.220001,99.650002,100.860001,100.860001,705300
2006-04-07,100.949997,102.0,99.209999,99.5,99.5,531300
2006-04-10,99.050003,99.599998,98.610001,99.029999,99.029999,383700
2006-04-11,98.25,98.260002,95.300003,96.18,96.18,1450500
2006-04-12,96.150002,96.650002,95.660004,96.099998,96.099998,483800
2006-04-13,96.0,96.400002,95.25,95.830002,95.830002,329600
2006-04-17,95.800003,96.400002,95.260002,95.779999,95.779999,280600
2006-04-18,95.860001,97.269997,95.379997,96.629997,96.629997,489100
2006-04-19,96.25,96.669998,95.5,96.169998,96.169998,471500
2006-04-20,96.050003,96.349998,95.269997,96.239998,96.239998,425900
2006-04-21,96.900002,96.910004,94.300003,95.190002,95.190002,556800
2006-04-24,95.300003,95.300003,93.650002,94.260002,94.260002,448900
