Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,46.919998,47.18,46.150002,47.080002,37.00008,16296700
2006-01-04,47.0,47.240002,46.450001,46.580002,36.607124,17757900
2006-01-05,46.580002,46.830002,46.32,46.639999,36.654278,14970700
2006-01-06,46.799999,46.91,46.349998,46.57,36.599277,12599800
2006-01-09,46.720001,46.970001,46.360001,46.599998,36.622845,15619400
2006-01-10,46.400002,46.509998,45.880001,46.209999,36.316334,15634600
2006-01-11,46.060001,46.25,45.75,46.099998,36.229881,14742100
2006-01-12,46.220001,46.23,45.709999,45.799999,35.994129,10546600
2006-01-13,45.830002,46.0,45.68,45.799999,35.994129,10791000
2006-01-17,45.400002,45.580002,45.0,45.310001,35.609043,14605900
2006-01-18,45.32,45.650002,44.919998,45.259998,35.569744,10867000
2006-01-19,45.880001,45.880001,44.849998,45.139999,35.475433,14584000
2006-01-20,45.0,45.150002,44.169998,44.189999,34.728821,24950800
2006-01-23,43.5,44.389999,43.490002,43.959999,34.548069,23459500
2006-01-24,44.080002,44.68,44.040001,44.240002,34.768139,13500300
2006-01-25,44.150002,44.650002,44.150002,44.630001,35.074627,15132000
2006-01-26,45.0,45.16,44.669998,44.900002,35.286831,18449100
2006-01-27,44.900002,45.110001,44.610001,44.799999,35.208221,12250800
2006-01-30,44.75,45.349998,44.25,44.48,34.956734,14812100
2006-01-31,44.650002,44.73,44.119999,44.23,34.760269,19151000
2006-02-01,44.099998,44.240002,43.860001,43.950001,34.540218,15854700
2006-02-02,43.950001,43.970001,43.369999,43.439999,34.139408,14745100
2006-02-03,43.299999,43.549999,42.919998,43.09,33.864353,17097000
2006-02-06,43.400002,43.650002,43.240002,43.369999,34.084393,12554600
2006-02-07,43.599998,43.869999,43.459999,43.490002,34.178703,13914200
2006-02-08,43.549999,43.720001,43.34,43.669998,34.320168,11101600
2006-02-09,43.75,44.049999,43.700001,43.830002,34.4459,13766200
2006-02-10,43.77,44.02,43.41,43.919998,34.516636,9038900
2006-02-13,43.700001,43.959999,43.299999,43.700001,34.343739,8329500
2006-02-14,43.919998,44.490002,43.73,44.16,34.705257,17049200
2006-02-15,44.07,44.599998,43.93,44.360001,34.862431,12818500
2006-02-16,44.389999,44.73,44.279999,44.689999,35.121777,11773700
2006-02-17,44.779999,45.32,44.52,44.66,35.098194,11938900
2006-02-21,44.709999,44.830002,44.509998,44.549999,35.011757,10380500
2006-02-22,44.450001,45.169998,44.419998,45.080002,35.428272,14729600
2006-02-23,45.189999,45.700001,45.0,45.369999,35.656197,17345700
2006-02-24,44.939999,45.889999,44.939999,45.720001,35.931248,13832400
2006-02-27,45.84,46.0,45.700001,45.98,36.13559,18460200
2006-02-28,45.77,46.049999,45.75,45.849998,36.033424,20699000
2006-03-01,45.349998,45.669998,45.310001,45.599998,36.232063,15576200
2006-03-02,45.25,45.360001,44.900002,45.150002,35.874504,14367400
2006-03-03,45.080002,45.490002,44.98,45.189999,35.906292,12399500
2006-03-06,45.099998,45.299999,44.91,45.209999,35.92218,11318400
2006-03-07,45.09,45.689999,45.049999,45.619999,36.247959,12823300
2006-03-08,45.419998,45.889999,45.419998,45.709999,36.319458,14201200
2006-03-09,45.700001,45.810001,45.490002,45.549999,36.192329,11922800
2006-03-10,45.5,46.0,45.450001,45.950001,36.510159,12535400
2006-03-13,45.959999,46.200001,45.790001,45.939999,36.502209,10090800
2006-03-14,46.0,46.400002,45.939999,46.259998,36.756489,14364000
2006-03-15,46.049999,46.529999,45.869999,46.400002,36.867722,11344600
2006-03-16,46.48,46.900002,46.48,46.759998,37.153755,13005400
2006-03-17,46.970001,46.98,46.639999,46.900002,37.264992,18970500
2006-03-20,46.709999,47.0,46.560001,46.900002,37.264992,11243700
2006-03-21,46.75,46.98,46.52,46.57,37.002789,11774400
2006-03-22,46.400002,47.139999,46.400002,46.990002,37.336514,11157200
2006-03-23,46.869999,46.98,46.610001,46.700001,37.106079,10793900
2006-03-24,46.779999,47.0,46.66,46.900002,37.264992,10495000
2006-03-27,46.790001,46.93,46.669998,46.82,37.201435,10450300
2006-03-28,46.619999,47.009998,45.950001,46.060001,36.597572,16077800
2006-03-29,46.169998,46.299999,45.720001,45.970001,36.526043,11836200
2006-03-30,45.799999,46.09,45.48,45.610001,36.239998,12825100
2006-03-31,45.73,45.919998,45.450001,45.540001,36.184383,10968800
2006-04-03,45.849998,46.220001,45.66,45.68,36.295628,11832600
2006-04-04,45.77,46.400002,45.700001,46.290001,36.780315,8823300
2006-04-05,46.209999,46.57,46.209999,46.549999,36.986897,10249600
2006-04-06,46.330002,46.529999,46.049999,46.200001,36.708805,7795500
2006-04-07,46.41,46.470001,45.66,45.740002,36.343304,9406600
2006-04-10,45.900002,46.080002,45.639999,45.68,36.295628,9100000
2006-04-11,45.75,46.0,45.450001,45.560001,36.200272,8570000
2006-04-12,45.619999,45.919998,45.57,45.720001,36.327404,7157300
2006-04-13,45.73,45.93,45.599998,45.73,36.335365,7642200
2006-04-17,45.950001,45.950001,45.259998,45.48,36.136707,10618900
2006-04-18,45.450001,46.299999,45.369999,45.959999,36.518097,16356400
2006-04-19,45.869999,46.240002,45.790001,46.049999,36.589615,10493000
2006-04-20,46.599998,46.849998,46.110001,46.279999,36.772358,17056200
2006-04-21,46.349998,46.950001,46.349998,46.869999,37.241161,16502600
2006-04-24,46.849998,47.139999,46.709999,47.07,37.400063,12568100
