Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,59.990002,60.610001,59.349998,60.450001,48.751575,1397100
2006-01-04,60.450001,61.57,60.439999,61.349998,49.477409,1233100
2006-01-05,61.349998,61.619999,60.759998,60.919998,49.130623,711300
2006-01-06,61.0,62.130001,61.0,62.049999,50.04195,713000
2006-01-09,62.0,62.23,61.91,62.200001,50.162922,492400
2006-01-10,61.799999,62.380001,61.799999,62.299999,50.243565,732500
2006-01-11,62.299999,62.349998,60.959999,61.110001,49.283852,1086100
2006-01-12,60.900002,61.029999,60.400002,60.900002,49.114494,813800
2006-01-13,61.099998,61.450001,61.049999,61.43,49.541931,542400
2006-01-17,61.18,61.259998,60.700001,60.84,49.066109,773800
2006-01-18,60.599998,60.990002,60.369999,60.82,49.049988,969600
2006-01-19,60.810001,60.82,60.099998,60.5,48.791889,1052700
2006-01-20,60.23,60.299999,58.700001,58.970001,47.557972,1364200
2006-01-23,59.18,59.400002,58.900002,59.209999,47.751541,975400
2006-01-24,59.009998,59.52,58.880001,59.459999,47.953171,1192100
2006-01-25,59.459999,59.459999,58.689999,59.110001,47.670891,1097400
2006-01-26,62.5,64.5,62.5,64.410004,51.945221,2879400
2006-01-27,63.150002,64.699997,61.869999,64.199997,51.775864,2002500
2006-01-30,64.0,64.599998,63.75,63.84,51.485535,1101000
2006-01-31,63.700001,64.800003,63.689999,64.800003,52.259777,1786300
2006-02-01,64.139999,64.57,63.73,63.849998,51.493603,1065500
2006-02-02,63.43,63.939999,63.099998,63.639999,51.324245,978800
2006-02-03,63.599998,63.880001,63.080002,63.27,51.025845,693600
2006-02-06,62.869999,63.18,62.349998,63.07,50.86454,1019100
2006-02-07,63.060001,63.490002,62.950001,63.490002,51.203262,787700
2006-02-08,63.490002,63.66,62.970001,63.52,51.227474,643500
2006-02-09,63.48,64.260002,63.25,63.93,51.558113,780400
2006-02-10,63.849998,64.459999,63.830002,64.330002,51.880718,669800
2006-02-13,64.099998,64.519997,63.900002,64.400002,51.937164,533200
2006-02-14,64.449997,65.540001,64.400002,65.239998,52.614609,917200
2006-02-15,65.150002,65.489998,64.900002,65.290001,52.654926,773100
2006-02-16,65.040001,65.660004,64.800003,65.519997,52.840416,619700
2006-02-17,65.419998,65.489998,65.099998,65.360001,52.71138,562500
2006-02-21,65.550003,65.550003,64.099998,64.440002,51.969429,924300
2006-02-22,64.800003,65.769997,64.800003,65.760002,53.033974,1026000
2006-02-23,65.309998,65.599998,65.050003,65.459999,52.792038,647100
2006-02-24,65.459999,65.769997,65.25,65.449997,52.783955,692000
2006-02-27,65.470001,65.699997,65.32,65.449997,52.783955,898300
2006-02-28,64.760002,65.0,63.849998,63.849998,51.493603,1094800
2006-03-01,63.650002,65.459999,63.650002,65.309998,52.671074,983900
2006-03-02,64.800003,65.190002,64.379997,64.989998,52.412979,913000
2006-03-03,64.980003,65.059998,64.389999,64.43,51.961369,581200
2006-03-06,64.529999,64.599998,63.18,63.459999,51.17907,698800
2006-03-07,63.459999,63.59,62.380001,62.689999,50.55809,1356900
2006-03-08,62.5,63.0,62.150002,62.799999,50.821102,951100
2006-03-09,62.790001,63.419998,62.389999,62.860001,50.869656,833100
2006-03-10,62.389999,63.27,62.110001,62.880001,50.885838,998200
2006-03-13,62.849998,63.740002,62.790001,63.599998,51.468483,749100
2006-03-14,63.560001,64.269997,63.389999,64.230003,51.978333,792500
2006-03-15,64.0,64.239998,63.700001,64.010002,51.800293,612000
2006-03-16,64.260002,64.43,63.799999,64.07,51.848854,629500
2006-03-17,64.07,64.07,63.610001,64.0,51.792191,969700
2006-03-20,63.630001,64.239998,63.380001,64.099998,51.873135,733200
2006-03-21,64.099998,64.5,63.049999,63.349998,51.266182,768600
2006-03-22,63.349998,64.599998,63.009998,64.599998,52.277756,774100
2006-03-23,64.699997,64.699997,63.099998,63.5,51.387573,603600
2006-03-24,63.450001,63.639999,62.759998,63.130001,51.088139,484000
2006-03-27,63.299999,63.299999,62.709999,62.939999,50.934383,738900
2006-03-28,62.939999,63.75,62.939999,63.560001,51.436142,869300
2006-03-29,63.810001,63.91,63.18,63.189999,51.136703,668400
2006-03-30,62.939999,63.150002,61.639999,61.860001,50.060394,1103400
2006-03-31,61.5,61.98,61.18,61.580002,49.833813,1179600
2006-04-03,61.48,62.48,61.16,62.07,50.23035,1220400
2006-04-04,62.299999,63.169998,61.889999,62.66,50.70779,1387800
2006-04-05,62.66,63.549999,62.560001,63.380001,51.29047,1160300
2006-04-06,63.299999,63.299999,62.580002,63.119999,51.080051,889400
2006-04-07,63.259998,63.939999,63.259998,63.560001,51.436142,1093500
2006-04-10,63.400002,63.41,62.880001,62.959999,50.950569,979100
2006-04-11,62.98,63.0,62.349998,62.810001,50.829189,1132400
2006-04-12,63.0,63.549999,62.700001,62.849998,50.861561,848200
2006-04-13,62.860001,62.990002,62.349998,62.490002,50.570225,573400
2006-04-17,62.619999,62.98,62.0,62.16,50.303181,530800
2006-04-18,62.5,63.619999,62.450001,63.299999,51.225716,1041300
2006-04-19,63.099998,64.300003,63.099998,64.190002,51.945953,1249300
2006-04-20,64.300003,64.949997,64.25,64.459999,52.164467,637100
2006-04-21,64.949997,64.989998,64.510002,64.779999,52.423424,830400
2006-04-24,64.650002,65.559998,64.589996,65.279999,52.828026,1251800
2006-04-25,65.489998,65.489998,63.470001,63.790001,51.62225,1108800
2006-04-26,64.25,64.25,61.889999,61.950001,50.133232,2036400
2006-04-27,61.950001,63.040001,61.599998,62.57,50.634972,1206400
2006-04-28,62.5,63.049999,62.369999,63.040001,51.01532,966200
2006-05-01,62.27,62.810001,61.900002,62.119999,50.270802,1322000
2006-05-02,62.259998,62.27,61.740002,62.0,50.173706,897400
2006-05-03,61.790001,62.119999,61.57,62.040001,50.206066,815600
2006-05-04,62.0,62.360001,61.450001,62.23,50.359818,803000
2006-05-05,62.400002,62.75,61.57,62.630001,50.683525,760000
2006-05-08,62.450001,63.16,62.16,63.029999,51.007229,621500
2006-05-09,62.709999,62.849998,61.75,61.919998,50.108959,1040400
2006-05-10,61.919998,62.029999,61.240002,61.310001,49.615307,1162700
2006-05-11,61.049999,61.459999,60.790001,61.150002,49.485825,752000
2006-05-12,61.099998,61.82,60.66,61.41,49.696243,1012500
2006-05-15,61.450001,62.169998,61.450001,62.150002,50.295078,711600
2006-05-16,62.150002,62.16,61.369999,61.369999,49.663872,589600
2006-05-17,60.939999,61.450001,60.599998,60.73,49.145943,848700
2006-05-18,60.299999,60.509998,59.32,60.200001,48.717033,1351400
2006-05-19,60.25,60.349998,59.16,60.09,48.628021,1229000
2006-05-22,60.02,60.98,59.900002,60.369999,48.85461,854800
2006-05-23,60.5,60.5,59.91,59.970001,48.530922,800300
2006-05-24,60.139999,60.279999,59.130001,59.849998,48.433792,870100
2006-05-25,60.150002,60.82,59.639999,60.709999,49.129761,646400
2006-05-26,60.98,61.209999,60.560001,61.200001,49.526291,557600
2006-05-30,60.950001,61.080002,59.860001,59.860001,48.441902,714700
2006-05-31,59.869999,60.639999,59.68,60.43,48.903164,796400
2006-06-01,60.470001,61.330002,60.220001,61.299999,49.607224,550000
2006-06-02,61.189999,61.279999,60.599998,60.869999,49.259243,599600
2006-06-05,60.720001,61.07,60.119999,60.200001,48.717033,858500
2006-06-06,60.459999,60.639999,60.0,60.639999,49.073116,756800
2006-06-07,60.32,61.099998,60.110001,60.16,48.857891,706700
2006-06-08,60.630001,60.630001,59.5,59.77,48.541157,951200
2006-06-09,59.669998,60.110001,59.400002,59.52,48.33812,461300
