Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,17.973333,19.037333,17.973333,19.013334,14.741179,1540800
2006-01-04,19.16,19.178667,18.903999,19.005333,14.73498,642600
2006-01-05,19.040001,19.053333,18.450666,18.466667,14.317345,1495800
2006-01-06,18.533333,18.650667,18.354666,18.557333,14.387641,1349400
2006-01-09,18.557333,18.799999,18.517334,18.698668,14.497221,736400
2006-01-10,18.672001,18.725334,18.453333,18.648001,14.457935,1244000
2006-01-11,18.714666,18.994667,18.658667,18.994667,14.726708,852200
2006-01-12,18.959999,18.973333,18.799999,18.893333,14.648146,543600
2006-01-13,18.959999,19.050667,18.845333,18.927999,14.675023,589800
2006-01-17,18.666666,18.837334,18.538666,18.832001,14.60059,807000
2006-01-18,18.898666,18.901333,18.624001,18.645334,14.455868,703400
2006-01-19,18.648001,18.738667,18.610666,18.653334,14.462073,568400
2006-01-20,18.613333,18.805334,18.6,18.685333,14.486877,1218000
2006-01-23,18.752001,18.861334,18.648001,18.853333,14.617135,689400
2006-01-24,18.92,19.08,18.879999,18.949333,14.691564,727800
2006-01-25,18.968,19.117332,18.888,19.024,14.749444,723000
2006-01-26,19.090666,19.261333,18.754667,18.837334,14.604727,772400
2006-01-27,18.813334,19.032,18.752001,19.005333,14.73498,387000
2006-01-30,19.016001,19.032,18.925333,18.959999,14.699827,319400
2006-01-31,19.026667,19.056,18.84,18.912001,14.662616,697800
2006-02-01,18.896,19.045334,18.496,18.597334,14.418654,978600
2006-02-02,18.573334,18.818666,18.48,18.76,14.544766,1021800
2006-02-03,18.693333,18.858667,18.645334,18.677334,14.48068,590400
2006-02-06,18.656,18.656,18.384001,18.394667,14.261521,844400
2006-02-07,18.4,18.405333,18.042667,18.138666,14.063046,1504400
2006-02-08,18.104,18.24,18.053333,18.176001,14.09199,711600
2006-02-09,18.16,18.351999,18.122667,18.213333,14.120935,562400
2006-02-10,18.186666,18.381332,18.128,18.186666,14.100261,652800
2006-02-13,18.120001,18.264,18.098667,18.224001,14.129205,459000
2006-02-14,18.224001,18.280001,18.098667,18.173334,14.089921,832800
2006-02-15,18.213333,18.357334,18.208,18.298666,14.187091,469800
2006-02-16,18.32,18.418667,18.274666,18.418667,14.28013,545000
2006-02-17,18.301332,18.408001,18.261333,18.280001,14.17262,489800
2006-02-21,18.346666,18.413334,18.218666,18.413334,14.275995,540800
2006-02-22,18.511999,18.76,18.501333,18.682667,14.484815,862800
2006-02-23,18.794666,18.813334,18.615999,18.712,14.507557,321200
2006-02-24,18.773333,18.773333,18.440001,18.559999,14.389706,537200
2006-02-27,18.624001,18.749332,18.544001,18.717333,14.511688,915200
2006-02-28,18.656,18.799999,18.573334,18.762667,14.546837,1074000
2006-03-01,19.133333,20.453333,19.133333,20.266666,15.7129,2759400
2006-03-02,20.066668,20.730667,20.034666,20.394667,15.812143,1656800
2006-03-03,20.4,20.68,20.24,20.538666,15.923778,1197200
2006-03-06,20.437334,20.48,20.229334,20.434668,15.900963,837000
2006-03-07,20.381332,20.805334,20.381332,20.485332,15.94039,1389000
2006-03-08,20.538666,20.842667,20.533333,20.615999,16.042059,987800
2006-03-09,20.615999,20.810667,20.488001,20.778667,16.168644,624000
2006-03-10,20.626667,21.141333,20.626667,21.018667,16.355389,673800
2006-03-13,20.986666,21.253334,20.981333,21.053333,16.382372,581400
2006-03-14,20.986666,21.416,20.986666,21.408001,16.658344,658800
2006-03-15,21.533333,21.538666,21.282667,21.397333,16.650045,834000
2006-03-16,21.559999,21.879999,21.546667,21.762667,16.934328,766400
2006-03-17,21.853333,22.013334,21.728001,21.842667,16.99658,1299800
2006-03-20,21.896,21.952,21.690666,21.799999,16.963379,946400
2006-03-21,21.866667,21.866667,21.568001,21.629333,16.830568,698000
2006-03-22,21.576,21.664,21.455999,21.546667,16.766247,1762800
2006-03-23,21.546667,21.568001,21.277334,21.378666,16.635521,924000
2006-03-24,21.4,21.4,21.120001,21.191999,16.490273,806000
2006-03-27,21.173334,21.245333,21.021334,21.098667,16.417639,795000
2006-03-28,21.133333,21.165333,20.959999,21.061333,16.388586,1042800
2006-03-29,21.061333,21.146667,20.968,21.072001,16.396893,1471400
2006-03-30,21.032,21.066668,20.728001,20.728001,16.129215,1077800
2006-03-31,20.826666,20.903999,20.517334,20.525333,15.971514,1913000
2006-04-03,20.266666,20.632,20.24,20.386667,15.863614,1746800
2006-04-04,20.386667,20.392,20.245333,20.317333,15.809659,1622400
2006-04-05,20.306667,20.386667,20.216,20.304001,15.799277,972200
2006-04-06,20.304001,20.333334,20.143999,20.191999,15.712135,947400
2006-04-07,20.072001,20.197332,19.832001,19.832001,15.432,693600
2006-04-10,19.866667,20.013334,19.797333,19.832001,15.432,647000
2006-04-11,19.866667,19.906666,19.586666,19.615999,15.263924,407400
2006-04-12,19.605333,19.738667,19.562666,19.706667,15.334477,458000
2006-04-13,19.653334,19.685333,19.493334,19.573334,15.230729,454400
2006-04-17,19.6,19.634666,19.357334,19.501333,15.174705,452400
2006-04-18,19.493334,19.890667,19.450666,19.802668,15.409182,1241000
2006-04-19,19.76,19.909334,19.690666,19.853333,15.448606,846000
2006-04-20,19.813334,19.976,19.741333,19.781334,15.39258,579800
2006-04-21,19.799999,19.888,19.525333,19.605333,15.255628,675600
2006-04-24,19.605333,19.605333,19.440001,19.52,15.189223,486600
2006-04-25,19.453333,19.613333,19.389334,19.464001,15.145648,851400
2006-04-26,19.386667,19.957333,19.386667,19.893333,15.479729,1119000
2006-04-27,19.866667,19.922667,19.698668,19.725334,15.349009,615600
2006-04-28,19.685333,19.893333,19.618668,19.866667,15.458978,759800
2006-05-01,19.84,19.877333,19.442667,19.496,15.170557,645800
2006-05-02,19.266666,20.117332,19.264,20.117332,15.654034,1441800
2006-05-03,20.106667,20.125334,19.837334,20.026667,15.583478,707000
2006-05-04,20.08,20.24,20.08,20.200001,15.718357,622800
2006-05-05,20.146667,20.242666,20.096001,20.146667,15.676856,373400
2006-05-08,20.200001,20.245333,20.117332,20.213333,15.728733,306200
2006-05-09,20.114666,20.341333,20.08,20.221333,15.734957,624000
2006-05-10,20.253334,20.392,20.216,20.32,15.81174,516600
2006-05-11,20.293333,20.293333,20.050667,20.128,15.662333,430400
2006-05-12,20.08,20.285334,19.848,19.890667,15.477659,675600
2006-05-15,19.952,20.157333,19.789333,20.106667,15.645734,702800
2006-05-16,20.093334,20.138666,19.973333,20.018667,15.577261,387000
2006-05-17,19.882668,20.0,19.565332,19.581333,15.236951,596400
2006-05-18,19.535999,19.722666,19.482666,19.501333,15.174705,618600
2006-05-19,19.581333,19.765333,19.506666,19.743999,15.363529,676800
2006-05-22,19.706667,19.917334,19.6,19.816,15.419548,837000
2006-05-23,19.816,20.063999,19.786667,19.949333,15.52331,843800
2006-05-24,19.866667,20.053333,19.794666,19.890667,15.477659,910800
2006-05-25,19.882668,20.104,19.872,20.104,15.643659,396600
2006-05-26,20.104,20.154667,19.874666,20.013334,15.573109,335000
2006-05-30,19.92,20.143999,19.84,20.058666,15.608381,717800
2006-05-31,19.986666,20.431999,19.986666,20.346666,15.83248,1158000
2006-06-01,20.6,20.706667,19.677334,19.738667,15.359379,1873800
2006-06-02,19.738667,20.053333,19.549334,19.842667,15.440307,1367000
2006-06-05,19.653334,20.050667,19.602667,19.773333,15.444475,1327400
2006-06-06,19.76,20.026667,19.741333,20.0,15.621518,1046400
2006-06-07,20.16,20.314667,19.957333,19.970667,15.598601,1114400
2006-06-08,19.866667,19.882668,19.402666,19.559999,15.277842,1551200
2006-06-09,19.440001,19.440001,19.226667,19.266666,15.048727,930800
2006-06-12,19.247999,19.261333,18.957333,18.957333,14.807115,662000
2006-06-13,18.936001,19.087999,18.722666,18.866667,14.736296,1324800
2006-06-14,18.84,19.288,18.84,19.288,15.06539,1287600
2006-06-15,19.32,19.698668,19.271999,19.698668,15.386154,912000
2006-06-16,19.6,19.789333,19.578667,19.578667,15.29242,971000
2006-06-19,19.645334,19.808001,19.24,19.285334,15.063308,765200
2006-06-20,19.336,19.725334,19.32,19.615999,15.321585,825600
2006-06-21,19.605333,19.674667,19.469334,19.608,15.315337,834800
2006-06-22,19.6,19.608,19.312,19.346666,15.111218,654200
2006-06-23,19.24,19.570667,19.138666,19.333334,15.100798,777200
2006-06-26,19.360001,19.360001,19.08,19.08,14.90293,1077200
2006-06-27,19.133333,19.154667,18.861334,18.882668,14.748799,1081400
2006-06-28,19.133333,19.133333,18.84,18.997334,14.838353,961800
2006-06-29,19.063999,19.354666,18.914667,19.32,15.090389,954600
2006-06-30,19.288,19.386667,19.053333,19.053333,14.882095,1267400
2006-07-03,19.120001,19.208,18.927999,19.184,14.984159,414800
2006-07-05,19.053333,19.087999,18.770666,19.042667,14.873769,1465800
2006-07-06,19.040001,19.157333,18.914667,19.072001,14.896673,601800
2006-07-07,19.005333,19.016001,18.693333,18.746666,14.642565,627600
2006-07-10,18.84,18.962667,18.743999,18.76,14.652981,949800
2006-07-11,18.818666,19.264,18.693333,19.224001,15.015405,1110800
2006-07-12,19.066668,19.087999,18.728001,18.770666,14.661319,1088000
2006-07-13,18.773333,18.84,18.496,18.533333,14.475942,913800
2006-07-14,18.466667,18.570667,18.218666,18.362667,14.342631,611000
2006-07-17,18.373333,18.666666,18.333334,18.639999,14.55925,1143600
2006-07-18,18.642666,18.802668,18.576,18.775999,14.665476,925400
2006-07-19,18.842667,19.378666,18.842667,19.256001,15.040392,1242200
2006-07-20,19.210667,19.410667,19.154667,19.170666,14.973741,728000
2006-07-21,19.282667,19.290667,19.042667,19.202667,14.998735,775400
2006-07-24,19.184,19.351999,19.106667,19.336,15.102882,499800
2006-07-25,19.282667,19.466667,19.218666,19.402666,15.154952,462000
2006-07-26,19.152,19.581333,19.152,19.437334,15.182034,600200
2006-07-27,19.490667,19.690666,19.290667,19.306667,15.079967,475400
2006-07-28,19.360001,19.741333,19.333334,19.485332,15.219522,395400
2006-07-31,19.424,19.586666,19.309334,19.586666,15.298669,569400
2006-08-01,19.573334,19.573334,19.213333,19.525333,15.250766,549200
2006-08-02,19.52,19.733334,19.488001,19.615999,15.321585,433400
2006-08-03,19.605333,19.626667,19.362667,19.464001,15.20286,734400
2006-08-04,19.504,19.709333,19.453333,19.565332,15.282006,492200
2006-08-07,19.464001,19.464001,19.152,19.290667,15.067475,622400
2006-08-08,19.424,19.642666,19.247999,19.341333,15.107048,1011200
2006-08-09,19.408001,19.639999,19.226667,19.269333,15.050813,589400
2006-08-10,19.296,19.296,19.133333,19.274666,15.054976,507200
2006-08-11,19.226667,19.346666,19.189333,19.221333,15.013315,436400
2006-08-14,19.440001,19.552,19.130667,19.176001,14.977908,542000
2006-08-15,19.32,19.6,19.224001,19.589333,15.300753,502400
2006-08-16,19.517334,19.850666,19.488001,19.84,15.496543,636000
2006-08-17,19.786667,19.832001,19.559999,19.653334,15.350744,821400
2006-08-18,19.666666,19.746666,19.450666,19.698668,15.386154,432600
2006-08-21,19.701334,19.818666,19.653334,19.76,15.434061,379400
2006-08-22,19.6,19.693333,19.511999,19.632,15.334085,771800
2006-08-23,19.672001,19.872,19.664,19.770666,15.442388,231800
2006-08-24,19.930666,19.930666,19.634666,19.688,15.377822,403800
2006-08-25,19.576,19.765333,19.511999,19.749332,15.425728,390200
2006-08-28,19.786667,19.799999,19.514668,19.629333,15.332,774200
2006-08-29,19.682667,20.333334,19.682667,20.157333,15.744408,1139000
2006-08-30,20.069334,20.344,20.069334,20.176001,15.758986,538400
2006-08-31,20.333334,21.173334,20.213333,20.528,16.033922,1215600
2006-09-01,20.594667,20.712,20.306667,20.693333,16.163063,687800
2006-09-05,20.535999,21.029333,20.394667,20.615999,16.160975,1211400
2006-09-06,20.591999,20.591999,20.304001,20.413334,16.0021,697400
2006-09-07,20.32,20.426666,20.146667,20.280001,15.897579,513800
2006-09-08,20.426666,20.506666,20.301332,20.349333,15.951935,570200
2006-09-11,20.24,20.336,19.954666,20.253334,15.876679,1553400
2006-09-12,20.293333,20.333334,20.085333,20.141333,15.788878,985800
2006-09-13,20.141333,20.141333,19.933332,20.066668,15.73035,958400
2006-09-14,20.08,20.176001,19.770666,20.087999,15.747073,1047000
2006-09-15,20.285334,20.4,20.133333,20.197332,15.832778,1974600
2006-09-18,20.117332,20.304001,20.021334,20.143999,15.790974,687600
2006-09-19,20.085333,20.485332,19.959999,20.453333,16.033461,1145000
2006-09-20,20.312,20.501333,20.293333,20.501333,16.071087,693200
2006-09-21,20.445333,20.48,20.069334,20.114666,15.767981,598800
2006-09-22,20.0,20.170666,19.983999,20.122667,15.774249,552200
2006-09-25,20.264,20.517334,20.018667,20.445333,16.027193,995000
2006-09-26,20.405333,20.533333,20.266666,20.466667,16.043911,552200
2006-09-27,20.32,20.474667,20.309334,20.392,15.985383,426600
2006-09-28,20.426666,20.464001,20.253334,20.360001,15.960293,290000
2006-09-29,20.426666,20.565332,20.365334,20.440001,16.02301,480600
2006-10-02,20.632,20.632,20.301332,20.485332,16.058548,493400
2006-10-03,20.453333,20.453333,20.093334,20.344,15.947747,646800
2006-10-04,20.280001,20.535999,20.029333,20.498667,16.068995,607400
2006-10-05,20.373333,20.466667,20.245333,20.373333,15.970742,930200
2006-10-06,20.384001,20.384001,20.125334,20.229334,15.857864,253800
2006-10-09,20.200001,20.200001,19.944,20.040001,15.709446,403400
2006-10-10,20.013334,20.013334,19.624001,19.879999,15.584018,727400
2006-10-11,19.832001,19.933332,19.706667,19.823999,15.540124,465600
2006-10-12,19.818666,20.037333,19.773333,19.879999,15.584018,456000
2006-10-13,19.813334,19.952,19.754667,19.781334,15.506674,800400
2006-10-16,19.781334,19.853333,19.666666,19.762667,15.492041,705000
2006-10-17,19.677334,19.762667,19.546667,19.562666,15.335263,437000
2006-10-18,19.6,19.693333,19.511999,19.597334,15.362433,812000
2006-10-19,19.650667,19.666666,19.445333,19.482666,15.272552,545400
2006-10-20,19.626667,19.762667,19.288,19.344,15.163843,819000
2006-10-23,19.24,19.354666,19.165333,19.200001,15.050964,943800
2006-10-24,19.221333,19.327999,18.983999,19.010666,14.902551,885000
2006-10-25,19.093334,19.269333,19.010666,19.213333,15.061412,1482000
2006-10-26,19.189333,19.418667,19.189333,19.237333,15.08023,907800
2006-10-27,19.285334,19.424,19.114666,19.296,15.126217,741800
2006-10-30,19.344,19.496,19.314667,19.338667,15.159661,672000
2006-10-31,19.418667,19.501333,18.933332,19.250668,15.090686,1084400
2006-11-01,19.247999,19.247999,19.048,19.120001,14.988256,651000
