Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,57.869999,58.110001,57.049999,57.799999,41.463066,3697500
2006-01-04,57.950001,59.43,57.549999,59.27,42.517567,4577200
2006-01-05,59.02,59.860001,59.0,59.27,42.517567,4590700
2006-01-06,59.470001,60.759998,59.380001,60.450001,43.36404,5692300
2006-01-09,60.450001,61.68,60.450001,61.549999,44.153133,4408800
2006-01-10,61.349998,61.52,60.639999,61.299999,43.973785,3188100
2006-01-11,60.869999,61.639999,60.700001,61.330002,43.995316,2755600
2006-01-12,61.23,62.66,61.110001,62.209999,44.626587,5322500
2006-01-13,62.02,62.490002,61.869999,62.330002,44.712662,1936700
2006-01-17,61.689999,63.150002,61.650002,62.959999,45.164608,3623200
2006-01-18,62.360001,62.720001,61.700001,61.869999,44.559616,3651400
2006-01-19,62.049999,63.0,61.900002,62.509998,45.020561,2375600
2006-01-20,62.509998,62.509998,60.48,60.779999,43.774593,4439700
2006-01-23,60.75,61.439999,60.259998,61.040001,43.96183,2706500
2006-01-24,60.790001,61.860001,60.75,61.349998,44.185104,3291600
2006-01-25,61.5,63.25,61.110001,62.07,44.703667,4772400
2006-01-26,63.299999,65.440002,62.299999,65.169998,46.936321,10318100
2006-01-27,65.900002,68.370003,65.150002,67.529999,48.636044,7587800
2006-01-30,66.529999,68.120003,66.32,67.010002,48.26152,5077400
2006-01-31,67.0,68.169998,66.639999,67.900002,48.902512,5655000
2006-02-01,68.099998,69.339996,67.900002,69.239998,49.867596,4826100
2006-02-02,68.75,69.099998,67.989998,68.389999,49.255413,4605500
2006-02-03,68.199997,68.970001,67.75,68.129997,49.068146,3529800
2006-02-06,68.5,68.82,68.0,68.699997,49.478683,3745900
2006-02-07,68.300003,68.339996,66.93,67.160004,48.369549,4908000
2006-02-08,67.75,68.889999,67.360001,68.809998,49.557903,3567300
2006-02-09,69.0,69.75,68.230003,68.449997,49.298622,4016900
2006-02-10,68.150002,68.870003,67.779999,68.75,49.514694,3167900
2006-02-13,68.300003,69.059998,67.879997,68.620003,49.421059,2838400
2006-02-14,69.0,70.410004,68.230003,70.220001,50.573414,4532100
2006-02-15,69.93,71.650002,69.900002,71.599998,51.567299,4396500
2006-02-16,71.790001,72.0,71.389999,71.959999,51.826591,3483300
2006-02-17,72.0,72.389999,71.709999,72.050003,51.891403,4767900
2006-02-21,72.0,72.790001,71.68,72.589996,52.280312,3956800
2006-02-22,72.589996,73.730003,72.540001,73.059998,52.618813,5532000
2006-02-23,73.07,73.089996,71.900002,72.349998,52.107464,4974100
2006-02-24,72.5,72.919998,71.760002,72.699997,52.359535,2921600
2006-02-27,73.300003,73.989998,73.0,73.5,52.935715,3217800
2006-02-28,73.099998,73.360001,72.400002,73.080002,52.633217,4444300
2006-03-01,73.129997,74.940002,72.949997,74.389999,53.576691,4179000
2006-03-02,74.139999,74.620003,73.809998,74.339996,53.540668,2247700
2006-03-03,74.349998,75.5,74.110001,74.610001,53.735153,3396700
2006-03-06,74.629997,74.879997,72.5,73.220001,52.734043,5496900
2006-03-07,73.010002,74.019997,72.209999,73.040001,52.604412,4904700
2006-03-08,73.040001,73.050003,70.339996,72.400002,52.143459,7726000
2006-03-09,72.43,72.519997,71.25,71.400002,51.423267,5101600
2006-03-10,71.349998,72.010002,70.379997,70.949997,51.099163,5996900
2006-03-13,71.449997,71.75,70.790001,71.0,51.13517,3401500
2006-03-14,71.0,72.279999,71.0,71.940002,51.812195,4048600
2006-03-15,72.110001,74.699997,71.940002,74.290001,53.504669,5208400
