Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,53.830002,54.599998,53.689999,54.57,39.236797,2015600
2006-01-04,54.419998,54.580002,54.119999,54.360001,39.085804,1984600
2006-01-05,54.380001,54.529999,53.619999,53.790001,38.675972,1777000
2006-01-06,54.0,54.119999,53.810001,53.98,38.812584,3497100
2006-01-09,54.0,54.599998,54.0,54.560001,39.229614,1743300
2006-01-10,54.419998,54.43,53.630001,53.73,38.632832,2393500
2006-01-11,54.02,54.299999,53.82,53.889999,38.747875,2038100
2006-01-12,54.349998,55.080002,54.349998,54.400002,39.114571,2923900
2006-01-13,55.009998,56.139999,55.0,55.900002,40.1931,3217900
2006-01-17,55.900002,56.009998,54.830002,55.119999,39.632252,3354100
2006-01-18,54.400002,54.810001,53.490002,53.689999,38.604073,4389400
2006-01-19,54.150002,54.57,54.150002,54.34,39.071419,3144900
2006-01-20,54.450001,54.57,53.439999,53.549999,38.503395,3160000
2006-01-23,53.900002,54.130001,53.290001,53.639999,38.568115,2213900
2006-01-24,54.009998,54.23,52.630001,52.709999,37.899429,4598900
2006-01-25,53.200001,53.73,52.529999,52.939999,38.0648,3729200
2006-01-26,53.450001,53.5,52.400002,52.630001,37.841915,3508500
2006-01-27,52.990002,53.220001,52.330002,52.400002,37.676544,2414500
2006-01-30,52.400002,52.740002,51.779999,51.810001,37.252327,3008700
2006-01-31,51.799999,52.02,51.48,51.759998,37.216354,3087000
2006-02-01,51.77,52.610001,51.459999,52.25,37.56868,3545200
2006-02-02,53.330002,53.450001,52.720001,52.75,37.928192,7063300
2006-02-03,52.330002,52.619999,51.849998,52.110001,37.468025,3018300
2006-02-06,52.150002,52.43,51.419998,51.709999,37.180401,2584300
2006-02-07,51.709999,52.0,51.259998,51.5,37.029404,3083600
2006-02-08,51.75,52.009998,51.599998,52.0,37.388924,1743600
2006-02-09,52.369999,52.59,52.150002,52.240002,37.561489,2672300
2006-02-10,52.459999,52.810001,51.869999,52.200001,37.532722,3223800
2006-02-13,52.150002,52.150002,51.380001,51.700001,37.173225,2153800
2006-02-14,51.599998,52.290001,51.470001,52.169998,37.511173,2750900
2006-02-15,52.150002,53.5,52.119999,53.299999,38.508183,3878200
2006-02-16,53.16,53.98,52.82,53.950001,38.977795,2116800
2006-02-17,53.689999,53.98,53.360001,53.549999,38.688801,2470300
2006-02-21,51.470001,51.939999,50.810001,51.830002,37.446136,7260800
2006-02-22,51.82,52.330002,51.560001,52.209999,37.72068,5684600
2006-02-23,51.950001,51.959999,51.310001,51.549999,37.243835,3765000
2006-02-24,51.419998,51.959999,51.34,51.830002,37.446136,2604900
2006-02-27,51.75,52.689999,51.650002,52.549999,37.966312,2020000
2006-02-28,52.380001,52.540001,51.52,51.650002,37.31609,2849000
2006-03-01,51.639999,52.16,51.599998,52.119999,37.655651,2392600
2006-03-02,51.32,51.880001,51.32,51.799999,37.424461,2560800
2006-03-03,51.34,52.02,51.060001,51.779999,37.410004,2434800
2006-03-06,51.650002,51.73,50.740002,50.790001,36.694759,3365400
2006-03-07,50.299999,50.310001,49.82,49.889999,36.044518,4355000
2006-03-08,49.93,49.959999,49.610001,49.709999,35.914478,3870600
2006-03-09,50.09,50.139999,49.529999,49.830002,36.001179,3107000
2006-03-10,50.099998,50.169998,49.43,49.549999,35.798889,3350100
2006-03-13,49.990002,50.259998,49.91,50.150002,36.232368,2816100
2006-03-14,50.16,51.080002,50.110001,50.830002,36.723667,2217800
2006-03-15,50.970001,51.16,50.580002,50.970001,36.824806,1691200
2006-03-16,50.580002,50.59,49.950001,50.029999,36.145683,3161800
2006-03-17,50.279999,50.970001,50.150002,50.970001,36.824806,3339500
2006-03-20,50.310001,50.619999,50.080002,50.25,36.304615,4790000
2006-03-21,49.950001,50.040001,49.299999,49.540001,35.79166,4126500
2006-03-22,48.049999,50.099998,48.049999,50.029999,36.145683,3312300
2006-03-23,48.5,48.799999,47.02,47.490002,34.310574,16888700
2006-03-24,47.650002,48.049999,47.41,47.84,34.563446,8295100
2006-03-27,47.84,48.200001,47.66,48.130001,34.772961,5047200
2006-03-28,47.810001,48.25,47.599998,47.790001,34.527317,5086800
2006-03-29,47.459999,47.540001,47.049999,47.080002,34.014362,4080200
2006-03-30,47.080002,47.349998,46.700001,47.110001,34.03603,3390100
