Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,3.05,3.08,3.02,3.06,1.886695,2272500
2006-01-04,3.06,3.14,3.06,3.112,1.918757,2567500
2006-01-05,3.12,3.248,3.114,3.23,1.991511,5217500
2006-01-06,3.22,3.22,3.16,3.204,1.975481,5087000
2006-01-09,3.204,3.32,3.204,3.28,2.02234,3454500
2006-01-10,3.246,3.296,3.224,3.29,2.028505,2359500
2006-01-11,3.29,3.29,3.24,3.258,2.008775,2560500
2006-01-12,3.25,3.316,3.23,3.26,2.010009,2819000
2006-01-13,3.262,3.284,3.254,3.274,2.01864,1849000
2006-01-17,3.244,3.268,3.172,3.256,2.007542,2442500
2006-01-18,3.24,3.318,3.21,3.316,2.044536,1538500
2006-01-19,3.32,3.322,3.268,3.306,2.03837,1172500
2006-01-20,3.312,3.318,3.178,3.19,1.966849,1943500
2006-01-23,3.194,3.276,3.192,3.246,2.001377,1171000
2006-01-24,3.25,3.324,3.24,3.298,2.033438,3657000
2006-01-25,3.3,3.308,3.22,3.26,2.010009,11327500
2006-01-26,3.266,3.366,3.266,3.352,2.066732,2149500
2006-01-27,3.35,3.42,3.342,3.404,2.098794,1289500
2006-01-30,3.4,3.45,3.354,3.38,2.083997,1613500
2006-01-31,3.38,3.424,3.37,3.402,2.097561,2094500
2006-02-01,3.384,3.384,3.35,3.356,2.0692,2454500
2006-02-02,3.344,3.356,3.266,3.3,2.034671,7376500
2006-02-03,3.296,3.38,3.276,3.376,2.08153,2558000
2006-02-06,3.376,3.418,3.37,3.416,2.106193,2713000
2006-02-07,3.418,3.418,3.376,3.388,2.088929,2793000
2006-02-08,3.386,3.462,3.37,3.448,2.125923,2350000
2006-02-09,3.446,3.558,3.44,3.5,2.157985,1597500
2006-02-10,3.5,3.516,3.47,3.47,2.139487,2953000
2006-02-13,3.468,3.468,3.408,3.408,2.10126,1087500
2006-02-14,3.4,3.484,3.364,3.476,2.143187,1291000
2006-02-15,3.474,3.52,3.42,3.496,2.155519,955000
2006-02-16,3.494,3.52,3.446,3.47,2.139487,1903500
2006-02-17,3.494,3.51,3.442,3.464,2.135788,1560000
