Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,27.49,27.559999,27.254999,27.455,20.720259,3674200
2006-01-04,27.42,27.83,27.415001,27.780001,20.965538,3951600
2006-01-05,27.855,27.969999,27.35,27.365,20.652334,3866400
2006-01-06,27.424999,27.535,27.290001,27.41,20.686289,3814000
2006-01-09,27.34,27.809999,27.309999,27.735001,20.93157,3398600
2006-01-10,27.58,27.655001,27.405001,27.455,20.720259,4161800
2006-01-11,27.424999,27.584999,27.275,27.34,20.633461,5182600
2006-01-12,27.325001,27.325001,27.049999,27.125,20.47121,4095400
2006-01-13,27.190001,27.5,27.165001,27.375,20.65988,2844600
2006-01-17,27.360001,27.43,27.205,27.245001,20.561771,2697200
2006-01-18,27.184999,27.305,27.059999,27.26,20.573084,2934000
2006-01-19,27.375,27.549999,27.25,27.504999,20.757988,5214600
2006-01-20,27.424999,27.469999,26.76,26.85,20.26366,8190400
2006-01-23,26.950001,27.145,26.815001,26.959999,20.34668,4680400
2006-01-24,26.860001,27.040001,26.705,26.875,20.392204,3732800
2006-01-25,27.370001,27.9,27.33,27.825001,21.113054,8615000
2006-01-26,27.889999,27.9,27.195,27.305,20.718481,6338600
2006-01-27,28.0,28.049999,27.549999,27.995001,21.242039,6117400
2006-01-30,28.035,28.049999,27.65,27.674999,20.999229,3842600
2006-01-31,27.5,27.59,27.219999,27.445,20.824709,7559200
2006-02-01,27.4,27.709999,27.4,27.65,20.980255,4047800
2006-02-02,27.65,27.65,27.389999,27.42,20.805744,4866200
2006-02-03,27.225,27.445,27.165001,27.27,20.691925,2999000
2006-02-06,27.1,27.195,26.995001,27.075001,20.543972,2830400
2006-02-07,27.0,27.049999,26.795,26.91,20.41876,3252200
2006-02-08,26.860001,27.09,26.780001,26.940001,20.441526,2634000
2006-02-09,26.84,27.135,26.82,26.879999,20.396004,3074400
2006-02-10,26.924999,27.139999,26.879999,27.01,20.494648,2953000
2006-02-13,27.0,27.065001,26.85,27.045,20.521202,2370400
2006-02-14,27.08,27.225,27.0,27.125,20.581902,2721600
2006-02-15,27.135,27.299999,26.855,27.254999,20.680546,3252200
2006-02-16,27.25,27.405001,27.174999,27.405001,20.794357,2445400
2006-02-17,27.385,27.450001,27.25,27.4,20.790569,3213800
2006-02-21,27.25,27.295,27.115,27.16,20.608458,2740000
2006-02-22,27.084999,27.49,27.01,27.285,20.703304,2921000
2006-02-23,27.174999,27.495001,27.125,27.325001,20.733654,2954600
2006-02-24,27.4,27.5,27.25,27.309999,20.722279,3006600
2006-02-27,27.184999,27.764999,27.15,27.715,21.029581,3451800
2006-02-28,27.65,27.870001,27.225,27.24,20.669168,3622800
2006-03-01,27.34,27.475,27.245001,27.385,20.779182,2252600
2006-03-02,27.275,27.370001,27.049999,27.254999,20.680546,1961600
2006-03-03,27.18,27.645,27.17,27.43,20.813326,2738400
2006-03-06,27.365,27.49,27.059999,27.15,20.600872,2400800
2006-03-07,27.035,27.424999,27.01,27.32,20.729858,2993200
2006-03-08,27.375,28.280001,27.360001,28.27,21.450705,7145400
2006-03-09,28.125,28.834999,28.01,28.639999,21.731457,8716800
2006-03-10,28.75,29.0,28.575001,28.860001,21.89839,5021400
2006-03-13,29.0,29.145,28.84,28.905001,21.932531,3917600
2006-03-14,28.66,28.67,28.209999,28.325001,21.492441,9052000
2006-03-15,28.325001,28.584999,28.290001,28.334999,21.500027,4101400
2006-03-16,28.35,28.540001,28.155001,28.325001,21.492441,5665800
2006-03-17,28.440001,28.445,28.184999,28.344999,21.507608,3994200
2006-03-20,28.469999,28.545,28.405001,28.5,21.625225,3082400
2006-03-21,28.5,28.945,28.5,28.790001,21.845274,4153600
2006-03-22,28.445,29.045,28.445,29.01,22.012203,3318200
2006-03-23,28.9,28.924999,28.450001,28.67,21.754219,3403400
2006-03-24,28.65,28.905001,28.514999,28.9,21.92874,3625400
2006-03-27,28.934999,29.049999,28.809999,28.885,21.917356,2576600
2006-03-28,29.0,29.0,28.549999,28.605,21.704893,4380400
2006-03-29,28.73,28.995001,28.51,28.83,21.875618,4686600
2006-03-30,28.705,29.205,28.6,29.139999,22.110842,4910400
2006-03-31,29.01,29.1,28.549999,28.549999,21.663157,5275000
