Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,8.683333,8.773334,8.45,8.743333,7.080541,32763600
2006-01-04,8.71,8.913333,8.633333,8.793333,7.121035,33494600
2006-01-05,8.793333,8.88,8.763333,8.806666,7.131831,22311200
2006-01-06,8.88,9.126667,8.806666,9.093333,7.363981,29469200
2006-01-09,9.04,9.163333,8.95,9.15,7.40987,32989200
2006-01-10,9.086667,9.14,9.036667,9.136666,7.39907,30759200
2006-01-11,9.143333,9.2,9.08,9.166667,7.423365,24051200
2006-01-12,9.126667,9.31,9.123333,9.276667,7.512448,29442800
2006-01-13,9.286667,9.333333,9.19,9.316667,7.544841,30769200
2006-01-17,9.246667,9.396667,9.216666,9.366667,7.585331,28467000
2006-01-18,9.363334,9.43,9.29,9.396667,7.609624,31561400
2006-01-19,9.396667,9.46,9.3,9.396667,7.609624,31998600
2006-01-20,9.32,9.376667,9.216666,9.253333,7.493551,45856400
2006-01-23,9.25,9.3,9.15,9.163333,7.420668,31915800
2006-01-24,9.156667,9.196667,9.036667,9.17,7.426067,29800200
2006-01-25,9.143333,9.176666,9.036667,9.096666,7.366679,26236800
2006-01-26,9.163333,9.346666,9.11,9.316667,7.544841,28005200
2006-01-27,9.3,9.483334,9.24,9.416667,7.625822,24447200
2006-01-30,9.45,9.45,9.253333,9.27,7.507048,25618200
2006-01-31,9.293333,9.346666,9.24,9.273334,7.509748,30471600
2006-02-01,9.196667,9.386666,9.17,9.33,7.555638,42087600
2006-02-02,9.166667,9.2,8.97,9.006667,7.293797,63884400
2006-02-03,8.936666,9.096666,8.92,9.026667,7.309992,50522400
2006-02-06,9.056666,9.34,8.956667,8.98,7.272201,45744000
2006-02-07,8.963333,9.013333,8.906667,8.946667,7.245205,31453400
2006-02-08,8.956667,9.023334,8.906667,9.006667,7.293797,23436600
2006-02-09,9.02,9.05,8.856667,8.87,7.183121,30050600
2006-02-10,8.783334,8.9,8.716666,8.85,7.166925,35419200
2006-02-13,8.836667,8.836667,8.706667,8.733334,7.072444,35677800
2006-02-14,8.773334,8.89,8.733334,8.85,7.166925,28893000
2006-02-15,8.836667,8.903334,8.796667,8.846666,7.164223,17378000
2006-02-16,8.846666,8.866667,8.79,8.836667,7.156128,17752200
2006-02-17,8.836667,8.86,8.766666,8.77,7.102138,19647800
2006-02-21,8.77,8.793333,8.666667,8.75,7.085941,28128000
2006-02-22,8.776667,8.963333,8.766666,8.84,7.158824,25798400
2006-02-23,8.8,8.93,8.756667,8.85,7.166925,19874400
2006-02-24,8.816667,8.856667,8.75,8.83,7.150729,18864200
2006-02-27,8.87,9.0,8.853333,8.946667,7.245205,22500600
2006-02-28,8.91,9.0,8.863334,8.943334,7.242507,32170800
2006-03-01,8.916667,9.176666,8.883333,9.123333,7.388275,36748200
2006-03-02,9.073334,9.136666,9.006667,9.126667,7.390974,36613200
2006-03-03,9.026667,9.173333,8.99,9.056666,7.334287,43126200
2006-03-06,9.036667,9.106667,8.97,9.02,7.304595,35764400
2006-03-07,9.01,9.02,8.83,8.92,7.223611,37648800
2006-03-08,8.94,8.996667,8.836667,8.906667,7.21281,24432200
2006-03-09,8.89,8.9,8.756667,8.78,7.110234,33849200
2006-03-10,8.81,8.833333,8.696667,8.75,7.085941,37067400
2006-03-13,8.763333,8.81,8.666667,8.7,7.045452,25710000
2006-03-14,8.686666,8.92,8.673333,8.89,7.199319,30097400
2006-03-15,8.86,9.026667,8.8,9.026667,7.309992,27245400
2006-03-16,9.053333,9.086667,9.006667,9.056666,7.334287,26426000
2006-03-17,9.123333,9.126667,8.943334,8.966666,7.261403,45106200
2006-03-20,8.946667,9.033334,8.923333,8.966666,7.261403,29307800
2006-03-21,8.906667,9.06,8.89,8.906667,7.21281,30067400
2006-03-22,8.896667,8.906667,8.8,8.863334,7.177722,20886800
2006-03-23,8.846666,8.846666,8.756667,8.83,7.150729,19678800
2006-03-24,8.836667,8.896667,8.796667,8.853333,7.169624,14152400
2006-03-27,8.843333,8.923333,8.8,8.906667,7.21281,15404000
2006-03-28,8.906667,8.956667,8.696667,8.71,7.05355,33776600
2006-03-29,8.726666,8.91,8.69,8.833333,7.153426,29396400
2006-03-30,8.833333,8.893333,8.78,8.843333,7.161523,34000800
2006-03-31,8.843333,9.053333,8.716666,8.72,7.061648,33950600
2006-04-03,8.75,8.9,8.726666,8.793333,7.121035,23275200
2006-04-04,8.766666,8.863334,8.736667,8.83,7.150729,22726400
2006-04-05,8.79,9.023334,8.753333,9.013333,7.299194,29200200
2006-04-06,8.976666,9.16,8.95,9.133333,7.396374,28307600
2006-04-07,9.133333,9.3,9.083333,9.173333,7.428767,33858000
2006-04-10,9.166667,9.24,9.11,9.223333,7.469256,69798000
2006-04-11,9.236667,9.303333,9.153334,9.193334,7.444964,26775800
2006-04-12,9.176666,9.193334,9.02,9.1,7.369379,26724600
2006-04-13,9.08,9.336667,9.073334,9.31,7.539443,36747600
2006-04-17,9.283334,9.403334,9.216666,9.36,7.57993,36063200
2006-04-18,9.393333,9.683333,9.383333,9.61,7.782388,64070600
2006-04-19,9.68,9.75,9.516666,9.58,7.758092,26327600
2006-04-20,9.566667,9.67,9.513333,9.526667,7.714902,25391600
2006-04-21,9.61,9.61,9.496667,9.573334,7.752696,23555600
2006-04-24,9.546667,9.566667,9.446667,9.476666,7.67441,19082000
2006-04-25,9.516666,9.67,9.493333,9.61,7.782388,31006800
2006-04-26,9.663333,9.733334,9.53,9.733334,7.882266,30183800
2006-04-27,9.953333,10.336667,9.946667,10.15,8.219689,175543400
2006-04-28,10.26,10.353333,10.163333,10.316667,8.354666,76672200
2006-05-01,10.316667,10.403334,10.0,10.046667,8.136011,47267400
2006-05-02,10.073334,10.246667,9.98,10.053333,8.14141,45375200
