Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,14.57,14.6,14.31,14.55,9.987918,3945000
2006-01-04,14.61,14.61,14.34,14.48,9.939868,2873100
2006-01-05,14.42,14.53,14.39,14.41,9.891813,3204600
2006-01-06,14.48,14.66,14.46,14.62,10.035968,2569700
2006-01-09,14.59,14.65,14.45,14.53,9.974189,1367300
2006-01-10,14.43,14.6,14.41,14.55,9.987918,1180100
2006-01-11,14.59,14.61,14.39,14.51,9.960461,1402300
2006-01-12,14.46,14.78,14.4,14.75,10.12521,2463400
2006-01-13,14.75,14.84,14.74,14.8,10.15953,1202600
2006-01-17,14.8,15.11,14.76,15.07,10.344873,2412400
2006-01-18,14.92,15.14,14.91,14.94,10.255635,1657900
2006-01-19,14.91,15.05,14.88,14.97,10.276228,1559300
2006-01-20,15.0,15.09,14.94,15.0,10.296825,1421000
2006-01-23,14.97,15.05,14.96,15.0,10.296825,1510500
2006-01-24,15.08,15.25,15.03,15.22,10.447846,2166000
2006-01-25,15.21,15.26,14.88,14.93,10.248773,2561700
2006-01-26,15.0,15.05,14.71,14.82,10.17326,1486800
2006-01-27,14.78,14.87,14.64,14.8,10.15953,1703800
2006-01-30,14.75,14.8,14.56,14.58,10.008514,1790000
2006-01-31,14.52,14.63,14.42,14.47,9.933004,2120600
2006-02-01,14.46,14.56,14.32,14.48,9.939868,2086500
2006-02-02,14.47,14.5,14.05,14.28,9.802575,3835500
2006-02-03,14.17,14.36,14.01,14.26,9.788845,1398900
2006-02-06,14.19,14.24,14.1,14.17,9.727067,1720800
2006-02-07,14.2,14.34,14.16,14.25,9.78198,1675200
2006-02-08,14.25,14.28,14.08,14.17,9.727067,2104900
2006-02-09,14.22,14.37,14.11,14.28,9.802575,1032600
2006-02-10,14.27,14.41,14.2,14.32,9.830035,1207800
2006-02-13,14.27,14.37,14.13,14.15,9.713334,913000
2006-02-14,14.12,14.18,13.88,14.17,9.727067,1711900
2006-02-15,14.12,14.22,13.97,14.1,9.679011,1487600
2006-02-16,14.12,14.4,14.12,14.34,9.843763,2119300
2006-02-17,14.35,14.59,14.32,14.56,9.994784,1681100
2006-02-21,14.64,14.79,14.57,14.74,10.118346,1977400
2006-02-22,14.7,14.71,14.4,14.64,10.0497,1697300
2006-02-23,14.49,14.6,14.28,14.37,9.864357,3232800
2006-02-24,14.35,14.44,14.17,14.23,9.768254,2106500
2006-02-27,14.23,14.3,14.09,14.13,9.699608,1524700
2006-02-28,14.06,14.14,13.96,14.08,9.665286,3101600
2006-03-01,14.05,14.27,14.01,14.2,9.747662,2472500
2006-03-02,14.1,14.23,14.06,14.15,9.713334,1536200
2006-03-03,14.04,14.33,13.98,14.14,9.706471,1677200
2006-03-06,14.12,14.14,13.63,13.7,9.404431,2445100
2006-03-07,13.6,13.72,13.48,13.63,9.356376,2199700
2006-03-08,13.63,13.64,13.21,13.38,9.184768,3328200
2006-03-09,13.43,13.74,13.36,13.68,9.390704,2234900
2006-03-10,13.68,13.81,13.66,13.69,9.397568,2100000
2006-03-13,13.69,14.01,13.68,13.95,9.576045,1272700
2006-03-14,13.89,13.96,13.8,13.95,9.576045,1438400
2006-03-15,13.94,13.94,13.66,13.8,9.473076,2443300
2006-03-16,13.88,13.89,13.8,13.89,9.534854,1660200
2006-03-17,14.04,14.04,13.78,13.85,9.507401,3124500
2006-03-20,13.83,13.89,13.58,13.62,9.349516,1228900
2006-03-21,13.55,13.65,13.36,13.45,9.232817,906300
2006-03-22,13.42,13.6,13.34,13.59,9.328921,1051800
2006-03-23,13.52,13.53,13.32,13.4,9.198496,1738900
2006-03-24,13.42,13.42,13.17,13.32,9.143582,3448200
2006-03-27,13.3,13.31,12.94,13.05,8.958238,3515100
2006-03-28,13.02,13.24,12.98,13.06,8.9651,2067400
2006-03-29,13.07,13.22,13.03,13.12,9.006288,1394500
2006-03-30,13.06,13.19,12.97,13.01,8.930777,1408000
2006-03-31,12.97,13.03,12.87,12.95,8.889588,1601800
2006-04-03,12.96,13.2,12.94,13.01,8.930777,2012900
2006-04-04,13.0,13.21,12.92,13.17,9.040609,1922900
2006-04-05,13.14,13.21,13.0,13.13,9.013153,1592200
2006-04-06,13.14,13.17,12.95,12.98,8.910188,1967200
2006-04-07,13.03,13.05,12.74,12.91,8.862131,3338900
2006-04-10,12.91,13.0,12.82,12.87,8.834676,1569800
2006-04-11,12.8,12.9,12.55,12.56,8.621873,1798500
2006-04-12,12.94,13.09,12.83,13.04,8.95137,4159500
2006-04-13,13.04,13.24,12.99,13.1,8.992558,2645600
2006-04-17,13.07,13.14,12.93,12.93,8.875858,1827100
2006-04-18,12.93,13.29,12.91,13.23,9.0818,2241600
2006-04-19,13.22,13.39,13.2,13.32,9.143582,1661000
2006-04-20,13.36,13.65,13.32,13.56,9.308327,2238900
2006-04-21,13.65,13.66,13.34,13.57,9.315193,2051300
2006-04-24,13.9,13.95,13.56,13.66,9.376971,2067800
2006-04-25,13.63,13.63,13.28,13.31,9.136714,1613400
2006-04-26,13.37,13.41,13.24,13.28,9.116119,967000
2006-04-27,13.0,13.47,12.95,13.34,9.157312,1928200
2006-04-28,13.26,13.42,13.16,13.32,9.143582,1489200
2006-05-01,13.37,13.45,13.07,13.25,9.095526,1934000
2006-05-02,13.25,13.35,13.1,13.29,9.122988,1657600
2006-05-03,12.8,13.1,12.58,12.81,8.793489,7102300
2006-05-04,12.83,13.08,12.79,12.9,8.855268,3256600
2006-05-05,12.95,13.25,12.95,13.13,9.013153,2796300
2006-05-08,13.03,13.09,12.75,12.82,8.800352,2037800
2006-05-09,12.82,12.82,12.61,12.64,8.676791,1446100
2006-05-10,12.61,12.83,12.61,12.82,8.800352,1969700
2006-05-11,12.78,12.8,12.5,12.68,8.704249,1662900
2006-05-12,12.7,12.71,12.49,12.51,8.587549,1756600
2006-05-15,12.44,12.61,12.35,12.46,8.553226,2560000
2006-05-16,12.44,12.65,12.33,12.52,8.594416,3407500
2006-05-17,12.5,12.62,12.45,12.47,8.560091,3391800
2006-05-18,12.43,12.87,12.09,12.73,8.738569,3284900
2006-05-19,12.81,12.94,12.7,12.92,8.868999,2676200
2006-05-22,12.81,12.91,12.64,12.78,8.772894,2972600
2006-05-23,12.78,12.78,12.6,12.71,8.72484,3049000
2006-05-24,12.7,12.74,12.52,12.66,8.690519,1735100
2006-05-25,12.7,12.74,12.62,12.69,8.71111,1586900
2006-05-26,12.77,12.89,12.67,12.82,8.800352,1097200
2006-05-30,12.76,12.92,12.75,12.82,8.800352,1275700
2006-05-31,12.87,13.07,12.73,12.84,8.814077,2183200
2006-06-01,12.67,12.98,12.67,12.95,8.889588,1294000
