Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,13.18,13.41,13.08,13.225,13.225,967000
2006-01-04,13.23,13.4,13.13,13.195,13.195,769800
2006-01-05,13.17,13.37,13.07,13.225,13.225,573600
2006-01-06,13.23,13.29,12.97,13.22,13.22,834400
2006-01-09,13.1,13.13,12.65,12.705,12.705,1475200
2006-01-10,12.5,12.5,12.235,12.38,12.38,2792000
2006-01-11,12.375,12.375,11.955,11.995,11.995,2277200
2006-01-12,11.925,12.195,11.775,12.1,12.1,1510800
2006-01-13,12.1,12.1,11.59,11.73,11.73,2283400
2006-01-17,11.615,11.7,11.36,11.425,11.425,3199400
2006-01-18,11.35,12.05,11.35,11.965,11.965,1326400
2006-01-19,12.0,12.195,11.73,12.005,12.005,1714200
2006-01-20,11.9,12.13,11.755,11.96,11.96,1295200
2006-01-23,12.005,12.135,11.975,12.095,12.095,1292200
2006-01-24,12.15,12.585,12.15,12.535,12.535,1792800
2006-01-25,12.57,12.625,12.46,12.595,12.595,2040200
2006-01-26,12.7,12.84,12.46,12.72,12.72,1266200
2006-01-27,12.745,13.01,12.635,12.985,12.985,1439400
2006-01-30,13.02,13.035,12.755,12.89,12.89,1155200
2006-01-31,12.89,13.16,12.715,13.145,13.145,963400
2006-02-01,13.225,13.95,13.16,13.72,13.72,1654200
2006-02-02,13.625,13.625,12.97,13.055,13.055,1158000
2006-02-03,12.965,13.16,12.775,13.115,13.115,1202200
2006-02-06,13.115,13.135,12.7,12.77,12.77,1300200
2006-02-07,14.05,14.05,12.475,13.195,13.195,2307000
2006-02-08,13.44,13.525,13.125,13.4,13.4,1564800
2006-02-09,13.46,13.545,13.205,13.27,13.27,711600
2006-02-10,13.175,13.175,12.865,13.07,13.07,898800
2006-02-13,13.105,13.105,12.8,12.87,12.87,792200
2006-02-14,12.905,13.125,12.89,13.085,13.085,982000
2006-02-15,12.955,13.3,12.905,13.26,13.26,580800
2006-02-16,13.0,13.005,12.48,13.0,13.0,3292200
2006-02-17,12.595,13.35,12.595,13.245,13.245,682800
2006-02-21,13.75,13.78,13.45,13.555,13.555,1067400
2006-02-22,13.62,13.79,13.5,13.79,13.79,701000
2006-02-23,13.785,13.995,13.53,13.82,13.82,824600
2006-02-24,13.85,13.99,13.595,13.94,13.94,1236600
2006-02-27,14.0,14.095,13.805,13.9,13.9,711200
2006-02-28,13.875,13.915,13.555,13.675,13.675,1172800
2006-03-01,13.7,14.12,13.555,14.065,14.065,1015800
2006-03-02,14.065,14.44,14.03,14.31,14.31,1915000
2006-03-03,14.315,14.715,14.205,14.27,14.27,1121400
2006-03-06,14.25,14.255,13.9,13.915,13.915,601400
2006-03-07,13.78,14.095,13.75,13.905,13.905,879200
2006-03-08,13.875,14.2,13.82,14.14,14.14,855000
2006-03-09,14.125,14.265,13.915,14.135,14.135,1141800
2006-03-10,14.075,14.6,14.075,14.405,14.405,1131000
2006-03-13,14.495,14.615,14.15,14.275,14.275,1637200
2006-03-14,14.25,14.63,14.23,14.5,14.5,1074400
2006-03-15,14.5,14.725,14.43,14.655,14.655,653600
2006-03-16,14.665,14.89,14.575,14.625,14.625,1109000
2006-03-17,14.695,15.13,13.8,14.23,14.23,3859200
2006-03-20,14.375,14.545,14.115,14.33,14.33,2039800
2006-03-21,14.33,14.475,13.925,14.06,14.06,1024000
2006-03-22,14.075,14.385,13.985,14.315,14.315,715400
2006-03-23,14.385,14.445,14.135,14.305,14.305,368400
2006-03-24,14.165,14.695,14.165,14.56,14.56,854200
2006-03-27,14.525,14.585,14.33,14.55,14.55,634400
2006-03-28,14.46,14.645,14.2,14.37,14.37,677000
2006-03-29,14.62,14.62,14.11,14.385,14.385,493800
2006-03-30,14.36,14.63,14.145,14.33,14.33,417200
2006-03-31,14.38,14.595,14.185,14.585,14.585,776600
2006-04-03,14.5,14.51,14.205,14.4,14.4,1061000
2006-04-04,14.435,14.615,14.24,14.535,14.535,678200
2006-04-05,14.61,14.665,14.4,14.505,14.505,723000
2006-04-06,14.505,14.52,14.25,14.35,14.35,1133400
2006-04-07,14.325,14.5,14.145,14.23,14.23,1060600
2006-04-10,14.23,14.39,14.075,14.275,14.275,866600
2006-04-11,14.275,14.325,13.995,14.13,14.13,653600
2006-04-12,14.13,14.65,14.13,14.44,14.44,1493800
2006-04-13,14.44,14.5,14.29,14.425,14.425,366800
2006-04-17,14.425,14.44,14.005,14.24,14.24,655000
2006-04-18,14.33,14.59,14.09,14.5,14.5,1416000
2006-04-19,14.475,14.795,14.365,14.525,14.525,650600
2006-04-20,14.525,14.525,14.22,14.425,14.425,553000
2006-04-21,14.6,14.6,13.875,14.13,14.13,919400
2006-04-24,14.135,14.185,13.835,14.07,14.07,1229200
2006-04-25,13.5,13.815,12.625,13.37,13.37,4521600
2006-04-26,13.295,13.33,12.535,12.65,12.65,2977200
2006-04-27,12.525,12.745,12.05,12.305,12.305,3147200
2006-04-28,12.48,13.02,12.48,12.845,12.845,1529800
2006-05-01,12.85,12.855,12.475,12.5,12.5,1993000
2006-05-02,12.525,12.645,12.265,12.605,12.605,1995400
2006-05-03,12.525,12.525,12.285,12.515,12.515,1568600
2006-05-04,12.54,12.74,12.46,12.705,12.705,912800
2006-05-05,12.75,12.86,12.575,12.76,12.76,890200
2006-05-08,12.68,12.815,12.6,12.66,12.66,973200
2006-05-09,12.66,12.775,12.475,12.555,12.555,1155000
2006-05-10,12.5,12.59,12.14,12.365,12.365,1574800
2006-05-11,12.32,12.355,11.98,12.105,12.105,2091400
2006-05-12,12.13,12.355,12.025,12.305,12.305,796600
2006-05-15,12.36,12.445,12.225,12.37,12.37,1110200
2006-05-16,12.395,12.935,12.3,12.805,12.805,1280800
2006-05-17,12.805,13.04,12.515,12.87,12.87,1410800
2006-05-18,12.875,13.28,12.87,13.06,13.06,1778400
2006-05-19,13.04,13.45,12.83,13.37,13.37,1701200
2006-05-22,13.31,13.545,13.075,13.425,13.425,1752600
2006-05-23,13.485,13.555,13.03,13.255,13.255,1263400
2006-05-24,13.315,13.315,12.7,13.13,13.13,1233800
2006-05-25,13.24,13.305,13.005,13.105,13.105,770600
2006-05-26,13.22,13.22,12.97,12.995,12.995,745200
2006-05-30,13.0,13.175,12.79,13.0,13.0,1092400
2006-05-31,13.015,13.095,12.895,13.025,13.025,993600
2006-06-01,13.095,13.235,12.93,13.195,13.195,804000
2006-06-02,13.25,13.415,13.065,13.335,13.335,1151800
2006-06-05,13.375,13.375,12.98,13.03,13.03,726800
2006-06-06,13.215,13.375,12.85,13.01,13.01,1234200
2006-06-07,13.03,13.37,12.945,13.16,13.16,621800
2006-06-08,13.16,13.61,13.09,13.515,13.515,1392600
2006-06-09,13.63,14.135,13.63,14.055,14.055,1635800
2006-06-12,13.975,14.1,13.74,13.9,13.9,1551800
2006-06-13,13.905,14.115,13.745,13.815,13.815,1119200
2006-06-14,13.825,14.11,13.775,14.085,14.085,880200
2006-06-15,14.115,14.245,13.625,14.11,14.11,1218800
2006-06-16,14.115,14.24,13.92,14.075,14.075,1547000
2006-06-19,14.125,14.15,13.7,13.81,13.81,1238600
2006-06-20,13.875,13.99,13.21,13.215,13.215,1533000
2006-06-21,12.24,12.51,12.075,12.255,12.255,5064000
2006-06-22,12.2,12.25,12.05,12.115,12.115,2924000
2006-06-23,12.5,12.725,12.265,12.4,12.4,1562000
2006-06-26,12.275,12.5,12.175,12.3,12.3,1031400
2006-06-27,12.24,12.4,11.845,11.885,11.885,1295000
2006-06-28,11.925,12.03,11.44,11.65,11.65,1574400
2006-06-29,11.77,12.0,11.58,11.97,11.97,1031600
2006-06-30,11.96,12.04,11.615,11.765,11.765,1579800
2006-07-03,11.7,11.935,11.58,11.88,11.88,363800
2006-07-05,11.805,11.815,11.63,11.755,11.755,715600
2006-07-06,11.725,11.88,11.58,11.675,11.675,884800
