Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,12.88,13.07,12.75,13.0,7.461908,1327100
2006-01-04,13.02,13.09,12.78,13.0,7.461908,1204200
2006-01-05,12.97,13.04,12.8,13.01,7.467648,1649700
2006-01-06,13.03,13.25,12.98,13.1,7.519306,1521100
2006-01-09,13.05,13.14,12.99,13.0,7.461908,822800
2006-01-10,12.91,13.02,12.87,12.96,7.438949,855200
2006-01-11,13.0,13.05,12.82,12.83,7.364329,1012300
2006-01-12,12.82,13.15,12.8,13.0,7.461908,1320100
2006-01-13,13.0,13.1,12.91,13.0,7.461908,587000
2006-01-17,13.01,13.26,12.87,13.21,7.582446,1762500
2006-01-18,13.21,13.29,13.07,13.19,7.570964,1124600
2006-01-19,13.18,13.34,13.1,13.28,7.622624,1752400
2006-01-20,13.23,13.38,13.16,13.2,7.576707,1236500
2006-01-23,12.85,13.13,12.69,12.85,7.375809,3426100
2006-01-24,12.81,12.99,12.79,12.96,7.438949,1753900
2006-01-25,12.97,12.99,12.7,12.79,7.341369,1465000
2006-01-26,12.87,12.88,12.58,12.78,7.335631,1577200
2006-01-27,12.77,13.04,12.77,12.97,7.444688,2911900
2006-01-30,13.0,13.01,12.72,12.76,7.32415,2099200
2006-01-31,12.71,12.85,12.71,12.78,7.335631,1212500
2006-02-01,12.71,12.9,12.71,12.83,7.364329,923900
2006-02-02,12.77,12.86,12.58,12.75,7.318409,2017100
2006-02-03,12.7,12.77,12.48,12.6,7.232309,1495700
2006-02-06,12.6,12.7,12.57,12.66,7.266749,956800
2006-02-07,12.66,12.82,12.61,12.71,7.29545,1824000
2006-02-08,12.69,12.79,12.62,12.67,7.272487,1355400
2006-02-09,12.63,12.65,12.55,12.58,7.22083,1870200
2006-02-10,12.58,12.7,12.5,12.65,7.261013,2105200
2006-02-13,12.67,12.82,12.6,12.78,7.335631,1347400
2006-02-14,12.61,12.71,12.53,12.66,7.353054,1237300
2006-02-15,12.69,12.87,12.61,12.85,7.463406,2278300
2006-02-16,12.82,12.95,12.74,12.94,7.515681,1422100
2006-02-17,12.91,13.1,12.88,13.06,7.585377,1238800
2006-02-21,13.06,13.16,12.96,13.03,7.567951,2028100
2006-02-22,13.06,13.13,12.97,13.12,7.620227,1406000
2006-02-23,13.09,13.28,13.01,13.19,7.660883,2091700
2006-02-24,13.23,13.28,13.03,13.04,7.573761,2164600
2006-02-27,13.05,13.4,12.89,13.19,7.660883,1856300
2006-02-28,13.05,13.06,12.81,12.97,7.533105,3551900
2006-03-01,13.0,13.07,12.95,13.03,7.567951,1562500
2006-03-02,12.92,13.0,12.89,12.94,7.515681,1757400
2006-03-03,12.93,12.98,12.82,12.85,7.463406,2073700
2006-03-06,12.86,12.86,12.73,12.74,7.399518,2511100
2006-03-07,12.75,12.89,12.65,12.72,7.387904,1167300
2006-03-08,12.72,12.85,12.58,12.79,7.42856,1461900
2006-03-09,12.75,12.76,12.5,12.57,7.300778,2647400
2006-03-10,12.56,12.75,12.5,12.74,7.399518,2236000
2006-03-13,12.77,12.85,12.6,12.65,7.347246,936500
2006-03-14,12.69,12.9,12.64,12.84,7.4576,1110100
2006-03-15,12.87,12.88,12.62,12.8,7.43437,2648600
2006-03-16,12.8,12.92,12.66,12.7,7.376283,8769100
2006-03-17,12.57,12.64,12.42,12.51,7.265933,3796100
2006-03-20,12.54,12.55,12.17,12.2,7.085881,3002500
2006-03-21,12.24,12.3,12.13,12.15,7.05684,1975700
2006-03-22,12.1,12.19,12.07,12.15,7.05684,2572900
2006-03-23,12.18,12.19,12.07,12.1,7.0278,2199800
2006-03-24,12.07,12.21,12.04,12.15,7.05684,1865300
2006-03-27,12.1,12.11,11.9,11.92,6.923254,2614500
2006-03-28,11.92,12.16,11.83,11.98,6.958101,2210500
2006-03-29,12.0,12.26,11.94,12.22,7.097494,1856200
2006-03-30,12.2,12.23,12.06,12.15,7.05684,2291000
2006-03-31,12.1,12.2,11.92,11.93,6.929062,2074400
2006-04-03,12.0,12.14,11.99,12.04,6.992953,2558100
2006-04-04,12.04,12.17,11.98,12.14,7.05103,1714600
2006-04-05,12.14,12.36,12.02,12.29,7.138155,3378400
2006-04-06,12.2,12.25,11.94,11.96,6.946489,2075900
2006-04-07,11.96,12.02,11.85,11.86,6.888404,1590400
2006-04-10,11.86,11.95,11.86,11.86,6.888404,1402300
2006-04-11,11.86,11.95,11.67,11.78,6.841941,1896900
2006-04-12,11.69,11.87,11.69,11.73,6.812899,1355700
2006-04-13,11.65,11.76,11.62,11.76,6.830325,1586700
2006-04-17,11.72,11.78,11.65,11.75,6.824515,994200
2006-04-18,11.79,11.92,11.69,11.9,6.911637,1911300
2006-04-19,11.89,12.06,11.86,12.01,6.975526,1430700
2006-04-20,12.04,12.2,11.94,11.99,6.96391,1496900
2006-04-21,12.06,12.14,11.99,12.09,7.02199,1013700
2006-04-24,12.07,12.13,12.0,12.08,7.016185,1108000
2006-04-25,12.08,12.1,11.9,11.93,6.929062,1462000
2006-04-26,11.91,12.0,11.88,11.9,6.911637,1326000
2006-04-27,11.85,12.1,11.81,12.01,6.975526,1492300
2006-04-28,11.99,12.06,11.9,12.02,6.981334,1636000
2006-05-01,12.06,12.09,11.78,11.81,6.859365,1306000
2006-05-02,11.86,12.14,11.82,12.02,6.981334,1528600
2006-05-03,11.95,12.04,11.85,12.01,6.975526,2543400
2006-05-04,12.0,12.15,12.0,12.11,7.033609,1126800
2006-05-05,12.16,12.49,12.14,12.36,7.178811,2302400
2006-05-08,12.4,12.43,12.18,12.34,7.167194,1866000
2006-05-09,12.34,12.43,12.26,12.39,7.196234,1698600
2006-05-10,12.34,12.4,12.24,12.29,7.138155,1695000
2006-05-11,12.31,12.36,12.15,12.28,7.132347,2058000
2006-05-12,12.14,12.24,12.0,12.02,7.067666,1771400
2006-05-15,12.28,12.32,12.17,12.29,7.226425,2056600
2006-05-16,12.32,12.32,12.12,12.15,7.144104,1612400
2006-05-17,12.11,12.2,12.0,12.01,7.061789,1697300
2006-05-18,12.01,12.12,11.97,12.03,7.073546,2261500
2006-05-19,12.1,12.14,11.99,12.08,7.102947,1617200
2006-05-22,12.03,12.22,12.03,12.17,7.155866,1884300
2006-05-23,12.2,12.25,12.06,12.12,7.126464,3013500
2006-05-24,12.1,12.19,11.97,12.04,7.079431,1455700
2006-05-25,12.06,12.16,11.98,12.1,7.114708,1567700
2006-05-26,12.14,12.16,12.0,12.04,7.079431,1244400
2006-05-30,12.03,12.1,11.83,11.86,6.973588,2743500
2006-05-31,11.9,12.06,11.85,11.99,7.050027,2281400
2006-06-01,12.04,12.28,12.0,12.25,7.202905,6217800
2006-06-02,12.21,12.43,12.13,12.42,7.30286,2194300
2006-06-05,12.42,12.44,12.2,12.21,7.179387,1334000
2006-06-06,12.28,12.32,12.09,12.25,7.202905,1229700
2006-06-07,12.28,12.29,12.17,12.19,7.167626,905200
2006-06-08,12.2,12.3,12.08,12.29,7.226425,1079900
2006-06-09,12.29,12.39,12.21,12.3,7.232304,903800
2006-06-12,12.36,12.45,12.25,12.38,7.279341,2022800
2006-06-13,12.38,12.38,12.06,12.11,7.120587,2737500
2006-06-14,12.07,12.25,12.06,12.2,7.173503,2653600
2006-06-15,12.24,12.46,12.15,12.45,7.320501,1237800
2006-06-16,12.46,12.47,12.29,12.38,7.279341,1691600
2006-06-19,12.4,12.4,12.2,12.25,7.202905,809100
2006-06-20,12.26,12.32,12.19,12.22,7.185262,953900
2006-06-21,12.2,12.29,12.2,12.21,7.179387,860400
2006-06-22,12.2,12.25,12.08,12.2,7.173503,912800
