Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,5.7,5.9625,5.6625,5.94875,5.714291,6802400
2006-01-04,5.93875,6.095,5.88,6.0825,5.84277,5725600
2006-01-05,6.05125,6.05125,5.78125,5.865,5.633842,5664800
2006-01-06,5.9375,6.13375,5.9375,6.0,5.763522,3888000
2006-01-09,5.96875,6.16,5.93875,6.0925,5.852375,4122400
2006-01-10,6.0,6.2275,6.0,6.17625,5.932824,2632800
2006-01-11,6.17625,6.33,6.0625,6.30125,6.052896,4962400
2006-01-12,6.35125,6.35125,6.195,6.20625,5.961641,4645600
2006-01-13,6.20625,6.2725,6.17375,6.24,5.994062,2928800
2006-01-17,6.325,6.39875,6.26125,6.32,6.070908,3862400
2006-01-18,6.32,6.37875,6.105,6.2425,5.996463,2954400
2006-01-19,6.25375,6.50625,6.21625,6.50125,6.245015,3944000
2006-01-20,6.54,6.68375,6.465,6.485,6.229406,3476800
2006-01-23,6.48625,6.5,6.37875,6.445,6.190981,4104000
2006-01-24,6.44375,6.49125,6.34375,6.43125,6.177775,5105600
2006-01-25,6.4625,6.4625,6.11,6.1375,5.895602,4031200
2006-01-26,6.1375,6.1675,5.88875,6.1675,5.924418,5463200
2006-01-27,6.16875,6.31,6.1475,6.23,5.984455,3011200
2006-01-30,6.275,6.42625,6.275,6.3125,6.063704,2736800
2006-01-31,6.3,6.4725,6.29125,6.44625,6.192183,3236800
2006-02-01,6.415,6.525,6.2375,6.25875,6.012071,4156000
2006-02-02,6.24875,6.25,5.9375,6.0875,5.847572,4771200
2006-02-03,6.1075,6.2,5.93625,6.0725,5.833162,4978400
2006-02-06,6.15,6.23125,6.0525,6.2075,5.962842,3539200
2006-02-07,6.2075,6.2075,5.88375,5.9325,5.69868,5243200
2006-02-08,5.96,5.96,5.69375,5.8675,5.640996,3957600
2006-02-09,5.9375,6.02375,5.52125,5.53125,5.317726,5772000
2006-02-10,5.53125,5.62375,5.385,5.55,5.335752,7175200
2006-02-13,5.5,5.56,5.38,5.3975,5.189139,5394400
2006-02-14,5.2625,5.57,5.25625,5.56875,5.353781,9264000
2006-02-15,5.625,5.77625,5.5325,5.63375,5.41627,5939200
2006-02-16,5.71875,5.835,5.68875,5.80875,5.584514,3708800
2006-02-17,5.875,6.06125,5.79125,5.8125,5.58812,4966400
2006-02-21,5.925,6.02625,5.81,5.88625,5.659023,3803200
2006-02-22,5.88625,5.88625,5.705,5.80125,5.577305,3070400
2006-02-23,5.875,6.0875,5.81125,5.86375,5.637392,9753600
2006-02-24,5.9225,6.07,5.90625,5.9525,5.722716,4241600
2006-02-27,5.8875,5.92875,5.77375,5.77375,5.550868,2919200
2006-02-28,5.725,5.75875,5.645,5.6575,5.439104,5346400
2006-03-01,5.6875,5.865,5.67,5.8575,5.631384,4712000
2006-03-02,5.9,6.135,5.89875,6.07875,5.844093,6989600
2006-03-03,6.08,6.23375,6.075,6.2075,5.967872,6436800
2006-03-06,6.03875,6.2075,5.83125,5.8325,5.607348,5228000
2006-03-07,5.8325,5.84,5.66,5.70125,5.481166,5158400
2006-03-08,5.70125,5.8075,5.5175,5.6425,5.424684,5456000
2006-03-09,5.685,5.705,5.48375,5.52125,5.308113,5108000
2006-03-10,5.5625,5.635,5.4325,5.55875,5.344167,2929600
2006-03-13,5.6375,5.765,5.61625,5.695,5.475156,3276000
2006-03-14,5.7525,5.875,5.6125,5.85875,5.632586,3245600
2006-03-15,5.86,5.90625,5.77875,5.90625,5.678252,2762400
2006-03-16,5.875,6.0675,5.84375,6.01375,5.7816,3156800
2006-03-17,6.015,6.04125,5.88625,5.9375,5.708295,8935200
2006-03-20,5.875,5.9575,5.665,5.7,5.479963,3413600
2006-03-21,5.65875,5.75125,5.5975,5.65875,5.440305,4250400
2006-03-22,5.65875,5.86125,5.64875,5.79625,5.572496,3592800
2006-03-23,5.8625,5.99125,5.84125,5.9375,5.708295,3320800
2006-03-24,5.93875,6.055,5.895,5.99,5.758766,2323200
2006-03-27,5.965,6.0375,5.78875,6.0075,5.775593,2560800
2006-03-28,6.06125,6.18875,6.0375,6.095,5.859714,4636800
2006-03-29,6.215,6.27,6.06125,6.20375,5.964268,3084000
2006-03-30,6.25,6.27875,6.1275,6.195,5.955855,5421600
2006-03-31,6.1375,6.1375,5.94875,5.99125,5.759971,4628000
2006-04-03,6.0525,6.27625,6.01875,6.14875,5.911391,4862400
2006-04-04,6.075,6.14875,6.0375,6.0875,5.852503,2594400
2006-04-05,6.0875,6.18625,6.05125,6.10875,5.872936,2794400
2006-04-06,6.16875,6.3425,6.10375,6.3225,6.078432,4151200
2006-04-07,6.31125,6.3525,6.13,6.15875,5.921003,2979200
2006-04-10,6.23,6.3825,6.21875,6.34375,6.098862,2901600
2006-04-11,6.42125,6.42875,6.1575,6.1825,5.943838,2977600
2006-04-12,6.1525,6.2075,6.05625,6.1275,5.89096,2233600
2006-04-13,6.09625,6.2425,6.01,6.1775,5.93903,3020800
2006-04-17,6.225,6.365,6.2,6.34375,6.098862,2178400
2006-04-18,6.405,6.59125,6.405,6.5825,6.328396,2304000
2006-04-19,6.5825,6.64625,6.43625,6.64625,6.389684,4515200
2006-04-20,6.5875,6.595,6.205,6.385,6.138521,5023200
2006-04-21,6.5625,6.705,6.44625,6.62125,6.36565,4589600
2006-04-24,6.62125,6.62125,6.3675,6.38125,6.134914,3292000
2006-04-25,6.46375,6.49875,6.1675,6.2825,6.039979,3490400
2006-04-26,6.25125,6.41125,6.13125,6.14125,5.90418,3320800
2006-04-27,6.0425,6.22,5.955,6.06125,5.82727,4364800
2006-04-28,6.09875,6.25625,6.025,6.1575,5.919801,3276000
2006-05-01,6.20875,6.34625,6.2025,6.245,6.003923,3737600
2006-05-02,6.29875,6.4725,6.29875,6.4275,6.179379,2696000
2006-05-03,6.4,6.4575,6.2675,6.40125,6.154143,3764000
2006-05-04,6.3875,6.47875,6.22625,6.3975,6.150537,3979200
2006-05-05,6.5,6.7775,6.49375,6.59,6.335605,5775200
2006-05-08,6.59,6.64625,6.465,6.64625,6.389684,3524000
2006-05-09,6.64625,6.84,6.62375,6.75125,6.490632,5201600
2006-05-10,6.75125,6.85625,6.67375,6.805,6.542306,3269600
2006-05-11,6.95,6.96,6.5675,6.57625,6.322388,4498400
2006-05-12,6.545,6.545,6.205,6.2475,6.006329,6087200
2006-05-15,6.1125,6.18875,5.90125,6.02125,5.793448,5391200
2006-05-16,6.1175,6.15125,5.9675,6.03,5.801869,4026400
2006-05-17,6.03,6.1125,5.75875,5.845,5.623868,5136800
2006-05-18,5.90625,5.9075,5.6625,5.67625,5.461501,4456000
2006-05-19,5.67625,5.7875,5.52125,5.74375,5.526447,5322400
2006-05-22,5.575,5.59625,5.36,5.52,5.311161,10951200
2006-05-23,5.625,5.65,5.375,5.3975,5.193297,8801600
2006-05-24,5.3975,5.475,5.15,5.26375,5.064607,8127200
