Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,49.75,50.049999,48.740002,49.919998,37.758308,2583100
2006-01-04,49.810001,50.23,49.57,50.080002,37.879337,2320100
2006-01-05,50.48,50.48,49.41,49.779999,37.652435,3571200
2006-01-06,50.049999,50.060001,49.560001,49.849998,37.705372,2627700
2006-01-09,49.93,50.299999,49.610001,50.049999,37.856655,3232100
2006-01-10,49.700001,50.130001,49.700001,50.0,37.818836,1532700
2006-01-11,50.0,50.790001,49.919998,50.689999,38.340725,2108200
2006-01-12,50.369999,50.959999,50.32,50.73,38.370983,2206400
2006-01-13,50.950001,51.080002,50.759998,51.0,38.575207,1910900
2006-01-17,50.810001,50.93,50.439999,50.599998,38.272659,2528000
2006-01-18,50.200001,50.900002,50.119999,50.740002,38.378548,2802100
2006-01-19,50.68,50.830002,50.119999,50.59,38.265099,2201500
2006-01-20,50.560001,50.830002,49.669998,49.689999,37.584354,4943900
2006-01-23,49.59,49.900002,48.950001,49.130001,37.16077,3523100
2006-01-24,49.189999,49.900002,49.09,49.549999,37.478462,2478700
2006-01-25,49.48,50.23,49.279999,49.939999,37.773449,2182600
2006-01-26,50.400002,50.400002,49.84,50.09,37.886909,2183800
2006-01-27,50.029999,50.869999,49.93,50.049999,37.856655,1743800
2006-01-30,49.919998,50.23,49.419998,49.68,37.576809,1747900
2006-01-31,49.740002,50.080002,49.290001,49.889999,37.735634,1887000
2006-02-01,49.919998,50.029999,49.040001,49.5,37.440643,2424000
2006-02-02,49.77,50.419998,49.240002,50.209999,37.977676,2309700
2006-02-03,49.709999,50.34,49.259998,49.450001,37.402828,2378700
2006-02-06,49.16,49.450001,48.959999,49.27,37.26667,1400400
2006-02-07,49.349998,49.639999,48.529999,48.720001,36.936882,2641100
2006-02-08,48.68,49.169998,48.48,49.07,37.20224,1436500
2006-02-09,48.759998,49.5,48.720001,48.970001,37.126423,2013700
2006-02-10,49.110001,49.939999,48.880001,49.740002,37.710194,2131100
2006-02-13,49.68,50.110001,49.639999,50.110001,37.990707,1557800
2006-02-14,50.16,51.330002,50.0,51.18,38.801922,2990500
2006-02-15,51.099998,51.580002,50.84,51.57,39.097603,2578900
2006-02-16,51.630001,52.150002,51.400002,51.740002,39.226482,2252000
2006-02-17,51.689999,51.889999,50.860001,50.98,38.650295,1717900
2006-02-21,51.009998,51.34,50.5,50.700001,38.438019,1773500
2006-02-22,50.919998,51.91,50.830002,51.509998,39.052116,1801100
2006-02-23,51.540001,51.68,50.970001,51.110001,38.748852,1675200
