Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,29.9,30.040001,29.68,30.0,21.410206,904900
2006-01-04,29.950001,30.049999,29.860001,29.879999,21.324577,545800
2006-01-05,29.91,30.120001,29.85,30.120001,21.495848,1715800
2006-01-06,30.200001,30.370001,30.190001,30.299999,21.624311,1266500
2006-01-09,30.25,30.450001,30.24,30.42,21.709955,936400
2006-01-10,30.370001,30.5,30.32,30.450001,21.731363,780700
2006-01-11,30.5,30.5,29.969999,30.07,21.460171,945400
2006-01-12,29.92,30.360001,29.92,30.299999,21.624311,797100
2006-01-13,31.200001,31.200001,30.299999,30.43,21.717093,882700
2006-01-17,30.23,30.4,30.129999,30.360001,21.667137,626900
2006-01-18,30.280001,30.42,30.17,30.299999,21.624311,504600
2006-01-19,30.35,30.42,30.27,30.4,21.695677,646700
2006-01-20,30.4,30.49,30.299999,30.4,21.695677,1791300
2006-01-23,30.4,30.440001,30.09,30.280001,21.610037,905500
2006-01-24,30.25,30.379999,30.129999,30.200001,21.55295,868700
2006-01-25,30.190001,30.24,29.870001,30.049999,21.445892,642400
2006-01-26,30.08,30.24,29.889999,30.02,21.424488,940000
2006-01-27,29.969999,30.07,29.9,30.0,21.410206,1855600
2006-01-30,29.969999,30.059999,29.700001,30.040001,21.438759,867100
2006-01-31,30.0,30.08,29.83,29.93,21.360256,1178500
2006-02-01,29.860001,30.08,29.799999,30.040001,21.438759,1498000
2006-02-02,29.92,30.1,29.77,29.84,21.296019,807200
2006-02-03,29.690001,29.860001,29.58,29.709999,21.203249,819600
2006-02-06,29.6,29.75,29.559999,29.6,21.124741,601200
2006-02-07,29.530001,29.66,29.23,29.25,20.874956,1301100
2006-02-08,29.299999,29.299999,29.07,29.15,20.803593,1153000
2006-02-09,29.17,29.23,28.879999,29.1,20.767906,1546800
2006-02-10,28.98,29.35,28.98,29.26,20.882093,789200
2006-02-13,29.280001,29.559999,29.17,29.450001,21.017696,875300
2006-02-14,29.48,29.969999,29.469999,29.940001,21.367392,997400
2006-02-15,29.91,30.01,29.51,29.889999,21.331709,1022100
2006-02-16,29.959999,30.5,29.85,30.5,21.767052,1325200
2006-02-17,30.5,31.02,30.309999,30.65,21.874096,2259200
2006-02-21,30.639999,30.76,30.290001,30.41,21.702814,1237800
2006-02-22,30.41,30.99,30.4,30.959999,22.095333,1496700
2006-02-23,31.15,31.15,30.91,31.0,22.123884,1296100
2006-02-24,31.059999,31.16,30.9,31.15,22.230936,1021800
2006-02-27,31.0,31.26,30.879999,31.040001,22.152426,1018800
2006-02-28,31.0,31.16,30.74,31.129999,22.216667,1431800
2006-03-01,31.139999,31.139999,30.9,31.040001,22.152426,768300
2006-03-02,30.950001,31.07,30.77,31.030001,22.145298,1182700
2006-03-03,30.969999,31.08,30.85,30.99,22.116749,956700
2006-03-06,30.940001,31.049999,30.75,30.99,22.116749,804100
2006-03-07,30.99,31.25,30.83,31.209999,22.27375,786000
2006-03-08,31.209999,31.6,31.139999,31.450001,22.445042,1190900
2006-03-09,31.450001,31.82,31.440001,31.799999,22.694824,840700
