Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,8.486667,8.498333,8.241667,8.325,5.448606,10337400
2006-01-04,8.333333,8.361667,8.288333,8.303333,5.434425,9912000
2006-01-05,8.258333,8.3,8.166667,8.273334,5.414791,6822000
2006-01-06,8.266666,8.296667,8.096666,8.201667,5.367886,12070800
2006-01-09,8.221666,8.386666,8.221666,8.351666,5.466059,6876600
2006-01-10,8.333333,8.533334,8.305,8.506667,5.567505,11056200
2006-01-11,8.506667,8.571667,8.503333,8.541667,5.590412,8296200
2006-01-12,8.516666,8.536667,8.408334,8.441667,5.524963,8341800
2006-01-13,8.306666,8.496667,8.306666,8.463333,5.539143,6758400
2006-01-17,8.45,8.5,8.408334,8.451667,5.531509,6879000
2006-01-18,8.41,8.54,8.388333,8.47,5.543508,7438800
2006-01-19,8.541667,8.758333,8.531667,8.726666,5.711492,10990800
2006-01-20,8.733334,8.76,8.57,8.601666,5.629681,8181600
2006-01-23,8.696667,8.738334,8.603333,8.73,5.713673,8746200
2006-01-24,8.765,8.875,8.458333,8.458333,5.535871,22617000
2006-01-25,8.65,8.778334,8.551666,8.733334,5.715856,18764400
2006-01-26,8.811666,9.035,8.725,8.975,5.874024,15993600
2006-01-27,8.955,8.993333,8.866667,8.936666,5.848935,7001400
2006-01-30,8.903334,9.031667,8.891666,8.991667,5.88493,8179800
2006-01-31,8.955,8.98,8.831667,8.921667,5.839116,9294600
2006-02-01,8.916667,8.925,8.753333,8.808333,5.764942,9544200
2006-02-02,8.79,8.79,8.646667,8.668333,5.673313,9822600
2006-02-03,8.611667,8.711667,8.576667,8.641666,5.65586,7374000
2006-02-06,8.635,8.763333,8.621667,8.758333,5.732218,5388000
2006-02-07,8.733334,8.795,8.618333,8.666667,5.672224,7591800
2006-02-08,8.691667,8.691667,8.58,8.646667,5.659132,6510000
2006-02-09,8.666667,8.773334,8.638333,8.721666,5.708219,7560000
2006-02-10,8.711667,8.826667,8.636666,8.79,5.752942,6088200
2006-02-13,8.791667,8.791667,8.601666,8.621667,5.642771,5781600
2006-02-14,8.623333,8.968333,8.623333,8.91,5.831481,10486800
2006-02-15,8.91,9.116667,8.861667,9.103333,5.958014,13784400
2006-02-16,9.083333,9.083333,8.966666,9.07,5.936198,8383200
2006-02-17,9.033334,9.071667,8.958333,9.071667,5.937291,11488800
2006-02-21,9.066667,9.146667,9.015,9.098333,5.954741,10561200
2006-02-22,9.083333,9.25,9.061666,9.185,6.098605,8309400
2006-02-23,9.108334,9.181666,9.04,9.078333,6.02778,7962000
2006-02-24,9.041667,9.248333,9.038333,9.226666,6.126272,8513400
2006-02-27,9.221666,9.363334,9.208333,9.358334,6.213693,9403200
2006-02-28,9.291667,9.31,9.178333,9.23,6.128484,12237600
2006-03-01,9.25,9.428333,9.25,9.423333,6.256852,8054400
2006-03-02,9.366667,9.408334,9.301666,9.378333,6.226972,9054000
2006-03-03,9.325,9.461667,9.316667,9.393333,6.236934,6802200
2006-03-06,9.393333,9.396667,9.21,9.258333,6.147296,8133600
2006-03-07,9.246667,9.246667,9.02,9.1,6.042169,9292200
2006-03-08,9.008333,9.045,8.893333,9.041667,6.003435,12703800
2006-03-09,9.041667,9.148334,9.0,9.1,6.042169,7246200
2006-03-10,9.103333,9.22,9.066667,9.206667,6.112989,6585600
2006-03-13,9.216666,9.291667,9.17,9.263333,6.150616,5691000
2006-03-14,9.361667,9.461667,9.296667,9.425,6.257955,10960800
2006-03-15,9.525,9.958333,9.525,9.926666,6.591051,21610200
2006-03-16,9.975,9.975,9.783334,9.838333,6.5324,9715200
2006-03-17,9.916667,9.976666,9.793333,9.91,6.579984,11496600
2006-03-20,9.933333,9.983334,9.856667,9.928333,6.592159,6523200
2006-03-21,9.895,9.933333,9.738334,9.77,6.487031,12745200
2006-03-22,9.61,9.865,9.61,9.865,6.550107,8544000
2006-03-23,9.825,9.825,9.641666,9.733334,6.462683,10074000
2006-03-24,9.688334,9.86,9.643333,9.835,6.530188,5976600
2006-03-27,9.875,9.991667,9.851666,9.936666,6.597692,11383200
2006-03-28,9.916667,9.98,9.84,9.906667,6.57777,9012000
2006-03-29,9.891666,9.99,9.866667,9.97,6.619825,10267200
2006-03-30,9.975,10.063334,9.928333,9.996667,6.637531,12292800
2006-03-31,9.998333,10.066667,9.916667,9.966666,6.61761,7330200
2006-04-03,10.166667,10.311666,10.116667,10.251667,6.806843,15612600
2006-04-04,10.208333,10.416667,10.208333,10.416667,6.916399,14695200
2006-04-05,10.408334,10.566667,10.391666,10.533334,6.993864,10428600
2006-04-06,10.533334,10.568334,10.433333,10.538333,6.99718,7122000
2006-04-07,10.6,10.638333,10.383333,10.566667,7.015996,16126800
2006-04-10,10.5,10.541667,10.4,10.516666,6.982795,11480400
2006-04-11,10.658334,10.806666,10.6,10.698334,7.10342,20656800
2006-04-12,10.708333,10.823334,10.666667,10.811666,7.178667,9504600
2006-04-13,10.833333,10.9,10.773334,10.841666,7.198589,9709200
2006-04-17,10.783334,10.975,10.721666,10.796667,7.168712,8468400
2006-04-18,10.803333,11.221666,10.803333,11.211667,7.444261,15631800
2006-04-19,11.623333,11.891666,11.351666,11.461667,7.610252,37869600
2006-04-20,11.591666,11.601666,11.321667,11.371667,7.550493,20553000
2006-04-21,11.375,11.44,11.308333,11.346666,7.533896,21909600
2006-04-24,11.316667,11.425,11.308333,11.383333,7.558241,15066600
2006-04-25,11.383333,11.383333,11.083333,11.243333,7.465284,21502200
2006-04-26,11.258333,11.465,11.258333,11.465,7.612467,16185000
2006-04-27,11.425,11.503333,11.238334,11.285,7.49295,19089000
2006-04-28,11.291667,11.421667,11.243333,11.415,7.579267,9565800
2006-05-01,11.548333,11.743333,11.5,11.715,7.77846,14627400
2006-05-02,11.683333,11.988334,11.666667,11.983334,7.956626,18253800
2006-05-03,12.0,12.258333,11.995,12.196667,8.098271,17328600
2006-05-04,12.308333,12.363334,12.221666,12.286667,8.15803,12691800
2006-05-05,12.333333,12.441667,12.308333,12.365,8.210041,11321400
2006-05-08,12.326667,12.408334,12.166667,12.221666,8.114871,12170400
2006-05-09,12.18,12.226666,12.075,12.136666,8.058434,16422000
2006-05-10,12.133333,12.426666,12.128333,12.333333,8.189018,10324800
2006-05-11,12.333333,12.333333,12.155,12.186666,8.091636,8240400
2006-05-12,12.185,12.185,11.725,11.786667,7.826043,13839600
2006-05-15,11.765,11.885,11.635,11.848333,7.866987,13831200
2006-05-16,11.976666,12.08,11.743333,11.791667,7.829366,12350400
2006-05-17,11.791667,11.805,11.233334,11.348333,7.535002,16579800
2006-05-18,11.366667,11.533334,11.08,11.081667,7.35794,14742600
2006-05-19,11.191667,11.356667,11.006667,11.2,7.436511,13069200
2006-05-22,11.183333,11.196667,10.961667,11.111667,7.377858,16032600
2006-05-23,11.225,11.406667,11.078333,11.078333,7.442804,13378800
2006-05-24,11.033334,11.213333,10.78,10.953333,7.358826,13750200
2006-05-25,11.081667,11.188334,11.02,11.146667,7.488717,10151400
2006-05-26,11.255,11.278334,11.166667,11.221666,7.5391,8589600
2006-05-30,11.166667,11.203333,11.008333,11.033334,7.412574,8302200
2006-05-31,11.05,11.293333,11.018333,11.153334,7.493194,10341600
2006-06-01,11.15,11.25,11.071667,11.173333,7.506631,11233800
2006-06-02,11.246667,11.503333,11.226666,11.433333,7.681307,15282600
2006-06-05,11.408334,11.466666,11.048333,11.078333,7.442804,9721200
2006-06-06,11.05,11.166667,10.656667,10.828333,7.274845,17837400
2006-06-07,10.85,10.883333,10.51,10.523334,7.069938,13733400
2006-06-08,10.5,10.628333,10.083333,10.508333,7.05986,22812600
2006-06-09,10.533334,10.676666,10.273334,10.316667,6.931091,16035600
2006-06-12,10.353333,10.441667,10.105,10.131667,6.806803,12105000
2006-06-13,10.103333,10.471666,10.016666,10.185,6.842634,16593600
2006-06-14,10.201667,10.455,10.201667,10.311666,6.927732,15603000
2006-06-15,10.398334,10.808333,10.386666,10.798333,7.254691,18596400
2006-06-16,10.781667,10.9,10.631667,10.725,7.205428,12017400
2006-06-19,10.808333,10.83,10.5,10.615,7.131522,8985600
2006-06-20,10.615,10.795,10.585,10.611667,7.129282,8187600
2006-06-21,10.61,11.04,10.606667,11.025,7.406971,10387200
2006-06-22,11.015,11.043333,10.696667,10.815,7.265889,10835400
2006-06-23,10.83,11.008333,10.783334,10.91,7.329713,9820200
2006-06-26,10.925,11.018333,10.833333,11.005,7.393537,7274400
2006-06-27,11.011666,11.066667,10.776667,10.838333,7.281563,14407200
2006-06-28,10.84,11.258333,10.831667,11.24,7.551415,16060800
2006-06-29,11.3,11.571667,11.12,11.533334,7.748492,15724200
2006-06-30,11.64,11.781667,11.543333,11.74,7.887335,18452400
2006-07-03,11.766666,11.858334,11.71,11.761666,7.901893,6303600
2006-07-05,11.7,11.806666,11.541667,11.798333,7.926528,10622400
2006-07-06,11.7,11.713333,11.321667,11.403334,7.661154,13965000
2006-07-07,11.391666,11.433333,11.071667,11.221666,7.5391,13768200
2006-07-10,11.263333,11.365,11.151667,11.323334,7.607404,8386200
2006-07-11,11.298333,11.486667,11.228333,11.475,7.709301,7737600
2006-07-12,11.501667,11.518333,11.005,11.066667,7.434969,15469800
2006-07-13,11.0,11.038333,10.726666,10.758333,7.22782,18564000
2006-07-14,10.75,10.78,10.458333,10.746667,7.219983,12789600
2006-07-17,10.733334,10.811666,10.611667,10.641666,7.149438,11525400
2006-07-18,10.656667,10.943334,10.521667,10.903334,7.325236,17480400
2006-07-19,10.605,11.058333,10.468333,10.991667,7.384583,37188600
2006-07-20,11.048333,11.223333,10.555,10.558333,7.09345,23343000
2006-07-21,10.571667,10.583333,10.166667,10.323334,6.935572,20739000
2006-07-24,10.333333,10.595,10.325,10.588333,7.113606,14211600
2006-07-25,10.466666,10.49,10.166667,10.468333,7.032989,25063800
2006-07-26,10.381667,10.39,9.845,9.848333,6.616448,45824400
2006-07-27,9.925,10.125,9.916667,9.996667,6.716106,25448400
2006-07-28,9.996667,10.148334,9.886666,10.073334,6.767612,19392000
2006-07-31,10.066667,10.145,9.928333,10.113334,6.794485,10463400
2006-08-01,10.018333,10.026667,9.853333,9.958333,6.690351,18205800
2006-08-02,9.986667,10.158334,9.961667,10.146667,6.816878,12682800
2006-08-03,10.045,10.545,10.025,10.491667,7.048662,19273200
2006-08-04,10.63,10.7,10.208333,10.323334,6.935572,17554800
2006-08-07,10.316667,10.44,10.226666,10.276667,6.904217,14071200
2006-08-08,10.311666,10.415,10.18,10.225,6.869507,10363800
2006-08-09,10.316667,10.32,9.85,9.878333,6.636604,14188200
2006-08-10,9.833333,10.023334,9.79,9.981667,6.706028,13569000
2006-08-11,9.998333,10.01,9.775,9.821667,6.598533,8668800
2006-08-14,9.821667,10.0,9.82,9.883333,6.639963,10458600
2006-08-15,10.041667,10.261666,9.943334,10.238334,6.878466,12928800
2006-08-16,10.466666,10.5,10.273334,10.463333,7.029628,12993600
2006-08-17,10.47,10.58,10.336667,10.373333,6.969162,8005800
2006-08-18,10.37,10.383333,10.2,10.303333,6.922133,11683500
2006-08-21,10.226666,10.25,10.033334,10.04,6.745217,8928300
2006-08-22,9.99,10.203333,9.966666,10.143333,6.81464,7063800
2006-08-23,10.126667,10.22,9.96,9.97,6.764882,6393900
2006-08-24,9.98,10.02,9.633333,9.73,6.602035,11844600
2006-08-25,9.573334,9.936666,9.533334,9.896667,6.715124,11214600
2006-08-28,9.916667,10.156667,9.916667,10.016666,6.796548,9569700
2006-08-29,10.043333,10.043333,9.83,9.956667,6.755836,8282100
2006-08-30,9.93,10.076667,9.81,9.916667,6.728692,8200500
2006-08-31,9.996667,10.15,9.95,10.073334,6.834995,6772200
2006-09-01,10.083333,10.16,9.97,10.13,6.873446,6217500
2006-09-05,10.126667,10.143333,9.986667,10.013333,6.794284,9648300
2006-09-06,10.003333,10.113334,9.946667,9.976666,6.769405,10344600
2006-09-07,9.893333,10.136666,9.873333,10.093333,6.848566,10277100
2006-09-08,10.066667,10.226666,10.066667,10.1,6.85309,11405400
2006-09-11,10.05,10.076667,9.933333,9.98,6.771667,13132800
2006-09-12,10.04,10.283334,10.033334,10.273334,6.970701,18452100
2006-09-13,10.326667,10.693334,10.286667,10.596666,7.190092,15890400
2006-09-14,10.596666,10.796667,10.55,10.72,7.273776,12095700
2006-09-15,10.883333,10.89,10.476666,10.536667,7.149381,10703700
2006-09-18,10.56,10.796667,10.473333,10.766666,7.30544,12529800
2006-09-19,10.663333,10.71,10.336667,10.433333,7.079265,13349700
2006-09-20,10.5,10.643333,10.366667,10.433333,7.079265,10143300
2006-09-21,10.433333,10.463333,10.15,10.183333,6.909634,12390600
2006-09-22,10.193334,10.283334,10.06,10.19,6.914158,6234300
2006-09-25,10.133333,10.256667,9.936666,10.213333,6.92999,13581900
2006-09-26,10.2,10.766666,10.2,10.723333,7.276036,16888800
2006-09-27,10.72,10.91,10.673333,10.853333,7.364244,15447900
2006-09-28,10.873333,10.96,10.843333,10.893333,7.391389,12268500
2006-09-29,10.84,11.083333,10.773334,10.943334,7.425309,14052000
2006-10-02,10.903334,11.026667,10.836667,10.983334,7.452451,10709700
2006-10-03,10.903334,11.12,10.846666,11.073334,7.513519,10494000
2006-10-04,10.993333,11.286667,10.956667,11.253333,7.635653,11837400
2006-10-05,11.216666,11.396667,11.103333,11.37,7.714815,12190800
2006-10-06,11.33,11.333333,11.09,11.236667,7.624346,5872200
2006-10-09,11.233334,11.37,11.11,11.236667,7.624346,5071200
2006-10-10,11.283334,11.5,11.233334,11.413333,7.744217,11297400
2006-10-11,11.333333,11.4,11.19,11.273334,7.649226,11626800
2006-10-12,11.326667,11.44,11.306666,11.42,7.748742,6484800
2006-10-13,11.43,11.633333,11.366667,11.59,7.864092,7210500
2006-10-16,11.506667,11.996667,11.503333,11.966666,8.119666,11366700
2006-10-17,11.88,11.933333,11.606667,11.743333,7.968131,11954700
2006-10-18,12.043333,12.296667,11.61,11.703333,7.940989,21348600
2006-10-19,11.566667,11.913333,11.456667,11.86,8.047292,9522600
2006-10-20,11.966666,12.04,11.843333,11.996667,8.140019,13245300
2006-10-23,11.966666,12.21,11.84,12.053333,8.178473,14163900
2006-10-24,12.096666,12.206667,11.96,12.176666,8.262158,17088900
2006-10-25,12.243333,12.766666,12.17,12.636666,8.574278,20794200
2006-10-26,12.603333,12.666667,12.36,12.47,8.461191,11260500
2006-10-27,12.34,12.48,12.113334,12.146667,8.241804,10487100
2006-10-30,12.123333,12.166667,11.98,12.053333,8.178473,16439400
2006-10-31,12.043333,12.15,11.846666,11.89,8.067648,16018200
2006-11-01,11.916667,12.083333,11.74,11.776667,7.990746,15796500
2006-11-02,11.766666,12.013333,11.713333,11.976666,8.126453,8082300
2006-11-03,12.053333,12.116667,11.783334,11.91,8.081219,7568700
2006-11-06,11.91,12.1,11.91,12.043333,8.171685,18005100
2006-11-07,11.95,12.273334,11.933333,12.196667,8.275729,12039000
2006-11-08,12.093333,12.32,12.086667,12.27,8.325486,11037900
2006-11-09,12.333333,12.44,12.226666,12.253333,8.314178,10331400
2006-11-10,12.273334,12.276667,12.113334,12.263333,8.320962,8800500
2006-11-13,12.263333,12.383333,12.233334,12.313334,8.354887,9403200
2006-11-14,12.416667,12.443334,11.806666,12.083333,8.19883,20093100
2006-11-15,12.146667,12.226666,12.03,12.12,8.223711,9651000
2006-11-16,12.166667,12.466666,12.123333,12.426666,8.431786,11807100
2006-11-17,12.366667,12.373333,12.073334,12.126667,8.22823,11157000
2006-11-20,12.1,12.166667,12.053333,12.146667,8.241804,9078300
2006-11-21,12.043333,12.23,12.043333,12.193334,8.342143,9048000
2006-11-22,12.156667,12.276667,11.913333,12.253333,8.383192,10344900
2006-11-24,12.213333,12.216666,12.036667,12.073334,8.260045,3386400
2006-11-27,11.99,12.073334,11.95,12.016666,8.221277,8967900
2006-11-28,11.903334,11.97,11.563334,11.683333,7.993226,17242500
2006-11-29,11.706667,11.936666,11.683333,11.783334,8.061641,15448500
2006-11-30,11.78,12.27,11.763333,11.953333,8.177948,26601300
2006-12-01,12.02,12.093333,11.883333,12.02,8.223559,21681900
2006-12-04,12.026667,12.21,12.026667,12.183333,8.335304,12643200
2006-12-05,12.24,12.63,12.21,12.596666,8.618088,13721700
2006-12-06,12.41,12.466666,12.113334,12.17,8.326181,14338800
2006-12-07,12.173333,12.28,12.0,12.256667,8.385478,14085300
2006-12-08,12.266666,12.443334,12.056666,12.256667,8.385478,14834700
2006-12-11,12.213333,12.306666,12.15,12.236667,8.371791,7833300
2006-12-12,12.236667,12.293333,12.023334,12.22,8.360387,12044400
2006-12-13,11.616667,12.056666,11.603333,11.67,7.984101,24107700
2006-12-14,11.623333,12.183333,11.593333,12.176666,8.330742,17682300
2006-12-15,12.2,12.233334,11.773334,11.806666,8.077602,15926700
2006-12-18,11.806666,11.806666,11.646667,11.683333,7.993226,14895600
2006-12-19,11.643333,11.643333,11.486667,11.536667,7.892882,15779400
2006-12-20,11.316667,11.483334,11.253333,11.303333,7.733246,20095200
2006-12-21,11.54,11.54,11.283334,11.42,7.813062,14681100
2006-12-22,11.666667,11.666667,11.183333,11.31,7.737807,8744100
2006-12-26,11.3,11.413333,11.286667,11.393333,7.794823,5729400
2006-12-27,11.406667,11.646667,11.37,11.63,7.956737,8267100
2006-12-28,11.546667,11.683333,11.51,11.64,7.963579,6212700
2006-12-29,11.573334,11.696667,11.476666,11.476666,7.851832,8370000
2007-01-03,11.586667,11.77,11.416667,11.58,7.922528,19068300
2007-01-04,11.596666,11.683333,11.486667,11.666667,7.981825,12264600
2007-01-05,11.526667,11.666667,11.383333,11.426666,7.817624,13724100
2007-01-08,11.403334,11.58,11.29,11.556666,7.906566,10601100
2007-01-09,11.55,11.76,11.34,11.42,7.813062,10473600
2007-01-10,11.663333,11.663333,11.166667,11.296667,7.728686,11474400
2007-01-11,11.366667,11.453333,11.323334,11.42,7.813062,10230600
2007-01-12,11.48,11.583333,11.346666,11.566667,7.913404,9676200
2007-01-16,11.493333,11.92,11.466666,11.866667,8.118654,22692900
2007-01-17,11.8,11.94,11.733334,11.8,8.073044,13573500
2007-01-18,11.843333,12.053333,11.776667,11.846666,8.10497,12496200
2007-01-19,11.863334,12.08,11.773334,11.91,8.1483,12831600
2007-01-22,11.876667,11.916667,11.603333,11.7,8.004628,12491100
2007-01-23,11.5,12.333333,11.436666,12.22,8.360387,22223700
2007-01-24,12.2,12.226666,11.953333,12.13,8.298814,11861700
