Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,12.485,12.745,12.2675,12.6675,12.555143,7660800
2006-01-04,12.7225,12.765,12.5,12.745,12.631957,5683600
2006-01-05,12.7175,12.7675,12.515,12.5725,12.460985,5012000
2006-01-06,12.73,12.925,12.61,12.8375,12.723635,3900000
2006-01-09,12.8225,13.11,12.8125,13.0625,12.94664,5664400
2006-01-10,13.0625,13.1625,12.86,12.9225,12.807881,5090400
2006-01-11,12.3225,12.8575,12.32,12.595,12.483287,10697200
2006-01-12,12.535,12.55,12.3625,12.43,12.31975,6162800
2006-01-13,12.455,12.5,12.3,12.3375,12.22807,3731600
2006-01-17,12.3475,12.44,12.165,12.3,12.190905,5843600
2006-01-18,12.1675,12.71,12.1275,12.625,12.51302,6974800
2006-01-19,12.65,13.0675,12.575,13.0,12.884694,7962000
2006-01-20,12.9225,12.955,12.4775,12.49,12.379217,5988400
2006-01-23,12.555,12.7075,12.3425,12.3675,12.257804,4749200
2006-01-24,12.38,12.715,12.365,12.6725,12.560099,4137200
2006-01-25,12.67,12.7225,12.4,12.4425,12.33214,3504000
2006-01-26,12.5975,12.7125,12.4625,12.6075,12.495676,3531200
2006-01-27,12.6825,12.895,12.555,12.725,12.612134,4577600
2006-01-30,12.7225,12.9375,12.7225,12.8725,12.758326,5362400
2006-01-31,12.9125,13.115,12.825,13.0925,12.976374,4603600
2006-02-01,12.9925,13.2,12.91,13.08,12.963984,3996800
2006-02-02,13.2175,13.3125,12.82,12.87,12.755847,5984000
2006-02-03,12.7525,12.8025,12.565,12.6575,12.545233,3084000
2006-02-06,12.59,12.7775,12.58,12.7,12.587356,4794000
2006-02-07,12.66,13.0275,12.5825,12.9425,12.827704,9810400
2006-02-08,12.9025,13.0775,12.4125,12.5375,12.426297,8229200
2006-02-09,13.565,14.075,13.565,13.7625,13.64043,21727600
2006-02-10,13.72,13.905,13.6775,13.8125,13.689988,8884000
2006-02-13,13.795,13.7975,13.4375,13.6375,13.51654,6068000
2006-02-14,13.4975,13.7375,13.4,13.6725,13.551229,4920000
2006-02-15,13.675,13.91,13.525,13.78,13.657776,5327600
2006-02-16,13.87,13.89,13.6175,13.805,13.682554,3216800
2006-02-17,13.8475,14.0125,13.725,13.81,13.68751,4323600
2006-02-21,13.7975,13.9475,13.5175,13.665,13.543797,3664000
2006-02-22,13.65,14.3025,13.6225,14.1675,14.041838,5794000
2006-02-23,14.1175,14.4,14.0625,14.1825,14.056705,3957600
2006-02-24,14.2075,14.38,14.1525,14.355,14.227674,3076000
2006-02-27,14.34,14.7625,14.34,14.6,14.470503,4474400
2006-02-28,14.575,14.6,14.175,14.4025,14.274755,5086800
2006-03-01,14.395,14.765,14.2875,14.6975,14.567138,6058800
2006-03-02,14.6575,14.67,14.3525,14.565,14.435813,5100800
2006-03-03,14.4825,14.85,14.345,14.6825,14.55227,3740800
2006-03-06,14.6875,14.7,14.07,14.1225,13.997238,4384800
2006-03-07,14.09,14.155,13.9675,14.1275,14.002193,4786800
2006-03-08,14.065,14.0925,13.8575,13.92,13.796534,4408000
2006-03-09,14.0275,14.11,13.8425,13.845,13.722199,2835200
2006-03-10,13.835,14.2425,13.735,14.0325,13.908036,3705200
2006-03-13,14.0525,14.305,14.0525,14.16,14.034406,2624800
2006-03-14,14.1225,14.2775,14.02,14.2775,14.150863,2712000
2006-03-15,14.275,14.3675,14.0975,14.3675,14.240065,3347600
2006-03-16,14.31,14.375,14.115,14.1875,14.061662,4534000
2006-03-17,14.19,14.31,14.1025,14.2675,14.140951,3778800
2006-03-20,14.205,14.31,13.975,13.9825,13.85848,3029200
2006-03-21,13.84,14.155,13.775,13.84,13.717243,4855200
2006-03-22,13.7575,14.1275,13.725,14.09,13.965027,3570400
2006-03-23,14.0425,14.37,13.9175,14.3075,14.180596,5078000
2006-03-24,14.37,14.46,14.28,14.42,14.292099,3800000
2006-03-27,14.4325,14.4925,14.2275,14.415,14.287144,3732800
2006-03-28,14.485,14.9925,14.425,14.735,14.604304,6731600
2006-03-29,14.7475,15.145,14.7225,15.04,14.9066,5083600
2006-03-30,15.055,15.125,14.725,14.8925,14.760408,5427200
2006-03-31,14.9225,14.97,14.6475,14.8725,14.740586,3785200
2006-04-03,14.9575,14.995,14.745,14.895,14.762887,5198000
2006-04-04,14.8725,15.305,14.8175,15.2575,15.12217,5160800
2006-04-05,15.1975,15.2425,14.88,14.9225,14.790142,6038000
2006-04-06,14.87,14.9425,14.635,14.6875,14.557227,6251600
2006-04-07,14.6775,14.7725,14.41,14.515,14.386256,3664800
2006-04-10,14.4975,14.525,14.315,14.3625,14.235109,4294000
2006-04-11,14.4325,14.4975,14.1125,14.22,14.093873,4257200
2006-04-12,14.61,14.95,14.43,14.89,14.757931,9231600
2006-04-13,14.9025,14.935,14.6,14.905,14.772797,3285600
2006-04-17,15.1275,15.735,15.125,15.5975,15.459155,12048800
2006-04-18,15.665,15.8975,15.6325,15.825,15.684637,5369600
2006-04-19,15.885,15.95,15.6,15.9,15.758971,6272000
2006-04-20,15.92,16.27,15.895,15.9825,15.84074,5460800
2006-04-21,15.97,16.012501,15.5325,15.725,15.585525,5108000
2006-04-24,15.6875,15.91,15.51,15.845,15.704461,3491200
2006-04-25,15.89,15.9625,15.72,15.845,15.704461,2586000
2006-04-26,15.92,16.0,15.6375,15.675,15.535969,3406000
2006-04-27,15.625,16.1075,15.4625,15.835,15.694548,4756800
2006-04-28,15.975,16.084999,15.8175,15.9025,15.761451,2957200
2006-05-01,16.1,16.105,15.4575,15.5225,15.384821,6219600
2006-05-02,15.6375,15.6375,15.1875,15.265,15.129604,8204400
2006-05-03,16.6,17.4175,16.5175,16.7225,16.574177,19376000
2006-05-04,16.82,17.275,16.684999,17.1,16.948326,5171200
2006-05-05,17.16,17.327499,16.975,17.252501,17.099476,3360000
2006-05-08,17.25,17.297501,16.875,17.202499,17.049917,4676800
2006-05-09,17.1875,17.25,17.059999,17.24,17.087088,3458400
2006-05-10,17.1875,17.2775,17.0275,17.147499,16.995407,4513600
2006-05-11,17.157499,17.3675,16.8225,17.0875,16.935938,6256400
2006-05-12,17.049999,17.049999,16.35,16.389999,16.244627,7744800
2006-05-15,16.275,16.59,16.264999,16.51,16.363562,5120400
2006-05-16,16.465,16.674999,16.35,16.625,16.477541,6473600
2006-05-17,16.58,16.6425,15.9575,16.0725,15.929942,7370800
2006-05-18,16.0875,16.195,15.9375,15.99,15.848172,5949200
2006-05-19,15.9775,16.1975,15.67,16.049999,15.907642,6632400
2006-05-22,15.9875,15.9875,15.1425,15.505,15.367476,11400400
2006-05-23,15.945,16.077499,15.75,15.8125,15.672248,7214800
2006-05-24,15.625,15.8075,14.8525,15.2075,15.072616,9309200
2006-05-25,15.305,15.4375,15.1475,15.325,15.189073,7047200
2006-05-26,15.4,15.45,14.96,15.0025,14.869432,5874800
2006-05-30,14.975,15.0925,14.415,14.5275,14.398646,6822400
2006-05-31,14.4725,14.885,14.3425,14.75,14.619172,8414400
2006-06-01,14.75,15.6075,14.75,15.5125,15.374908,10674000
2006-06-02,15.705,15.975,15.34,15.7075,15.568179,6098800
2006-06-05,15.645,15.775,15.2575,15.295,15.159338,4539200
2006-06-06,15.3,15.585,15.1575,15.52,15.382343,6824000
2006-06-07,15.4725,15.62,15.23,15.265,15.129604,3649600
2006-06-08,15.1225,15.3925,14.7175,15.315,15.17916,9046400
2006-06-09,15.4125,16.055,15.325,15.4475,15.310486,8534000
2006-06-12,15.5325,15.7225,14.78,14.8,14.668728,6046400
2006-06-13,14.75,14.995,14.31,14.625,14.49528,7620000
2006-06-14,14.575,14.795,14.3825,14.7625,14.631561,5066000
2006-06-15,15.0125,15.8125,15.0125,15.7525,15.612781,6421600
2006-06-16,15.75,15.9425,15.55,15.905,15.763927,7355200
2006-06-19,15.8925,16.0375,15.35,15.5525,15.414554,8330800
2006-06-20,15.525,15.6825,15.1575,15.62,15.481456,7348400
2006-06-21,15.7125,16.307501,15.665,16.227501,16.083569,9792000
2006-06-22,16.1775,16.262501,15.8675,16.202499,16.058788,4152400
2006-06-23,16.102501,16.842501,16.09,16.639999,16.492407,5978000
2006-06-26,16.682501,16.735001,16.355,16.584999,16.437895,3215600
2006-06-27,16.625,16.655001,15.905,15.97,15.828351,6167200
2006-06-28,16.067499,16.067499,15.575,15.9,15.758971,6989600
2006-06-29,16.035,16.852501,15.955,16.852501,16.703024,6557600
2006-06-30,16.9175,17.09,16.790001,16.842501,16.693111,6947600
2006-07-03,16.950001,17.137501,16.842501,17.112499,16.960716,1895200
2006-07-05,17.0875,17.094999,16.5,16.645,16.497366,5075600
2006-07-06,16.76,17.094999,16.690001,16.987499,16.836824,3422400
2006-07-07,16.940001,16.9625,16.3475,16.407499,16.261971,5434400
2006-07-10,16.4275,16.540001,15.8275,15.98,15.838263,5521600
2006-07-11,15.85,15.895,15.3775,15.895,15.754017,9142400
2006-07-12,16.504999,16.84,16.25,16.2925,16.147991,13727200
2006-07-13,16.227501,16.450001,15.8,15.915,15.773839,4958000
2006-07-14,15.9925,15.9925,15.455,15.625,15.486411,5040800
2006-07-17,15.5625,15.705,15.375,15.5025,15.364997,3052800
2006-07-18,15.575,15.645,15.1375,15.605,15.466588,7159200
2006-07-19,15.575,16.372499,15.575,16.165001,16.021622,7486400
