Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,7.99,8.086667,7.833333,8.066667,8.066667,3057000
2006-01-04,8.043333,8.19,7.96,8.13,8.13,2937600
2006-01-05,8.116667,8.17,8.066667,8.11,8.11,3794400
2006-01-06,8.166667,8.29,7.976666,8.08,8.08,2907600
2006-01-09,8.096666,8.493333,8.04,8.32,8.32,5231600
2006-01-10,8.326667,8.346666,8.216666,8.253333,8.253333,2723000
2006-01-11,8.276667,8.293333,8.163333,8.21,8.21,2407200
2006-01-12,8.166667,8.333333,8.11,8.186666,8.186666,3639000
2006-01-13,8.133333,8.323334,8.133333,8.283334,8.283334,1497000
2006-01-17,8.25,8.28,8.113334,8.156667,8.156667,1809600
2006-01-18,8.073334,8.27,8.03,8.186666,8.186666,1527000
2006-01-19,8.186666,8.263333,8.16,8.22,8.22,1585400
2006-01-20,8.15,8.273334,8.063334,8.103333,8.103333,1738200
2006-01-23,8.16,8.186666,8.09,8.09,8.09,1372800
2006-01-24,8.156667,8.25,8.083333,8.193334,8.193334,1603200
2006-01-25,8.19,8.273334,8.146667,8.176666,8.176666,1312400
2006-01-26,8.233334,8.313334,8.196667,8.276667,8.276667,1638800
2006-01-27,8.3,8.406667,8.273334,8.343333,8.343333,2007200
2006-01-30,8.326667,8.373333,8.196667,8.22,8.22,1136600
2006-01-31,8.203333,8.336667,8.15,8.266666,8.266666,2178000
2006-02-01,8.216666,8.273334,8.113334,8.196667,8.196667,2582400
2006-02-02,8.55,8.93,8.5,8.86,8.86,7004000
2006-02-03,8.893333,9.23,8.843333,9.066667,9.066667,7342200
2006-02-06,9.04,9.066667,8.96,8.996667,8.996667,3034800
2006-02-07,8.963333,9.136666,8.876667,9.03,9.03,2500200
2006-02-08,9.1,9.203333,9.03,9.073334,9.073334,4815000
2006-02-09,9.106667,9.22,8.99,9.0,9.0,3216200
2006-02-10,8.98,9.053333,8.946667,9.036667,9.036667,2327400
2006-02-13,9.0,9.1,8.963333,9.033334,9.033334,2940000
2006-02-14,9.033334,9.43,9.033334,9.35,9.35,3635000
2006-02-15,9.333333,9.536667,9.256667,9.446667,9.446667,3787800
2006-02-16,9.446667,9.476666,9.346666,9.463333,9.463333,2100600
2006-02-17,9.463333,9.55,9.383333,9.523334,9.523334,3341400
2006-02-21,9.55,9.56,9.44,9.516666,9.516666,5334600
2006-02-22,9.166667,9.286667,9.126667,9.206667,9.206667,14468000
2006-02-23,9.14,9.353333,9.07,9.193334,9.193334,7470000
2006-02-24,9.08,9.166667,8.986667,9.15,9.15,4022600
2006-02-27,9.13,9.243333,9.11,9.166667,9.166667,2331000
2006-02-28,9.17,9.24,9.046667,9.14,9.14,2853600
2006-03-01,9.183333,9.326667,9.103333,9.276667,9.276667,2685000
2006-03-02,9.21,9.256667,8.996667,9.04,9.04,2936600
2006-03-03,8.99,9.22,8.94,9.113334,9.113334,2797800
2006-03-06,9.146667,9.213333,9.033334,9.15,9.15,2214200
2006-03-07,9.05,9.096666,8.76,8.803333,8.803333,4177400
2006-03-08,8.763333,8.9,8.75,8.8,8.8,4626200
2006-03-09,8.786667,8.83,8.683333,8.696667,8.696667,2278200
2006-03-10,8.713333,8.936666,8.616667,8.823334,8.823334,3837200
2006-03-13,8.816667,8.983334,8.816667,8.896667,8.896667,2556000
2006-03-14,8.86,8.933333,8.76,8.88,8.88,2630600
2006-03-15,8.903334,8.966666,8.863334,8.943334,8.943334,2303600
2006-03-16,8.94,9.083333,8.926666,9.046667,9.046667,2177000
2006-03-17,9.036667,9.163333,9.023334,9.123333,9.123333,2073800
2006-03-20,9.153334,9.153334,9.006667,9.13,9.13,1661400
2006-03-21,8.97,9.073334,8.926666,8.97,8.97,5231400
2006-03-22,8.94,8.953333,8.813334,8.886666,8.886666,3639600
2006-03-23,8.85,9.326667,8.843333,9.183333,9.183333,4434600
2006-03-24,9.193334,9.27,9.133333,9.196667,9.196667,3209000
2006-03-27,9.176666,9.293333,9.176666,9.256667,9.256667,1444200
2006-03-28,9.226666,9.273334,9.19,9.233334,9.233334,3007400
2006-03-29,9.263333,9.323334,9.203333,9.32,9.32,1470800
2006-03-30,9.333333,9.383333,9.276667,9.33,9.33,2933600
2006-03-31,9.366667,9.366667,9.196667,9.223333,9.223333,2390400
2006-04-03,9.236667,9.333333,9.23,9.24,9.24,3212400
2006-04-04,9.233334,9.463333,9.203333,9.386666,9.386666,3442200
2006-04-05,9.376667,9.403334,9.293333,9.3,9.3,3123600
2006-04-06,9.316667,9.34,9.17,9.303333,9.303333,3516200
2006-04-07,9.366667,9.463333,9.176666,9.223333,9.223333,1977000
2006-04-10,9.246667,9.246667,8.983334,9.013333,9.013333,3630600
2006-04-11,8.99,8.993333,8.653334,8.67,8.67,5778800
2006-04-12,8.64,8.77,8.636666,8.68,8.68,2582000
2006-04-13,8.696667,8.763333,8.65,8.72,8.72,2477400
2006-04-17,8.69,8.753333,8.6,8.67,8.67,2981000
2006-04-18,8.656667,8.79,8.606667,8.69,8.69,2626400
2006-04-19,8.666667,8.716666,8.626667,8.68,8.68,3408200
2006-04-20,8.626667,8.916667,8.586667,8.846666,8.846666,3354200
2006-04-21,8.84,8.896667,8.6,8.65,8.65,2972000
2006-04-24,8.633333,8.713333,8.533334,8.616667,8.616667,2501000
2006-04-25,8.613334,8.72,8.566667,8.586667,8.586667,2561000
2006-04-26,8.616667,8.75,8.58,8.666667,8.666667,1821000
2006-04-27,8.68,8.833333,8.586667,8.813334,8.813334,1961000
2006-04-28,8.756667,8.803333,8.67,8.69,8.69,1669200
2006-05-01,8.686666,8.833333,8.58,8.636666,8.636666,3954200
2006-05-02,8.686666,8.8,8.533334,8.77,8.77,1990400
2006-05-03,8.763333,8.8,8.666667,8.763333,8.763333,1680800
2006-05-04,8.993333,9.08,8.796667,8.913333,8.913333,2103800
2006-05-05,8.926666,8.983334,8.77,8.85,8.85,2740200
2006-05-08,8.87,9.27,8.84,9.17,9.17,3855800
2006-05-09,9.143333,9.296667,9.086667,9.143333,9.143333,3100200
2006-05-10,9.123333,9.226666,9.013333,9.156667,9.156667,2516000
2006-05-11,9.12,9.196667,9.03,9.04,9.04,1838400
2006-05-12,9.033334,9.056666,8.91,8.936666,8.936666,1762800
2006-05-15,8.866667,8.96,8.756667,8.953333,8.953333,2890200
2006-05-16,8.936666,8.98,8.76,8.84,8.84,1947800
2006-05-17,8.81,8.856667,8.66,8.783334,8.783334,2150600
2006-05-18,8.826667,8.863334,8.72,8.766666,8.766666,2673800
2006-05-19,8.803333,8.866667,8.666667,8.816667,8.816667,1442400
2006-05-22,8.71,8.836667,8.556666,8.776667,8.776667,3188600
2006-05-23,8.8,8.916667,8.686666,8.796667,8.796667,2698800
2006-05-24,9.013333,9.083333,8.256667,8.47,8.47,8819600
2006-05-25,8.583333,8.703333,8.51,8.61,8.61,3456600
2006-05-26,8.586667,8.736667,8.566667,8.733334,8.733334,2966600
2006-05-30,8.72,8.72,8.583333,8.656667,8.656667,2861600
2006-05-31,8.666667,8.81,8.656667,8.81,8.81,4532600
2006-06-01,8.833333,8.853333,8.663333,8.74,8.74,3354000
2006-06-02,8.8,8.816667,8.56,8.65,8.65,3006600
2006-06-05,8.61,8.693334,8.493333,8.516666,8.516666,2517600
2006-06-06,8.26,8.3,7.966667,8.15,8.15,10488600
2006-06-07,8.19,8.25,8.1,8.18,8.18,7382600
2006-06-08,8.203333,8.513333,8.176666,8.486667,8.486667,6311400
2006-06-09,8.496667,8.53,8.34,8.453333,8.453333,5499600
2006-06-12,8.47,8.596666,8.446667,8.536667,8.536667,3556400
2006-06-13,8.506667,8.54,8.373333,8.45,8.45,2977400
2006-06-14,8.45,8.576667,8.383333,8.563334,8.563334,4347200
2006-06-15,8.586667,8.706667,8.55,8.626667,8.626667,3542400
2006-06-16,8.64,8.773334,8.633333,8.673333,8.673333,3266000
2006-06-19,8.646667,8.706667,8.5,8.553333,8.553333,2016800
2006-06-20,8.556666,8.6,8.476666,8.503333,8.503333,1505600
2006-06-21,8.49,8.706667,8.453333,8.65,8.65,1652000
2006-06-22,8.67,8.72,8.566667,8.69,8.69,1327800
2006-06-23,8.666667,8.706667,8.576667,8.633333,8.633333,1615200
2006-06-26,8.633333,8.843333,8.633333,8.766666,8.766666,2190000
2006-06-27,8.82,8.853333,8.626667,8.643333,8.643333,1845600
2006-06-28,8.626667,8.68,8.47,8.65,8.65,1608800
2006-06-29,8.69,8.75,8.513333,8.67,8.67,6175400
2006-06-30,8.66,8.863334,8.646667,8.833333,8.833333,4954400
2006-07-03,8.816667,9.003333,8.766666,8.99,8.99,2073200
2006-07-05,8.99,8.99,8.736667,8.83,8.83,2804600
2006-07-06,8.82,8.983334,8.82,8.923333,8.923333,2524200
2006-07-07,8.886666,8.896667,8.746667,8.796667,8.796667,4263800
2006-07-10,8.783334,8.956667,8.783334,8.93,8.93,2392200
2006-07-11,8.893333,8.93,8.773334,8.883333,8.883333,1966800
2006-07-12,8.846666,8.953333,8.75,8.81,8.81,2595000
2006-07-13,8.74,8.74,8.386666,8.446667,8.446667,4542800
2006-07-14,8.453333,8.653334,8.446667,8.58,8.58,3240200
2006-07-17,8.59,8.706667,8.486667,8.54,8.54,2901800
2006-07-18,8.533334,8.58,8.273334,8.356667,8.356667,3846200
2006-07-19,8.33,8.636666,8.31,8.483334,8.483334,2718600
2006-07-20,8.473333,8.553333,8.44,8.483334,8.483334,2894400
2006-07-21,8.456667,8.463333,8.273334,8.366667,8.366667,2924400
2006-07-24,8.43,8.706667,8.4,8.686666,8.686666,2642600
2006-07-25,8.66,8.773334,8.6,8.733334,8.733334,1585200
2006-07-26,8.696667,8.786667,8.6,8.663333,8.663333,1236200
2006-07-27,8.676666,8.766666,8.55,8.586667,8.586667,1942400
2006-07-28,8.613334,8.843333,8.606667,8.803333,8.803333,2240600
2006-07-31,8.78,8.963333,8.78,8.866667,8.866667,1944200
2006-08-01,8.82,8.903334,8.64,8.716666,8.716666,2129000
2006-08-02,8.73,8.763333,8.54,8.653334,8.653334,2321600
2006-08-03,8.85,9.666667,8.843333,9.55,9.55,11434200
2006-08-04,9.6,9.8,9.52,9.67,9.67,5560400
2006-08-07,9.623333,9.673333,9.376667,9.49,9.49,4506000
