Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,43.66,44.810001,43.16,44.77,31.375704,1654000
2006-01-04,44.98,46.0,44.130001,45.25,31.712095,2351100
2006-01-05,45.599998,46.0,44.700001,44.830002,31.417738,1924000
2006-01-06,44.900002,45.09,44.5,45.009998,31.5439,1475900
2006-01-09,44.880001,45.049999,44.41,44.48,31.172459,977200
2006-01-10,44.240002,45.419998,44.119999,45.290001,31.740107,2156600
2006-01-11,45.43,45.849998,45.080002,45.200001,31.677042,2002200
2006-01-12,45.48,45.900002,45.259998,45.560001,31.929335,1629500
2006-01-13,45.709999,45.900002,45.389999,45.77,32.076519,971000
2006-01-17,45.529999,46.450001,45.400002,46.310001,32.45496,1056600
2006-01-18,46.310001,46.599998,45.59,45.740002,32.055492,1952600
2006-01-19,45.599998,46.150002,45.220001,46.07,32.286762,1443200
2006-01-20,46.150002,46.59,45.669998,45.950001,32.20266,2168600
2006-01-23,45.990002,46.279999,45.470001,45.630001,31.978384,1125500
2006-01-24,45.779999,46.349998,45.650002,46.200001,32.377865,800100
2006-01-25,46.23,46.5,45.240002,45.389999,31.810209,1378900
2006-01-26,46.389999,46.389999,44.900002,45.23,31.698074,1173300
2006-01-27,45.209999,45.630001,44.48,44.66,31.298603,2263300
2006-01-30,44.540001,44.540001,44.060001,44.310001,31.053308,1763400
2006-01-31,43.93,44.099998,43.650002,43.82,30.709917,1850600
2006-02-01,43.75,43.950001,43.349998,43.84,30.723936,1670500
2006-02-02,43.700001,43.900002,43.110001,43.540001,30.51368,1362100
2006-02-03,43.259998,43.290001,42.799999,43.029999,30.156258,1215900
2006-02-06,42.919998,43.299999,42.849998,43.07,30.184303,1308700
2006-02-07,42.959999,43.150002,42.759998,43.0,30.135248,1251800
2006-02-08,42.91,43.209999,42.610001,43.200001,30.27541,1770000
2006-02-09,43.209999,43.810001,43.07,43.48,30.471638,961700
2006-02-10,42.720001,43.880001,42.720001,43.220001,30.289423,880600
2006-02-13,43.700001,43.759998,43.32,43.580002,30.541719,1064700
2006-02-14,43.25,43.799999,43.110001,43.619999,30.569763,1114400
2006-02-15,43.560001,44.189999,43.560001,43.860001,30.737953,1820200
2006-02-16,43.68,44.200001,43.650002,44.139999,30.934174,1460000
2006-02-17,44.060001,44.68,43.889999,44.099998,30.906155,1302900
2006-02-21,44.259998,44.450001,43.91,44.0,30.836061,993700
2006-02-22,44.0,45.27,43.959999,45.220001,31.691053,1635400
2006-02-23,45.040001,45.240002,44.740002,44.970001,31.515856,1339500
2006-02-24,44.900002,45.23,44.830002,45.009998,31.5439,841900
2006-02-27,44.970001,45.349998,44.459999,44.970001,31.515856,1367500
2006-02-28,44.740002,44.900002,44.139999,44.360001,31.088358,1143600
2006-03-01,44.52,44.549999,44.040001,44.290001,31.039291,1205900
2006-03-02,44.0,44.400002,43.509998,44.23,30.997252,1101800
2006-03-03,44.0,44.52,43.84,44.23,30.997252,975900
2006-03-06,44.23,44.25,43.139999,43.389999,30.408564,1046600
2006-03-07,44.290001,44.299999,42.849998,43.330002,30.36651,1461200
2006-03-08,42.849998,43.200001,41.68,42.84,30.023109,2271200
2006-03-09,42.950001,42.98,42.080002,42.110001,29.511511,1242400
2006-03-10,42.099998,42.669998,41.860001,42.549999,29.819862,1725300
2006-03-13,42.48,42.84,42.240002,42.740002,29.953033,1358800
2006-03-14,42.599998,43.25,42.400002,43.150002,30.240358,1602000
2006-03-15,43.0,43.48,42.720001,43.48,30.471638,1180900
2006-03-16,43.68,43.990002,43.57,43.599998,30.555737,1330200
2006-03-17,43.799999,43.950001,43.029999,43.349998,30.380529,1971700
2006-03-20,43.32,43.970001,43.209999,43.52,30.499668,1893900
2006-03-21,43.369999,43.389999,42.75,43.049999,30.170282,2054800
2006-03-22,42.990002,43.099998,42.490002,42.779999,29.981064,1309400
2006-03-23,42.599998,43.18,42.259998,43.080002,30.191301,1570700
2006-03-24,43.02,43.400002,42.98,43.259998,30.317453,1963200
2006-03-27,43.110001,43.23,42.720001,42.91,30.072168,1114700
2006-03-28,42.919998,42.919998,42.240002,42.25,29.609631,1490600
2006-03-29,42.009998,42.669998,41.93,42.459999,29.948198,1903400
2006-03-30,42.290001,42.630001,41.740002,41.830002,29.50383,1467900
2006-03-31,41.849998,41.860001,40.860001,41.18,29.045364,1535800
2006-04-03,40.98,41.68,40.93,41.119999,29.003042,1783700
2006-04-04,41.009998,41.669998,40.84,41.630001,29.362764,1654400
2006-04-05,41.490002,42.23,41.490002,41.970001,29.602566,1636600
2006-04-06,41.82,41.830002,41.080002,41.240002,29.08769,1408800
2006-04-07,41.23,41.450001,40.240002,40.299999,28.424679,1402900
2006-04-10,40.490002,40.959999,40.330002,40.389999,28.488152,1015700
2006-04-11,40.400002,40.560001,39.389999,39.560001,27.902731,1586300
2006-04-12,39.459999,39.599998,39.25,39.34,27.747566,1077900
2006-04-13,39.0,39.200001,38.720001,38.849998,27.401966,1542000
2006-04-17,38.759998,38.950001,38.349998,38.540001,27.183298,1597500
2006-04-18,38.599998,40.360001,38.59,40.220001,28.368244,3390000
2006-04-19,40.25,40.5,40.0,40.259998,28.39646,868400
2006-04-20,40.200001,40.970001,40.200001,40.580002,28.622177,927200
