Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,36.82,37.77,36.790001,37.630001,32.544765,537300
2006-01-04,37.490002,38.240002,37.369999,38.099998,32.951256,807500
2006-01-05,38.200001,38.310001,37.66,38.049999,32.908005,715100
2006-01-06,38.349998,38.540001,37.98,38.540001,33.331806,743500
2006-01-09,38.700001,38.950001,38.150002,38.349998,33.167465,942000
2006-01-10,38.25,38.91,38.119999,38.880001,33.625847,505100
2006-01-11,38.82,39.02,38.57,38.970001,33.703682,631000
2006-01-12,38.84,38.900002,38.18,38.23,33.063686,584300
2006-01-13,38.169998,38.619999,38.16,38.43,33.23666,321800
2006-01-17,38.360001,38.75,38.299999,38.73,33.496109,471600
2006-01-18,38.25,38.639999,38.0,38.200001,33.037746,652800
2006-01-19,38.299999,38.299999,37.880001,38.150002,32.994503,712100
2006-01-20,38.200001,38.630001,38.200001,38.299999,33.124214,591600
2006-01-23,38.450001,38.470001,37.799999,37.93,32.80423,478400
2006-01-24,37.860001,38.139999,37.599998,38.09,32.942604,513700
2006-01-25,38.080002,38.080002,37.549999,37.810001,32.700447,722900
2006-01-26,37.810001,37.810001,35.82,36.200001,31.308014,1852400
2006-01-27,36.25,37.02,36.060001,36.73,31.766397,1145300
2006-01-30,36.720001,36.939999,36.400002,36.700001,31.740442,826400
2006-01-31,36.700001,37.049999,36.540001,36.900002,31.913404,1227800
2006-02-01,36.849998,37.189999,36.490002,36.529999,31.593412,653600
2006-02-02,36.299999,36.66,36.150002,36.470001,31.541527,689600
2006-02-03,36.299999,36.560001,36.27,36.439999,31.515572,479100
2006-02-06,36.400002,36.75,36.299999,36.32,31.411804,801200
2006-02-07,36.369999,36.369999,35.830002,35.860001,31.013962,702300
2006-02-08,36.099998,36.099998,35.290001,35.330002,30.735573,1206300
2006-02-09,35.27,35.68,35.029999,35.029999,30.474581,689900
2006-02-10,34.98,35.18,34.66,34.740002,30.222303,653000
2006-02-13,34.639999,35.029999,34.52,34.93,30.38759,548700
2006-02-14,34.720001,34.75,34.049999,34.27,29.813419,919700
2006-02-15,34.220001,34.68,34.18,34.279999,29.822109,676300
2006-02-16,34.349998,34.849998,34.23,34.849998,30.317993,676900
2006-02-17,34.849998,35.380001,34.75,35.080002,30.518089,562300
2006-02-21,35.09,35.48,35.02,35.130001,30.561584,375900
2006-02-22,35.040001,35.41,35.0,35.400002,30.796465,615800
2006-02-23,35.299999,35.650002,35.02,35.240002,30.657276,442900
2006-02-24,35.439999,35.950001,35.369999,35.700001,31.057467,660600
2006-02-27,36.150002,36.560001,36.049999,36.150002,31.448954,1456700
2006-02-28,36.119999,36.380001,35.939999,36.360001,31.631624,1150300
2006-03-01,36.52,36.52,36.09,36.310001,31.588123,903100
2006-03-02,36.349998,37.299999,36.349998,36.950001,32.144897,1361600
2006-03-03,36.900002,37.09,36.66,36.73,31.95352,499700
2006-03-06,36.73,37.040001,36.509998,36.610001,31.849123,716700
2006-03-07,36.52,36.650002,36.349998,36.509998,31.762133,1148700
2006-03-08,36.41,36.59,35.220001,36.130001,31.431541,1490100
2006-03-09,36.23,36.41,36.049999,36.099998,31.405441,560400
2006-03-10,36.09,36.5,35.880001,36.23,31.518536,463800
2006-03-13,36.200001,36.490002,36.110001,36.169998,31.466339,622800
2006-03-14,36.060001,36.669998,36.02,36.630001,31.866526,553200
2006-03-15,36.5,36.650002,36.299999,36.529999,31.779518,500700
2006-03-16,36.490002,37.580002,36.450001,37.5,32.623379,693900
2006-03-17,37.779999,37.869999,37.59,37.77,32.858273,1172900
2006-03-20,37.700001,37.75,37.09,37.279999,32.43198,693300
2006-03-21,37.290001,37.290001,36.450001,36.57,31.81432,754300
2006-03-22,36.689999,36.73,36.25,36.540001,31.788223,611900
2006-03-23,36.459999,36.59,36.189999,36.209999,31.501129,668000
2006-03-24,36.220001,36.540001,35.959999,36.330002,31.605539,446500
2006-03-27,36.279999,36.48,36.099998,36.279999,31.562037,361000
2006-03-28,36.139999,36.52,35.98,36.389999,31.657724,1049500
2006-03-29,36.57,37.09,36.41,36.860001,32.066608,637500
2006-03-30,36.889999,36.919998,36.540001,36.630001,31.866526,286800
2006-03-31,36.630001,36.77,36.119999,36.509998,31.762133,761300
2006-04-03,36.439999,37.0,36.290001,36.599998,31.840412,764100
2006-04-04,36.48,36.48,35.990002,36.279999,31.562037,786000
2006-04-05,36.27,36.75,36.029999,36.5,31.75342,511100
2006-04-06,36.540001,36.830002,36.450001,36.700001,31.927423,522800
2006-04-07,36.68,36.720001,36.099998,36.16,31.457638,508200
2006-04-10,36.119999,36.400002,36.040001,36.16,31.457638,545700
2006-04-11,36.07,36.139999,35.32,35.439999,30.831263,1037500
2006-04-12,35.360001,35.57,35.009998,35.119999,30.552887,550500
2006-04-13,35.060001,35.200001,34.939999,35.0,30.448486,709400
2006-04-17,34.950001,35.25,34.919998,35.169998,30.596386,385300
2006-04-18,35.150002,35.849998,35.130001,35.82,31.161863,903000
2006-04-19,35.860001,36.330002,35.860001,36.279999,31.562037,479100
2006-04-20,36.27,36.48,35.900002,36.220001,31.509842,419100
2006-04-21,36.470001,36.720001,36.310001,36.66,31.892618,590800
2006-04-24,36.66,36.889999,36.5,36.75,31.970911,1014800
2006-04-25,36.740002,36.77,36.240002,36.25,31.535934,967000
2006-04-26,36.279999,36.419998,35.84,36.099998,31.405441,902800
2006-04-27,35.950001,36.419998,35.189999,35.75,31.100964,641700
2006-04-28,35.700001,36.169998,35.369999,35.509998,30.89217,666000
2006-05-01,35.509998,35.849998,35.360001,35.540001,30.918264,686500
2006-05-02,35.48,35.630001,35.259998,35.400002,30.796465,690300
2006-05-03,35.16,35.290001,34.849998,35.16,30.778967,797600
2006-05-04,35.119999,35.5,35.080002,35.099998,30.72644,393000
2006-05-05,35.16,35.43,35.119999,35.400002,30.989059,495200
2006-05-08,35.400002,35.610001,35.07,35.400002,30.989059,468800
2006-05-09,35.330002,35.470001,35.119999,35.330002,30.927771,459900
2006-05-10,35.380001,35.599998,35.009998,35.119999,30.743948,594500
2006-05-11,35.02,35.169998,34.860001,35.0,30.638891,760800
2006-05-12,34.959999,35.16,34.599998,34.689999,30.367525,926700
2006-05-15,34.299999,34.84,34.130001,34.549999,30.244976,575700
2006-05-16,34.66,34.869999,34.349998,34.41,30.122416,645000
2006-05-17,34.209999,34.619999,33.669998,33.799999,29.588428,732100
2006-05-18,33.830002,33.919998,33.029999,33.16,29.028168,782200
2006-05-19,33.290001,33.48,32.669998,33.23,29.089447,757300
2006-05-22,32.900002,33.349998,32.5,32.990002,28.879353,1069600
2006-05-23,33.099998,33.299999,32.59,32.650002,28.581715,1046200
2006-05-24,32.650002,32.880001,32.200001,32.779999,28.695518,942700
2006-05-25,32.939999,33.439999,32.799999,33.310001,29.159473,408800
2006-05-26,33.400002,33.400002,33.119999,33.169998,29.036921,406500
2006-05-30,33.599998,34.259998,33.360001,33.419998,29.255768,1060600
2006-05-31,33.349998,33.939999,33.349998,33.650002,29.457125,715100
2006-06-01,33.650002,34.290001,33.290001,34.279999,30.00861,1017000
2006-06-02,34.599998,34.689999,34.110001,34.5,30.201199,482800
2006-06-05,34.349998,34.779999,34.27,34.400002,30.113665,1119000
2006-06-06,34.380001,34.490002,33.369999,33.610001,29.422096,703500
2006-06-07,33.599998,34.02,33.23,33.290001,29.141972,508000
2006-06-08,33.240002,33.48,32.720001,33.400002,29.238262,562000
2006-06-09,33.450001,33.57,33.0,33.259998,29.115705,477300
2006-06-12,33.18,33.369999,32.880001,32.939999,28.835575,518400
2006-06-13,32.860001,33.07,31.92,32.220001,28.205286,850700
2006-06-14,32.220001,32.43,31.85,32.369999,28.336603,610900
2006-06-15,32.560001,33.110001,32.310001,33.080002,28.958136,638700
2006-06-16,33.400002,33.439999,32.669998,33.099998,28.975647,638800
2006-06-19,33.060001,33.099998,32.07,32.130001,28.126509,558200
2006-06-20,32.110001,32.27,31.59,31.98,27.995199,711600
2006-06-21,32.049999,32.619999,31.99,32.139999,28.135263,600900
2006-06-22,32.02,32.119999,31.59,31.77,27.811367,926100
2006-06-23,31.870001,33.59,31.870001,33.220001,29.08069,1607400
2006-06-26,33.220001,33.299999,32.759998,33.029999,28.914366,563300
2006-06-27,33.419998,33.860001,33.299999,33.700001,29.500885,974900
2006-06-28,33.849998,33.900002,33.32,33.41,29.247021,635700
2006-06-29,33.610001,33.630001,33.0,33.5,29.325802,924900
2006-06-30,33.599998,33.689999,33.189999,33.5,29.325802,920200
2006-07-03,33.669998,33.740002,33.34,33.720001,29.518393,120100
2006-07-05,33.689999,33.700001,33.25,33.549999,29.369568,830100
2006-07-06,33.509998,33.799999,33.419998,33.650002,29.457125,825500
2006-07-07,33.75,33.959999,33.299999,33.43,29.264536,465300
2006-07-10,33.59,34.220001,33.549999,33.959999,29.728483,676500
