Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,15.54,15.55,14.93,15.27,9.239387,450100
2006-01-04,15.33,15.35,15.11,15.35,9.28779,431900
2006-01-05,15.38,15.38,15.02,15.19,9.190979,240600
2006-01-06,15.22,15.3,15.12,15.29,9.251484,443300
2006-01-09,15.26,15.32,15.01,15.24,9.221228,197100
2006-01-10,15.17,15.33,15.04,15.33,9.275686,241800
2006-01-11,15.33,15.4,15.2,15.4,9.318042,195400
2006-01-12,15.3,15.51,15.24,15.3,9.257535,302700
2006-01-13,15.28,15.3,14.99,15.01,9.082067,217600
2006-01-17,14.9,14.93,14.67,14.88,9.003405,127400
2006-01-18,14.9,14.97,14.8,14.86,8.991305,93100
2006-01-19,14.89,15.01,14.8,15.01,9.082067,106200
2006-01-20,15.03,15.03,14.66,14.8,8.955003,159000
2006-01-23,14.89,15.0,14.77,14.99,9.069963,57400
2006-01-24,15.0,15.22,14.92,14.98,9.063915,135700
2006-01-25,14.98,15.02,14.87,14.97,9.057862,95600
2006-01-26,15.0,15.4,14.97,15.4,9.318042,227300
2006-01-27,15.4,15.8,15.4,15.61,9.445107,131000
2006-01-30,15.6,15.6,15.39,15.45,9.348293,72400
2006-01-31,15.45,15.45,15.11,15.35,9.28779,146300
2006-02-01,15.35,15.38,15.12,15.2,9.19703,209600
2006-02-02,15.15,15.15,14.73,14.88,9.003405,213400
2006-02-03,14.85,14.85,14.25,14.49,8.76743,142900
2006-02-06,14.46,14.72,14.4,14.69,8.888449,130800
2006-02-07,14.65,14.88,14.56,14.88,9.003405,204700
2006-02-08,14.87,15.11,14.54,15.04,9.100218,307000
2006-02-09,15.04,15.17,14.63,14.76,8.930796,148900
2006-02-10,14.69,14.88,14.37,14.72,8.906597,137700
2006-02-13,15.1,15.12,14.72,14.95,9.045762,243100
2006-02-14,15.05,15.05,14.88,15.0,9.076015,183700
2006-02-15,14.99,15.17,14.95,15.07,9.118368,198400
2006-02-16,15.09,15.1,14.9,14.96,9.051813,142200
2006-02-17,15.02,15.17,14.96,15.1,9.136522,414900
2006-02-21,15.2,15.2,14.8,14.92,9.027612,176500
2006-02-22,14.85,15.05,14.77,14.96,9.051813,173300
2006-02-23,14.96,15.0,14.71,14.73,8.912644,147700
2006-02-24,14.77,14.79,14.62,14.75,8.924747,100600
2006-02-27,14.81,15.24,14.62,15.19,9.190979,317100
2006-02-28,15.25,15.25,14.82,15.0,9.076015,255400
2006-03-01,15.06,15.84,15.06,15.42,9.330145,374900
2006-03-02,15.38,15.44,15.04,15.28,9.245431,118700
2006-03-03,15.2,15.21,14.9,15.04,9.100218,178100
2006-03-06,15.04,15.19,14.82,15.18,9.184927,171300
2006-03-07,15.18,15.37,15.1,15.22,9.209131,328200
2006-03-08,15.22,15.37,14.96,15.35,9.28779,142800
2006-03-09,15.29,15.6,15.15,15.56,9.414853,162000
2006-03-10,15.64,15.83,15.5,15.83,9.578222,297800
2006-03-13,15.95,16.049999,15.54,15.69,9.631935,230000
2006-03-14,15.61,15.77,15.25,15.74,9.662631,189400
2006-03-15,15.69,16.23,15.57,16.09,9.87749,324500
2006-03-16,16.18,16.74,16.18,16.65,10.221272,384600
2006-03-17,16.73,17.0,16.540001,16.889999,10.368602,907300
2006-03-20,16.860001,16.860001,16.42,16.65,10.221272,263800
2006-03-21,16.66,16.860001,16.4,16.67,10.233551,200500
2006-03-22,16.5,17.040001,16.379999,17.01,10.44227,262300
2006-03-23,17.02,17.15,16.83,17.139999,10.522078,563300
2006-03-24,17.16,17.16,16.51,16.780001,10.301077,328900
2006-03-27,16.790001,16.9,16.530001,16.68,10.239688,298800
2006-03-28,16.719999,16.780001,16.549999,16.75,10.282661,264100
2006-03-29,16.74,17.200001,16.700001,17.200001,10.558911,150600
2006-03-30,17.219999,17.219999,16.690001,16.969999,10.417717,78400
2006-03-31,17.030001,17.190001,16.58,17.190001,10.552773,290100
2006-04-03,17.200001,17.200001,16.74,16.76,10.2888,171700
2006-04-04,16.77,17.049999,16.709999,16.799999,10.313354,234400
2006-04-05,16.9,17.0,16.74,16.91,10.380886,141600
2006-04-06,16.889999,16.93,16.690001,16.75,10.282661,296200
2006-04-07,16.83,16.85,16.379999,16.48,10.116908,112400
2006-04-10,16.469999,16.469999,16.040001,16.309999,10.012546,94000
2006-04-11,16.309999,16.370001,15.97,16.09,9.87749,136700
2006-04-12,16.030001,16.200001,15.75,15.83,9.717882,125800
2006-04-13,15.82,15.94,15.7,15.77,9.681047,110400
2006-04-17,15.74,15.76,15.5,15.63,9.595102,152000
2006-04-18,15.65,15.93,15.62,15.86,9.736299,539900
2006-04-19,15.82,16.030001,15.75,15.99,9.816104,485700
2006-04-20,15.91,16.0,15.9,16.0,9.822242,122700
2006-04-21,16.15,16.15,15.5,15.76,9.674908,311000
2006-04-24,15.79,15.94,15.5,15.9,9.760854,147600
2006-04-25,15.94,15.94,15.67,15.81,9.705604,99900
2006-04-26,15.91,16.15,15.87,16.129999,9.902049,157900
2006-04-27,16.0,16.24,15.68,15.9,9.760854,147400
2006-04-28,15.84,16.219999,15.56,15.72,9.650353,84000
2006-05-01,15.85,15.97,15.34,15.36,9.429352,226500
2006-05-02,15.42,15.58,15.21,15.58,9.564409,105400
2006-05-03,15.48,15.71,15.36,15.54,9.539852,128100
2006-05-04,15.61,15.69,15.31,15.44,9.478466,57800
2006-05-05,15.58,16.07,15.41,15.88,9.748574,110600
2006-05-08,15.65,15.65,15.24,15.5,9.515298,442500
2006-05-09,15.51,15.53,14.83,15.25,9.361825,224700
2006-05-10,15.24,15.51,15.0,15.41,9.460048,134000
2006-05-11,15.47,15.5,14.84,15.1,9.269742,209500
2006-05-12,15.1,15.1,14.45,14.88,9.134684,184500
2006-05-15,14.78,15.31,14.69,15.22,9.34341,201500
2006-05-16,15.16,15.32,15.15,15.26,9.367965,119200
2006-05-17,15.26,15.26,14.81,15.0,9.208352,252500
2006-05-18,15.25,15.31,14.81,14.9,9.146964,318600
2006-05-19,14.91,15.2,14.7,14.89,9.140823,275700
2006-05-22,14.9,15.05,14.64,14.81,9.091714,161500
2006-05-23,14.95,15.11,14.76,14.84,9.110131,125600
2006-05-24,14.75,15.1,14.58,14.78,9.073297,237100
2006-05-25,14.95,15.1,14.67,15.05,9.239047,250600
2006-05-26,15.1,15.24,14.86,15.0,9.208352,270400
2006-05-30,14.95,15.01,14.72,14.81,9.091714,243300
2006-05-31,14.91,15.19,14.77,15.19,9.324991,232200
2006-06-01,15.25,15.49,15.2,15.4,9.453907,246500
2006-06-02,15.53,15.66,15.44,15.6,9.576687,293700
2006-06-05,15.61,16.07,15.46,15.5,9.515298,223700
2006-06-06,15.51,15.62,15.22,15.48,9.503021,139500
2006-06-07,15.49,15.86,15.25,15.26,9.367965,173000
2006-06-08,15.16,15.46,14.9,15.39,9.447769,140400
2006-06-09,15.45,15.55,15.13,15.28,9.38024,92700
2006-06-12,15.3,15.36,15.0,15.26,9.367965,192900
2006-06-13,15.23,15.35,14.9,14.99,9.341478,147500
2006-06-14,14.75,15.03,14.7,14.82,9.235538,127800
2006-06-15,14.89,15.14,14.79,15.07,9.391329,93400
2006-06-16,15.08,15.23,14.93,15.03,9.366405,810000
2006-06-19,15.05,15.05,14.4,14.66,9.135827,189800
2006-06-20,14.65,14.97,14.51,14.8,9.223074,152000
2006-06-21,14.76,15.06,14.71,14.75,9.191915,129100
2006-06-22,14.7,14.83,14.55,14.67,9.142064,192100
2006-06-23,14.58,14.73,14.4,14.68,9.148293,83700
2006-06-26,15.11,15.11,14.74,15.0,9.347709,171200
2006-06-27,15.03,15.32,14.9,14.98,9.335245,135800
2006-06-28,14.97,15.12,14.86,15.12,9.422494,121600
2006-06-29,15.3,15.88,15.16,15.66,9.75901,294500
2006-06-30,15.8,16.24,15.54,16.24,10.120456,1076500
2006-07-03,16.200001,16.24,15.95,16.129999,10.051904,248300
2006-07-05,16.0,16.299999,15.8,16.209999,10.101757,302300
2006-07-06,16.219999,16.5,16.1,16.219999,10.10799,248600
2006-07-07,16.01,16.190001,15.79,15.94,9.933502,216600
2006-07-10,15.91,16.15,15.8,16.040001,9.995819,115600
2006-07-11,15.98,16.25,15.9,16.139999,10.058133,167100
2006-07-12,16.120001,16.280001,16.08,16.219999,10.10799,262800
