Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,7.72,7.83,7.66,7.83,5.826796,16903100
2006-01-04,7.83,8.08,7.82,8.01,5.960745,35623400
2006-01-05,8.05,8.4,8.03,8.35,6.213762,31978000
2006-01-06,8.3,8.66,8.27,8.52,6.340269,40420800
2006-01-09,8.65,8.86,8.6,8.62,6.414684,28957700
2006-01-10,8.68,8.91,8.53,8.77,6.526309,27937500
2006-01-11,8.81,8.96,8.77,8.93,6.645374,30517300
2006-01-12,8.86,8.87,8.5,8.56,6.370034,30717300
2006-01-13,8.56,8.64,8.43,8.55,6.362593,24687200
2006-01-17,8.55,8.58,8.19,8.31,6.183994,19838800
2006-01-18,8.31,8.32,8.16,8.21,6.109576,17702100
2006-01-19,8.2,8.37,8.16,8.22,6.117018,19518000
2006-01-20,8.3,8.3,7.85,7.9,5.878888,40848900
2006-01-23,8.3,8.59,8.27,8.32,6.191435,65652200
2006-01-24,8.4,8.42,8.15,8.4,6.250969,31666900
2006-01-25,8.42,8.63,8.29,8.62,6.414684,32393300
2006-01-26,8.6,8.75,8.4,8.67,6.52762,35831300
2006-01-27,8.68,8.81,8.52,8.65,6.512561,30720200
2006-01-30,8.66,8.8,8.57,8.68,6.535149,22826900
2006-01-31,8.69,8.7,8.56,8.58,6.459858,14053300
2006-02-01,8.53,8.7,8.45,8.66,6.52009,31311700
2006-02-02,8.67,8.68,8.26,8.37,6.30175,23637000
2006-02-03,8.37,8.42,8.23,8.26,6.218931,18328100
2006-02-06,8.26,8.3,8.05,8.11,6.105997,14899100
2006-02-07,8.18,8.18,8.05,8.09,6.090939,14134100
2006-02-08,8.08,8.24,8.02,8.23,6.196344,19157800
2006-02-09,8.22,8.43,8.21,8.36,6.294222,15484400
2006-02-10,8.34,8.34,8.15,8.27,6.226459,12496800
2006-02-13,8.35,8.35,8.17,8.2,6.173757,9458300
2006-02-14,8.23,8.32,8.17,8.3,6.249047,11397000
2006-02-15,8.3,8.39,8.27,8.38,6.309279,9238100
2006-02-16,8.42,8.5,8.31,8.39,6.316808,17408300
2006-02-17,8.43,8.49,8.42,8.45,6.361982,11355800
2006-02-21,8.45,8.46,8.31,8.39,6.316808,10310400
2006-02-22,8.41,8.44,8.28,8.3,6.249047,13909900
2006-02-23,8.3,8.3,8.15,8.17,6.151171,15635000
2006-02-24,8.21,8.21,8.06,8.1,6.098468,12344600
2006-02-27,8.15,8.21,8.08,8.08,6.083408,13314900
2006-02-28,8.09,8.16,7.96,7.97,6.00059,23747200
2006-03-01,8.0,8.02,7.86,7.95,5.985533,30593500
2006-03-02,7.96,7.97,7.65,7.66,5.767192,32937200
2006-03-03,7.66,7.71,7.39,7.57,5.699432,39011500
2006-03-06,7.62,7.76,7.61,7.69,5.78978,18848100
2006-03-07,7.75,7.77,7.6,7.65,5.759664,18189300
2006-03-08,7.65,7.68,7.52,7.55,5.684374,19993400
2006-03-09,7.6,7.79,7.57,7.75,5.834953,29037900
2006-03-10,7.81,7.87,7.78,7.84,5.902714,15903800
2006-03-13,7.85,7.9,7.8,7.86,5.917772,19333300
2006-03-14,7.8,7.82,7.7,7.73,5.819895,14880700
2006-03-15,7.78,7.86,7.73,7.85,5.910244,11224900
2006-03-16,7.85,7.93,7.75,7.93,5.970475,24833300
2006-03-17,7.93,7.95,7.8,7.81,5.880126,19214700
2006-03-20,7.85,7.94,7.81,7.93,5.970475,12274600
2006-03-21,7.98,8.05,7.89,8.05,6.060823,24026600
2006-03-22,8.1,8.16,8.07,8.15,6.136111,24115300
2006-03-23,8.15,8.15,7.93,8.08,6.083408,17972800
2006-03-24,8.04,8.25,7.96,8.09,6.090939,15183800
2006-03-27,8.09,8.18,8.05,8.06,6.068353,18647300
2006-03-28,8.08,8.22,8.04,8.13,6.121055,17244200
2006-03-29,8.11,8.28,8.08,8.26,6.218931,23400100
2006-03-30,8.28,8.29,8.14,8.16,6.143641,15024400
2006-03-31,8.23,8.23,7.94,7.96,5.993062,19844700
2006-04-03,8.05,8.05,7.74,7.77,5.850011,30977600
2006-04-04,7.77,7.82,7.66,7.68,5.78225,24538900
2006-04-05,7.68,7.71,7.46,7.57,5.699432,34559900
2006-04-06,7.59,7.67,7.55,7.65,5.759664,22895800
2006-04-07,7.7,7.75,7.56,7.6,5.72202,13831600
2006-04-10,7.61,7.65,7.5,7.52,5.661788,13766300
