Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,49.18,50.040001,48.810001,50.029999,28.596058,936400
2006-01-04,50.029999,50.57,49.759998,50.5,28.864712,1735800
2006-01-05,50.57,50.84,50.400002,50.57,28.904722,2032200
2006-01-06,51.0,51.220001,50.650002,51.060001,29.184793,1148100
2006-01-09,51.060001,51.380001,50.990002,51.310001,29.327692,713500
2006-01-10,51.279999,51.330002,50.98,51.200001,29.264803,907200
2006-01-11,51.27,51.41,50.950001,51.049999,29.179094,1151100
2006-01-12,50.939999,51.09,50.720001,50.799999,29.03618,1205100
2006-01-13,50.810001,51.0,50.540001,50.75,29.007599,1100000
2006-01-17,50.599998,51.450001,50.599998,51.439999,29.401993,835800
2006-01-18,51.439999,51.700001,50.900002,51.110001,29.213373,1068100
2006-01-19,51.119999,51.57,50.860001,51.509998,29.441999,798400
2006-01-20,51.52,51.84,50.759998,50.82,29.047609,1234000
2006-01-23,50.73,51.169998,50.73,51.099998,29.207657,507800
2006-01-24,51.189999,51.630001,51.139999,51.619999,29.504879,1178300
2006-01-25,51.599998,51.779999,49.950001,50.27,28.733252,1869500
2006-01-26,51.23,52.0,49.900002,50.360001,28.784693,989400
2006-01-27,50.389999,51.119999,50.389999,50.580002,28.910435,1194900
2006-01-30,50.459999,50.68,50.18,50.220001,28.704668,872500
2006-01-31,50.049999,50.59,49.919998,50.099998,28.636076,1124100
2006-02-01,50.099998,50.259998,49.619999,50.25,28.721813,903200
2006-02-02,50.310001,50.310001,49.040001,49.369999,28.218824,1351600
2006-02-03,48.919998,49.169998,48.299999,48.389999,27.913103,1418600
2006-02-06,48.330002,48.93,48.290001,48.860001,28.184216,604700
2006-02-07,48.650002,48.91,48.099998,48.25,27.83234,1400400
2006-02-08,48.5,48.529999,47.889999,48.529999,27.993858,863300
2006-02-09,48.5,49.310001,48.439999,49.02,28.276508,940200
2006-02-10,48.950001,49.41,48.68,49.130001,28.339968,728200
2006-02-13,48.91,49.110001,48.84,48.84,28.172674,576900
2006-02-14,48.849998,49.09,48.240002,49.040001,28.28804,969300
2006-02-15,48.869999,48.990002,47.849998,48.200001,27.803505,1536600
2006-02-16,48.040001,49.0,47.75,48.889999,28.201515,1291700
2006-02-17,49.25,50.07,49.220001,49.900002,28.784134,1844900
2006-02-21,50.220001,50.860001,49.650002,49.91,28.789894,1506000
2006-02-22,50.189999,50.779999,49.93,50.68,29.234058,1501000
2006-02-23,50.490002,50.630001,49.810001,49.950001,28.812973,1032400
2006-02-24,50.200001,50.549999,50.009998,50.5,29.13023,1077300
2006-02-27,50.5,51.290001,50.470001,51.139999,29.499399,1158600
2006-02-28,50.91,51.16,50.470001,51.080002,29.464802,1380000
2006-03-01,51.23,51.23,50.610001,51.0,29.418648,1025900
2006-03-02,51.009998,51.009998,50.48,50.919998,29.372503,1148800
2006-03-03,50.549999,51.380001,50.549999,51.040001,29.441721,1302800
2006-03-06,51.139999,51.189999,49.57,49.779999,28.714911,1660300
2006-03-07,49.75,49.93,49.32,49.68,28.657213,1014300
2006-03-08,49.849998,50.189999,48.82,49.830002,28.743752,2253700
2006-03-09,49.900002,49.950001,49.130001,49.240002,28.403419,1041300
2006-03-10,49.189999,49.560001,48.939999,49.43,28.513014,1543500
2006-03-13,49.43,49.799999,49.169998,49.75,28.697607,1196200
2006-03-14,49.700001,50.549999,49.5,50.459999,29.107145,1139700
2006-03-15,50.41,51.34,50.290001,51.029999,29.435953,1489500
2006-03-16,51.349998,51.959999,51.23,51.75,29.851269,1104300
2006-03-17,52.119999,52.169998,51.560001,51.740002,29.845509,1300700
2006-03-20,51.599998,52.049999,50.880001,51.150002,29.505175,811100
2006-03-21,51.259998,51.290001,50.27,50.490002,29.124458,992200
2006-03-22,50.32,50.759998,50.169998,50.5,29.13023,1591200
2006-03-23,50.549999,50.610001,50.209999,50.330002,29.03216,2030100
2006-03-24,50.23,50.549999,49.939999,50.290001,29.00909,705900
2006-03-27,50.18,50.220001,49.529999,49.75,28.697607,770000
2006-03-28,49.73,49.959999,49.310001,49.32,28.449553,973600
2006-03-29,49.549999,50.740002,49.43,50.700001,29.245596,1335200
2006-03-30,50.299999,51.189999,49.720001,49.990002,28.836035,1518200
2006-03-31,49.990002,50.23,48.759998,48.900002,28.207294,1808600
2006-04-03,48.880001,49.650002,48.77,48.82,28.161142,1116000
2006-04-04,48.669998,49.810001,48.650002,49.599998,28.611069,877500
2006-04-05,49.549999,50.169998,49.529999,50.0,28.841803,1460400
2006-04-06,49.709999,49.939999,49.040001,49.540001,28.576458,1481400
2006-04-07,49.389999,49.450001,48.240002,48.599998,28.034233,1197000
2006-04-10,48.580002,49.09,48.48,48.889999,28.201515,1016400
2006-04-11,49.189999,49.34,48.59,48.630001,28.051542,1464900
2006-04-12,48.630001,49.139999,48.619999,49.139999,28.345728,758500
2006-04-13,49.139999,49.330002,48.849998,48.880001,28.195751,1067000
2006-04-17,48.650002,48.98,48.23,48.450001,27.94771,589200
2006-04-18,48.560001,49.82,48.560001,49.779999,28.714911,1479500
2006-04-19,49.689999,50.110001,49.41,49.849998,28.755278,840900
2006-04-20,49.799999,50.73,49.799999,50.310001,29.020626,729200
2006-04-21,50.639999,50.810001,50.16,50.32,29.026386,817700
2006-04-24,50.0,50.139999,49.639999,50.029999,28.859116,1215900
2006-04-25,49.970001,50.0,48.91,49.18,28.368811,1299300
2006-04-26,49.18,49.48,48.68,49.439999,28.51878,1285000
2006-04-27,49.5,51.279999,49.490002,50.889999,29.355186,1884700
2006-04-28,50.900002,51.110001,50.369999,50.709999,29.251358,1131400
2006-05-01,50.400002,50.860001,49.900002,50.150002,28.928341,945200
2006-05-02,50.25,51.77,50.25,51.669998,29.805119,2977000
2006-05-03,50.849998,51.240002,50.849998,51.009998,29.682928,2469500
2006-05-04,51.009998,51.5,50.849998,51.09,29.729485,748000
2006-05-05,51.34,52.0,51.290001,51.880001,30.189182,1168200
2006-05-08,51.52,51.970001,51.009998,51.970001,30.241562,1371000
2006-05-09,52.0,52.560001,51.93,52.200001,30.375387,1837900
2006-05-10,52.080002,52.490002,51.939999,52.259998,30.410309,1163300
2006-05-11,52.25,52.34,51.290001,51.73,30.101902,1118000
2006-05-12,51.549999,52.009998,51.32,51.529999,29.985502,1579200
2006-05-15,51.599998,52.860001,51.599998,52.470001,30.532509,1299000
2006-05-16,52.5,53.209999,52.400002,52.98,30.829271,1819100
2006-05-17,53.0,53.75,52.139999,52.32,30.445225,2401600
2006-05-18,52.669998,52.919998,52.330002,52.490002,30.544142,1695000
2006-05-19,53.049999,53.049999,52.119999,52.310001,30.439398,1938100
2006-05-22,52.18,53.349998,52.130001,52.990002,30.835102,1688400
2006-05-23,52.939999,53.400002,51.84,51.889999,30.195013,1121900
2006-05-24,51.689999,52.41,51.200001,52.02,30.270657,1498900
2006-05-25,52.299999,52.66,52.049999,52.299999,30.433577,1487900
2006-05-26,52.700001,52.75,52.240002,52.66,30.643072,803300
2006-05-30,52.41,52.919998,51.900002,51.91,30.206635,1427600
2006-05-31,51.919998,53.099998,51.830002,52.419998,30.503418,2288700
2006-06-01,52.25,52.790001,52.220001,52.450001,30.520866,1673600
2006-06-02,52.450001,53.029999,52.299999,52.849998,30.753626,2033600
2006-06-05,52.799999,53.25,52.27,52.439999,30.515047,2198800
2006-06-06,52.66,53.029999,51.919998,52.959999,30.817644,1880700
2006-06-07,52.900002,53.369999,52.599998,53.209999,30.963116,1789300
2006-06-08,53.150002,53.689999,52.889999,53.400002,31.073677,2016800
2006-06-09,53.25,53.939999,53.099998,53.73,31.265703,1608500
2006-06-12,53.73,54.57,53.619999,54.450001,31.684681,2385400
2006-06-13,54.509998,54.509998,52.900002,53.25,30.986391,2523200
2006-06-14,53.25,53.400002,52.02,52.299999,30.433577,2130000
2006-06-15,52.540001,52.73,52.209999,52.560001,30.584883,1756700
2006-06-16,52.439999,53.060001,52.439999,52.880001,30.771088,1686100
2006-06-19,52.869999,52.98,51.970001,52.209999,30.381214,975100
2006-06-20,52.150002,52.990002,52.0,52.98,30.829271,1471300
