Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,11.155,11.45,11.135,11.355,10.326838,1193000
2006-01-04,11.425,11.69,11.29,11.645,10.590582,1013400
2006-01-05,11.695,11.695,11.5,11.58,10.531467,479400
2006-01-06,11.64,11.695,11.45,11.54,10.495087,590800
2006-01-09,11.565,12.035,11.45,12.01,10.922532,1222600
2006-01-10,12.0,12.1,11.935,12.055,10.963453,762800
2006-01-11,12.1,12.245,11.955,12.21,11.104421,670000
2006-01-12,12.36,12.73,12.35,12.435,11.309048,1247600
2006-01-13,12.48,12.515,12.35,12.415,11.29086,872200
2006-01-17,12.44,12.46,12.285,12.315,11.199913,805200
2006-01-18,12.185,12.25,11.87,12.0,10.913436,1335200
2006-01-19,11.99,12.045,11.9,11.97,10.886151,1396200
2006-01-20,12.0,12.0,11.56,11.61,10.55875,1300000
2006-01-23,11.69,11.69,11.4,11.52,10.476901,811800
2006-01-24,11.5,11.585,11.46,11.585,10.536013,1118600
2006-01-25,11.575,11.575,11.305,11.55,10.504178,748400
2006-01-26,11.56,11.78,11.43,11.78,10.713354,479200
2006-01-27,11.81,11.9,11.73,11.815,10.745188,512000
2006-01-30,11.825,11.925,11.745,11.88,10.804302,928000
2006-01-31,11.88,11.92,11.665,11.85,10.777016,1528800
2006-02-01,11.825,11.925,11.75,11.895,10.817943,1155600
2006-02-02,11.9,11.91,11.685,11.85,10.777016,949000
2006-02-03,11.84,12.045,11.78,12.03,10.940718,1147400
2006-02-06,12.005,12.475,12.005,12.45,11.322689,1614200
2006-02-07,12.465,12.685,12.375,12.49,11.359068,1468400
2006-02-08,13.24,13.25,12.36,12.51,11.37726,4822600
2006-02-09,12.625,13.005,12.585,12.84,11.677376,2643800
2006-02-10,12.89,12.975,12.77,12.92,11.750132,1449000
2006-02-13,12.955,12.955,12.535,12.57,11.431824,1501400
2006-02-14,12.535,12.645,12.44,12.525,11.3909,1309600
2006-02-15,12.45,12.885,12.45,12.81,11.650091,738200
2006-02-16,12.955,13.0,12.825,12.86,11.695566,624400
2006-02-17,12.94,13.0,12.775,12.845,11.681925,788400
2006-02-21,12.905,12.965,12.425,12.5,11.36816,857400
2006-02-22,12.5,12.675,12.5,12.625,11.481845,597400
2006-02-23,12.67,12.95,12.59,12.94,11.768321,1597200
2006-02-24,12.925,13.05,12.8,13.03,11.850173,988800
2006-02-27,13.015,13.265,12.975,13.115,11.927473,1143600
2006-02-28,13.0,13.09,12.87,12.92,11.750132,853800
2006-03-01,12.92,12.96,12.875,12.93,11.759229,892600
2006-03-02,12.9,12.985,12.835,12.93,11.759229,745200
2006-03-03,12.935,12.995,12.865,12.915,11.745587,1389600
2006-03-06,12.95,12.965,12.875,12.935,11.763775,580800
2006-03-07,12.935,13.135,12.925,13.08,11.895647,823000
2006-03-08,13.65,13.65,13.22,13.4,12.186669,4078800
2006-03-09,13.495,13.565,13.425,13.495,12.273067,2060000
2006-03-10,13.5,13.73,13.45,13.58,12.350372,2232400
2006-03-13,13.72,13.95,13.68,13.85,12.595921,2182200
2006-03-14,13.895,14.045,13.82,14.0,12.732339,1384000
2006-03-15,14.05,14.05,13.655,13.945,12.682322,867800
2006-03-16,13.965,13.965,13.395,13.67,12.432226,1307400
2006-03-17,13.8,13.805,13.505,13.575,12.345823,844800
2006-03-20,13.525,13.53,13.375,13.52,12.295807,1092200
2006-03-21,13.77,13.915,13.52,13.77,12.523168,1107400
2006-03-22,13.7,13.83,13.62,13.785,12.536809,880000
2006-03-23,13.73,13.8,13.62,13.725,12.482243,628200
2006-03-24,13.76,13.95,13.675,13.895,12.636849,984800
2006-03-27,13.925,14.315,13.775,14.24,12.950607,1514600
2006-03-28,14.28,14.28,13.94,13.95,12.68687,957400
2006-03-29,14.035,14.035,13.75,13.955,12.691417,579200
2006-03-30,13.915,14.07,13.87,14.045,12.773263,774000
2006-03-31,14.07,14.205,13.9,14.205,12.918777,1993800
2006-04-03,14.205,14.36,13.79,13.97,12.705058,1360400
2006-04-04,13.89,14.28,13.89,14.16,12.877851,768000
2006-04-05,14.095,14.215,13.97,14.055,12.782362,483600
2006-04-06,14.095,14.16,13.885,14.15,12.86876,627600
2006-04-07,14.095,14.31,14.08,14.295,13.000628,598600
2006-04-10,14.26,14.295,14.125,14.275,12.982441,626400
2006-04-11,14.32,14.36,14.15,14.3,13.005174,886200
2006-04-12,14.365,14.365,13.915,14.125,12.846021,862600
2006-04-13,14.165,14.445,14.08,14.445,13.137048,587800
2006-04-17,14.395,14.895,14.34,14.875,13.528113,1644800
2006-04-18,13.38,13.645,13.0,13.195,12.000229,10425000
2006-04-19,13.195,13.25,12.55,12.635,11.490938,4168600
2006-04-20,12.58,13.075,12.58,13.0,11.822889,2465400
2006-04-21,13.0,13.115,12.875,13.005,11.827436,1771400
2006-04-24,13.005,13.13,12.9,13.105,11.918379,996000
2006-04-25,13.105,13.225,12.945,13.045,11.863814,1618800
2006-04-26,13.015,13.25,12.88,12.91,11.741038,1512400
2006-04-27,12.765,12.84,12.48,12.485,11.354521,3057200
2006-04-28,12.435,12.48,12.18,12.225,11.118063,1666000
2006-05-01,12.17,12.24,11.81,11.875,10.799756,3071600
2006-05-02,11.85,12.075,11.675,11.97,10.886151,2432200
2006-05-03,12.0,12.115,11.975,12.04,10.949811,996800
2006-05-04,12.095,12.115,11.785,12.025,10.936172,1536600
2006-05-05,12.055,12.325,11.965,12.175,11.072592,1061600
2006-05-08,12.175,12.625,12.175,12.54,11.404541,1210000
2006-05-09,12.56,12.59,12.405,12.5,11.36816,640600
2006-05-10,12.4,12.51,12.305,12.47,11.34088,640200
2006-05-11,12.44,12.445,12.01,12.1,11.00438,879600
2006-05-12,12.1,12.115,11.865,11.9,10.82249,738000
2006-05-15,11.85,11.94,11.76,11.865,10.790661,717000
2006-05-16,11.85,12.19,11.65,11.985,10.899792,1416000
2006-05-17,12.02,12.19,12.0,12.13,11.031667,810400
2006-05-18,12.19,12.405,12.15,12.265,11.154441,846200
2006-05-19,12.305,12.4,12.1,12.285,11.17263,755800
2006-05-22,12.3,12.36,12.14,12.27,11.158989,868000
