Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,39.049999,39.459999,38.185001,39.459999,33.670002,1252200
2006-01-04,39.400002,39.529999,38.744999,38.93,33.217789,1578600
2006-01-05,38.93,39.195,38.705002,38.82,33.123913,695200
2006-01-06,39.200001,39.525002,38.654999,39.349998,33.576141,755800
2006-01-09,39.299999,39.799999,39.279999,39.599998,33.789459,876200
2006-01-10,39.514999,40.485001,39.400002,40.365002,34.442223,1812000
2006-01-11,40.494999,40.91,40.365002,40.625,34.664055,1899800
2006-01-12,40.619999,40.665001,40.025002,40.18,34.284363,1031400
2006-01-13,40.849998,41.105,40.650002,41.0,34.984035,2589400
2006-01-17,41.25,41.25,40.509998,40.799999,34.813393,913400
2006-01-18,40.77,41.189999,40.514999,40.950001,34.941376,1154000
2006-01-19,41.025002,41.105,40.685001,40.875,34.877373,1265600
2006-01-20,40.779999,41.23,40.57,40.985001,34.971252,2231000
2006-01-23,41.099998,41.360001,40.755001,41.18,35.13763,2807000
2006-01-24,41.575001,43.424999,41.544998,43.150002,36.818558,5263400
2006-01-25,43.080002,43.575001,42.924999,43.240002,36.895367,2277600
2006-01-26,43.5,43.669998,43.235001,43.450001,37.074539,2246000
2006-01-27,43.599998,43.959999,43.455002,43.75,37.330517,2236800
2006-01-30,43.900002,43.990002,43.755001,43.849998,37.415844,1500200
2006-01-31,43.700001,44.16,43.564999,43.974998,37.522511,2715800
2006-02-01,44.134998,44.165001,43.575001,43.799999,37.373196,2414800
2006-02-02,43.924999,44.014999,43.474998,43.619999,37.219608,1679800
2006-02-03,43.744999,44.099998,43.580002,44.029999,37.569439,2519400
2006-02-06,44.080002,44.48,43.299999,43.775002,37.351845,1509200
2006-02-07,43.775002,43.775002,42.895,43.099998,36.775906,1679200
2006-02-08,43.055,43.055,41.75,42.32,36.110367,2579800
2006-02-09,42.134998,42.334999,41.875,42.0,35.837318,2328800
2006-02-10,41.700001,41.740002,40.400002,40.705002,34.732327,4228200
2006-02-13,40.740002,41.115002,40.439999,40.560001,34.608604,1350000
2006-02-14,40.525002,40.869999,40.16,40.724998,34.749378,2956000
2006-02-15,40.705002,41.0,40.044998,40.415001,34.484886,2180600
2006-02-16,40.610001,40.689999,40.105,40.689999,34.719528,2089400
2006-02-17,40.700001,41.290001,40.5,41.105,35.073643,1405600
2006-02-21,41.384998,42.005001,41.349998,41.849998,35.709305,1552800
2006-02-22,41.849998,43.07,41.75,42.82,36.536987,1793800
2006-02-23,42.700001,43.200001,42.360001,42.830002,36.545509,1229400
2006-02-24,42.830002,43.555,42.709999,43.404999,37.036156,1003000
2006-02-27,43.705002,44.25,43.264999,44.040001,37.577984,1629600
2006-02-28,43.75,43.900002,43.150002,43.150002,36.818558,1698000
2006-03-01,43.16,44.049999,43.009998,43.904999,37.462791,1220400
2006-03-02,42.25,42.25,40.009998,40.900002,34.898708,8021600
2006-03-03,41.5,42.169998,41.259998,41.75,35.623997,3229400
2006-03-06,42.5,42.505001,41.025002,41.185001,35.141888,2802800
2006-03-07,40.599998,40.689999,37.494999,38.375,32.903992,8566600
2006-03-08,38.5,39.064999,37.724998,38.75,33.225536,3727200
2006-03-09,38.779999,39.669998,38.695,39.5,33.868599,4811600
2006-03-10,39.275002,41.134998,38.825001,40.865002,35.039009,5842200
2006-03-13,41.0,41.98,40.974998,41.735001,35.784969,4058400
2006-03-14,41.860001,42.25,41.115002,41.810001,35.849277,3225200
2006-03-15,41.845001,42.150002,41.384998,42.130001,36.12365,2128000
2006-03-16,42.035,42.630001,41.77,42.529999,36.466633,2129400
2006-03-17,42.790001,42.790001,42.145,42.145,36.136517,2005000
2006-03-20,42.189999,42.57,41.744999,41.945,35.965034,1515000
2006-03-21,41.595001,41.814999,41.384998,41.494999,35.579174,2478000
2006-03-22,41.299999,42.290001,41.275002,41.855,35.88784,1867600
2006-03-23,41.830002,42.32,41.654999,41.834999,35.870728,988000
2006-03-24,41.834999,42.564999,41.834999,42.34,36.303722,1108000
2006-03-27,42.285,42.740002,42.060001,42.634998,36.556652,1238200
2006-03-28,42.634998,43.005001,42.365002,43.005001,36.873901,1446800
2006-03-29,42.799999,43.924999,42.775002,43.794998,37.551285,2061200
2006-03-30,43.794998,43.98,43.07,43.345001,37.165428,1458800
2006-03-31,43.169998,43.299999,42.455002,42.900002,36.783886,1252800
