Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,52.380001,52.380001,50.290001,51.27,39.497231,1943100
2006-01-04,51.200001,51.200001,50.310001,50.700001,39.058132,2471700
2006-01-05,50.900002,51.970001,50.799999,51.599998,39.751453,1931300
2006-01-06,51.689999,52.150002,51.32,52.150002,40.175171,1401000
2006-01-09,51.849998,52.09,51.470001,51.529999,39.69754,1510300
2006-01-10,51.150002,53.950001,51.029999,53.799999,41.446301,3573000
2006-01-11,53.669998,54.639999,53.41,54.080002,41.661999,2906000
2006-01-12,52.689999,54.299999,52.59,54.029999,41.62347,3257000
2006-01-13,54.029999,54.849998,52.290001,52.860001,40.722137,2695600
2006-01-17,52.450001,52.540001,51.689999,52.060001,40.105843,1763600
2006-01-18,52.0,52.009998,51.09,51.490002,39.666729,2797800
2006-01-19,51.5,54.919998,51.5,54.049999,41.638885,7126600
2006-01-20,53.599998,53.970001,52.66,53.099998,40.907028,3432200
2006-01-23,53.349998,54.040001,53.299999,53.869999,41.500214,2183400
2006-01-24,53.869999,53.919998,52.93,53.419998,41.153553,2181200
2006-01-25,53.5,53.709999,52.91,53.439999,41.168957,2138400
2006-01-26,53.5,54.299999,53.450001,54.189999,41.746738,2332400
2006-01-27,54.439999,54.68,53.880001,54.639999,42.093407,2337400
2006-01-30,54.59,54.68,54.169998,54.369999,41.885406,1534700
2006-01-31,54.119999,54.150002,53.369999,53.529999,41.238277,2194900
2006-02-01,53.02,53.310001,52.540001,53.150002,40.945541,3252200
2006-02-02,52.880001,53.0,52.16,52.349998,40.329235,2534900
2006-02-03,52.25,52.450001,51.82,52.450001,40.406273,1853400
2006-02-06,52.200001,52.259998,51.310001,51.560001,39.72065,1736100
2006-02-07,51.0,51.439999,50.349998,50.349998,38.788486,3438300
2006-02-08,50.549999,51.369999,50.099998,51.330002,39.543453,2101300
2006-02-09,51.389999,52.110001,50.889999,51.580002,39.736057,1680500
2006-02-10,51.580002,51.950001,51.48,51.75,39.867016,1691100
2006-02-13,51.450001,51.869999,51.189999,51.700001,39.828491,1505900
2006-02-14,51.709999,51.869999,51.040001,51.869999,39.959465,1617400
2006-02-15,51.75,52.080002,51.66,52.029999,40.082722,1108900
2006-02-16,52.119999,52.25,51.849998,52.07,40.113529,1392900
2006-02-17,52.18,52.369999,51.959999,52.029999,40.082722,991200
2006-02-21,52.029999,52.549999,51.610001,52.259998,40.259892,1347600
2006-02-22,52.259998,52.540001,52.07,52.389999,40.360058,1804300
2006-02-23,52.099998,52.630001,51.810001,52.299999,40.290726,1177800
2006-02-24,52.349998,52.580002,51.959999,52.52,40.460213,1014700
2006-02-27,52.43,53.41,52.369999,53.310001,41.068802,1634500
2006-02-28,53.200001,53.259998,52.259998,52.509998,40.452496,1237800
2006-03-01,52.75,52.880001,51.490002,52.209999,40.22139,1819400
2006-03-02,52.18,52.189999,51.389999,51.540001,39.705231,1212200
2006-03-03,51.049999,51.610001,50.970001,51.27,39.497231,970200
2006-03-06,51.119999,51.790001,50.82,51.419998,39.612778,1074000
2006-03-07,51.049999,51.459999,50.900002,51.099998,39.504566,2120300
2006-03-08,50.970001,51.330002,50.43,51.279999,39.643711,2290000
2006-03-09,51.299999,51.299999,49.939999,50.099998,38.73148,2458200
2006-03-10,50.0,50.98,49.700001,50.77,39.249451,1975400
2006-03-13,50.700001,51.189999,50.349998,50.470001,39.017513,1321300
2006-03-14,50.400002,50.490002,48.84,49.98,38.638699,3532100
2006-03-15,50.150002,50.27,49.639999,49.990002,38.64645,2236000
2006-03-16,49.939999,50.099998,49.240002,49.389999,38.182587,2026700
2006-03-17,49.290001,49.380001,47.880001,48.900002,37.80378,3484400
2006-03-20,48.900002,49.0,48.299999,48.41,37.424965,2230800
2006-03-21,48.41,50.240002,48.41,49.75,38.460888,3758200
2006-03-22,49.75,50.139999,49.049999,49.700001,38.422234,3386300
2006-03-23,49.650002,49.650002,49.029999,49.189999,38.027977,1951200
2006-03-24,49.349998,51.209999,49.150002,51.07,39.481369,3555400
2006-03-27,51.099998,52.27,50.799999,52.209999,40.362675,3442500
2006-03-28,51.459999,52.5,51.459999,51.470001,39.790611,1655600
2006-03-29,51.950001,52.52,51.900002,52.439999,40.540497,1493600
2006-03-30,52.599998,53.25,52.48,52.91,40.903843,1812500
2006-03-31,52.700001,52.849998,51.799999,51.880001,40.107571,1613100
2006-04-03,52.099998,52.209999,50.919998,50.970001,39.404064,1705500
2006-04-04,51.099998,51.529999,50.5,51.150002,39.543217,1882800
2006-04-05,50.959999,51.220001,50.599998,50.779999,39.257179,2020700
2006-04-06,50.599998,51.139999,50.43,51.139999,39.535492,2289500
2006-04-07,51.25,52.599998,51.25,52.450001,40.548218,2616300
2006-04-10,52.75,53.400002,52.5,52.950001,40.934765,2126200
2006-04-11,53.0,53.23,51.799999,52.970001,40.950233,3160900
2006-04-12,51.0,51.560001,49.650002,49.830002,38.522739,5853400
2006-04-13,49.700001,50.299999,49.32,49.610001,38.352665,3141100
2006-04-17,49.549999,50.950001,49.549999,50.779999,39.257179,4189100
2006-04-18,50.790001,51.950001,50.779999,51.849998,40.084373,4256500
2006-04-19,51.5,51.66,50.849998,51.02,39.442711,1610400
2006-04-20,50.799999,51.540001,50.799999,51.470001,39.790611,1458800
2006-04-21,51.720001,51.720001,51.040001,51.349998,39.69783,1398500
2006-04-24,50.990002,51.349998,50.790001,51.040001,39.45816,931800
2006-04-25,50.880001,51.490002,50.740002,51.25,39.620537,1226400
2006-04-26,51.299999,51.799999,51.200001,51.59,39.883369,1244300
2006-04-27,51.5,51.73,50.799999,51.509998,39.821537,1139100
2006-04-28,51.299999,51.450001,50.700001,50.84,39.303566,1012000
2006-05-01,50.830002,51.34,50.310001,50.369999,38.940208,1404300
2006-05-02,50.299999,50.369999,49.77,50.049999,38.692825,1551500
2006-05-03,50.060001,51.299999,50.060001,50.84,39.303566,1808200
2006-05-04,51.18,51.470001,50.540001,50.700001,39.195335,1240200
2006-05-05,51.279999,51.290001,50.5,50.82,39.288097,1467200
2006-05-08,50.75,50.880001,50.150002,50.25,38.847435,1645400
2006-05-09,50.25,50.360001,49.799999,49.799999,38.49955,1556600
2006-05-10,50.110001,50.110001,49.400002,49.669998,38.399052,2019600
2006-05-11,49.669998,49.900002,49.060001,49.48,38.252167,1634200
2006-05-12,49.299999,49.599998,49.049999,49.580002,38.329479,1846900
2006-05-15,49.5,50.240002,49.450001,50.240002,38.83971,2206100
2006-05-16,50.150002,50.169998,49.59,49.709999,38.429977,1690600
2006-05-17,49.400002,49.700001,48.790001,49.23,38.058887,2070500
2006-05-18,49.150002,49.369999,48.77,48.799999,37.726486,1396500
2006-05-19,49.0,50.0,48.68,49.68,38.406788,1987100
2006-05-22,49.41,50.200001,49.349998,50.02,38.669643,1757100
2006-05-23,50.380001,50.599998,49.970001,49.98,38.638699,1398400
2006-05-24,50.099998,50.68,49.599998,50.529999,39.063896,2635200
2006-05-25,50.950001,51.240002,50.77,51.060001,39.473621,1724100
2006-05-26,50.959999,51.220001,50.580002,50.810001,39.280361,1401900
2006-05-30,50.619999,50.93,49.830002,49.900002,38.576866,1382100
2006-05-31,50.080002,50.830002,49.639999,49.849998,38.538212,1882000
