Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,8.2,8.3,8.2,8.2625,6.524776,1964400
2006-01-04,8.31,8.415,8.305,8.3575,6.599796,1096800
2006-01-05,8.3675,8.4675,8.32,8.385,6.621513,1320400
2006-01-06,8.4125,8.45,8.3275,8.3625,6.603748,900800
2006-01-09,8.3725,8.4,8.315,8.345,6.589926,1188400
2006-01-10,8.32,8.38,8.2625,8.325,6.574133,1033200
2006-01-11,8.345,8.3725,8.2875,8.31,6.562289,371600
2006-01-12,8.31,8.3625,8.3075,8.3425,6.587953,1060800
2006-01-13,8.3425,8.37,8.3075,8.3425,6.587953,761200
2006-01-17,8.28,8.375,8.2525,8.345,6.589926,667200
2006-01-18,8.305,8.52,8.305,8.5025,6.74258,1410400
2006-01-19,8.5625,8.5925,8.35,8.3975,6.659314,1318000
2006-01-20,8.3925,8.4325,8.315,8.34,6.613717,573600
2006-01-23,8.325,8.5325,8.3075,8.5225,6.758441,1193600
2006-01-24,8.5075,8.56,8.445,8.4525,6.702929,872800
2006-01-25,8.4125,8.4925,8.3225,8.375,6.641474,938400
2006-01-26,8.3875,8.495,8.3775,8.4725,6.718791,896800
2006-01-27,8.4975,8.525,8.435,8.495,6.736633,730400
2006-01-30,8.47,8.495,8.3525,8.49,6.732668,1776000
2006-01-31,8.5,8.595,8.38,8.3825,6.647419,1067600
2006-02-01,8.405,8.53,8.39,8.4025,6.663281,1147600
2006-02-02,8.375,8.625,8.375,8.615,6.831794,1346800
2006-02-03,8.6125,8.75,8.605,8.6875,6.889288,1367600
2006-02-06,8.7125,8.7725,8.5925,8.5925,6.813953,1124000
2006-02-07,8.5675,8.6625,8.515,8.5375,6.770337,612000
2006-02-08,8.5625,8.58,8.5075,8.535,6.768353,792000
2006-02-09,8.5275,8.6225,8.5275,8.5525,6.782233,945600
2006-02-10,8.5225,8.5775,8.4975,8.545,6.776286,764800
2006-02-13,8.525,8.635,8.5,8.585,6.808006,556000
2006-02-14,8.5625,8.6125,8.5075,8.5825,6.806023,470000
2006-02-15,8.585,8.59,8.465,8.5675,6.794127,870800
2006-02-16,8.6025,8.6875,8.585,8.6775,6.881359,386800
2006-02-17,8.6875,8.7275,8.65,8.7175,6.91308,477600
2006-02-21,8.7,8.73,8.64,8.655,6.863515,693600
2006-02-22,8.7,8.74,8.66,8.6775,6.881359,896800
2006-02-23,8.6925,8.7525,8.68,8.7025,6.901185,593200
2006-02-24,8.6525,8.7,8.6075,8.615,6.831794,2082800
2006-02-27,8.8125,9.0425,8.4225,8.5,6.7406,5465600
2006-02-28,8.475,8.62,8.42,8.6075,6.825846,2513200
2006-03-01,8.6375,8.6875,8.54,8.55,6.78025,1501600
2006-03-02,8.5175,8.5625,8.4825,8.5375,6.770337,1465600
2006-03-03,8.4975,8.5625,8.49,8.51,6.748528,970800
2006-03-06,8.4875,8.5225,8.4025,8.445,6.696985,818800
2006-03-07,8.425,8.4825,8.42,8.445,6.696985,804400
2006-03-08,8.3875,8.5,8.3775,8.46,6.70888,1060800
2006-03-09,8.4425,8.5375,8.44,8.4775,6.722756,848400
2006-03-10,8.5,8.5325,8.4675,8.5025,6.74258,1443200
2006-03-13,8.5,8.5975,8.5,8.5,6.7406,1386800
2006-03-14,8.48,8.5,8.4025,8.405,6.665263,1947600
2006-03-15,8.405,8.4075,8.2625,8.325,6.601821,2079200
2006-03-16,8.3425,8.3575,8.275,8.31,6.589926,1961200
2006-03-17,8.3,8.325,8.2225,8.295,6.578033,1765200
2006-03-20,8.2725,8.285,8.1475,8.25,6.542346,1571200
2006-03-21,8.2475,8.3175,8.2125,8.3175,6.595873,1551600
2006-03-22,8.3225,8.41,8.3075,8.3225,6.59984,2672400
2006-03-23,7.97,8.325,7.97,8.255,6.546311,2378400
2006-03-24,8.265,8.3675,8.25,8.3375,6.611735,2131200
2006-03-27,8.35,8.35,8.24,8.255,6.546311,1108800
2006-03-28,8.2525,8.2925,8.2475,8.25,6.542346,1384000
2006-03-29,8.2725,8.42,8.2725,8.3325,6.60777,1393200
2006-03-30,8.33,8.4225,8.275,8.405,6.665263,1201200
2006-03-31,8.4275,8.4825,8.385,8.45,6.700949,1615200
2006-04-03,8.425,8.5425,8.375,8.535,6.768353,2050400
2006-04-04,8.575,8.6775,8.51,8.5525,6.782233,2030800
2006-04-05,8.55,8.5875,8.51,8.555,6.784218,1072000
2006-04-06,8.5625,8.5775,8.3975,8.435,6.689054,1034800
2006-04-07,8.4525,8.5675,8.4275,8.535,6.768353,1886000
2006-04-10,8.525,8.57,8.4275,8.5675,6.794127,1623200
2006-04-11,8.585,8.6025,8.4225,8.455,6.704912,1858000
2006-04-12,8.455,8.4875,8.4125,8.4425,6.695002,1363600
2006-04-13,8.44,8.485,8.3775,8.39,6.653368,803200
2006-04-17,8.37,8.4125,8.335,8.3775,6.643456,1031600
2006-04-18,8.405,8.4975,8.405,8.4925,6.734652,1422400
2006-04-19,8.4575,8.5025,8.425,8.5025,6.770484,1046000
2006-04-20,8.4725,8.485,8.28,8.3175,6.62317,2503200
2006-04-21,8.3625,8.4,8.25,8.2825,6.595301,2697200
2006-04-24,8.2825,8.375,8.2275,8.3425,6.643079,2017200
2006-04-25,8.315,8.325,8.24,8.2475,6.56743,1122800
2006-04-26,8.2575,8.47,8.225,8.455,6.73266,2162800
2006-04-27,8.46,8.5025,8.305,8.4275,6.710764,2006800
2006-04-28,8.38,8.445,8.255,8.39,6.680901,1346000
2006-05-01,8.39,8.465,8.345,8.3625,6.659004,948400
2006-05-02,8.3575,8.5275,8.35,8.5,6.768495,1057600
2006-05-03,8.475,8.5275,8.4175,8.4225,6.706782,862800
2006-05-04,8.4325,8.485,8.335,8.34,6.641088,1191600
2006-05-05,8.3625,8.4725,8.3375,8.4575,6.734652,1150400
2006-05-08,8.4575,8.5325,8.4275,8.49,6.76053,808800
2006-05-09,8.47,8.525,8.45,8.45,6.728678,1450000
2006-05-10,8.4675,8.4925,8.335,8.35,6.649052,1304400
2006-05-11,8.3525,8.48,8.3375,8.455,6.73266,1137200
2006-05-12,8.455,8.4975,8.355,8.37,6.664976,1041600
2006-05-15,8.3225,8.47,8.29,8.445,6.724696,826000
2006-05-16,8.4,8.4675,8.38,8.435,6.716734,875600
2006-05-17,8.4025,8.4425,8.305,8.315,6.621179,1069600
