Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,22.125,22.18,21.41,21.84,21.84,1663600
2006-01-04,21.775,22.040001,21.68,21.875,21.875,949600
2006-01-05,21.915001,22.17,21.620001,22.0,22.0,850400
2006-01-06,22.18,22.725,21.950001,22.25,22.25,1100800
2006-01-09,22.174999,22.735001,22.174999,22.594999,22.594999,1117600
2006-01-10,22.495001,22.870001,22.355,22.514999,22.514999,1103600
2006-01-11,22.674999,22.834999,22.49,22.745001,22.745001,796400
2006-01-12,22.889999,22.889999,22.42,22.440001,22.440001,543000
2006-01-13,22.34,22.584999,22.275,22.424999,22.424999,832000
2006-01-17,22.325001,22.43,22.254999,22.43,22.43,822400
2006-01-18,22.440001,22.684999,22.325001,22.6,22.6,1574400
2006-01-19,22.725,22.75,22.49,22.67,22.67,408800
2006-01-20,22.67,22.754999,22.184999,22.43,22.43,745600
2006-01-23,22.379999,22.575001,22.245001,22.375,22.375,421400
2006-01-24,22.405001,22.584999,22.215,22.51,22.51,536800
2006-01-25,22.605,22.605,21.92,22.135,22.135,693600
2006-01-26,22.325001,22.610001,22.205,22.605,22.605,397600
2006-01-27,22.6,22.945,22.545,22.805,22.805,671600
2006-01-30,23.4,23.5,23.02,23.105,23.105,711800
2006-01-31,23.23,23.514999,22.825001,23.32,23.32,830400
2006-02-01,23.395,23.48,23.23,23.290001,23.290001,483200
2006-02-02,23.35,23.625,23.105,23.334999,23.334999,623000
2006-02-03,23.33,23.360001,22.91,23.135,23.135,734200
2006-02-06,23.200001,23.27,22.815001,23.225,23.225,686200
2006-02-07,23.200001,23.455,22.85,23.0,23.0,462400
2006-02-08,23.0,23.33,22.975,23.299999,23.299999,521400
2006-02-09,23.33,23.52,23.25,23.355,23.355,602800
2006-02-10,23.014999,23.275,23.0,23.094999,23.094999,703000
2006-02-13,23.155001,23.629999,23.075001,23.370001,23.370001,612000
2006-02-14,23.424999,23.870001,23.264999,23.725,23.725,638200
2006-02-15,23.855,23.995001,23.745001,23.915001,23.915001,609800
2006-02-16,24.035,24.495001,23.99,24.375,24.375,978000
2006-02-17,24.495001,24.6,24.254999,24.285,24.285,944600
2006-02-21,24.365,24.49,23.290001,23.365,23.365,1381800
2006-02-22,23.485001,23.67,22.895,23.365,23.365,1963600
2006-02-23,23.18,23.51,22.844999,23.360001,23.360001,1070400
2006-02-24,23.434999,23.455,23.219999,23.445,23.445,1063000
2006-02-27,22.950001,23.450001,22.950001,23.41,23.41,1343600
2006-02-28,23.215,23.344999,23.02,23.325001,23.325001,682400
2006-03-01,23.32,23.75,23.25,23.625,23.625,864000
2006-03-02,23.6,23.735001,23.469999,23.655001,23.655001,484400
2006-03-03,23.594999,23.735001,23.465,23.49,23.49,377600
2006-03-06,23.469999,23.549999,23.035,23.174999,23.174999,697800
2006-03-07,23.014999,23.105,22.92,22.985001,22.985001,536600
2006-03-08,22.889999,23.434999,22.705,23.290001,23.290001,591800
2006-03-09,23.26,23.26,22.950001,22.959999,22.959999,297000
2006-03-10,23.014999,23.08,22.870001,22.955,22.955,442200
2006-03-13,23.0,23.299999,22.92,23.174999,23.174999,770600
2006-03-14,23.08,23.5,22.924999,23.424999,23.424999,496800
2006-03-15,23.395,23.450001,23.25,23.355,23.355,988800
2006-03-16,23.5,23.66,23.375,23.655001,23.655001,629400
2006-03-17,23.610001,23.705,23.495001,23.629999,23.629999,847400
2006-03-20,23.68,23.99,23.504999,23.844999,23.844999,666600
2006-03-21,23.605,24.025,23.545,23.605,23.605,759800
2006-03-22,23.465,23.735001,23.465,23.66,23.66,798600
2006-03-23,24.495001,24.5,23.825001,24.065001,24.065001,1035400
2006-03-24,24.01,24.129999,23.4,23.42,23.42,935200
2006-03-27,23.504999,23.540001,23.309999,23.504999,23.504999,390000
2006-03-28,23.49,23.684999,23.299999,23.475,23.475,368400
2006-03-29,23.440001,24.07,23.440001,23.709999,23.709999,579000
2006-03-30,23.684999,23.92,23.645,23.91,23.91,386800
2006-03-31,23.9,23.965,23.719999,23.93,23.93,461800
2006-04-03,24.01,24.02,23.610001,23.690001,23.690001,705800
2006-04-04,23.610001,23.735001,23.299999,23.344999,23.344999,792800
2006-04-05,23.25,23.344999,23.115,23.264999,23.264999,473600
2006-04-06,23.325001,23.465,22.975,23.125,23.125,759400
2006-04-07,23.200001,23.48,23.08,23.23,23.23,421400
2006-04-10,23.295,23.455,23.01,23.105,23.105,608800
2006-04-11,23.245001,23.245001,22.785,22.99,22.99,654000
2006-04-12,23.0,23.415001,23.0,23.25,23.25,564600
2006-04-13,23.290001,23.33,23.120001,23.215,23.215,503400
2006-04-17,23.15,23.235001,22.895,22.924999,22.924999,433600
2006-04-18,22.915001,23.43,22.915001,23.344999,23.344999,367400
2006-04-19,23.379999,23.5,23.045,23.1,23.1,621200
2006-04-20,23.065001,23.385,23.049999,23.344999,23.344999,668200
2006-04-21,23.445,23.51,22.945,23.115,23.115,786800
2006-04-24,23.15,23.549999,22.84,23.434999,23.434999,574600
2006-04-25,23.325001,23.34,22.85,23.125,23.125,767000
2006-04-26,23.209999,23.549999,23.035,23.375,23.375,827800
2006-04-27,23.235001,23.75,22.85,23.565001,23.565001,796600
2006-04-28,23.469999,23.565001,23.135,23.309999,23.309999,786600
2006-05-01,23.370001,23.459999,23.145,23.195,23.195,651800
2006-05-02,23.245001,23.475,23.129999,23.440001,23.440001,515200
2006-05-03,23.35,23.42,22.885,23.004999,23.004999,624200
2006-05-04,23.08,23.445,23.02,23.355,23.355,530800
2006-05-05,23.424999,23.639999,23.334999,23.584999,23.584999,903200
2006-05-08,23.620001,23.924999,23.549999,23.885,23.885,659400
2006-05-09,23.85,23.92,23.65,23.75,23.75,523000
2006-05-10,23.645,23.775,23.625,23.674999,23.674999,475800
2006-05-11,23.625,23.75,23.549999,23.549999,23.549999,536200
2006-05-12,23.575001,23.67,23.35,23.405001,23.405001,409000
2006-05-15,23.35,23.764999,23.200001,23.709999,23.709999,1036000
2006-05-16,23.75,24.25,23.674999,24.205,24.205,1182200
2006-05-17,24.200001,24.785,24.1,24.504999,24.504999,2082000
2006-05-18,24.110001,24.25,23.445,23.700001,23.700001,3244000
2006-05-19,23.75,23.75,23.129999,23.32,23.32,1474600
2006-05-22,23.129999,23.459999,23.115,23.27,23.27,714000
2006-05-23,23.35,23.77,23.205,23.445,23.445,1395000
2006-05-24,23.33,23.754999,23.325001,23.719999,23.719999,1108400
2006-05-25,23.9,23.92,23.434999,23.51,23.51,816000
2006-05-26,23.5,23.709999,23.385,23.594999,23.594999,441800
2006-05-30,23.495001,23.575001,23.014999,23.040001,23.040001,681200
2006-05-31,23.18,23.34,22.905001,23.045,23.045,1069000
2006-06-01,23.105,23.5,23.1,23.49,23.49,641400
2006-06-02,23.450001,23.629999,23.34,23.450001,23.450001,451600
2006-06-05,23.4,23.555,22.995001,23.004999,23.004999,574200
2006-06-06,23.094999,23.370001,22.754999,22.855,22.855,662600
2006-06-07,22.825001,23.389999,22.825001,23.120001,23.120001,891400
2006-06-08,23.02,23.129999,22.719999,22.844999,22.844999,767000
2006-06-09,22.950001,22.950001,22.68,22.879999,22.879999,496400
2006-06-12,22.834999,23.105,22.83,23.035,23.035,1010000
2006-06-13,23.0,23.245001,22.844999,22.865,22.865,1297400
2006-06-14,22.805,22.905001,22.615,22.870001,22.870001,456600
2006-06-15,22.860001,23.025,22.705,23.004999,23.004999,670200
2006-06-16,23.040001,23.049999,22.709999,22.915001,22.915001,647200
2006-06-19,22.885,22.955,22.629999,22.665001,22.665001,373800
2006-06-20,22.620001,22.719999,22.52,22.629999,22.629999,449000
2006-06-21,22.559999,22.959999,22.525,22.91,22.91,390400
2006-06-22,22.815001,22.895,22.385,22.575001,22.575001,767400
2006-06-23,22.49,22.625,22.184999,22.530001,22.530001,760400
2006-06-26,22.514999,22.66,22.42,22.559999,22.559999,824600
2006-06-27,22.5,22.91,22.434999,22.83,22.83,1332000
2006-06-28,22.785,23.049999,22.645,22.93,22.93,1236800
2006-06-29,23.059999,23.245001,22.895,23.225,23.225,774600
2006-06-30,23.275,23.405001,23.135,23.365,23.365,752200
2006-07-03,23.35,23.645,23.245001,23.610001,23.610001,260200
2006-07-05,23.65,23.67,23.084999,23.405001,23.405001,711200
2006-07-06,23.395,23.875,23.395,23.74,23.74,718800
2006-07-07,23.700001,23.959999,23.625,23.875,23.875,517800
2006-07-10,23.965,24.209999,23.924999,24.059999,24.059999,475400
2006-07-11,24.01,24.450001,23.965,24.360001,24.360001,519800
2006-07-12,24.27,24.360001,24.1,24.280001,24.280001,566400
2006-07-13,24.190001,24.34,23.934999,24.309999,24.309999,841000
2006-07-14,24.18,24.235001,23.875,24.125,24.125,562200
2006-07-17,24.184999,24.184999,23.780001,23.93,23.93,779200
2006-07-18,23.889999,23.955,23.41,23.674999,23.674999,833800
2006-07-19,23.75,24.02,23.635,23.995001,23.995001,783000
2006-07-20,23.950001,24.174999,23.775,23.825001,23.825001,873000
2006-07-21,23.799999,23.934999,23.504999,23.855,23.855,358800
2006-07-24,23.950001,24.15,23.834999,24.15,24.15,492200
2006-07-25,24.08,24.385,24.004999,24.27,24.27,406800
2006-07-26,24.17,24.5,23.985001,24.434999,24.434999,601600
2006-07-27,24.389999,24.495001,23.605,23.715,23.715,1247800
2006-07-28,23.825001,24.32,23.75,24.225,24.225,594200
2006-07-31,24.245001,24.245001,23.6,23.705,23.705,1017400
2006-08-01,23.66,23.709999,23.190001,23.594999,23.594999,538000
2006-08-02,23.584999,23.855,23.365,23.455,23.455,821600
2006-08-03,23.32,23.764999,23.309999,23.625,23.625,652200
2006-08-04,23.764999,23.995001,23.6,23.75,23.75,482200
2006-08-07,23.625,23.805,23.615,23.719999,23.719999,281800
2006-08-08,23.690001,23.855,23.450001,23.575001,23.575001,344600
2006-08-09,23.775,23.775,23.42,23.455,23.455,524600
2006-08-10,23.385,23.764999,23.299999,23.625,23.625,452400
2006-08-11,23.690001,23.73,23.48,23.555,23.555,458400
2006-08-14,23.594999,23.799999,23.5,23.75,23.75,596200
2006-08-15,23.98,24.09,23.865,23.915001,23.915001,641600
2006-08-16,23.93,23.995001,23.674999,23.834999,23.834999,633600
2006-08-17,23.895,24.190001,23.790001,24.065001,24.065001,618600
2006-08-18,24.02,24.190001,23.870001,24.129999,24.129999,363400
2006-08-21,24.125,24.15,23.889999,23.975,23.975,444200
2006-08-22,24.094999,24.23,23.940001,24.23,24.23,364000
2006-08-23,24.25,24.295,24.155001,24.195,24.195,820400
2006-08-24,24.299999,24.415001,24.155001,24.360001,24.360001,602400
2006-08-25,24.445,24.615,24.264999,24.559999,24.559999,617800
2006-08-28,24.610001,24.945,24.555,24.85,24.85,645600
2006-08-29,24.875,25.35,24.77,25.275,25.275,947000
2006-08-30,25.01,25.245001,24.895,24.950001,24.950001,1079400
2006-08-31,25.059999,25.235001,24.9,24.934999,24.934999,1037000
2006-09-01,25.025,25.120001,24.950001,25.075001,25.075001,507200
2006-09-05,25.0,25.065001,24.9,24.959999,24.959999,439800
2006-09-06,24.9,25.059999,24.85,24.93,24.93,720200
2006-09-07,24.844999,25.059999,24.775,24.9,24.9,450400
2006-09-08,24.9,25.129999,24.9,25.049999,25.049999,479600
2006-09-11,25.0,25.355,24.9,25.075001,25.075001,853400
2006-09-12,25.120001,26.120001,25.075001,26.040001,26.040001,1525400
2006-09-13,25.950001,26.174999,25.73,25.940001,25.940001,808000
2006-09-14,25.85,25.924999,25.629999,25.735001,25.735001,603000
2006-09-15,25.834999,25.924999,25.67,25.735001,25.735001,534200
2006-09-18,25.66,25.775,25.51,25.549999,25.549999,750800
2006-09-19,25.514999,25.68,25.445,25.575001,25.575001,549600
2006-09-20,25.799999,25.82,25.49,25.665001,25.665001,636200
2006-09-21,25.83,25.83,25.455,25.549999,25.549999,921200
2006-09-22,25.465,25.615,25.35,25.51,25.51,1097800
2006-09-25,25.450001,25.59,25.33,25.455,25.455,767600
2006-09-26,25.365,25.709999,25.129999,25.325001,25.325001,1085600
2006-09-27,25.26,25.290001,24.85,24.985001,24.985001,1247800
2006-09-28,25.07,25.139999,24.875,25.084999,25.084999,1327200
2006-09-29,25.195,25.299999,24.99,25.07,25.07,685000
2006-10-02,25.049999,25.165001,24.735001,24.85,24.85,473400
2006-10-03,24.885,24.969999,24.73,24.825001,24.825001,354600
2006-10-04,24.905001,25.110001,24.625,25.084999,25.084999,917200
2006-10-05,25.004999,25.74,24.924999,25.6,25.6,1629000
2006-10-06,25.504999,25.665001,25.325001,25.434999,25.434999,646000
2006-10-09,25.365,25.455,25.200001,25.264999,25.264999,327400
2006-10-10,25.34,25.495001,25.165001,25.434999,25.434999,433000
2006-10-11,25.360001,25.700001,25.334999,25.525,25.525,541600
2006-10-12,25.605,25.610001,25.305,25.434999,25.434999,525800
