Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,7.125,7.405,6.875,7.405,7.405,887800
2006-01-04,7.405,7.795,7.28,7.65,7.65,912000
2006-01-05,7.64,7.8,7.63,7.74,7.74,360000
2006-01-06,7.78,8.27,7.635,8.23,8.23,1215800
2006-01-09,8.18,8.37,8.065,8.115,8.115,343400
2006-01-10,8.075,8.475,8.05,8.36,8.36,735200
2006-01-11,8.445,8.87,8.4,8.865,8.865,1409600
2006-01-12,8.795,9.7,8.795,9.56,9.56,1989400
2006-01-13,9.495,9.565,9.175,9.485,9.485,913200
2006-01-17,9.405,9.64,9.275,9.64,9.64,785400
2006-01-18,9.6,9.79,9.445,9.755,9.755,1467800
2006-01-19,9.9,10.0,9.755,9.88,9.88,1267800
2006-01-20,9.935,10.045,9.825,9.92,9.92,976600
2006-01-23,9.845,10.05,9.785,10.015,10.015,966600
2006-01-24,10.035,10.1,9.905,10.075,10.075,843800
2006-01-25,10.075,10.195,9.815,9.965,9.965,686800
2006-01-26,9.955,10.08,9.795,9.975,9.975,804600
2006-01-27,10.0,10.3,9.92,10.215,10.215,989200
2006-01-30,10.29,10.51,10.255,10.485,10.485,1002400
2006-01-31,10.475,11.02,10.445,10.72,10.72,2636400
2006-02-01,10.625,10.745,10.425,10.715,10.715,2286200
2006-02-02,10.555,11.215,10.555,11.045,11.045,1058200
2006-02-03,11.04,11.53,11.0,11.33,11.33,981800
2006-02-06,11.1,11.225,10.4,11.05,11.05,1289000
2006-02-07,11.015,11.21,10.68,10.945,10.945,658000
2006-02-08,10.92,10.975,10.325,10.43,10.43,1435600
2006-02-09,10.435,10.65,10.395,10.455,10.455,656600
2006-02-10,10.485,10.625,9.95,10.59,10.59,1180000
2006-02-13,10.375,10.69,10.375,10.655,10.655,775800
2006-02-14,10.675,11.25,10.65,11.1,11.1,1474600
2006-02-15,11.11,11.51,10.965,11.51,11.51,908800
2006-02-16,11.575,12.19,11.515,12.105,12.105,1567800
2006-02-17,12.06,12.285,11.975,12.17,12.17,926600
2006-02-21,11.44,12.25,11.06,12.045,12.045,1082200
2006-02-22,12.0,12.48,12.0,12.44,12.44,765200
2006-02-23,12.475,12.57,12.135,12.405,12.405,938000
2006-02-24,12.435,12.625,12.33,12.535,12.535,1569200
2006-02-27,12.535,12.7,12.445,12.6,12.6,1366000
2006-02-28,12.525,12.89,11.825,12.715,12.715,2263800
2006-03-01,12.79,13.22,12.74,13.0,13.0,944200
2006-03-02,13.0,13.09,12.505,13.08,13.08,839200
2006-03-03,13.05,13.255,12.88,12.93,12.93,477400
2006-03-06,12.91,13.03,12.63,12.79,12.79,587800
2006-03-07,12.74,12.825,12.185,12.23,12.23,1112400
2006-03-08,12.025,12.595,11.775,12.495,12.495,1031400
2006-03-09,12.48,12.67,12.48,12.5,12.5,788000
2006-03-10,12.5,12.86,12.375,12.675,12.675,555200
2006-03-13,12.74,13.175,12.705,12.775,12.775,843000
2006-03-14,12.8,13.14,12.65,13.12,13.12,1483600
2006-03-15,13.17,13.28,12.94,13.1,13.1,513600
2006-03-16,13.035,13.1,12.645,12.755,12.755,1081200
2006-03-17,12.76,12.91,12.65,12.675,12.675,1119400
2006-03-20,12.76,12.81,12.29,12.525,12.525,1010600
2006-03-21,12.53,12.875,12.33,12.53,12.53,1192200
2006-03-22,12.485,12.93,12.125,12.905,12.905,723200
2006-03-23,12.93,12.97,12.345,12.94,12.94,734200
2006-03-24,12.965,13.45,12.945,13.425,13.425,945800
2006-03-27,13.45,13.545,13.28,13.46,13.46,616400
2006-03-28,13.4,13.59,13.365,13.52,13.52,451600
2006-03-29,13.5,13.99,13.47,13.8,13.8,1661000
2006-03-30,13.565,13.8,13.065,13.24,13.24,795200
2006-03-31,13.16,13.24,11.84,11.875,11.875,3175200
2006-04-03,11.85,12.185,11.33,11.69,11.69,1882200
2006-04-04,11.71,11.975,11.71,11.915,11.915,715400
2006-04-05,11.905,12.125,11.465,11.81,11.81,646600
2006-04-06,11.815,11.855,10.8,11.04,11.04,1506200
2006-04-07,12.0,13.12,11.925,12.975,12.975,5997800
2006-04-10,12.945,13.21,12.505,12.9,12.9,2667200
2006-04-11,12.88,12.96,12.15,12.47,12.47,1677800
2006-04-12,12.525,12.705,12.425,12.515,12.515,703400
2006-04-13,12.415,12.54,12.16,12.39,12.39,553800
2006-04-17,12.5,12.755,12.405,12.53,12.53,637400
2006-04-18,12.625,12.92,12.585,12.875,12.875,1297200
2006-04-19,14.525,15.04,13.865,14.88,14.88,6816600
2006-04-20,14.85,14.955,14.395,14.65,14.65,1358000
2006-04-21,14.75,16.0,14.655,15.435,15.435,3801200
2006-04-24,15.305,15.305,14.65,15.275,15.275,1059800
2006-04-25,15.24,15.25,14.68,14.76,14.76,633600
2006-04-26,14.56,15.4,14.22,15.345,15.345,1260400
2006-04-27,15.32,15.99,15.2,15.61,15.61,1398000
2006-04-28,15.75,16.0,15.36,15.815,15.815,1437800
2006-05-01,15.91,15.975,15.14,15.205,15.205,1141400
2006-05-02,15.365,15.61,14.92,15.255,15.255,911400
2006-05-03,15.375,15.5,14.81,14.955,14.955,740400
2006-05-04,15.005,15.005,14.665,14.815,14.815,726800
2006-05-05,14.945,15.435,14.875,15.225,15.225,781000
2006-05-08,15.26,15.5,14.68,14.775,14.775,590000
2006-05-09,14.81,14.95,14.34,14.455,14.455,621800
2006-05-10,14.86,15.62,14.7,14.75,14.75,1780400
2006-05-11,14.835,14.985,14.09,14.205,14.205,1349000
2006-05-12,13.925,14.04,13.385,13.43,13.43,1725400
2006-05-15,13.385,14.0,13.34,13.955,13.955,1821600
2006-05-16,14.125,14.365,13.92,14.005,14.005,767600
2006-05-17,13.825,13.95,13.4,13.47,13.47,1052800
2006-05-18,13.44,13.715,12.885,12.95,12.95,1144600
2006-05-19,12.755,13.875,12.695,13.345,13.345,4077000
2006-05-22,13.21,13.335,12.695,13.135,13.135,1128600
2006-05-23,13.1,13.535,12.99,13.065,13.065,1645600
2006-05-24,12.975,13.125,12.18,13.045,13.045,2411000
2006-05-25,13.125,13.63,13.035,13.625,13.625,1076200
2006-05-26,13.715,14.24,13.66,14.23,14.23,1146200
2006-05-30,14.23,14.23,13.575,13.7,13.7,791200
2006-05-31,13.795,14.075,13.505,13.665,13.665,662400
2006-06-01,13.735,13.94,13.49,13.94,13.94,608600
2006-06-02,14.0,14.18,13.65,13.895,13.895,649800
2006-06-05,13.935,14.07,13.1,13.135,13.135,698200
2006-06-06,13.075,13.425,12.51,13.31,13.31,966000
2006-06-07,13.755,13.85,12.91,13.38,13.38,1130600
2006-06-08,13.36,13.42,12.75,13.3,13.3,1135800
2006-06-09,13.41,13.885,13.255,13.325,13.325,927200
2006-06-12,13.34,13.63,13.005,13.29,13.29,1427600
2006-06-13,13.2,13.43,11.975,12.0,12.0,2014000
2006-06-14,11.99,12.46,11.98,12.37,12.37,1471800
2006-06-15,12.405,13.25,12.34,13.1,13.1,1236600
2006-06-16,13.065,13.125,12.51,12.74,12.74,1530200
