Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,44.299999,44.884998,43.549999,44.790001,33.681461,2982800
2006-01-04,44.744999,44.945,44.505001,44.915001,33.775463,1346200
2006-01-05,44.724998,45.0,44.32,44.474998,33.444572,1876400
2006-01-06,44.799999,45.16,44.764999,45.110001,33.9221,1263400
2006-01-09,44.900002,45.150002,44.855,44.91,33.771702,1169400
2006-01-10,45.334999,45.334999,44.009998,44.73,33.636341,1560600
2006-01-11,44.974998,45.025002,44.450001,44.994999,33.835617,1776000
2006-01-12,45.424999,45.424999,44.82,45.115002,33.925865,1587400
2006-01-13,45.165001,45.195,44.610001,44.77,33.666412,1175800
2006-01-17,44.700001,45.0,44.459999,44.900002,33.764187,1180800
2006-01-18,44.650002,44.955002,44.599998,44.919998,33.779221,1232400
2006-01-19,44.919998,45.064999,44.584999,44.695,33.610027,1806200
2006-01-20,44.5,44.619999,43.064999,43.23,32.508362,2907000
2006-01-23,43.560001,43.990002,43.305,43.790001,32.929478,1407000
2006-01-24,43.77,44.205002,43.535,43.73,32.884354,1548200
2006-01-25,43.720001,44.049999,43.424999,43.435001,32.662525,1550400
2006-01-26,43.5,43.605,43.005001,43.099998,32.410603,2267600
2006-01-27,43.099998,43.860001,42.755001,43.84,32.967083,2208600
2006-01-30,43.865002,44.345001,43.865002,44.264999,33.286674,1703200
2006-01-31,42.529999,43.0,42.130001,42.145,31.692457,5613400
2006-02-01,41.825001,42.625,41.535,42.0,31.58342,3770200
2006-02-02,42.389999,43.200001,41.98,42.740002,32.139889,4383000
2006-02-03,42.5,42.740002,42.165001,42.34,31.839088,1902400
2006-02-06,42.224998,42.450001,41.834999,42.450001,31.921824,3733200
2006-02-07,42.25,42.555,42.139999,42.23,31.756382,1900600
2006-02-08,42.195,42.494999,41.860001,42.450001,31.921824,1419800
2006-02-09,42.400002,42.685001,42.400002,42.514999,31.970694,1401400
2006-02-10,42.450001,42.724998,42.255001,42.66,32.079731,1759000
2006-02-13,42.630001,43.119999,42.5,43.0,32.335407,2038800
2006-02-14,42.91,43.915001,42.880001,43.779999,32.921967,2148800
2006-02-15,43.75,44.330002,43.584999,44.205002,33.241562,2393800
2006-02-16,44.25,44.259998,43.805,44.095001,33.158848,1982600
2006-02-17,44.099998,44.294998,43.695,44.220001,33.252827,2775800
2006-02-21,44.220001,44.299999,43.634998,43.900002,33.012192,1245800
2006-02-22,44.025002,44.32,43.959999,44.084999,33.151314,1458400
2006-02-23,43.884998,43.900002,43.43,43.43,32.658779,2432800
2006-02-24,43.330002,43.400002,43.169998,43.290001,32.553478,3131200
2006-02-27,43.275002,43.599998,43.275002,43.330002,32.583565,2791400
2006-02-28,43.125,43.310001,42.799999,42.919998,32.275253,2537800
2006-03-01,43.075001,44.240002,43.075001,44.150002,33.200176,3766000
2006-03-02,43.75,44.509998,43.73,44.275002,33.294197,3575200
2006-03-03,44.200001,44.875,43.880001,44.555,33.504745,2872600
2006-03-06,44.875,45.459999,44.700001,44.935001,33.790501,4010400
2006-03-07,45.049999,45.535,44.950001,45.355,34.106327,2735600
2006-03-08,45.16,45.5,44.645,44.924999,33.78297,2858400
2006-03-09,44.945,45.275002,44.84,44.919998,33.779221,2075400
2006-03-10,44.884998,45.82,44.849998,45.779999,34.42593,2987000
2006-03-13,45.994999,46.369999,45.935001,46.174999,34.722965,3615800
2006-03-14,46.145,46.990002,46.115002,46.950001,35.305748,3080400
2006-03-15,47.5,48.445,47.419998,48.355,36.362289,5376400
2006-03-16,48.375,49.105,48.334999,48.950001,36.809723,4744400
2006-03-17,49.125,49.290001,48.5,48.82,36.711967,3873600
2006-03-20,48.674999,48.830002,48.049999,48.25,36.283337,3205600
