Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,15.48,15.87,15.46,15.87,11.323834,322900
2006-01-04,15.85,16.18,15.85,16.110001,11.495085,435600
2006-01-05,16.530001,16.690001,16.530001,16.620001,11.858987,512000
2006-01-06,16.959999,17.049999,16.879999,16.93,12.080183,669100
2006-01-09,16.98,17.01,16.9,16.92,12.07305,237000
2006-01-10,16.67,16.82,16.620001,16.82,12.001696,309900
2006-01-11,17.01,17.139999,16.91,17.1,12.201488,346600
2006-01-12,17.129999,17.299999,17.09,17.200001,12.272839,420000
2006-01-13,17.030001,17.16,17.030001,17.16,12.244295,88700
2006-01-17,16.98,17.07,16.870001,17.07,12.180078,278600
2006-01-18,16.709999,16.83,16.549999,16.719999,11.93034,382000
2006-01-19,17.07,17.120001,17.0,17.02,12.144404,108600
2006-01-20,17.49,17.6,17.299999,17.559999,12.529713,1030800
2006-01-23,17.629999,17.860001,17.59,17.799999,12.700964,492700
2006-01-24,17.99,18.120001,17.99,18.120001,12.929296,590500
2006-01-25,18.129999,18.200001,17.959999,18.139999,12.943567,308800
2006-01-26,18.52,18.57,18.35,18.4,13.129081,435900
2006-01-27,18.58,18.58,18.290001,18.34,13.086271,212900
2006-01-30,18.389999,18.4,18.290001,18.34,13.086271,250000
2006-01-31,18.4,18.51,18.35,18.450001,13.164762,432400
2006-02-01,18.77,18.870001,18.68,18.790001,13.407365,434100
2006-02-02,18.549999,18.58,18.379999,18.440001,13.157626,402600
2006-02-03,18.23,18.23,18.09,18.16,12.957834,522100
2006-02-06,17.98,18.01,17.610001,17.700001,12.629609,721200
2006-02-07,19.360001,19.48,18.709999,18.709999,13.350278,2634200
2006-02-08,18.68,18.74,18.43,18.5,13.200439,1216000
2006-02-09,18.4,18.65,18.389999,18.49,13.193305,1234400
2006-02-10,18.75,18.93,18.59,18.799999,13.414498,284300
2006-02-13,18.780001,19.02,18.74,18.870001,13.464447,230300
2006-02-14,18.790001,18.959999,18.690001,18.92,13.500122,300600
2006-02-15,18.57,18.6,18.24,18.51,13.207572,437900
2006-02-16,18.530001,18.780001,18.49,18.77,13.393094,328700
2006-02-17,18.799999,18.98,18.76,18.950001,13.521531,462200
2006-02-21,19.26,19.309999,19.16,19.209999,13.707046,417700
2006-02-22,19.450001,19.620001,19.42,19.57,13.963919,384200
2006-02-23,19.65,19.65,19.33,19.5,13.913972,324800
2006-02-24,19.26,19.33,19.16,19.23,13.721322,290300
2006-02-27,19.280001,19.290001,19.219999,19.25,13.735587,225900
2006-02-28,19.190001,19.23,18.959999,19.059999,13.600017,173000
2006-03-01,19.07,19.17,18.950001,19.08,13.614288,266900
2006-03-02,18.91,18.93,18.530001,18.700001,13.343147,295100
2006-03-03,18.370001,18.450001,18.120001,18.42,13.143355,373900
2006-03-06,18.709999,18.74,18.360001,18.450001,13.164762,150800
2006-03-07,18.209999,18.24,18.1,18.15,12.950701,122000
2006-03-08,17.809999,18.0,17.780001,17.940001,12.800857,538300
2006-03-09,18.17,18.25,18.049999,18.07,12.893613,173900
2006-03-10,18.1,18.309999,18.09,18.299999,13.057731,244900
2006-03-13,18.41,18.780001,18.389999,18.65,13.307471,675200
2006-03-14,18.559999,18.75,18.51,18.719999,13.357418,212300
2006-03-15,19.59,19.59,19.219999,19.459999,13.88543,528500
2006-03-16,19.68,19.969999,19.68,19.91,14.206527,713000
2006-03-17,20.35,20.43,20.209999,20.33,14.506214,683500
2006-03-20,20.530001,20.530001,20.200001,20.27,14.463399,185500
2006-03-21,20.059999,20.17,19.950001,19.950001,14.235066,213500
2006-03-22,19.91,20.09,19.889999,20.09,14.334956,190300
2006-03-23,20.16,20.209999,19.700001,19.91,14.206527,519400
2006-03-24,19.77,20.0,19.629999,19.950001,14.235066,666800
2006-03-27,19.67,19.68,19.5,19.65,14.021,484300
2006-03-28,19.469999,19.549999,19.26,19.33,13.792673,282400
