Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,39.830002,40.360001,39.299999,40.189999,29.545942,12838600
2006-01-04,39.779999,40.139999,39.419998,39.619999,29.375425,13491500
2006-01-05,39.610001,39.810001,39.5,39.740002,29.464392,8109400
2006-01-06,39.919998,40.240002,39.549999,40.02,29.671993,7966900
2006-01-09,39.880001,40.720001,39.880001,40.669998,30.153912,16575200
2006-01-10,40.5,40.75,40.07,40.73,30.198414,16614800
2006-01-11,40.73,40.869999,40.610001,40.700001,30.176168,12332300
2006-01-12,40.25,40.419998,39.900002,39.950001,29.62009,12230000
2006-01-13,39.779999,40.029999,39.650002,39.919998,29.597847,10961200
2006-01-17,39.48,39.82,39.41,39.709999,29.442146,9941100
2006-01-18,39.110001,39.709999,38.950001,39.279999,29.123331,17813100
2006-01-19,39.34,39.470001,38.799999,39.060001,28.960218,12091800
2006-01-20,38.810001,38.82,37.880001,38.049999,28.211376,20902400
2006-01-23,38.139999,38.700001,37.970001,38.27,28.374485,13172300
2006-01-24,38.27,38.529999,38.09,38.110001,28.255863,9781500
2006-01-25,38.16,38.68,38.060001,38.48,28.530191,14248700
2006-01-26,38.709999,39.810001,38.709999,39.59,29.35318,16187900
2006-01-27,39.25,40.040001,39.169998,39.75,29.471806,12929400
2006-01-30,39.52,39.970001,39.419998,39.849998,29.545942,8701700
2006-01-31,40.029999,40.189999,39.740002,39.75,29.471806,15582100
2006-02-01,39.880001,40.220001,39.669998,39.880001,29.568188,11429800
2006-02-02,39.880001,40.16,39.59,39.990002,29.649744,10309100
2006-02-03,39.450001,40.099998,39.400002,39.529999,29.308693,10440700
2006-02-06,39.400002,39.599998,39.310001,39.439999,29.241964,6591800
2006-02-07,39.200001,39.599998,39.049999,39.259998,29.108501,8590500
2006-02-08,39.279999,39.619999,39.25,39.599998,29.360588,10065200
2006-02-09,39.529999,40.029999,39.439999,39.77,29.486629,8496300
2006-02-10,39.619999,39.98,39.290001,39.919998,29.597847,8790500
2006-02-13,39.77,40.310001,39.610001,39.77,29.486629,7791600
2006-02-14,39.66,40.330002,39.650002,40.099998,29.73131,12904100
2006-02-15,39.970001,40.5,39.970001,40.32,29.894426,12685700
2006-02-16,40.450001,40.82,40.240002,40.82,30.265139,11572000
2006-02-17,40.66,40.82,40.400002,40.779999,30.235479,11518600
2006-02-21,40.630001,40.950001,40.549999,40.700001,30.176168,7324500
2006-02-22,40.889999,41.549999,40.740002,41.41,30.702572,13151400
2006-02-23,41.259998,41.57,41.0,41.110001,30.480158,8739500
2006-02-24,40.939999,41.830002,40.869999,41.66,30.887926,9294300
2006-02-27,41.549999,41.950001,41.549999,41.580002,30.828619,8541700
2006-02-28,41.59,41.599998,40.970001,41.139999,30.502394,11716200
2006-03-01,41.16,41.939999,41.130001,41.630001,30.8657,10527700
2006-03-02,41.630001,41.84,41.369999,41.66,30.887926,10939800
2006-03-03,41.5,42.09,41.43,41.59,30.836027,12290600
2006-03-06,41.48,41.810001,41.139999,41.43,30.717403,9777800
2006-03-07,41.02,41.66,41.02,41.48,30.754478,9441300
2006-03-08,41.490002,41.740002,41.200001,41.599998,30.843452,9147100
2006-03-09,41.5,41.740002,40.959999,41.049999,30.435659,9767500
