Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,22.370001,22.379999,21.620001,22.299999,11.850261,2433900
2006-01-04,22.43,22.43,21.77,22.049999,11.71741,2173400
2006-01-05,21.93,22.940001,21.93,22.690001,12.057508,3363800
2006-01-06,22.950001,22.98,22.530001,22.84,12.137221,1932100
2006-01-09,22.809999,23.17,22.77,22.98,12.211617,2218600
2006-01-10,22.780001,23.0,22.719999,22.92,12.179732,1814800
2006-01-11,22.85,23.49,22.82,23.450001,12.461378,1550300
2006-01-12,23.450001,23.540001,22.92,23.030001,12.238186,1419100
2006-01-13,23.08,23.299999,22.82,22.84,12.137221,1097900
2006-01-17,22.629999,22.719999,22.139999,22.17,11.78118,1897900
2006-01-18,22.290001,22.73,22.110001,22.540001,11.977803,2325100
2006-01-19,22.530001,22.719999,22.4,22.549999,11.983112,1157100
2006-01-20,22.75,22.76,22.299999,22.379999,11.892776,1897500
2006-01-23,22.4,22.74,22.35,22.389999,11.898088,1193800
2006-01-24,22.450001,23.18,22.450001,23.01,12.227559,2472700
2006-01-25,23.01,23.360001,22.92,23.299999,12.381664,1848800
2006-01-26,23.700001,23.85,23.120001,23.26,12.36041,1997500
2006-01-27,23.200001,23.459999,22.959999,23.02,12.232875,1495500
2006-01-30,23.01,23.379999,22.98,23.209999,12.333838,1464500
2006-01-31,23.1,23.700001,23.1,23.66,12.572969,1914900
2006-02-01,23.200001,23.459999,22.99,23.219999,12.339154,2052400
2006-02-02,23.25,23.469999,23.15,23.4,12.434804,3141400
2006-02-03,23.200001,23.4,22.85,23.16,12.307268,2875200
2006-02-06,23.1,23.16,22.940001,23.110001,12.280696,1963100
2006-02-07,23.120001,23.32,23.01,23.049999,12.248814,1462000
2006-02-08,23.049999,23.379999,23.0,23.299999,12.381664,1996900
2006-02-09,23.379999,23.67,23.299999,23.57,12.525141,2043800
2006-02-10,23.469999,23.719999,23.360001,23.59,12.53577,1736300
2006-02-13,23.530001,23.91,23.48,23.84,12.668623,1588200
2006-02-14,23.92,23.969999,23.629999,23.809999,12.652676,2011800
2006-02-15,23.709999,24.059999,23.58,24.030001,12.769588,1507900
2006-02-16,24.0,24.110001,23.74,23.83,12.663304,1724900
2006-02-17,23.75,23.809999,23.41,23.549999,12.514514,2076500
2006-02-21,23.5,23.65,23.25,23.299999,12.381664,2341500
2006-02-22,23.4,23.540001,23.1,23.41,12.440119,4590300
2006-02-23,24.200001,24.75,23.83,24.09,12.801476,4385100
2006-02-24,23.950001,24.07,23.65,23.93,12.716445,4013000
2006-02-27,23.85,24.25,23.799999,23.889999,12.695191,2370300
2006-02-28,23.83,24.190001,23.51,23.67,12.657758,2810200
