Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,14.09,14.29,13.895,14.25,8.474755,771800
2006-01-04,14.26,14.44,14.2,14.44,8.587751,939600
2006-01-05,14.39,14.445,14.26,14.34,8.528282,559200
2006-01-06,14.39,14.475,14.235,14.475,8.608569,513000
2006-01-09,14.425,14.475,14.355,14.38,8.552067,295800
2006-01-10,14.33,14.485,14.305,14.48,8.611539,594200
2006-01-11,14.48,14.495,14.32,14.45,8.593699,499400
2006-01-12,14.385,14.475,14.385,14.465,8.602621,722400
2006-01-13,14.455,14.495,14.38,14.48,8.611539,270600
2006-01-17,14.4,14.555,14.36,14.55,8.653172,389000
2006-01-18,14.545,14.595,14.455,14.57,8.665066,482200
2006-01-19,14.595,14.62,14.54,14.615,8.691828,607400
2006-01-20,14.615,14.68,14.455,14.5,8.623436,1176800
2006-01-23,14.45,14.555,14.425,14.515,8.632359,1071600
2006-01-24,14.575,14.92,14.525,14.855,8.83456,1686000
2006-01-25,15.02,15.04,14.805,14.905,8.864296,1200000
2006-01-26,14.94,15.05,14.63,14.72,8.754276,1203200
2006-01-27,14.6,14.665,14.59,14.61,8.774696,703200
2006-01-30,14.625,14.68,14.565,14.64,8.792709,369800
2006-01-31,14.59,14.86,14.575,14.83,8.906826,659800
2006-02-01,14.8,14.875,14.765,14.875,8.93385,581800
2006-02-02,14.85,14.9,14.715,14.9,8.948864,1177400
2006-02-03,14.9,14.95,14.795,14.835,8.909829,551600
2006-02-06,14.885,14.94,14.795,14.935,8.969887,876200
2006-02-07,14.96,15.2,14.91,15.105,9.071988,1095200
2006-02-08,15.5,15.835,15.31,15.69,9.423335,2596200
2006-02-09,15.5,15.505,15.285,15.435,9.270182,1150800
2006-02-10,15.435,15.44,15.165,15.2,9.129045,1213200
2006-02-13,15.19,15.36,15.125,15.355,9.222135,876400
2006-02-14,15.34,15.385,15.15,15.265,9.168083,1203800
2006-02-15,15.315,15.55,15.295,15.515,9.318234,1239800
2006-02-16,15.525,15.61,15.49,15.58,9.357269,1250200
2006-02-17,15.61,15.955,15.595,15.935,9.570482,1232400
2006-02-21,15.935,15.95,15.84,15.92,9.561473,1212200
2006-02-22,15.92,16.215,15.92,16.184999,9.720634,1708800
2006-02-23,16.184999,16.344999,16.18,16.325001,9.804714,1380600
2006-02-24,16.325001,16.43,16.25,16.395,9.846757,3778200
2006-02-27,16.445,16.535,16.424999,16.530001,9.92784,1789400
2006-02-28,16.495001,16.565001,16.4,16.549999,9.939848,1369600
2006-03-01,16.575001,16.6,16.465,16.525,9.924837,696600
2006-03-02,16.5,16.545,16.379999,16.545,9.936843,703600
2006-03-03,16.495001,16.605,16.465,16.535,9.93084,833400
2006-03-06,16.5,16.5,16.27,16.285,9.780689,914800
2006-03-07,16.275,16.275,16.055,16.215,9.738648,776800
2006-03-08,16.110001,16.275,15.93,16.145,9.696606,971400
2006-03-09,16.17,16.334999,16.115,16.280001,9.77769,604200
2006-03-10,16.254999,16.35,16.174999,16.315001,9.798708,581000
2006-03-13,16.405001,16.434999,16.325001,16.405001,9.852761,564400
2006-03-14,16.405001,16.605,16.325001,16.594999,9.966873,1250800
2006-03-15,16.59,16.74,16.475,16.735001,10.050961,1510800
2006-03-16,16.745001,16.809999,16.66,16.684999,10.020929,1046800
2006-03-17,16.700001,16.75,16.605,16.674999,10.014923,1125800
2006-03-20,16.639999,16.690001,16.455,16.465,9.888798,512000
2006-03-21,16.450001,16.459999,16.200001,16.245001,9.756666,844600
2006-03-22,16.245001,16.305,16.145,16.27,9.77168,1003000
2006-03-23,16.309999,16.34,16.155001,16.315001,9.798708,738400
2006-03-24,16.315001,16.385,16.225,16.264999,9.76868,537800
2006-03-27,16.25,16.27,16.084999,16.145,9.696606,993600
2006-03-28,16.125,16.135,15.975,16.0,9.60952,736600
2006-03-29,15.98,16.15,15.965,16.01,9.615528,1352600
2006-03-30,16.01,16.055,15.905,15.965,9.5885,772200
2006-03-31,15.95,15.99,15.66,15.735,9.450365,875800
2006-04-03,15.74,16.120001,15.74,16.120001,9.681595,1056600
2006-04-04,16.105,16.35,16.059999,16.26,9.765677,771200
2006-04-05,16.235001,16.424999,16.215,16.405001,9.852761,484200
2006-04-06,16.379999,16.395,16.235001,16.33,9.807715,736400
2006-04-07,16.370001,16.42,16.055,16.125,9.684594,517200
2006-04-10,16.120001,16.360001,16.059999,16.059999,9.645556,347800
2006-04-11,16.0,16.075001,15.825,15.825,9.504417,551200
2006-04-12,15.85,15.915,15.775,15.85,9.519433,286000
2006-04-13,15.775,15.85,15.67,15.69,9.423335,330200
2006-04-17,15.67,15.795,15.62,15.67,9.411327,392200
2006-04-18,15.67,15.925,15.66,15.835,9.510423,983000
2006-04-19,15.76,16.045,15.73,15.745,9.456371,1162600
2006-04-20,15.755,15.925,15.74,15.8,9.489405,886000
