Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,16.370001,16.51,16.08,16.43,15.582692,4133700
2006-01-04,16.360001,17.0,16.360001,16.940001,16.066383,6551400
2006-01-05,16.889999,17.0,16.690001,16.99,16.113811,3341800
2006-01-06,17.0,17.219999,16.959999,17.1,16.218142,4329300
2006-01-09,16.98,17.26,16.92,17.129999,16.24659,3991300
2006-01-10,17.0,17.1,16.870001,17.049999,16.170712,1863800
2006-01-11,17.0,17.08,16.620001,16.75,15.886194,2706100
2006-01-12,16.4,16.700001,16.309999,16.360001,15.516299,4543300
2006-01-13,16.48,16.610001,16.26,16.370001,15.525791,2605000
2006-01-17,16.139999,16.139999,15.51,15.87,15.051573,5914600
2006-01-18,15.95,16.82,15.81,16.76,15.895674,6510700
2006-01-19,16.629999,16.639999,16.0,16.16,15.326617,5159800
2006-01-20,16.440001,16.59,16.139999,16.209999,15.374032,6013300
2006-01-23,16.4,16.540001,16.190001,16.24,15.402493,3566600
2006-01-24,16.25,16.469999,16.08,16.370001,15.525791,3721700
2006-01-25,16.440001,16.450001,16.18,16.4,15.554236,3058100
2006-01-26,16.440001,16.49,16.18,16.299999,15.459394,4171800
2006-01-27,16.190001,16.35,16.15,16.32,15.478361,3254500
2006-01-30,16.200001,16.49,16.15,16.41,15.563726,3119400
2006-01-31,16.41,16.5,16.299999,16.459999,15.611146,4464100
2006-02-01,16.34,16.4,16.1,16.23,15.393008,5434500
2006-02-02,16.280001,16.74,16.200001,16.52,15.668045,7757500
2006-02-03,16.52,16.57,16.190001,16.43,15.582692,3215400
2006-02-06,16.34,16.65,16.290001,16.540001,15.687022,2307900
2006-02-07,16.299999,16.49,16.1,16.15,15.317137,5158800
2006-02-08,16.030001,16.620001,16.030001,16.34,15.497337,3666000
2006-02-09,16.299999,16.57,16.26,16.51,15.658563,2788800
2006-02-10,16.42,16.59,16.379999,16.42,15.573203,2444900
2006-02-13,16.35,16.5,16.26,16.450001,15.601662,2420200
2006-02-14,16.43,16.85,16.370001,16.809999,15.943093,3297200
2006-02-15,16.700001,16.889999,16.559999,16.83,15.962069,3540000
2006-02-16,16.700001,16.82,16.68,16.82,15.952575,1996900
2006-02-17,16.75,16.84,16.620001,16.809999,15.943093,2070300
2006-02-21,16.68,16.799999,16.540001,16.690001,15.829284,2623800
2006-02-22,16.700001,16.870001,16.690001,16.83,15.962069,2808700
2006-02-23,16.74,16.93,16.719999,16.82,15.952575,3101000
2006-02-24,16.780001,16.790001,16.450001,16.629999,15.772379,3505800
