Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,32.060001,32.290001,31.32,32.130001,20.716833,2201800
2006-01-04,32.049999,32.75,31.809999,32.32,20.839334,1579900
2006-01-05,32.389999,33.0,32.349998,32.939999,21.239096,1038400
2006-01-06,33.09,33.869999,32.75,33.869999,21.838747,1574600
2006-01-09,33.880001,34.330002,33.75,33.919998,21.870995,1528700
2006-01-10,33.919998,34.110001,33.59,34.049999,21.954802,977300
2006-01-11,34.200001,34.869999,34.029999,34.580002,22.296543,1415600
2006-01-12,34.619999,34.939999,34.450001,34.669998,22.354568,1292400
2006-01-13,34.779999,34.93,33.650002,34.029999,21.94191,1293900
2006-01-17,34.110001,34.310001,33.540001,34.09,21.9806,1254600
2006-01-18,33.84,34.459999,33.84,34.43,22.199825,1514900
2006-01-19,34.549999,36.150002,34.41,36.130001,23.295961,3595900
2006-01-20,35.5,35.59,34.290001,34.98,22.554453,4314000
2006-01-23,34.889999,35.400002,34.25,35.200001,22.696306,2213800
2006-01-24,35.150002,35.900002,35.07,35.84,23.108973,3299900
2006-01-25,35.880001,36.139999,35.34,36.080002,23.263714,2542800
2006-01-26,36.5,37.389999,35.860001,37.34,24.076134,2859900
2006-01-27,37.330002,38.16,36.400002,36.900002,23.792437,2630200
2006-01-30,37.099998,37.759998,36.720001,37.509998,24.185747,1956300
2006-01-31,37.360001,37.68,36.959999,37.509998,24.308887,3855200
2006-02-01,37.369999,37.779999,37.009998,37.740002,24.457937,2107500
2006-02-02,37.380001,37.860001,36.75,37.0,23.978376,1617000
2006-02-03,37.080002,37.540001,36.400002,36.619999,23.732117,1575900
2006-02-06,36.889999,37.450001,36.41,37.060001,24.017262,1488400
2006-02-07,36.939999,37.27,36.259998,36.77,23.829319,1648200
2006-02-08,36.98,37.0,36.48,36.689999,23.777473,1546900
2006-02-09,36.650002,36.990002,36.080002,36.099998,23.395109,1385200
2006-02-10,36.060001,36.25,35.279999,36.130001,23.414557,1331000
2006-02-13,35.93,36.349998,35.459999,35.639999,23.097002,958600
2006-02-14,35.650002,36.23,35.630001,36.119999,23.408075,1310700
2006-02-15,36.0,36.599998,35.830002,36.080002,23.382149,957300
2006-02-16,36.169998,36.990002,36.119999,36.599998,23.719152,1154400
2006-02-17,36.68,36.84,36.380001,36.709999,23.79044,1160500
2006-02-21,36.700001,36.830002,35.91,36.400002,23.58954,1521400
2006-02-22,36.34,36.82,35.84,36.619999,23.732117,2200000
2006-02-23,36.5,36.610001,35.779999,35.869999,23.246052,1564800
2006-02-24,36.040001,36.049999,35.32,35.529999,23.025717,1583100
2006-02-27,35.740002,35.75,35.240002,35.57,23.051647,1615900
2006-02-28,35.43,35.650002,35.049999,35.200001,22.811855,1515700
2006-03-01,35.290001,36.400002,35.240002,36.099998,23.395109,1100100
2006-03-02,35.849998,36.52,35.77,36.52,23.667305,1310400
2006-03-03,36.360001,37.130001,36.150002,36.619999,23.732117,1377600
2006-03-06,36.669998,36.75,35.84,36.09,23.388632,914100
2006-03-07,36.209999,36.400002,35.400002,35.779999,23.187742,2193300
