Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,36.950001,37.200001,35.619999,36.93,36.408562,1791900
2006-01-04,36.93,36.93,35.880001,35.98,35.47197,1170900
2006-01-05,36.349998,36.400002,35.599998,35.75,35.245216,1137600
2006-01-06,36.200001,37.0,36.040001,36.59,36.07336,1662700
2006-01-09,37.0,37.919998,37.0,37.709999,37.17754,2627200
2006-01-10,37.040001,38.049999,36.900002,37.84,37.305706,1420000
2006-01-11,38.200001,38.880001,37.529999,38.549999,38.005684,2007500
2006-01-12,38.200001,38.360001,37.509998,37.73,37.197262,1564200
2006-01-13,37.68,38.220001,37.580002,37.84,37.305706,587000
2006-01-17,37.029999,37.52,36.43,36.900002,36.378983,1907800
2006-01-18,36.650002,37.709999,36.25,37.0,36.477573,1435800
2006-01-19,37.459999,37.509998,36.5,36.599998,36.083214,1393300
2006-01-20,36.5,37.299999,35.889999,36.099998,35.590275,1343400
2006-01-23,36.150002,36.220001,35.259998,35.43,34.929733,1546300
2006-01-24,36.0,36.66,35.919998,36.549999,36.033924,1749100
2006-01-25,36.68,36.950001,36.470001,36.689999,36.171947,1277900
2006-01-26,37.060001,37.75,36.869999,37.639999,37.108532,1455900
2006-01-27,37.099998,38.200001,37.0,37.849998,37.315567,1218000
2006-01-30,37.900002,38.0,37.09,37.419998,36.89164,828000
2006-01-31,37.639999,37.869999,36.830002,37.060001,36.536724,1193300
2006-02-01,37.0,37.91,36.990002,37.650002,37.118389,993100
2006-02-02,37.400002,37.689999,36.849998,37.09,36.566299,1056100
2006-02-03,36.900002,37.189999,36.360001,36.68,36.162086,1389500
2006-02-06,37.02,37.099998,36.490002,36.720001,36.201519,773700
2006-02-07,36.650002,37.25,36.299999,36.5,35.984634,908300
2006-02-08,36.639999,38.66,36.549999,38.439999,37.897232,2750800
2006-02-09,38.799999,39.27,37.84,38.200001,37.660622,1493000
2006-02-10,38.43,38.950001,38.25,38.580002,38.035263,1199200
2006-02-13,38.990002,39.189999,38.029999,38.139999,37.601471,974900
2006-02-14,37.970001,38.23,37.349998,37.77,37.236694,1215800
2006-02-15,37.75,39.25,37.700001,39.02,38.469051,1294000
2006-02-16,38.950001,39.700001,38.709999,39.040001,38.488766,1307600
2006-02-17,39.16,39.990002,39.139999,39.709999,39.149303,1490500
2006-02-21,39.59,39.650002,38.5,38.610001,38.064838,1222400
2006-02-22,38.5,39.709999,38.5,39.540001,38.981705,1014600
2006-02-23,39.650002,39.700001,37.619999,37.93,37.39444,3033300
2006-02-24,37.98,38.959999,37.900002,38.119999,37.581757,1642900
2006-02-27,38.0,38.5,37.48,37.68,37.147968,1541000
2006-02-28,37.68,37.68,36.900002,36.970001,36.447994,1091700
2006-03-01,36.880001,37.330002,36.759998,37.110001,36.586014,1371600
2006-03-02,36.889999,38.060001,36.790001,37.639999,37.108532,1484300
2006-03-03,38.560001,38.599998,37.900002,38.189999,37.650764,1603200
2006-03-06,38.509998,40.439999,38.509998,39.509998,38.952129,3381700
2006-03-07,38.779999,39.849998,38.77,39.299999,38.74509,1247500
2006-03-08,38.950001,39.119999,38.310001,38.849998,38.301445,1204500
2006-03-09,38.990002,39.380001,38.299999,38.560001,38.015541,1131200
2006-03-10,38.599998,39.099998,38.5,38.709999,38.163422,509100
2006-03-13,38.919998,39.450001,38.470001,38.57,38.025402,727100
2006-03-14,38.5,38.509998,37.869999,38.23,37.690205,3723600
2006-03-15,37.98,38.380001,37.75,38.16,37.621189,1800200
2006-03-16,38.200001,38.299999,38.0,38.240002,37.700062,1187700
2006-03-17,38.25,39.349998,38.18,39.290001,38.735237,2036000
2006-03-20,39.290001,39.700001,38.759998,39.200001,38.646507,1046900
2006-03-21,40.0,41.380001,39.810001,40.5,39.928154,3374700
2006-03-22,40.709999,42.330002,40.5,41.959999,41.367535,2984900
2006-03-23,41.52,41.75,41.130001,41.509998,40.923889,851800
2006-03-24,42.459999,42.459999,40.560001,41.400002,40.815441,1064800
2006-03-27,41.299999,42.200001,41.209999,42.049999,41.456264,1199400
2006-03-28,41.0,42.98,41.0,42.560001,41.959064,3423900
2006-03-29,42.400002,43.240002,42.34,42.939999,42.333694,2643800
2006-03-30,42.799999,43.43,42.799999,43.0,42.392849,1239100
2006-03-31,43.049999,43.349998,42.59,43.09,42.481583,989300
2006-04-03,43.18,43.75,42.849998,42.93,42.323837,1151300
2006-04-04,42.869999,43.389999,42.650002,43.169998,42.560444,1027500
2006-04-05,43.740002,44.950001,43.5,43.759998,43.14212,2538500
2006-04-06,43.709999,44.470001,43.700001,44.279999,43.654778,1142200
2006-04-07,44.5,44.77,43.860001,44.610001,43.980114,1309700
2006-04-10,44.470001,44.549999,43.75,44.279999,43.654778,1496500
2006-04-11,44.18,44.57,43.209999,43.77,43.151978,1171900
2006-04-12,43.59,43.959999,43.279999,43.919998,43.299858,588500
2006-04-13,43.720001,43.990002,43.009998,43.880001,43.260429,567000
2006-04-17,43.700001,44.0,43.18,43.369999,42.757622,668100
2006-04-18,43.740002,44.439999,43.52,44.119999,43.497036,980900
2006-04-19,44.200001,44.59,43.889999,44.349998,43.723789,551700
2006-04-20,44.48,44.990002,44.209999,44.799999,44.167435,643600
2006-04-21,44.75,44.900002,44.150002,44.34,43.713928,553100
2006-04-24,44.389999,44.389999,43.349998,43.490002,42.875935,1129200
2006-04-25,43.560001,44.0,43.349998,43.880001,43.260429,846500
2006-04-26,43.599998,44.07,43.080002,43.939999,43.31958,1209300
2006-04-27,44.119999,45.0,42.970001,44.599998,43.970253,1792500
2006-04-28,44.470001,45.119999,43.720001,44.900002,44.266022,1631200
2006-05-01,44.299999,45.009998,44.27,44.48,43.851952,1871400
2006-05-02,44.849998,44.849998,43.619999,43.790001,43.171696,1354200
2006-05-03,43.700001,43.990002,43.369999,43.650002,43.033676,1526400
2006-05-04,43.48,44.599998,43.150002,44.439999,43.812519,1270800
2006-05-05,44.73,45.580002,44.650002,45.310001,44.670238,2124800
2006-05-08,45.150002,45.880001,45.139999,45.599998,44.956139,925700
2006-05-09,45.5,46.150002,45.259998,45.639999,44.995571,1139000
2006-05-10,45.5,45.830002,44.970001,45.18,44.542072,737300
2006-05-11,45.650002,45.93,44.939999,45.220001,44.581505,1060700
2006-05-12,45.0,45.0,43.52,43.75,43.132259,1058500
2006-05-15,43.369999,44.279999,43.150002,43.939999,43.31958,1481800
2006-05-16,44.040001,44.200001,43.02,43.25,42.63932,1524800
2006-05-17,43.150002,43.200001,42.02,42.310001,41.712593,1617400
2006-05-18,42.27,42.720001,41.790001,42.09,41.495697,860000
2006-05-19,42.630001,42.689999,41.220001,42.330002,41.732307,1694400
2006-05-22,41.75,42.029999,40.400002,41.919998,41.328102,1543000
2006-05-23,42.169998,42.75,41.68,41.790001,41.199936,1183900
2006-05-24,41.549999,41.77,40.66,41.529999,40.943604,1921400
2006-05-25,41.709999,42.68,41.200001,42.450001,41.850613,1073300
2006-05-26,41.41,42.0,41.400002,41.790001,41.199936,1717500
2006-05-30,41.110001,41.27,40.32,40.869999,40.292927,1852500
2006-05-31,41.200001,41.73,40.889999,41.459999,40.874592,2131200
2006-06-01,41.91,42.939999,41.73,42.810001,42.205532,1511500
2006-06-02,43.25,43.259998,41.349998,42.09,41.495697,1431400
2006-06-05,41.75,41.75,40.91,41.049999,40.470383,1377000
2006-06-06,41.130001,41.23,39.549999,40.080002,39.514084,1849200
2006-06-07,40.18,40.560001,39.799999,40.23,39.661961,1711500
2006-06-08,40.049999,40.060001,38.91,39.470001,38.912693,2082000
2006-06-09,39.669998,40.66,39.5,40.279999,39.711254,1261100
2006-06-12,40.529999,40.84,39.540001,39.540001,38.981705,805900
2006-06-13,39.349998,39.98,38.689999,39.240002,38.685944,1653800
2006-06-14,39.299999,39.810001,39.0,39.400002,38.843685,1053700
2006-06-15,39.400002,40.630001,39.400002,40.259998,39.691536,1638100
2006-06-16,40.259998,40.330002,39.490002,39.84,39.27747,1646800
2006-06-19,40.25,40.639999,39.869999,40.139999,39.573235,1437500
2006-06-20,39.32,40.279999,39.32,39.919998,39.356335,1294200
2006-06-21,39.759998,40.799999,39.43,40.619999,40.046455,1123500
2006-06-22,40.5,40.5,39.709999,39.799999,39.238029,1061600
2006-06-23,39.75,40.389999,39.75,40.049999,39.484505,447800
2006-06-26,39.880001,40.0,38.740002,38.869999,38.321163,2002800
2006-06-27,38.790001,39.060001,38.150002,38.220001,37.680347,1448100
2006-06-28,38.18,39.099998,38.130001,38.82,38.27187,1699600
2006-06-29,39.23,40.330002,38.849998,40.27,39.701397,1312900
2006-06-30,40.279999,41.279999,40.150002,40.799999,40.223915,1116200
2006-07-03,40.200001,40.919998,40.200001,40.830002,40.25349,525500
2006-07-05,40.0,40.419998,39.77,40.25,39.681683,937800
2006-07-06,40.099998,40.560001,39.93,39.98,39.415489,1068000
