Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,32.0,32.240002,31.469999,31.879999,23.08787,3008500.0
2006-01-04,31.93,32.040001,31.82,31.9,23.102354,3669000.0
2006-01-05,31.620001,32.040001,31.6,32.0,23.298941,2401600.0
2006-01-06,32.220001,32.41,31.950001,32.389999,23.582903,2606900.0
2006-01-09,32.290001,32.549999,32.290001,32.549999,23.699385,2404700.0
2006-01-10,32.349998,32.41,31.879999,32.169998,23.422714,3297700.0
2006-01-11,32.290001,32.73,32.27,32.73,23.830441,2635900.0
2006-01-12,32.529999,32.610001,31.940001,32.009998,23.306221,2749400.0
2006-01-13,32.16,32.389999,31.9,32.09,23.364468,1667100.0
2006-01-17,31.950001,32.009998,31.610001,31.860001,23.197001,1435600.0
2006-01-18,31.57,31.83,31.42,31.450001,22.898489,1693400.0
2006-01-19,31.440001,31.530001,30.99,31.120001,22.65822,2710300.0
2006-01-20,31.120001,31.200001,30.5,30.65,22.316013,2639600.0
2006-01-23,30.65,31.299999,30.0,30.92,22.5126,2858700.0
2006-01-24,30.93,31.25,30.91,30.959999,22.541727,1450900.0
2006-01-25,31.1,31.139999,30.549999,30.85,22.46163,2032500.0
2006-01-26,31.01,31.309999,30.84,30.85,22.46163,2148300.0
2006-01-27,30.85,31.110001,30.610001,30.879999,22.483479,2278900.0
2006-01-30,30.9,31.0,30.58,30.6,22.279617,1849800.0
2006-01-31,30.67,30.76,30.02,30.389999,22.126707,3581600.0
2006-02-01,30.450001,30.5,29.940001,30.120001,21.930126,2487400.0
2006-02-02,30.02,30.26,29.690001,30.0,21.842754,2699500.0
2006-02-03,29.75,30.52,29.75,30.280001,22.046614,2037400.0
2006-02-06,30.25,30.309999,30.049999,30.200001,21.988373,2397800.0
2006-02-07,30.040001,30.27,29.83,29.85,21.73354,1375800.0
2006-02-08,29.799999,31.08,29.799999,31.040001,22.59997,2513900.0
2006-02-09,31.040001,31.280001,30.75,31.15,22.680058,3045600.0
2006-02-10,31.17,31.57,30.85,31.52,22.94945,3068200.0
2006-02-13,31.200001,31.450001,30.98,31.219999,22.731026,2249000.0
2006-02-14,30.0,30.940001,29.049999,29.709999,21.631605,10347600.0
2006-02-15,29.709999,29.75,29.17,29.469999,21.456869,5135600.0
2006-02-16,29.48,30.48,29.4,30.290001,22.053905,3520100.0
2006-02-17,30.200001,30.24,29.780001,29.799999,21.697138,2967700.0
2006-02-21,29.91,29.92,29.469999,29.49,21.47143,1937400.0
2006-02-22,29.620001,29.950001,29.59,29.85,21.73354,2093600.0
2006-02-23,29.85,29.940001,29.719999,29.82,21.711699,1815000.0
2006-02-24,29.77,30.200001,29.76,30.0,21.842754,1698800.0
2006-02-27,29.870001,30.9,29.870001,30.809999,22.432501,4823600.0
2006-02-28,30.809999,30.98,30.610001,30.91,22.505314,3050200.0
2006-03-01,30.85,30.99,30.49,30.9,22.498039,2698200.0
2006-03-02,30.75,31.389999,30.75,31.290001,22.781994,3178900.0
2006-03-03,31.1,31.5,30.799999,31.25,22.752872,3393600.0
2006-03-06,31.1,31.139999,30.799999,30.91,22.505314,1425400.0
2006-03-07,30.74,30.83,30.51,30.809999,22.432501,3806600.0
2006-03-08,30.629999,30.959999,30.52,30.950001,22.534443,2192100.0
2006-03-09,30.9,30.950001,30.559999,30.65,22.316013,1521500.0
2006-03-10,30.85,30.860001,30.389999,30.440001,22.163115,2776000.0
2006-03-13,30.450001,30.5,30.200001,30.25,22.024776,2385500.0
2006-03-14,30.200001,30.299999,30.129999,30.26,22.032059,2676500.0
2006-03-15,30.120001,30.15,29.709999,30.030001,21.864601,3097300.0
2006-03-16,30.049999,30.26,29.879999,30.040001,21.87188,2610300.0
2006-03-17,30.16,30.23,29.940001,30.049999,21.879154,2100400.0
2006-03-20,30.049999,30.74,29.940001,30.549999,22.243208,2444400.0
2006-03-21,30.65,30.940001,30.559999,30.709999,22.359701,2405700.0
2006-03-22,30.59,30.700001,30.309999,30.6,22.279617,2012300.0
2006-03-23,30.700001,30.77,30.09,30.139999,21.944689,2656700.0
2006-03-24,30.030001,30.1,29.74,30.030001,21.864601,2389800.0
2006-03-27,30.049999,30.360001,30.049999,30.15,21.951967,1891300.0
2006-03-28,30.09,30.15,29.43,29.49,21.47143,4237000.0
2006-03-29,29.4,29.67,29.379999,29.4,21.405895,2599800.0
2006-03-30,29.299999,29.43,28.940001,29.309999,21.34037,3315500.0
2006-03-31,29.309999,29.540001,29.17,29.360001,21.376776,1684700.0
2006-04-03,29.4,29.58,29.17,29.440001,21.435026,2785100.0
2006-04-04,29.379999,29.629999,29.309999,29.5,21.478706,2999800.0
2006-04-05,29.4,29.57,29.26,29.5,21.603203,3068100.0
2006-04-06,29.27,29.51,28.950001,29.35,21.493353,2443700.0
2006-04-07,29.35,29.48,29.01,29.280001,21.442093,1993600.0
2006-04-10,29.299999,29.469999,29.15,29.299999,21.456738,1838300.0
2006-04-11,29.299999,29.709999,29.0,29.15,21.346891,2409700.0
2006-04-12,29.1,29.120001,28.65,28.799999,21.090586,1695300.0
2006-04-13,28.65,29.16,28.530001,29.01,21.244364,1830700.0
2006-04-17,29.25,29.73,29.08,29.709999,21.756989,3046400.0
2006-04-18,29.75,30.25,29.639999,30.1,22.042583,8024100.0
2006-04-19,29.98,30.4,29.93,30.299999,22.189049,1729400.0
2006-04-20,30.27,30.66,30.24,30.309999,22.196375,2251400.0
2006-04-21,30.540001,31.07,30.379999,30.959999,22.672379,5402700.0
2006-04-24,30.870001,31.059999,30.530001,30.68,22.467333,2595100.0
2006-04-25,31.290001,31.290001,30.23,30.280001,22.174408,2510900.0
2006-04-26,30.4,30.75,30.389999,30.690001,22.474655,2712700.0
2006-04-27,30.5,31.0,30.34,30.790001,22.547884,4185900.0
2006-04-28,30.6,30.860001,30.51,30.67,22.460012,3017200.0
2006-05-01,30.67,31.0,30.48,30.65,22.445351,2860000.0
2006-05-02,30.620001,30.860001,30.1,30.200001,22.115822,3940100.0
2006-05-03,29.049999,30.719999,29.049999,30.09,22.035265,6086300.0
2006-05-04,30.23,30.49,30.15,30.25,22.152433,2660500.0
2006-05-05,30.25,30.4,29.940001,30.01,21.976683,4420000.0
2006-05-08,30.02,30.16,29.530001,29.559999,21.647142,2816900.0
2006-05-09,29.66,30.02,29.6,29.799999,21.822897,2264700.0
2006-05-10,29.75,29.9,29.610001,29.790001,21.815573,2012800.0
2006-05-11,29.65,29.74,29.09,29.24,21.412807,1784400.0
2006-05-12,29.24,29.280001,28.870001,28.9,21.163816,1901600.0
2006-05-15,28.75,29.07,28.709999,28.959999,21.207748,2297200.0
2006-05-16,29.0,29.129999,28.83,28.860001,21.134521,3081100.0
2006-05-17,28.700001,28.75,28.360001,28.4,20.797661,2453600.0
2006-05-18,28.4,28.809999,28.35,28.4,20.797661,3896300.0
2006-05-19,28.25,28.639999,28.120001,28.540001,20.900183,3035700.0
2006-05-22,28.360001,28.51,28.110001,28.200001,20.651197,1996200.0
2006-05-23,28.209999,28.440001,27.99,28.01,20.512056,2000800.0
2006-05-24,27.92,28.139999,27.719999,28.0,20.50473,2832300.0
2006-05-25,28.389999,28.57,28.030001,28.450001,20.83427,3023600.0
2006-05-26,28.6,28.6,28.110001,28.27,20.702459,2216000.0
2006-05-30,28.15,28.17,27.809999,27.889999,20.424181,2388600.0
2006-05-31,28.0,28.17,27.82,28.030001,20.526695,2217500.0
2006-06-01,28.110001,28.309999,27.93,28.23,20.673164,1904200.0
2006-06-02,28.35,28.42,28.15,28.309999,20.731747,2564300.0
2006-06-05,28.18,28.309999,28.030001,28.219999,20.665842,2975300.0
2006-06-06,28.299999,28.370001,27.969999,28.200001,20.651197,4616200.0
2006-06-07,28.35,28.389999,28.059999,28.15,20.614574,3233500.0
2006-06-08,27.940001,28.09,27.450001,27.92,20.446144,2704800.0
2006-06-09,27.9,28.0,27.66,27.84,20.387566,1882500.0
2006-06-12,27.9,27.959999,27.620001,27.690001,20.277723,1296700.0
2006-06-13,27.68,27.85,27.5,27.59,20.204487,2374900.0
2006-06-14,27.5,27.68,27.35,27.67,20.263069,2764300.0
2006-06-15,27.68,28.1,27.559999,27.98,20.490089,2037100.0
2006-06-16,27.860001,27.969999,27.5,27.540001,20.167871,2384000.0
2006-06-19,27.559999,27.709999,27.299999,27.35,20.028727,1746600.0
2006-06-20,27.360001,27.639999,27.299999,27.41,20.072672,1558700.0
2006-06-21,27.379999,27.450001,26.99,27.09,19.838333,1966600.0
2006-06-22,27.02,27.1,26.76,26.83,19.647923,2457200.0
2006-06-23,26.66,26.780001,26.52,26.6,19.479498,1977600.0
2006-06-26,26.6,26.690001,26.309999,26.4,19.333033,2812600.0
2006-06-27,26.4,26.48,25.9,25.92,18.981525,9670100.0
2006-06-28,26.1,27.01,26.059999,26.959999,19.743128,4641900.0
2006-06-29,27.1,27.18,26.860001,27.09,19.838333,3702200.0
2006-06-30,27.059999,27.1,26.889999,26.889999,19.69187,2353300.0
2006-07-03,26.950001,27.0,26.799999,26.93,19.721157,803800.0
2006-07-05,26.68,26.73,26.35,26.43,19.477962,1868400.0
2006-07-06,26.360001,26.719999,26.35,26.67,19.654831,1272000.0
2006-07-07,26.6,26.77,26.459999,26.66,19.647463,2344200.0
2006-07-10,26.610001,26.799999,26.450001,26.459999,19.500067,1481100.0
2006-07-11,26.309999,26.33,26.09,26.219999,19.323196,1503400.0
2006-07-12,26.120001,26.389999,25.889999,26.01,19.168434,1627900.0
2006-07-13,25.950001,26.1,25.879999,25.99,19.153698,1557000.0
2006-07-14,25.950001,26.030001,25.709999,25.950001,19.124224,2103900.0
2006-07-17,25.879999,26.040001,25.690001,25.690001,18.932604,1730100.0
2006-07-18,25.700001,25.870001,25.33,25.52,18.807323,1675300.0
2006-07-19,25.530001,26.24,25.530001,26.17,19.28635,1753800.0
2006-07-20,26.120001,26.219999,25.57,25.57,18.844168,2230700.0
2006-07-21,25.85,25.969999,25.610001,25.870001,19.065262,1841800.0
2006-07-24,25.85,26.34,25.690001,26.27,19.360043,1932400.0
2006-07-25,26.360001,26.370001,25.690001,25.700001,18.939976,3571300.0
2006-07-26,25.809999,27.389999,25.809999,27.049999,19.934883,6169700.0
2006-07-27,27.219999,27.34,26.83,26.93,19.846437,2507000.0
2006-07-28,26.93,28.059999,26.799999,27.559999,20.310734,4737500.0
