Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,57.169998,58.490002,56.740002,58.310001,39.888046,5377000
2006-01-04,58.700001,59.279999,58.349998,58.349998,39.915413,7977800
2006-01-05,58.549999,58.59,58.02,58.509998,40.024864,5778000
2006-01-06,58.77,58.849998,58.049999,58.57,40.065922,6889800
2006-01-09,58.630001,59.290001,58.619999,59.189999,40.490028,4144500
2006-01-10,58.849998,59.220001,58.580002,59.220001,40.510544,4713600
2006-01-11,59.150002,59.880001,58.84,59.57,40.936615,5837900
2006-01-12,59.630001,59.779999,59.27,59.470001,40.867886,3817700
2006-01-13,59.57,59.669998,59.060001,59.380001,40.806042,3430900
2006-01-17,59.450001,59.459999,58.68,58.810001,40.414333,2624700
2006-01-18,58.549999,58.900002,58.049999,58.450001,40.166954,2903000
2006-01-19,58.75,59.98,58.709999,59.349998,40.785427,3813000
2006-01-20,59.299999,59.549999,57.41,57.849998,39.754623,5445900
2006-01-23,57.700001,58.689999,57.700001,58.48,40.187561,3767000
2006-01-24,58.82,59.450001,58.619999,58.689999,40.331879,3813600
2006-01-25,59.0,59.419998,58.549999,59.169998,40.661728,4011700
2006-01-26,60.490002,60.5,59.490002,59.970001,41.211494,5790400
2006-01-27,60.0,61.0,59.790001,60.779999,41.768131,3700100
2006-01-30,61.450001,61.849998,60.639999,60.669998,41.692543,4246600
2006-01-31,60.5,61.91,60.490002,61.450001,42.228546,5178400
2006-02-01,61.099998,61.959999,60.889999,61.830002,42.4897,3496000
2006-02-02,61.650002,62.139999,60.849998,61.27,42.104866,3469800
2006-02-03,60.599998,62.150002,60.360001,61.439999,42.22168,3891600
2006-02-06,61.259998,61.91,61.23,61.73,42.420971,2629500
2006-02-07,61.349998,61.540001,60.27,60.529999,41.59634,3811300
2006-02-08,61.150002,61.360001,60.799999,61.27,42.104866,2718000
2006-02-09,61.27,61.900002,61.099998,61.18,42.043015,2714000
2006-02-10,61.0,61.139999,59.41,60.310001,41.445148,4483600
2006-02-13,60.200001,60.580002,59.389999,59.810001,41.101536,4104900
2006-02-14,59.810001,60.459999,59.209999,60.07,41.280216,3715100
2006-02-15,60.060001,61.060001,59.650002,60.860001,41.823101,2935600
2006-02-16,60.830002,61.349998,60.5,61.299999,42.125465,2645100
