Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,35.75,36.639999,34.830002,36.259998,32.746101,1129800
2006-01-04,36.389999,37.669998,36.259998,36.939999,33.360199,1319600
2006-01-05,37.27,37.799999,36.75,36.950001,33.36924,888800
2006-01-06,37.34,40.439999,37.130001,39.84,35.979172,3134300
2006-01-09,38.82,40.68,38.389999,39.43,35.608898,1571500
2006-01-10,39.400002,39.400002,38.259998,38.27,34.561317,970800
2006-01-11,38.259998,39.599998,38.0,38.889999,35.121239,960400
2006-01-12,38.68,39.389999,38.110001,38.299999,34.588402,949700
2006-01-13,38.25,39.290001,37.189999,39.009998,35.229588,1468200
2006-01-17,39.119999,40.09,38.119999,38.240002,34.534214,943000
2006-01-18,35.459999,37.75,35.200001,36.900002,33.324066,1937300
2006-01-19,37.099998,38.650002,37.029999,38.48,34.750965,770200
2006-01-20,38.66,39.5,37.810001,37.830002,34.16396,1062200
2006-01-23,37.830002,38.16,36.5,37.450001,33.820786,749800
2006-01-24,37.360001,37.810001,36.599998,37.810001,34.145889,807400
2006-01-25,38.0,39.0,37.5,38.77,35.012863,885000
2006-01-26,39.25,43.48,39.200001,43.200001,39.01355,3504500
2006-01-27,44.240002,44.5,41.900002,43.549999,39.329639,1248600
2006-01-30,45.98,46.75,45.0,46.700001,42.174377,3788700
2006-01-31,42.360001,42.75,40.75,41.91,37.848568,5009900
2006-02-01,40.43,40.939999,39.25,39.880001,36.015293,3280300
2006-02-02,39.400002,40.75,39.400002,39.779999,35.924969,1436600
2006-02-03,40.18,40.849998,39.5,40.02,36.141727,1347300
2006-02-06,40.0,42.740002,39.610001,42.43,38.318172,1974500
2006-02-07,43.0,43.259998,40.700001,40.810001,36.855167,1405300
2006-02-08,40.509998,41.630001,40.509998,40.93,36.963539,803000
2006-02-09,40.610001,42.0,40.07,40.27,36.367493,1428400
2006-02-10,40.220001,40.439999,39.549999,40.209999,36.313309,6032300
2006-02-13,40.209999,40.25,38.75,39.400002,35.58181,2529100
2006-02-14,39.48,39.75,39.369999,39.400002,35.58181,2513500
2006-02-15,39.400002,39.889999,39.380001,39.57,35.735332,734000
2006-02-16,39.59,40.200001,39.5,39.950001,36.078506,1312100
2006-02-17,39.900002,40.0,39.41,39.810001,35.95208,1046500
2006-02-21,40.040001,40.34,39.389999,39.75,35.8979,1001500
2006-02-22,39.59,40.43,39.400002,39.810001,35.95208,1412100
2006-02-23,39.900002,40.049999,39.59,39.799999,35.943047,836600
2006-02-24,39.700001,41.790001,39.650002,41.040001,37.062866,1703900
2006-02-27,41.330002,41.93,40.560001,41.709999,37.667953,1413000
2006-02-28,41.41,42.389999,40.25,40.509998,36.584236,1843900
2006-03-01,40.599998,41.110001,40.099998,40.490002,36.566181,1318300
2006-03-02,40.290001,40.400002,39.610001,40.0,36.123661,1162400
2006-03-03,39.68,41.470001,39.630001,40.689999,36.746792,1392700
2006-03-06,41.0,41.34,39.470001,39.959999,36.087528,860600
2006-03-07,39.900002,39.900002,37.790001,38.27,34.561317,1261200
2006-03-08,38.07,38.720001,37.139999,38.560001,34.823223,1531400
2006-03-09,39.009998,40.5,38.869999,39.5,35.672119,1866900
2006-03-10,39.630001,44.759998,39.16,43.560001,39.338665,8005300
2006-03-13,42.860001,43.610001,42.02,43.299999,39.10387,2968900
2006-03-14,43.360001,44.080002,42.509998,43.259998,39.067738,1898500
2006-03-15,43.5,45.75,42.759998,44.77,40.431419,4455200
2006-03-16,45.25,45.990002,44.049999,44.259998,39.970833,1950000
2006-03-17,44.529999,44.560001,42.040001,43.779999,39.537354,2503200
2006-03-20,44.200001,44.700001,42.560001,44.080002,39.808277,1539700
2006-03-21,43.75,45.560001,43.119999,43.349998,39.149021,2552600
2006-03-22,43.419998,43.419998,41.66,41.970001,37.902756,1516000
2006-03-23,41.970001,42.200001,40.369999,41.189999,37.198345,1521600
2006-03-24,41.650002,41.779999,40.25,40.560001,36.629398,1243800
2006-03-27,41.080002,42.16,40.84,41.549999,37.523453,1751900
2006-03-28,41.549999,42.48,41.310001,41.5,37.478294,1005800
2006-03-29,41.330002,42.27,41.23,41.849998,37.794376,1504600
2006-03-30,41.619999,41.880001,39.959999,40.110001,36.223011,2374400
2006-03-31,40.080002,40.5,38.919998,40.040001,36.159786,2038200
2006-04-03,40.389999,40.490002,39.400002,39.52,35.69017,1161100
2006-04-04,39.630001,40.16,39.360001,39.630001,35.78952,714600
2006-04-05,39.459999,40.779999,39.400002,40.09,36.204937,1161400
2006-04-06,40.099998,41.459999,39.790001,41.080002,37.099003,1149500
2006-04-07,41.57,41.919998,40.389999,41.150002,37.162228,1217200
2006-04-10,41.0,41.810001,40.700001,41.369999,37.360905,1205800
2006-04-11,41.490002,45.0,39.759998,40.849998,36.891293,3098500
2006-04-12,41.16,42.669998,40.099998,42.220001,38.128529,2021900
2006-04-13,42.299999,42.849998,41.349998,42.240002,38.146595,926800
2006-04-17,42.48,43.84,42.0,43.029999,38.860031,1399700
2006-04-18,43.009998,44.630001,42.439999,43.779999,39.537354,1626500
2006-04-19,44.16,44.389999,42.599998,43.790001,39.546379,1353700
2006-04-20,44.0,44.5,42.119999,42.240002,38.146595,1829600
2006-04-21,42.48,42.48,40.5,41.200001,37.207375,2849400
2006-04-24,40.599998,40.599998,39.200001,39.700001,35.852737,2301300
2006-04-25,39.900002,39.900002,38.0,38.75,34.994801,1912500
2006-04-26,38.619999,39.450001,38.59,38.830002,35.067043,1515800
2006-04-27,38.360001,38.5,37.189999,37.360001,33.73951,2165400
2006-04-28,37.349998,37.880001,37.130001,37.419998,33.793686,10241000
2006-05-01,37.529999,37.650002,34.650002,35.27,31.852041,5179000
2006-05-02,35.5,36.139999,35.099998,35.849998,32.375835,3027500
2006-05-03,36.759998,36.889999,35.099998,35.599998,32.150055,2492900
2006-05-04,35.669998,36.099998,35.139999,35.509998,32.068779,1742900
2006-05-05,35.759998,37.169998,35.509998,36.759998,33.197639,3450800
2006-05-08,37.360001,38.98,37.150002,38.68,34.931576,5019600
2006-05-09,38.77,38.900002,38.099998,38.34,34.624535,2192200
2006-05-10,38.799999,39.139999,37.919998,38.200001,34.4981,2747300
2006-05-11,38.810001,39.240002,36.330002,36.779999,33.215706,2114000
2006-05-12,36.5,36.869999,35.869999,36.07,32.574516,1942300
2006-05-15,36.25,36.560001,35.189999,35.369999,31.942348,1863500
2006-05-16,35.52,37.169998,35.52,36.959999,33.378265,2511500
2006-05-17,36.360001,36.380001,34.549999,34.669998,31.310186,2595800
2006-05-18,35.0,35.290001,31.889999,31.969999,28.871838,4852000
2006-05-19,31.969999,33.5,31.84,33.049999,29.847176,3116400
2006-05-22,32.709999,32.709999,30.1,31.4,28.357073,3917500
2006-05-23,31.99,32.419998,29.799999,30.200001,27.273367,3433200
2006-05-24,30.43,30.59,27.32,28.75,25.963882,4273200
2006-05-25,29.07,30.360001,28.68,30.27,27.336584,2757300
2006-05-26,30.27,32.240002,30.18,31.91,28.81765,3186000
2006-05-30,32.889999,32.970001,30.5,30.639999,27.670721,3414400
2006-05-31,30.67,31.129999,29.889999,30.440001,27.490105,3176900
2006-06-01,30.6,30.68,29.639999,30.110001,27.192091,2508300
2006-06-02,30.700001,31.99,29.75,30.030001,27.119844,2207700
2006-06-05,30.209999,31.35,28.9,29.110001,26.288998,2804000
2006-06-06,29.129999,29.6,27.77,28.110001,25.385906,2417500
2006-06-07,28.08,28.85,27.049999,27.309999,24.663431,2911300
2006-06-08,26.75,27.48,25.76,26.709999,24.121572,2755500
2006-06-09,26.959999,27.98,26.790001,27.41,24.753742,2730000
2006-06-12,27.41,27.940001,25.290001,25.290001,22.839186,2194500
2006-06-13,25.15,26.200001,23.91,24.280001,21.927069,3812200
2006-06-14,24.549999,25.879999,24.540001,25.129999,22.694691,3039300
2006-06-15,25.75,27.35,25.74,27.16,24.527966,2585600
2006-06-16,27.17,27.6,26.059999,26.83,24.229946,2522200
2006-06-19,26.99,27.120001,25.530001,25.84,23.33589,1715400
2006-06-20,25.959999,26.950001,25.51,26.48,23.913864,1527400
2006-06-21,26.66,28.469999,26.1,27.620001,24.94339,3356100
2006-06-22,27.959999,27.98,27.190001,27.610001,24.934361,1548000
2006-06-23,27.620001,27.639999,26.93,27.129999,24.500874,2028800
2006-06-26,27.299999,28.27,27.059999,28.18,25.449123,1745500
2006-06-27,28.120001,28.799999,26.459999,26.639999,24.058359,2753100
2006-06-28,26.82,27.23,25.450001,26.15,23.61585,2892600
2006-06-29,27.0,28.389999,26.73,28.26,25.521366,2980100
2006-06-30,28.59,29.9,27.16,29.9,27.002434,7555900
2006-07-03,29.559999,29.73,28.450001,29.48,26.62314,1549400
2006-07-05,29.07,30.0,28.459999,29.75,26.866974,2675900
2006-07-06,29.9,29.969999,28.82,29.139999,26.316086,1846200
2006-07-07,28.950001,28.98,28.01,28.129999,25.403965,1652700
2006-07-10,28.290001,28.870001,28.15,28.360001,25.611675,954500
2006-07-11,28.299999,28.959999,27.73,28.799999,26.009037,3118600
2006-07-12,28.93,29.48,28.129999,28.25,25.512341,2400700
2006-07-13,27.91,27.98,26.620001,26.73,24.139635,2174000
2006-07-14,26.629999,26.950001,25.780001,26.24,23.697123,2120200
2006-07-17,25.950001,26.809999,25.950001,26.26,23.715183,1094500
2006-07-18,26.15,26.68,25.33,26.17,23.633905,1119900
2006-07-19,26.58,27.959999,26.26,27.6,24.925325,2272400
2006-07-20,29.0,29.5,27.5,27.620001,24.94339,3338100
2006-07-21,27.67,27.98,26.65,27.01,24.392504,1542600
2006-07-24,27.059999,28.450001,27.049999,27.9,25.196255,1484700
2006-07-25,27.82,28.18,27.15,27.92,25.214317,1595700
2006-07-26,27.860001,27.940001,27.200001,27.68,24.997578,1232000
2006-07-27,27.85,28.43,27.68,28.08,25.358812,1745400
2006-07-28,28.15,29.0,27.92,28.9,26.099348,1849700
2006-07-31,28.5,28.530001,27.299999,27.65,24.970484,1972000
2006-08-01,27.43,27.43,26.0,26.23,23.688093,3183500
2006-08-02,26.549999,26.75,25.98,26.389999,23.832586,2603600
2006-08-03,25.85,26.59,25.799999,26.440001,23.877735,1736800
2006-08-04,27.66,27.68,26.66,26.92,24.311228,1745200
2006-08-07,26.75,27.15,26.450001,27.0,24.383476,977200
2006-08-08,27.15,27.25,26.43,26.459999,23.895803,1363600
2006-08-09,26.57,27.629999,26.57,26.780001,24.184792,1599800
2006-08-10,26.91,27.35,26.25,27.01,24.392504,1317800
2006-08-11,26.91,27.190001,26.5,26.690001,24.103516,797200
2006-08-14,27.0,27.49,26.83,27.110001,24.482807,1430600
2006-08-15,27.559999,28.9,27.34,28.639999,25.864546,2572700
2006-08-16,29.0,29.360001,28.059999,29.26,26.424463,2429900
2006-08-17,29.219999,30.49,29.01,29.870001,26.975346,3092500
2006-08-18,30.030001,30.049999,28.83,29.459999,26.605076,1481400
2006-08-21,29.25,29.25,28.26,28.26,25.521366,1086500
2006-08-22,28.25,28.67,28.16,28.26,25.521366,1073600
2006-08-23,29.07,29.08,27.860001,27.91,25.205282,1163300
2006-08-24,27.92,28.139999,27.219999,27.35,24.699554,1455300
2006-08-25,27.299999,27.4,26.66,26.969999,24.35638,2256100
2006-08-28,26.85,27.440001,26.700001,26.860001,24.257038,1589000
2006-08-29,26.75,27.129999,26.49,27.0,24.383476,1403200
2006-08-30,27.49,27.74,27.129999,27.48,24.816961,1564800
2006-08-31,27.5,28.860001,27.370001,28.51,25.747137,2714500
2006-09-01,28.35,29.0,27.99,28.33,25.584585,1147700
2006-09-05,28.0,28.17,27.51,27.99,25.277534,1655500
2006-09-06,27.950001,28.309999,27.799999,28.040001,25.322687,2297600
2006-09-07,27.780001,29.0,27.469999,28.799999,26.009037,3390800
2006-09-08,29.26,29.73,28.860001,29.18,26.352213,2587900
2006-09-11,29.08,29.15,28.129999,28.25,25.512341,1573500
2006-09-12,28.1,28.9,28.0,28.58,25.810358,1786100
2006-09-13,28.52,29.540001,28.32,29.41,26.559923,2703800
2006-09-14,29.41,29.5,28.84,28.940001,26.135475,1442600
2006-09-15,29.07,29.780001,28.98,29.33,26.487677,2241600
2006-09-18,29.299999,31.09,29.299999,30.85,27.86038,3523500
2006-09-19,31.129999,31.889999,30.360001,31.51,28.456417,4381000
2006-09-20,31.98,32.490002,30.879999,31.09,28.077114,2749300
2006-09-21,31.379999,31.879999,30.559999,30.799999,27.815216,1909200
2006-09-22,30.799999,31.450001,30.15,31.27,28.239679,1609900
2006-09-25,31.57,31.74,30.43,30.66,27.688789,1825500
2006-09-26,30.889999,31.4,30.610001,31.33,28.293858,1738700
2006-09-27,31.200001,31.290001,30.57,30.719999,27.74297,1927300
2006-09-28,30.73,31.219999,30.1,30.52,27.562359,1481100
2006-09-29,30.549999,31.0,30.110001,30.24,27.30949,1926900
2006-10-02,30.26,30.33,28.9,29.309999,26.469612,2294900
2006-10-03,29.540001,30.120001,29.18,29.5,26.641201,1804100
2006-10-04,29.4,30.809999,29.15,30.75,27.770061,2552500
2006-10-05,30.790001,31.959999,30.5,31.73,28.655094,3233900
2006-10-06,31.700001,32.200001,31.27,31.809999,28.727341,2012500
2006-10-09,31.49,32.669998,31.41,32.5,29.350473,1882700
2006-10-10,33.029999,34.0,32.299999,33.59,30.334841,4813500
2006-10-11,33.389999,33.990002,32.900002,33.209999,29.991673,2394600
2006-10-12,33.32,34.91,33.32,34.700001,31.337276,3739700
2006-10-13,34.549999,35.779999,34.23,34.970001,31.581108,3497600
