Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,8.247544,8.385069,8.141454,8.38114,4.937379,3666500
2006-01-04,8.361493,8.38114,8.141454,8.337917,4.911916,1953700
2006-01-05,8.259332,8.337917,8.176817,8.200393,4.830898,2936600
2006-01-06,8.282907,8.314342,8.212181,8.294696,4.886454,1963700
2006-01-09,8.259332,8.294696,8.172888,8.239686,4.854048,2004400
2006-01-10,8.176817,8.251473,8.172888,8.21611,4.840159,1806100
2006-01-11,8.21611,8.27112,8.153242,8.267191,4.870251,3483000
2006-01-12,8.220039,8.286837,8.188605,8.255403,4.863306,3460400
2006-01-13,8.223969,8.255403,8.184676,8.251473,4.860991,2047400
2006-01-17,8.196464,8.302554,8.192534,8.294696,4.886454,2909600
2006-01-18,8.294696,8.392927,8.275049,8.349706,4.918859,2913500
2006-01-19,8.345776,8.377211,8.310412,8.361493,4.925805,2253000
2006-01-20,8.459725,8.463655,8.298625,8.306483,4.893397,3507000
2006-01-23,8.278978,8.333988,8.188605,8.212181,4.837843,2500200
2006-01-24,8.212181,8.302554,8.192534,8.282907,4.879508,2808900
2006-01-25,8.282907,8.32613,8.204322,8.243615,4.856361,2990100
2006-01-26,8.302554,8.306483,8.223969,8.282907,4.879508,4262300
2006-01-27,8.172888,8.235756,8.051081,8.066797,4.804619,3802700
2006-01-30,8.086444,8.121807,7.897839,7.956778,4.73909,4367700
2006-01-31,8.015718,8.133595,7.929273,8.066797,4.804619,4385200
2006-02-01,8.035363,8.047152,7.937131,7.948919,4.734411,3420700
2006-02-02,7.921414,7.948919,7.764244,7.862475,4.682923,3713600
2006-02-03,7.811395,7.862475,7.666012,7.811395,4.652498,4963700
2006-02-06,7.799607,7.992141,7.772102,7.964636,4.743771,5435100
2006-02-07,7.964636,8.070727,7.956778,8.05501,4.797596,7926400
2006-02-08,8.05501,8.113949,8.035363,8.113949,4.832702,6112500
2006-02-09,8.113949,8.192534,8.102161,8.168959,4.865466,5682700
2006-02-10,8.129666,8.200393,8.094302,8.113949,4.832702,2933800
2006-02-13,8.070727,8.16503,8.027505,8.05501,4.797596,2636800
2006-02-14,8.023576,8.05501,7.929273,8.047152,4.792917,4905400
2006-02-15,8.027505,8.121807,7.960707,7.972495,4.748451,3868400
2006-02-16,7.948919,8.066797,7.948919,8.066797,4.804619,2851600
2006-02-17,8.066797,8.239686,8.039292,8.176817,4.870145,4931900
2006-02-21,8.196464,8.282907,8.180747,8.243615,4.909932,3655600
2006-02-22,8.290766,8.310412,8.243615,8.267191,4.923973,3387900
2006-02-23,8.243615,8.290766,8.133595,8.141454,4.849084,4054400
2006-02-24,8.106091,8.1611,8.082515,8.137525,4.846744,5027900
2006-02-27,8.137525,8.180747,8.106091,8.125737,4.839723,4412200
2006-02-28,8.098232,8.172888,8.023576,8.066797,4.804619,4696000
2006-03-01,8.066797,8.11002,7.976424,8.031434,4.783554,4172500
2006-03-02,8.007858,8.007858,7.941061,7.952849,4.73675,3644100
2006-03-03,7.905697,7.964636,7.878192,7.952849,4.73675,3415600
2006-03-06,7.929273,7.933202,7.866405,7.905697,4.708666,3503400
2006-03-07,7.878192,7.917485,7.776031,7.8389,4.668881,3022900
2006-03-08,7.815324,7.925344,7.764244,7.882122,4.694623,4169900
2006-03-09,7.878192,7.937131,7.83497,7.878192,4.692284,2773000
2006-03-10,7.874263,7.980354,7.854617,7.976424,4.750792,4138600
2006-03-13,7.976424,8.058939,7.968566,7.992141,4.760152,3832200
2006-03-14,7.952849,8.106091,7.941061,8.102161,4.825681,1686800
2006-03-15,8.102161,8.172888,8.090373,8.168959,4.865466,5427200
2006-03-16,8.16503,8.267191,8.1611,8.251473,4.914612,5263500
2006-03-17,8.298625,8.310412,8.212181,8.251473,4.914612,5848400
2006-03-20,8.223969,8.267191,8.184676,8.21611,4.893549,2571200
2006-03-21,8.180747,8.223969,8.070727,8.121807,4.837381,3515600
2006-03-22,8.082515,8.176817,8.066797,8.16503,4.863124,2125000
2006-03-23,8.137525,8.176817,8.098232,8.172888,4.867805,2203900
2006-03-24,8.145383,8.176817,8.090373,8.141454,4.849084,4040900
2006-03-27,8.129666,8.129666,8.039292,8.066797,4.804619,6900200
2006-03-28,8.062868,8.106091,7.980354,8.039292,4.788236,2312300
2006-03-29,8.035363,8.129666,8.023576,8.066797,4.804619,1936900
2006-03-30,8.039292,8.082515,7.94499,8.023576,4.778874,3131600
2006-03-31,8.007858,8.043222,7.901768,7.94499,4.732069,4360300
2006-04-03,7.933202,8.082515,7.933202,8.062868,4.802278,3014000
2006-04-04,8.043222,8.168959,8.007858,8.149312,4.853764,3835300
2006-04-05,8.141454,8.21611,8.082515,8.204322,4.886528,5570400
2006-04-06,8.015718,8.094302,7.901768,8.066797,4.804619,4826300
2006-04-07,8.047152,8.094302,7.905697,7.94499,4.732069,3149900
2006-04-10,7.952849,7.984283,7.921414,7.941061,4.729729,3167200
2006-04-11,7.937131,7.948919,7.870334,7.905697,4.708666,3175100
2006-04-12,7.897839,7.941061,7.862475,7.929273,4.72271,2557900
2006-04-13,7.893909,7.917485,7.858546,7.874263,4.689943,1949700
2006-04-17,7.854617,7.917485,7.854617,7.905697,4.708666,3061100
2006-04-18,7.909626,8.129666,7.905697,8.102161,4.825681,4817600
2006-04-19,8.074656,8.208251,8.058939,8.153242,4.856106,3858700
2006-04-20,8.176817,8.231827,8.157171,8.200393,4.884188,4771100
2006-04-21,8.251473,8.267191,8.153242,8.184676,4.874827,3163900
2006-04-24,8.16503,8.21611,8.129666,8.208251,4.888867,3083200
2006-04-25,8.212181,8.212181,8.137525,8.16503,4.863124,3902200
2006-04-26,8.078586,8.141454,8.027505,8.070727,4.860756,4765000
2006-04-27,8.070727,8.330059,8.058939,8.247544,4.967247,7283200
2006-04-28,8.251473,8.322201,8.172888,8.294696,4.995646,5741700
2006-05-01,8.267191,8.337917,8.172888,8.192534,4.934119,2455100
2006-05-02,8.184676,8.294696,8.176817,8.290766,4.993279,4899100
2006-05-03,8.251473,8.333988,8.223969,8.330059,5.016944,3512600
2006-05-04,8.333988,8.396856,8.322201,8.32613,5.01458,3876200
2006-05-05,8.345776,8.534381,8.337917,8.514735,5.12817,2973000
2006-05-08,8.601179,8.632613,8.550098,8.628684,5.196797,4121300
2006-05-09,8.59725,8.605108,8.522593,8.526523,5.13527,4049800
2006-05-10,8.526523,8.644401,8.522593,8.624754,5.194432,2120400
2006-05-11,8.59332,8.632613,8.455795,8.522593,5.132902,1858600
2006-05-12,8.526523,8.550098,8.420432,8.495089,5.116337,3580500
2006-05-15,8.499018,8.514735,8.365422,8.459725,5.095038,2878600
2006-05-16,8.48723,8.48723,8.361493,8.373281,5.042975,1448300
2006-05-17,8.275049,8.365422,8.200393,8.212181,4.945951,3859700
2006-05-18,8.235756,8.306483,8.212181,8.212181,4.945951,4493700
2006-05-19,8.286837,8.440079,8.196464,8.345776,5.026411,3711800
2006-05-22,8.345776,8.459725,8.318271,8.392927,5.054809,2588200
2006-05-23,8.396856,8.43615,8.255403,8.263261,4.976713,2714400
2006-05-24,8.267191,8.361493,8.157171,8.341846,5.024043,2854200
2006-05-25,8.38114,8.388998,8.298625,8.349706,5.028777,2566100
2006-05-26,8.365422,8.377211,8.278978,8.337917,5.021677,2176200
2006-05-30,8.314342,8.349706,8.282907,8.341846,5.024043,4009300
2006-05-31,8.341846,8.581532,8.341846,8.554028,5.151832,6381800
2006-06-01,8.554028,8.601179,8.495089,8.59725,5.177866,2055300
2006-06-02,8.59332,8.640471,8.526523,8.609037,5.184967,3071300
2006-06-05,8.609037,8.616896,8.495089,8.510805,5.125802,2667900
2006-06-06,8.518664,8.54224,8.349706,8.499018,5.118703,3708300
2006-06-07,8.506876,8.569745,8.451866,8.459725,5.095038,1959900
2006-06-08,8.459725,8.534381,8.396856,8.518664,5.130536,2939400
2006-06-09,8.499018,8.628684,8.459725,8.605108,5.182599,2030600
2006-06-12,8.628684,8.667976,8.526523,8.554028,5.151832,1877100
2006-06-13,8.557957,8.620825,8.451866,8.459725,5.095038,2743700
2006-06-14,8.459725,8.479371,8.392927,8.455795,5.092672,2705000
2006-06-15,8.451866,8.609037,8.43615,8.585462,5.170766,3288100
2006-06-16,8.585462,8.664047,8.565815,8.620825,5.192064,2671900
2006-06-19,8.644401,8.656189,8.408645,8.471513,5.102138,2158900
2006-06-20,8.495089,8.59332,8.43615,8.471513,5.102138,2344100
2006-06-21,8.467584,8.628684,8.467584,8.585462,5.170766,3253000
2006-06-22,8.569745,8.577603,8.4833,8.569745,5.161301,1750100
2006-06-23,8.54224,8.652259,8.53831,8.605108,5.182599,3339000
2006-06-26,8.589391,8.675835,8.546169,8.573674,5.163667,4798800
2006-06-27,8.54224,8.624754,8.510805,8.53831,5.142368,2165200
2006-06-28,8.557957,8.59725,8.53831,8.585462,5.170766,3849800
2006-06-29,8.605108,8.644401,8.561886,8.609037,5.184967,3863800
2006-06-30,8.628684,8.671906,8.550098,8.581532,5.168398,2994900
2006-07-03,8.589391,8.609037,8.546169,8.605108,5.182599,1386000
2006-07-05,8.585462,8.656189,8.569745,8.656189,5.213364,5617500
2006-07-06,8.640471,8.683694,8.589391,8.667976,5.220463,1363300
2006-07-07,8.636542,8.801572,8.624754,8.75442,5.272526,3046800
2006-07-10,8.75442,8.86444,8.734774,8.86444,5.338786,3126500
2006-07-11,8.86444,8.931238,8.840864,8.915521,5.36955,3588100
2006-07-12,8.915521,8.946955,8.80943,8.844793,5.326954,2019200
2006-07-13,8.793714,8.856582,8.687623,8.746562,5.267791,2436500
2006-07-14,8.774067,8.801572,8.664047,8.762279,5.277256,3129800
2006-07-17,8.734774,8.770138,8.70334,8.742633,5.265426,4140200
2006-07-18,8.738704,8.789783,8.679764,8.730844,5.258326,2690300
2006-07-19,8.742633,8.880157,8.719057,8.876228,5.345887,2192200
2006-07-20,8.860511,8.994106,8.836935,8.954813,5.393214,2260900
2006-07-21,9.115913,9.115913,8.958743,9.041257,5.445278,3866300
2006-07-24,9.041257,9.147347,9.017682,9.123772,5.494976,2468100
2006-07-25,9.076621,9.147347,9.056974,9.076621,5.466576,3502600
2006-07-26,9.033399,9.155207,9.033399,9.13556,5.502072,6607300
2006-07-27,9.013752,9.053045,8.966601,8.994106,5.470999,5280300
2006-07-28,8.998035,9.076621,8.986248,9.049116,5.504464,1519300
2006-07-31,9.02554,9.076621,8.931238,8.939096,5.437539,3085800
2006-08-01,8.950884,9.049116,8.911592,9.02554,5.490121,3128800
2006-08-02,8.585462,8.821218,8.561886,8.746562,5.320422,8174500
2006-08-03,8.707269,8.801572,8.64833,8.679764,5.279788,3010700
2006-08-04,8.679764,8.695481,8.620825,8.691552,5.286962,2664800
2006-08-07,8.636542,8.656189,8.48723,8.491159,5.165064,3180700
2006-08-08,8.546169,8.581532,8.467584,8.506876,5.174623,1882500
2006-08-09,8.546169,8.589391,8.48723,8.48723,5.162674,2171300
2006-08-10,8.42829,8.479371,8.369351,8.451866,5.141164,3580800
2006-08-11,8.467584,8.471513,8.385069,8.404716,5.112481,2037200
2006-08-14,8.467584,8.467584,8.416503,8.43615,5.131603,2726900
2006-08-15,8.463655,8.48723,8.424361,8.42829,5.126823,4108300
2006-08-16,8.48723,8.506876,8.38114,8.396856,5.107701,4264900
2006-08-17,8.412574,8.412574,8.282907,8.345776,5.076629,3392400
2006-08-18,8.330059,8.392927,8.290766,8.365422,5.088579,4663400
2006-08-21,8.365422,8.424361,8.341846,8.369351,5.09097,2107000
2006-08-22,8.38114,8.400785,8.341846,8.361493,5.086188,1453100
2006-08-23,8.365422,8.392927,8.27112,8.275049,5.033606,1022300
2006-08-24,8.278978,8.318271,8.251473,8.306483,5.052728,1734600
2006-08-25,8.306483,8.32613,8.27112,8.275049,5.033606,1461800
2006-08-28,8.263261,8.373281,8.263261,8.314342,5.057509,2235500
2006-08-29,8.310412,8.345776,8.275049,8.290766,5.043167,2710400
2006-08-30,8.278978,8.310412,8.251473,8.251473,5.019268,1737900
2006-08-31,8.259332,8.349706,8.259332,8.318271,5.059898,3199800
2006-09-01,8.333988,8.420432,8.318271,8.337917,5.071849,2664300
2006-09-05,8.322201,8.388998,8.310412,8.345776,5.076629,2843500
2006-09-06,8.290766,8.361493,8.275049,8.306483,5.052728,2387700
2006-09-07,8.294696,8.318271,8.239686,8.251473,5.019268,1426900
2006-09-08,8.267191,8.294696,8.247544,8.267191,5.028827,1091500
2006-09-11,8.251473,8.318271,8.204322,8.310412,5.055118,2739600
2006-09-12,8.345776,8.353635,8.255403,8.290766,5.043167,2353600
2006-09-13,8.310412,8.337917,8.239686,8.322201,5.06229,4321600
2006-09-14,8.32613,8.373281,8.294696,8.298625,5.047949,1216500
2006-09-15,8.345776,8.349706,8.275049,8.278978,5.035996,2342100
2006-09-18,8.278978,8.290766,8.208251,8.259332,5.024045,1483400
2006-09-19,8.259332,8.349706,8.239686,8.322201,5.06229,2004900
2006-09-20,8.377211,8.404716,8.337917,8.38114,5.09814,1690600
2006-09-21,8.365422,8.388998,8.251473,8.290766,5.043167,2807800
2006-09-22,8.306483,8.333988,8.259332,8.294696,5.045556,1227900
2006-09-25,8.318271,8.440079,8.294696,8.385069,5.100531,2509800
2006-09-26,8.396856,8.42829,8.357564,8.388998,5.10292,1410100
2006-09-27,8.353635,8.522593,8.353635,8.514735,5.179406,2478500
2006-09-28,8.518664,8.550098,8.475442,8.495089,5.167453,3355500
2006-09-29,8.526523,8.59725,8.506876,8.54224,5.196136,3420700
2006-10-02,8.546169,8.652259,8.546169,8.632613,5.251109,2615400
2006-10-03,8.636542,8.679764,8.577603,8.616896,5.241547,2488500
2006-10-04,8.589391,8.644401,8.518664,8.612967,5.239157,2987000
2006-10-05,8.612967,8.656189,8.502947,8.565815,5.210477,2643200
2006-10-06,8.561886,8.59725,8.475442,8.495089,5.167453,2436800
