Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,23.700001,24.049999,23.389999,23.975,21.658939,2363200
2006-01-04,23.950001,24.195,23.73,23.75,21.455675,1922000
2006-01-05,23.25,23.405001,22.75,23.174999,20.936214,4340400
2006-01-06,23.299999,23.775,22.995001,23.065001,20.836847,4510200
2006-01-09,23.15,23.59,23.15,23.4,21.139482,2585600
2006-01-10,23.35,23.4,23.125,23.209999,20.967838,1553200
2006-01-11,23.184999,23.184999,22.84,22.975,20.755543,1434600
2006-01-12,22.965,24.075001,22.934999,23.540001,21.265961,5722600
2006-01-13,23.549999,24.48,23.549999,24.370001,22.015781,2480000
2006-01-17,24.405001,24.73,24.35,24.674999,22.291315,2858200
2006-01-18,24.6,24.65,24.450001,24.605,22.228079,1789600
2006-01-19,24.655001,24.684999,24.254999,24.325001,21.975128,1616600
2006-01-20,24.33,24.495001,24.049999,24.129999,21.798965,1623800
2006-01-23,24.18,24.34,23.905001,24.200001,21.862202,1902000
2006-01-24,24.25,24.674999,24.195,24.445,22.083534,2221200
2006-01-25,24.549999,24.629999,24.025,24.625,22.246145,2951800
2006-01-26,24.555,24.555,23.91,24.34,21.988678,22211200
2006-01-27,24.34,24.475,24.16,24.305,21.957056,5189800
2006-01-30,24.309999,24.514999,24.110001,24.459999,22.097084,7866400
2006-01-31,24.450001,24.475,24.135,24.135,21.803476,3856000
2006-02-01,24.25,24.325001,23.995001,24.0,21.681522,2239600
2006-02-02,23.875,24.035,23.395,23.6,21.320166,4783200
2006-02-03,23.615,23.65,23.33,23.65,21.365335,2667000
2006-02-06,23.764999,24.065001,23.75,24.014999,21.695078,2804800
2006-02-07,24.035,24.15,23.620001,23.625,21.342752,3233000
2006-02-08,23.725,23.785,23.094999,23.200001,20.958803,3552400
2006-02-09,23.16,23.450001,23.049999,23.200001,20.958803,3566000
2006-02-10,23.23,23.5,22.945,23.08,20.850399,3857600
2006-02-13,23.0,23.115,22.485001,23.110001,20.877502,3962600
2006-02-14,23.0,23.0,22.16,22.23,20.082512,5780200
2006-02-15,22.1,22.620001,22.01,22.209999,20.064445,3848200
2006-02-16,22.135,22.764999,22.049999,22.684999,20.493557,4243000
2006-02-17,22.85,23.1,22.735001,22.945,20.728437,1975000
2006-02-21,23.195,23.25,22.754999,22.85,20.642616,1824600
2006-02-22,22.895,23.084999,22.674999,22.870001,20.660685,2637400
2006-02-23,22.625,22.709999,22.245001,22.25,20.100574,2577000
2006-02-24,22.08,22.51,22.025,22.1,19.965067,1704800
2006-02-27,21.985001,22.299999,21.735001,21.790001,19.685017,3900600
2006-02-28,21.815001,21.889999,21.059999,21.625,19.535954,6462800
2006-03-01,21.625,22.125,21.610001,22.0,19.874729,2164000
2006-03-02,22.049999,22.245001,21.945,22.209999,20.064445,2617600
2006-03-03,22.209999,22.32,21.879999,22.045,19.91538,2314400
2006-03-06,22.0,22.0,21.155001,21.264999,19.210733,4566400
2006-03-07,21.9,22.025,21.360001,21.450001,19.377859,7979800
2006-03-08,21.469999,21.75,20.895,21.715,19.617264,4590600
2006-03-09,21.754999,21.844999,21.469999,21.65,19.55854,2217600
