Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,12.256667,12.833333,12.216666,12.74,11.804808,11820300
2006-01-04,12.836667,13.116667,12.703333,13.096666,12.135294,12751800
2006-01-05,13.1,13.416667,13.076667,13.393333,12.410184,16152300
2006-01-06,13.546667,13.663333,13.016666,13.613334,12.614037,15584700
2006-01-09,13.606667,14.066667,13.576667,13.993333,12.966139,14012100
2006-01-10,13.926666,13.996667,13.75,13.996667,12.969229,8491500
2006-01-11,14.01,14.583333,13.986667,14.503333,13.438704,15657600
2006-01-12,14.5,14.723333,14.193334,14.296667,13.247206,12387600
2006-01-13,14.263333,14.38,13.97,14.17,13.129836,10532400
2006-01-17,13.976666,14.166667,13.79,14.16,13.120572,8230800
2006-01-18,13.73,14.28,13.6,14.233334,13.188521,11498700
2006-01-19,14.423333,15.22,14.396667,15.023334,13.920531,22869000
2006-01-20,15.046667,15.22,14.6,14.603333,13.531363,11540100
2006-01-23,14.716666,14.81,14.516666,14.686666,13.608577,8372100
2006-01-24,14.72,15.066667,14.68,14.76,13.676528,9722400
2006-01-25,14.833333,14.93,14.453333,14.63,13.55607,10005900
2006-01-26,14.843333,15.143333,14.75,15.13,14.019367,11220900
2006-01-27,15.326667,15.586667,15.2,15.416667,14.284993,9626100
2006-01-30,15.483334,15.5,15.173333,15.243333,14.12438,7894500
2006-01-31,15.166667,15.25,14.87,14.986667,13.886556,9611400
2006-02-01,14.716666,15.056666,14.66,14.996667,13.895823,11271300
2006-02-02,15.133333,15.143333,14.516666,14.54,13.47268,11843400
2006-02-03,14.446667,14.853333,14.4,14.673333,13.596226,12606300
2006-02-06,14.633333,15.103333,14.57,15.086667,13.979217,9086700
2006-02-07,15.116667,15.116667,14.543333,14.55,13.481943,9985200
2006-02-08,14.593333,14.97,14.593333,14.97,13.871114,9826800
2006-02-09,15.016666,15.25,14.623333,14.716666,13.636376,10927500
2006-02-10,14.77,14.836667,14.29,14.633333,13.559159,10374900
2006-02-13,14.586667,14.786667,14.486667,14.683333,13.60549,7018500
2006-02-14,14.683333,14.763333,14.516666,14.71,13.630198,8558700
2006-02-15,14.68,15.033334,14.643333,14.993333,13.892733,12332400
2006-02-16,15.273334,15.766666,15.17,15.733334,14.578413,32647200
2006-02-17,16.889999,16.906666,15.733334,15.823334,14.661807,58923900
2006-02-21,15.79,15.816667,15.35,15.486667,14.349854,17101500
2006-02-22,15.266666,15.583333,14.9,15.46,14.325143,23493900
2006-02-23,15.413333,15.516666,15.18,15.223333,14.10585,9628200
2006-02-24,15.29,15.473333,15.14,15.22,14.102762,10410300
2006-02-27,15.336667,15.933333,15.176666,15.836667,14.674162,16661700
2006-02-28,15.766666,15.9,15.556666,15.71,14.556795,14082900
2006-03-01,15.766666,16.4,15.666667,16.306667,15.109663,17598300
2006-03-02,16.290001,16.559999,16.120001,16.33,15.131285,13636500
2006-03-03,16.18,16.67,16.15,16.386667,15.183787,14895000
2006-03-06,16.706667,16.816668,16.273333,16.353333,15.152904,13225500
2006-03-07,16.356667,16.483334,15.75,16.073334,14.893454,15155100
2006-03-08,16.076666,16.16,15.42,15.993333,14.819326,16770000
2006-03-09,16.186666,16.456667,16.066668,16.076666,14.896544,13417500
2006-03-10,16.059999,16.263334,15.653334,15.796667,14.637095,13039500
2006-03-13,15.956667,16.063334,15.836667,15.986667,14.813151,9303300
2006-03-14,16.0,16.496666,15.94,16.43,15.223941,15694800
2006-03-15,16.463333,16.716667,16.4,16.693333,15.467942,12765000
2006-03-16,16.723333,16.743334,16.07,16.126667,14.942874,14210400
2006-03-17,16.049999,16.299999,15.81,16.256666,15.06333,15464700
2006-03-20,16.4,16.403334,16.116667,16.133333,14.94905,7344300
2006-03-21,16.93,17.233334,16.486666,16.93,15.687242,30886800
2006-03-22,16.5,16.58,16.073334,16.443333,15.236296,28964400
2006-03-23,16.5,16.816668,16.313334,16.75,15.520451,16549800
2006-03-24,16.793333,17.346666,16.766666,17.316668,16.045521,17198400
2006-03-27,17.33,17.796667,17.273333,17.783333,16.47793,16286100
2006-03-28,17.703333,18.293333,17.666666,18.056667,16.731197,19880100
2006-03-29,18.133333,19.059999,17.983334,19.026667,17.629993,24677400
2006-03-30,19.046667,19.26,18.703333,19.156666,17.750452,26582700
2006-03-31,19.143333,19.41,18.969999,19.086666,17.685593,20889000
2006-04-03,19.186666,19.566668,18.946667,19.299999,17.883266,24222900
2006-04-04,19.326666,20.233334,19.306667,20.203333,18.720284,30015300
2006-04-05,20.166666,20.466667,19.736666,20.366667,18.871635,27824400
2006-04-06,20.313334,20.559999,20.033333,20.406666,18.908693,19732800
2006-04-07,20.32,20.5,19.953333,20.353333,18.859276,17066800
2006-04-10,20.306667,20.426666,19.846666,20.0,18.531883,15855700
2006-04-11,20.066668,20.066668,19.393333,19.513334,18.080942,17551800
2006-04-12,19.639999,20.406666,19.533333,20.299999,18.809856,14957700
2006-04-13,19.866667,20.093334,19.653334,19.733334,18.284786,18459000
2006-04-17,19.700001,20.280001,19.626667,19.786667,18.334208,11096700
2006-04-18,19.433332,19.440001,18.793333,19.32,17.901794,29137200
2006-04-19,19.200001,19.653334,18.933332,19.440001,18.012993,12936900
2006-04-20,19.266666,19.76,18.946667,19.413334,17.988283,13817100
2006-04-21,19.473333,19.553333,18.486666,18.713333,17.339663,19250400
2006-04-24,18.833334,19.473333,18.5,19.286667,17.870913,16921200
2006-04-25,19.066668,19.32,18.733334,19.273333,17.858555,17994100
2006-04-26,19.346666,19.639999,18.933332,19.139999,17.73501,8263200
2006-04-27,19.066668,19.626667,18.653334,19.446667,18.019163,11574100
2006-04-28,19.459999,19.726667,19.293333,19.48,18.050051,7118400
2006-05-01,19.613333,20.98,19.613333,20.6,19.087839,22561800
2006-05-02,20.753334,21.0,20.219999,20.573334,19.063131,13492500
2006-05-03,20.34,20.933332,20.32,20.706667,19.186674,9452800
2006-05-04,20.299999,20.799999,20.193333,20.573334,19.063131,12778200
2006-05-05,20.68,20.926666,20.393333,20.853333,19.322571,8454600
2006-05-08,20.799999,21.253334,20.566668,20.76,19.236092,12590500
2006-05-09,20.733334,20.84,20.1,20.126667,18.649252,14041200
2006-05-10,19.886667,20.120001,19.48,19.68,18.235376,18831600
2006-05-11,19.879999,20.066668,18.826666,18.98,17.586756,30027700
2006-05-12,18.526667,18.620001,17.16,17.553333,16.264814,39204300
2006-05-15,17.52,17.959999,17.366667,17.806667,16.49955,13834500
2006-05-16,17.906666,17.913334,17.226667,17.34,16.067144,12438300
2006-05-17,17.280001,17.379999,16.333334,16.639999,15.418524,21026800
2006-05-18,16.773333,16.933332,15.866667,15.886666,14.72049,17168200
2006-05-19,16.033333,16.6,15.873333,16.219999,15.029356,23320200
2006-05-22,16.133333,16.166666,15.56,16.0,14.825505,18372100
2006-05-23,16.333334,16.713333,15.76,15.826667,14.664896,13307800
2006-05-24,15.966666,16.506666,15.606667,16.033333,14.85639,14488000
2006-05-25,16.333334,16.573334,15.86,15.946667,14.776087,10591600
