Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,21.860001,22.209999,21.57,22.200001,11.625645,356800
2006-01-04,22.209999,22.32,22.0,22.15,11.599452,224800
2006-01-05,21.950001,22.57,21.950001,22.57,11.819402,290700
2006-01-06,22.700001,22.799999,22.280001,22.459999,11.761807,227600
2006-01-09,22.459999,22.959999,22.450001,22.950001,12.018403,270700
2006-01-10,22.950001,23.26,22.75,23.030001,12.060299,275400
2006-01-11,23.1,23.18,22.9,23.1,12.096948,200600
2006-01-12,23.1,23.15,23.01,23.15,12.123134,366100
2006-01-13,23.18,23.18,22.950001,23.049999,12.070768,323800
2006-01-17,22.9,23.1,22.620001,23.1,12.096948,337500
2006-01-18,23.1,23.219999,22.85,22.969999,12.028878,205200
2006-01-19,22.950001,23.52,22.950001,23.48,12.295949,226900
2006-01-20,23.559999,23.559999,23.08,23.15,12.123134,197900
2006-01-23,23.16,23.309999,22.959999,23.09,12.091716,247600
2006-01-24,23.08,23.290001,23.07,23.200001,12.149323,245400
2006-01-25,23.25,23.360001,23.0,23.1,12.096948,244800
2006-01-26,23.190001,23.23,23.030001,23.110001,12.102187,323400
2006-01-27,23.120001,23.49,23.120001,23.48,12.295949,221400
2006-01-30,23.35,23.35,23.120001,23.200001,12.209793,201800
2006-01-31,23.200001,23.5,23.15,23.290001,12.257162,232900
2006-02-01,23.25,23.57,23.209999,23.26,12.241377,267400
2006-02-02,23.290001,23.34,23.0,23.120001,12.167696,185700
2006-02-03,23.0,23.059999,22.6,22.75,11.972967,191100
2006-02-06,22.75,23.0,22.65,22.85,12.025598,178300
2006-02-07,22.879999,22.92,22.6,22.780001,11.988768,201200
2006-02-08,22.77,22.77,22.52,22.709999,11.951919,226000
2006-02-09,22.799999,22.860001,22.6,22.75,11.972967,153300
2006-02-10,22.790001,22.879999,22.6,22.780001,11.988768,117600
2006-02-13,22.780001,22.860001,22.6,22.77,11.98349,134400
2006-02-14,22.9,22.9,22.540001,22.860001,12.030866,232400
2006-02-15,22.940001,22.950001,22.690001,22.940001,12.07296,162300
2006-02-16,22.969999,23.120001,22.940001,23.07,12.141386,197400
2006-02-17,23.15,23.5,23.01,23.469999,12.351892,406400
2006-02-21,23.58,23.59,23.280001,23.48,12.357153,300100
2006-02-22,23.559999,23.790001,23.41,23.790001,12.520304,234900
2006-02-23,23.75,23.75,23.42,23.559999,12.399261,239100
2006-02-24,23.5,23.5,23.190001,23.290001,12.257162,248900
2006-02-27,23.17,23.23,22.91,23.15,12.244622,226100
2006-02-28,23.030001,23.110001,22.75,23.049999,12.19174,210400
2006-03-01,23.17,23.25,22.860001,23.25,12.297525,276600
2006-03-02,23.25,23.27,23.02,23.25,12.297525,190700
2006-03-03,23.110001,23.200001,22.77,22.9,12.112398,265500
2006-03-06,22.93,23.190001,22.799999,23.190001,12.265783,301900
2006-03-07,23.1,23.23,22.98,23.15,12.244622,269000
