Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,12.23,12.8,12.22,12.6,11.343612,56073800
2006-01-04,12.56,12.78,12.54,12.62,11.361616,56412300
2006-01-05,12.62,12.92,12.6,12.79,11.514665,52657100
2006-01-06,12.8,13.15,12.75,13.12,11.811759,95067600
2006-01-09,13.01,13.09,12.79,12.88,11.59569,48177800
2006-01-10,12.81,12.81,12.61,12.62,11.361616,43903600
2006-01-11,12.64,12.68,12.47,12.6,11.343612,60810100
2006-01-12,12.73,12.74,12.48,12.52,11.271586,43749300
2006-01-13,12.49,12.54,12.37,12.51,11.262586,33247500
2006-01-17,12.46,12.54,12.4,12.44,11.199565,22593700
2006-01-18,12.37,12.39,12.23,12.34,11.109539,44744000
2006-01-19,12.47,12.6,12.45,12.52,11.271586,41646400
2006-01-20,12.48,12.53,12.26,12.29,11.064524,53853200
2006-01-23,12.31,12.5,12.21,12.3,11.073524,36996200
2006-01-24,12.35,12.39,12.19,12.2,10.983496,48399500
2006-01-25,12.4,12.56,12.34,12.51,11.262586,92994900
2006-01-26,12.56,12.6,12.41,12.44,11.199565,63482400
2006-01-27,12.45,12.53,12.39,12.41,11.172558,61590500
2006-01-30,12.42,12.65,12.28,12.61,11.352615,62092100
2006-01-31,12.56,12.59,12.41,12.57,11.316603,53373600
2006-02-01,12.41,12.65,12.39,12.58,11.325608,54206000
2006-02-02,12.54,12.58,12.36,12.39,11.15455,41926000
2006-02-03,12.3,12.38,12.18,12.21,10.992501,63619900
2006-02-06,12.22,12.29,12.06,12.25,11.028513,61768000
2006-02-07,12.23,12.39,12.21,12.37,11.136546,51162700
2006-02-08,12.44,12.63,12.44,12.57,11.316603,54270900
2006-02-09,12.56,12.8,12.46,12.69,11.424637,107351900
2006-02-10,12.58,12.8,12.56,12.69,11.424637,59674100
2006-02-13,12.64,12.72,12.4,12.49,11.244578,37636000
2006-02-14,12.48,12.49,12.35,12.4,11.163552,47912300
2006-02-15,12.37,12.5,12.35,12.41,11.172558,37630400
2006-02-16,12.42,12.49,12.36,12.44,11.199565,29399100
2006-02-17,12.38,12.44,12.32,12.4,11.163552,35536000
2006-02-21,12.35,12.38,12.25,12.34,11.109539,41343600
2006-02-22,12.36,12.49,12.28,12.48,11.235577,40641000
2006-02-23,12.44,12.54,12.4,12.4,11.163552,39913300
2006-02-24,12.39,12.49,12.38,12.46,11.21757,31299300
2006-02-27,12.44,12.51,12.36,12.46,11.21757,38585600
2006-02-28,12.42,12.58,12.39,12.42,11.181558,43399200
2006-03-01,12.49,12.83,12.49,12.81,11.532672,72471500
2006-03-02,12.75,12.92,12.68,12.8,11.52367,63229200
2006-03-03,12.63,12.93,12.61,12.79,11.514665,52363900
2006-03-06,12.75,12.96,12.73,12.77,11.496658,48553100
2006-03-07,12.74,12.92,12.72,12.88,11.59569,36177700
2006-03-08,12.81,12.95,12.75,12.86,11.577683,38942500
2006-03-09,12.9,13.0,12.82,12.84,11.559683,48773800
2006-03-10,12.88,13.0,12.84,12.9,11.613697,38438000
2006-03-13,12.92,12.95,12.85,12.9,11.613697,24297100
2006-03-14,12.91,12.98,12.87,12.96,11.667716,44498300
2006-03-15,12.94,13.32,12.9,13.24,11.919794,76106900
2006-03-16,13.34,13.54,13.27,13.5,12.15387,81957200
2006-03-17,13.54,13.72,13.42,13.6,12.243897,70639000
2006-03-20,13.66,13.87,13.57,13.72,12.351932,123796300
2006-03-21,13.34,13.9,13.22,13.62,12.261904,144515800
2006-03-22,13.57,14.0,13.55,13.99,12.595012,83106300
2006-03-23,13.91,13.99,13.73,13.8,12.423953,51106100
2006-03-24,13.78,13.83,13.72,13.79,12.414955,35174400
2006-03-27,13.83,13.94,13.77,13.84,12.459965,36646600
2006-03-28,13.83,13.85,13.57,13.59,12.234893,47533800
2006-03-29,13.59,13.81,13.43,13.72,12.351932,55889400
