Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,30.924444,31.457777,30.528889,31.266666,21.757769,2578600
2006-01-04,31.328888,32.008888,31.115555,31.799999,22.128904,3222900
2006-01-05,31.777779,31.995556,31.68,31.92,22.212412,1914700
2006-01-06,32.0,32.342224,31.733334,32.191113,22.401075,1476600
2006-01-09,32.040001,32.177776,31.777779,31.888889,22.190765,1469400
2006-01-10,31.702223,31.942223,31.48889,31.879999,22.184572,2099800
2006-01-11,32.115555,32.115555,31.657778,31.786667,22.119627,1615900
2006-01-12,31.742222,31.777779,31.226667,31.377777,21.835096,1701100
2006-01-13,31.475555,31.51111,31.226667,31.346666,21.813444,906400
2006-01-17,31.244444,31.422222,31.044445,31.133333,21.664986,2130400
2006-01-18,31.155556,31.662222,31.102222,31.453333,21.887667,1270300
2006-01-19,31.373333,32.097778,31.24,31.857779,22.169113,1728400
2006-01-20,31.737778,31.826666,31.008888,31.066668,21.618597,2041800
2006-01-23,30.973333,31.657778,30.92,31.173334,21.692831,1704300
2006-01-24,31.222221,32.057777,31.164444,31.942223,22.227873,1608300
2006-01-25,31.711111,31.973333,31.257778,31.613333,21.999006,1861300
2006-01-26,31.951111,32.311111,31.631111,32.226665,22.425814,1729000
2006-01-27,32.191113,33.008888,32.191113,33.008888,22.970144,1855800
2006-01-30,33.222221,33.364445,33.013332,33.075554,23.016531,2223600
2006-01-31,31.928888,32.044445,30.755556,30.933332,21.525818,5006800
2006-02-01,31.062222,31.644444,30.977777,31.524445,21.937155,2773500
2006-02-02,31.604445,31.768888,30.546667,30.755556,21.402102,2334700
2006-02-03,30.746666,30.893333,30.35111,30.471111,21.204165,2230800
2006-02-06,30.404444,30.897778,30.155556,30.213333,21.024782,3975700
2006-02-07,30.302221,30.639999,30.124445,30.475555,21.207254,2279700
2006-02-08,30.737778,30.92,30.257778,30.831112,21.454681,2488600
2006-02-09,30.942223,30.942223,30.164444,30.191111,21.009317,1948200
2006-02-10,30.222221,30.688889,30.16,30.51111,21.231998,2720400
2006-02-13,30.639999,30.928888,30.604445,30.733334,21.386637,2171700
2006-02-14,30.831112,31.213333,30.493334,31.040001,21.600037,1867900
2006-02-15,30.831112,31.0,30.448889,30.862223,21.553484,1568800
2006-02-16,31.013334,31.106667,30.76,31.106667,21.724199,1558900
2006-02-17,31.0,31.302221,30.955555,31.048889,21.683847,1648900
2006-02-21,30.986666,31.093334,30.533333,30.68,21.426218,1878900
2006-02-22,30.884445,31.471111,30.684444,31.311111,21.86697,2231700
2006-02-23,31.231112,31.355556,30.684444,30.737778,21.466574,1898700
2006-02-24,30.799999,30.991112,30.493334,30.866667,21.556589,1843300
2006-02-27,30.951111,31.48,30.906666,31.293333,21.854563,1253800
2006-02-28,31.066668,31.253334,30.768888,31.053333,21.686953,1956300
2006-03-01,31.137777,31.497778,31.026667,31.497778,21.997339,1234300
2006-03-02,31.297777,31.435556,31.08,31.137777,21.74592,1360800
2006-03-03,31.022223,31.164444,30.422222,30.755556,21.478983,1674900
2006-03-06,30.675556,31.151112,30.582222,30.733334,21.463467,1769500
2006-03-07,30.737778,31.146667,30.706667,30.959999,21.621767,1520500
2006-03-08,31.066668,31.066668,30.577778,30.697779,21.438639,1598800
2006-03-09,30.688889,30.724445,30.244444,30.244444,21.122034,2034100
2006-03-10,30.208889,31.044445,30.128889,30.875555,21.562784,1995300
2006-03-13,30.862223,31.057777,30.582222,30.608889,21.376547,1465800
2006-03-14,30.582222,31.377777,30.555555,31.231112,21.811104,1680700
2006-03-15,31.226667,31.644444,31.213333,31.644444,22.099766,1532700
2006-03-16,31.559999,31.622223,31.137777,31.213333,21.798685,1541800
2006-03-17,31.377777,31.506666,31.106667,31.497778,21.997339,2589300
2006-03-20,31.555555,31.817778,31.355556,31.671112,22.118395,1277100
2006-03-21,31.622223,32.155556,31.457777,31.622223,22.084244,2133000
2006-03-22,31.497778,31.799999,31.373333,31.608889,22.074934,1540000
2006-03-23,31.355556,31.444445,31.111111,31.328888,21.879385,1612000
2006-03-24,31.297777,31.644444,31.111111,31.355556,21.898014,1809400
2006-03-27,31.35111,31.693333,31.16,31.631111,22.090456,2077300
2006-03-28,31.666666,32.040001,31.146667,31.311111,21.86697,1689400
2006-03-29,31.288889,31.853333,31.200001,31.724445,22.155636,1513300
2006-03-30,31.604445,32.106667,31.275555,31.328888,21.879385,1742100
2006-03-31,31.293333,31.462223,30.995556,31.324444,21.876293,2013900
2006-04-03,31.542223,31.608889,31.066668,31.328888,21.879385,1951600
2006-04-04,31.253334,31.977777,31.173334,31.831112,22.230133,1581300
2006-04-05,31.733334,31.866667,31.35111,31.586666,22.059422,1053900
2006-04-06,31.444445,31.48889,30.906666,30.968889,21.62797,2491600
2006-04-07,31.120001,31.275555,30.991112,31.093334,21.714888,1903600
2006-04-10,31.235556,31.773333,31.168888,31.728889,22.158743,1597900
2006-04-11,31.697779,31.791111,31.4,31.546667,22.031481,1550800
2006-04-12,31.595556,31.742222,31.373333,31.497778,21.997339,734800
2006-04-13,31.444445,31.711111,31.200001,31.48,21.984926,1103400
2006-04-17,31.48,31.666666,30.906666,31.106667,21.724199,1488600
2006-04-18,31.111111,32.128887,31.111111,32.013332,22.357389,1867900
2006-04-19,32.0,32.466667,31.893333,32.439999,22.655367,1595700
2006-04-20,32.240002,32.875557,32.217777,32.293335,22.552933,1649400
2006-04-21,32.604443,32.604443,31.662222,31.742222,22.168051,1491700
2006-04-24,31.608889,32.377777,31.6,32.186668,22.478445,1596100
2006-04-25,32.888889,32.888889,31.444445,31.924444,22.295313,3118900
2006-04-26,32.084446,33.111111,31.959999,32.955555,23.015423,2532700
2006-04-27,32.56889,33.453335,32.439999,32.915554,22.987474,1857100
2006-04-28,32.888889,33.048889,31.968889,31.968889,22.326351,2275200
2006-05-01,31.924444,33.102222,31.866667,32.413334,22.63674,2643300
2006-05-02,32.444443,32.68,32.035557,32.111111,22.425674,3991200
2006-05-03,32.008888,32.666668,31.973333,32.648888,22.801252,2053900
2006-05-04,32.764446,33.782223,32.764446,33.702221,23.536871,3946000
2006-05-05,33.733334,33.884445,33.546665,33.733334,23.558599,1976100
2006-05-08,33.724445,34.955555,33.688889,34.346668,23.986946,3157300
2006-05-09,34.52,35.471111,34.279999,35.226665,24.601509,2933200
2006-05-10,35.115555,36.102222,35.066666,35.671112,24.911896,3546400
2006-05-11,35.52,35.688889,35.0,35.293335,24.648069,3300400
2006-05-12,35.0,35.368889,34.400002,34.560001,24.135927,2583900
2006-05-15,34.391109,34.666668,34.075554,34.551109,24.129715,1957200
2006-05-16,34.688889,34.799999,34.142223,34.364445,24.092327,2668000
2006-05-17,34.32,34.542221,33.497776,33.564445,23.531448,2642500
2006-05-18,33.537777,33.835556,33.333332,33.395557,23.413054,2744700
2006-05-19,33.106667,34.186668,33.102222,34.040001,23.864859,4600300
2006-05-22,33.671112,33.880001,32.724445,33.639999,23.584435,3470500
2006-05-23,33.693333,34.155556,33.18222,33.204445,23.279068,2553000
2006-05-24,32.968887,33.791111,32.888889,33.297779,23.344503,3318700
2006-05-25,33.297779,34.026669,33.217777,34.0,23.836817,2298700
2006-05-26,34.137779,34.662224,34.048889,34.653332,24.294859,1955400
2006-05-30,34.40889,34.657776,33.715557,33.724445,23.643635,1827100
2006-05-31,33.813332,34.426666,33.622223,34.155556,23.945869,1778500
2006-06-01,34.044445,35.444443,33.720001,35.395557,24.815216,3434500
2006-06-02,35.555557,35.573334,34.488888,35.106667,24.612682,2013400
2006-06-05,34.81778,35.186668,34.0,34.022221,23.852398,1913400
2006-06-06,34.293335,34.444443,33.426666,34.333332,24.070515,3813900
2006-06-07,34.524445,34.75111,33.560001,33.622223,23.571962,2076300
2006-06-08,33.333332,33.555557,32.702221,33.080002,23.191826,4798500
2006-06-09,33.111111,33.595554,33.035557,33.137779,23.232328,2233500
2006-06-12,33.333332,33.404446,32.733334,32.76889,22.973711,2140600
2006-06-13,32.711113,33.395557,32.711113,33.022221,23.151312,3255000
2006-06-14,32.91111,33.284443,32.844444,33.173332,23.257259,2242800
2006-06-15,33.155556,34.306667,33.155556,34.16,23.948988,2342700
2006-06-16,33.991112,34.342224,33.888889,34.137779,23.933409,2692300
2006-06-19,34.0,34.311111,33.813332,33.92889,23.786963,1475700
2006-06-20,34.048889,35.022221,33.91111,34.644444,24.288633,2556600
2006-06-21,34.831112,35.973331,34.693333,35.333332,24.771593,3181600
2006-06-22,35.204445,35.337776,34.417778,34.773335,24.378988,1692900
2006-06-23,34.653332,35.213333,34.493332,34.804443,24.400793,1036300
2006-06-26,34.773335,35.026669,34.613335,34.795555,24.394564,996900
2006-06-27,34.933334,35.244446,34.697777,34.862221,24.441307,2008500
2006-06-28,34.924446,35.32,34.777779,35.200001,24.678116,1498000
2006-06-29,35.493332,36.48,35.195557,36.48,25.575499,3027700
2006-06-30,36.48,36.84,36.284443,36.613335,25.66898,3405600
2006-07-03,36.942223,36.986668,36.511112,36.808887,25.806072,731700
2006-07-05,36.888889,36.888889,35.799999,36.115555,25.319996,2491800
2006-07-06,36.297779,36.599998,35.955555,36.084446,25.298187,1384200
2006-07-07,36.093334,36.253334,35.555557,35.622223,24.974133,1577700
2006-07-10,35.773335,35.977779,35.333332,35.511112,24.896225,1095900
2006-07-11,35.537777,35.888889,35.066666,35.755554,25.067612,2214000
2006-07-12,35.92889,36.253334,35.453335,35.635555,24.983473,1591200
2006-07-13,35.777779,35.81778,34.831112,34.84,24.425726,1703800
2006-07-14,35.0,35.146667,34.244446,34.333332,24.070515,1861800
2006-07-17,34.506668,34.666668,34.128887,34.506668,24.192034,2085700
2006-07-18,34.68,35.075554,34.315556,34.799999,24.397692,1416600
2006-07-19,34.937778,35.644444,34.906666,35.382221,24.805874,2100300
2006-07-20,35.342224,35.444443,34.528889,34.564445,24.232546,1720800
2006-07-21,34.306667,34.648888,33.933334,34.004444,23.839935,2838100
2006-07-24,34.324444,35.075554,34.222221,35.075554,24.590872,2007400
2006-07-25,34.81778,34.862221,34.222221,34.826668,24.416386,2855200
2006-07-26,34.946667,35.355556,34.435555,35.08889,24.600225,2333800
2006-07-27,35.404446,35.76889,34.648888,34.791111,24.391457,2553900
2006-07-28,35.044445,36.0,34.915554,35.822224,25.114353,2708100
2006-07-31,35.657776,36.07111,35.288887,35.888889,25.161079,1940400
2006-08-01,35.813332,35.813332,35.355556,35.728889,25.048914,1565700
2006-08-02,35.799999,36.222221,35.439999,35.955555,25.207827,1783000
2006-08-03,35.888889,37.253334,35.617779,36.92889,25.890217,3098400
2006-08-04,37.062222,37.724445,36.471111,36.884445,25.859056,1815300
2006-08-07,36.777779,37.119999,36.475555,36.897778,25.868404,1626400
2006-08-08,37.133335,37.413334,36.435555,36.759998,25.771816,1603500
2006-08-09,36.724445,37.622223,36.444443,36.48,25.575499,1998600
2006-08-10,36.311111,36.875557,35.888889,36.711113,25.73753,1653000
2006-08-11,36.846668,36.846668,36.093334,36.406666,25.524101,1354200
2006-08-14,36.84,37.526669,36.259998,36.313332,25.458649,1743300
2006-08-15,36.873333,37.933334,36.533333,37.639999,26.388752,2256000
2006-08-16,38.073334,38.68,37.5,38.66,27.200216,2097400
