Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,34.450001,34.740002,34.009998,34.279999,26.636429,993000
2006-01-04,34.349998,36.110001,34.310001,35.66,27.708733,1823300
2006-01-05,35.91,36.200001,35.77,36.169998,28.105009,821500
2006-01-06,36.169998,36.700001,36.139999,36.650002,28.477982,601000
2006-01-09,36.970001,37.220001,36.75,37.169998,28.88204,888500
2006-01-10,37.029999,37.490002,36.939999,37.09,28.819881,578200
2006-01-11,37.380001,37.700001,37.200001,37.470001,29.115152,662100
2006-01-12,37.369999,37.5,36.639999,37.119999,28.843189,1282300
2006-01-13,37.060001,37.220001,36.599998,36.700001,28.516844,569300
2006-01-17,36.5,36.669998,36.23,36.59,28.431364,267900
2006-01-18,36.34,36.82,36.049999,36.689999,28.509064,694000
2006-01-19,36.810001,37.25,36.779999,37.0,28.749943,994700
2006-01-20,36.84,37.040001,36.700001,36.73,28.540148,811000
2006-01-23,36.82,37.34,36.700001,36.900002,28.672235,436400
2006-01-24,36.959999,37.169998,36.799999,37.09,28.819881,401300
2006-01-25,37.060001,37.470001,36.869999,36.950001,28.819881,468000
2006-01-26,36.849998,37.189999,36.639999,37.139999,28.968067,432400
2006-01-27,37.41,38.389999,37.299999,38.389999,29.943029,590900
2006-01-30,38.389999,38.48,38.110001,38.369999,29.927435,507600
2006-01-31,38.290001,38.48,37.950001,38.400002,29.950827,824800
2006-02-01,38.389999,38.389999,37.669998,38.02,29.654446,601300
2006-02-02,36.700001,38.32,36.02,37.560001,29.295662,1564400
2006-02-03,37.27,37.509998,36.900002,36.939999,28.812077,779900
2006-02-06,36.860001,37.98,36.860001,37.919998,29.576441,574100
2006-02-07,37.919998,38.299999,37.130001,37.43,29.194254,625600
2006-02-08,37.689999,38.490002,37.41,38.200001,29.79483,690400
2006-02-09,38.220001,38.959999,38.02,38.639999,30.138033,560100
2006-02-10,38.639999,38.650002,37.860001,38.23,29.818245,381700
2006-02-13,38.110001,38.720001,38.040001,38.490002,30.02104,450000
2006-02-14,38.66,39.18,38.150002,38.66,30.153612,588700
2006-02-15,38.799999,38.849998,38.099998,38.580002,30.091228,556700
2006-02-16,38.759998,38.830002,38.200001,38.529999,30.052219,329300
2006-02-17,38.57,38.84,38.279999,38.740002,30.216028,337700
2006-02-21,38.75,38.959999,38.43,38.880001,30.325209,286300
2006-02-22,38.880001,39.27,38.459999,39.200001,30.574814,528000
2006-02-23,39.16,39.189999,38.59,38.75,30.22382,342100
2006-02-24,38.830002,40.060001,38.599998,40.0,31.198788,739300
2006-02-27,40.099998,40.98,40.060001,40.689999,31.736965,778100
2006-02-28,40.830002,40.970001,39.919998,40.150002,31.315771,609200
2006-03-01,40.299999,41.25,40.299999,41.169998,32.111343,586200
2006-03-02,41.029999,41.720001,41.0,41.349998,32.251743,484200
2006-03-03,41.330002,41.900002,41.119999,41.689999,32.51693,412700
2006-03-06,41.700001,41.709999,41.09,41.48,32.35313,591300
2006-03-07,41.200001,41.330002,40.189999,40.82,31.838352,588100
2006-03-08,40.68,40.720001,39.77,40.290001,31.424978,554500
2006-03-09,40.299999,40.52,39.91,40.450001,31.549768,393500
2006-03-10,40.389999,40.970001,40.099998,40.740002,31.775961,371400
