Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,53.099998,53.900002,52.470001,53.830002,41.744144,1327200
2006-01-04,53.450001,53.59,53.130001,53.400002,41.410694,1047000
2006-01-05,53.400002,53.5,52.84,53.25,41.294357,1065800
2006-01-06,53.98,54.400002,53.700001,54.400002,42.186161,1339400
2006-01-09,54.540001,54.540001,53.259998,53.400002,41.410694,1253800
2006-01-10,52.900002,52.93,52.02,52.200001,40.48011,1901700
2006-01-11,51.950001,52.439999,51.599998,52.18,40.4646,1302800
2006-01-12,52.18,52.700001,51.919998,52.0,40.325031,1075500
2006-01-13,52.240002,52.740002,51.970001,52.0,40.325031,1044800
2006-01-17,51.700001,52.389999,51.700001,52.330002,40.580925,1006200
2006-01-18,51.959999,52.689999,51.959999,52.5,40.712753,1131600
2006-01-19,52.0,54.139999,52.0,53.799999,41.720867,1598900
2006-01-20,53.450001,53.5,52.049999,52.130001,40.425823,1589700
2006-01-23,52.200001,52.939999,51.950001,52.490002,40.704998,803000
2006-01-24,52.830002,53.599998,52.82,53.41,41.418446,1340600
2006-01-25,50.360001,53.0,50.360001,51.849998,40.208687,2194700
2006-01-26,52.599998,52.970001,52.369999,52.369999,40.611931,1889200
2006-01-27,52.349998,52.75,51.860001,52.439999,40.666225,2304000
2006-01-30,52.380001,52.82,52.049999,52.110001,40.41032,1314400
2006-01-31,52.310001,53.029999,52.259998,52.68,40.852337,1336700
2006-02-01,52.349998,53.099998,52.23,52.869999,40.999687,1799100
2006-02-02,52.509998,52.68,51.16,51.790001,40.162159,1566900
2006-02-03,51.299999,51.689999,50.950001,51.049999,39.588306,1906400
2006-02-06,51.25,52.07,51.150002,51.939999,40.278469,1839900
2006-02-07,52.25,52.619999,50.950001,50.970001,39.52626,1429100
2006-02-08,51.049999,51.400002,50.830002,50.950001,39.510757,1530600
2006-02-09,51.07,52.060001,51.049999,51.130001,39.650356,1183500
2006-02-10,51.259998,51.639999,50.650002,51.509998,39.945023,1029900
2006-02-13,51.25,51.450001,50.849998,51.189999,39.696873,1133800
2006-02-14,51.400002,53.369999,51.330002,53.080002,41.162533,1760200
2006-02-15,52.849998,53.439999,52.529999,53.200001,41.255592,1546400
