Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,26.34,27.6,26.34,27.559999,26.54678,1698100
2006-01-04,27.6,28.709999,27.6,28.51,27.461845,1764600
2006-01-05,28.549999,28.66,27.26,27.450001,26.440825,1627200
2006-01-06,27.85,28.200001,27.549999,27.700001,26.681629,1187600
2006-01-09,27.639999,27.809999,27.18,27.629999,26.614212,1158200
2006-01-10,27.629999,28.450001,27.530001,28.33,27.288473,1123500
2006-01-11,28.43,28.959999,28.030001,28.75,27.693031,1301900
2006-01-12,28.85,29.709999,28.639999,28.76,27.702671,1706400
2006-01-13,28.799999,28.98,28.18,28.709999,27.654505,714200
2006-01-17,29.0,29.6,28.959999,29.370001,28.290237,732500
2006-01-18,29.549999,29.700001,28.280001,28.620001,27.567816,761100
2006-01-19,28.42,29.98,28.41,29.780001,28.685173,1320000
2006-01-20,30.129999,30.52,29.370001,29.5,28.415449,1057300
2006-01-23,29.5,29.85,28.940001,29.030001,27.962746,1205000
2006-01-24,29.040001,29.4,28.719999,28.9,27.837521,1458400
2006-01-25,29.549999,29.66,28.209999,28.25,27.211409,1332100
2006-01-26,28.219999,28.25,27.09,27.74,26.720163,2058100
2006-01-27,28.41,29.049999,28.25,28.370001,27.327003,1716500
2006-01-30,28.51,29.5,28.51,29.27,28.193911,1014100
2006-01-31,29.33,29.940001,29.280001,29.870001,28.771858,848000
2006-02-01,29.870001,30.059999,29.02,29.18,28.107218,1303900
2006-02-02,29.18,29.530001,28.01,28.26,27.221056,979400
2006-02-03,28.26,28.6,27.6,27.9,26.874281,1104500
2006-02-06,28.370001,28.610001,28.08,28.190001,27.15362,903200
2006-02-07,27.6,27.6,25.92,26.120001,25.159731,1889900
2006-02-08,25.950001,26.110001,24.799999,26.01,25.053768,2185700
2006-02-09,26.049999,26.35,24.32,24.540001,23.637812,2182900
2006-02-10,24.610001,24.709999,23.58,24.030001,23.146564,2144700
2006-02-13,23.4,24.16,23.209999,23.309999,22.453026,1098400
2006-02-14,22.75,24.4,22.690001,24.27,23.377733,2346300
2006-02-15,24.5,25.200001,24.120001,24.25,23.358465,2492200
2006-02-16,24.6,25.49,24.6,24.98,24.061634,1350100
2006-02-17,25.18,25.98,24.91,25.1,24.177225,1031500
2006-02-21,26.15,26.190001,25.76,25.950001,24.995974,1202900
2006-02-22,25.950001,25.950001,24.799999,24.879999,23.965302,1220900
2006-02-23,24.450001,25.08,24.059999,24.530001,23.628172,1576300
2006-02-24,25.09,25.459999,24.82,24.83,23.917143,1131100
2006-02-27,24.469999,24.700001,24.059999,24.32,23.425903,1521400
2006-02-28,24.08,24.440001,23.59,23.93,23.050234,2210700
2006-03-01,24.0,24.91,23.940001,24.9,23.984568,1476900
2006-03-02,25.0,25.450001,24.790001,25.18,24.254286,1455500
2006-03-03,25.15,25.9,25.059999,25.49,24.552879,1361000
2006-03-06,25.139999,25.290001,23.879999,23.969999,23.088762,1279200
2006-03-07,23.879999,23.969999,22.799999,23.1,22.250751,1393100
2006-03-08,22.75,23.6,22.52,23.33,22.472301,1665700
2006-03-09,23.5,23.74,22.959999,23.190001,22.33744,1424800
2006-03-10,23.049999,23.66,22.82,23.43,22.568611,1171900
2006-03-13,23.85,24.379999,23.700001,24.309999,23.436272,1051300
2006-03-14,24.379999,25.360001,24.120001,25.309999,24.400335,1873800
2006-03-15,25.309999,25.549999,25.120001,25.370001,24.458168,1601100
2006-03-16,25.360001,26.219999,25.27,26.1,25.161932,1361100
2006-03-17,26.25,26.950001,25.709999,25.799999,24.872711,895400
2006-03-20,25.549999,25.99,25.049999,25.08,24.178598,635500
2006-03-21,24.9,25.389999,24.51,24.91,24.014702,1216900
2006-03-22,24.870001,25.700001,24.73,25.549999,24.631701,898300
2006-03-23,25.950001,26.42,25.790001,26.18,25.239067,1154200
2006-03-24,26.1,26.75,26.09,26.59,25.634323,970600
2006-03-27,26.6,27.02,26.4,26.91,25.942827,841900
2006-03-28,27.15,27.950001,27.059999,27.59,26.598385,902900
2006-03-29,27.67,27.879999,27.299999,27.84,26.839394,922100
2006-03-30,27.959999,28.5,27.9,28.110001,27.099688,1047200
2006-03-31,27.809999,27.85,26.92,27.309999,26.328451,1038500
2006-04-03,27.75,28.1,27.440001,27.530001,26.540539,752700
2006-04-04,27.530001,27.639999,27.01,27.52,26.530897,704400
2006-04-05,27.620001,27.950001,27.299999,27.690001,26.694784,919300
2006-04-06,27.9,28.040001,27.299999,27.85,26.849043,580300
2006-04-07,27.85,27.91,26.809999,27.08,26.106709,689900
2006-04-10,28.049999,28.049999,27.6,27.879999,26.877958,686000
2006-04-11,28.0,28.0,27.09,27.35,26.367008,1129000
2006-04-12,27.360001,27.6,26.809999,26.99,26.019949,764400
2006-04-13,26.99,27.27,26.34,27.120001,26.145281,474100
2006-04-17,27.42,27.83,27.360001,27.790001,26.791201,390800
2006-04-18,28.0,28.91,27.85,28.77,27.735971,957100
2006-04-19,28.77,29.950001,28.709999,29.889999,28.815723,2236400
2006-04-20,29.75,29.99,28.700001,29.440001,28.381897,1746100
2006-04-21,30.0,30.290001,29.27,29.790001,28.719316,843600
2006-04-24,29.6,29.75,29.219999,29.41,28.352966,718200
2006-04-25,29.75,29.870001,28.6,28.719999,27.687773,846700
2006-04-26,28.58,29.049999,27.91,28.200001,27.186459,1589400
2006-04-27,27.530001,28.200001,26.799999,27.219999,26.241686,1359700
2006-04-28,26.83,27.110001,26.4,26.530001,25.576477,1351400
2006-05-01,26.780001,27.540001,26.780001,27.389999,26.405573,1361700
2006-05-02,28.25,28.48,27.57,27.75,26.752638,907300
2006-05-03,27.549999,27.99,27.040001,27.280001,26.29953,662200
2006-05-04,27.280001,27.85,26.860001,27.41,26.424852,657500
2006-05-05,27.41,27.879999,27.309999,27.6,26.608019,736000
2006-05-08,27.049999,27.559999,27.049999,27.450001,26.463419,811800
2006-05-09,27.450001,27.540001,27.110001,27.25,26.270605,1012900
2006-05-10,27.25,27.440001,26.870001,27.299999,26.318804,1968600
2006-05-11,27.6,28.91,27.6,28.219999,27.20574,3126300
2006-05-12,28.219999,28.219999,27.110001,27.25,26.270605,2063600
2006-05-15,26.0,26.780001,25.700001,26.26,25.316187,1955900
2006-05-16,26.6,26.67,25.9,26.040001,25.104092,1088000
2006-05-17,26.01,26.4,25.42,25.790001,24.863079,1816800
2006-05-18,25.790001,26.16,24.799999,24.860001,23.966507,1305600
2006-05-19,24.860001,25.5,24.049999,25.18,24.275009,1113500
2006-05-22,24.93,24.93,23.6,24.700001,23.812254,1617600
2006-05-23,25.309999,25.73,24.82,24.870001,23.976139,987800
2006-05-24,24.969999,25.02,23.85,24.33,23.455542,1028400
2006-05-25,24.58,25.32,24.139999,25.040001,24.140038,815400
2006-05-26,25.200001,25.5,24.879999,25.360001,24.448538,618400
2006-05-30,25.690001,25.85,24.950001,25.08,24.178598,1047400
2006-05-31,25.09,26.0,24.950001,25.9,24.969122,3414200
2006-06-01,25.700001,26.610001,25.35,26.530001,25.576477,1267800
2006-06-02,26.84,26.85,26.040001,26.57,25.615049,1121400
2006-06-05,27.1,27.129999,25.690001,25.82,24.892004,905600
2006-06-06,25.889999,26.35,25.0,25.299999,24.39069,1542800
