Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,24.933332,25.533333,24.879999,25.5,18.574873,1099000
2006-01-04,25.459999,25.666666,25.286667,25.633333,18.671997,1373200
2006-01-05,25.633333,25.746666,25.533333,25.68,18.70599,1032000
2006-01-06,25.813334,25.986666,25.273333,25.559999,18.618576,1703100
2006-01-09,25.333334,25.993334,25.326666,25.98,18.924517,1114000
2006-01-10,25.84,25.873333,25.446667,25.826666,18.812824,802800
2006-01-11,25.786667,25.9,25.42,25.606667,18.652573,604900
2006-01-12,25.586666,25.606667,25.293333,25.353333,18.468035,654100
2006-01-13,25.386667,25.66,25.366667,25.586666,18.638004,702400
2006-01-17,25.586666,25.746666,25.153334,25.346666,18.463177,860200
2006-01-18,25.299999,25.346666,25.033333,25.139999,18.312637,831000
2006-01-19,25.200001,25.226667,24.986666,25.139999,18.312637,540400
2006-01-20,25.066668,25.1,24.753334,24.913334,18.147524,754200
2006-01-23,24.780001,24.780001,24.466667,24.646667,17.953279,864100
2006-01-24,24.746666,24.98,24.74,24.933332,18.162092,712500
2006-01-25,24.933332,24.986666,24.700001,24.786667,18.055256,555400
2006-01-26,24.799999,24.82,24.666666,24.76,18.035835,561700
2006-01-27,24.826666,25.02,24.766666,24.866667,18.113533,456100
2006-01-30,24.866667,25.0,24.713333,24.973333,18.191231,1013100
2006-01-31,24.886667,25.306667,24.82,25.233334,18.380625,931800
2006-02-01,25.166666,25.18,25.08,25.133333,18.307785,661300
2006-02-02,25.120001,25.373333,25.033333,25.153334,18.322351,675000
2006-02-03,25.120001,25.34,25.006666,25.173334,18.336924,483900
2006-02-06,25.666666,26.0,25.506666,25.553333,18.613716,1301700
2006-02-07,25.666666,26.040001,25.6,26.006666,18.943939,3298900
2006-02-08,25.833334,26.0,25.713333,25.886667,18.856525,1414000
2006-02-09,25.799999,26.0,25.646667,25.666666,18.696276,870700
2006-02-10,25.799999,26.046667,25.713333,26.026667,18.958511,1151400
2006-02-13,26.026667,26.133333,25.533333,25.893333,18.861389,759300
2006-02-14,25.966667,26.219999,25.926666,26.153334,19.050779,823000
2006-02-15,26.166666,26.32,25.879999,26.226667,19.104197,979800
2006-02-16,26.299999,26.326666,25.973333,26.139999,19.041067,528000
2006-02-17,26.166666,26.266666,25.946667,26.146667,19.045927,550200
2006-02-21,26.153334,26.200001,25.98,26.0,18.939081,514800
2006-02-22,25.993334,26.16,25.893333,26.053333,18.977938,564900
