Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,15.285,15.5,14.95,15.435,13.601327,12794000
2006-01-04,15.59,15.86,15.44,15.835,13.953807,12183400
2006-01-05,15.85,15.995,15.695,15.805,13.927372,8028400
2006-01-06,15.83,15.875,15.635,15.81,13.93178,9210000
2006-01-09,15.855,15.865,15.595,15.65,13.790786,8418000
2006-01-10,15.6,15.64,15.495,15.51,13.667417,7619000
2006-01-11,15.45,15.65,15.375,15.56,13.711479,7054000
2006-01-12,15.51,15.615,15.47,15.48,13.64098,6155600
2006-01-13,15.57,15.725,15.485,15.645,13.78638,5969800
2006-01-17,15.54,15.745,15.53,15.57,13.72029,7289800
2006-01-18,15.505,15.775,15.49,15.565,13.715883,6810600
2006-01-19,15.555,15.79,15.495,15.675,13.812819,6644200
2006-01-20,15.72,15.765,15.09,15.155,13.354589,12924800
2006-01-23,15.21,15.375,14.955,15.12,13.32375,6912000
2006-01-24,15.12,15.375,15.1,15.355,13.530829,7601000
2006-01-25,15.34,15.38,15.095,15.18,13.37662,7276600
2006-01-26,15.415,15.76,15.25,15.745,13.874499,9298400
2006-01-27,15.795,16.155001,15.72,15.975,14.077176,9404600
2006-01-30,16.045,16.16,15.86,15.935,14.041926,6701200
2006-01-31,15.98,16.014999,15.665,15.85,13.967026,9070200
2006-02-01,15.64,16.014999,15.57,15.68,13.817221,13563200
2006-02-02,16.575001,17.424999,16.5,17.200001,15.156648,41156200
2006-02-03,17.1,17.280001,16.815001,16.940001,14.927534,18720600
2006-02-06,16.75,17.254999,16.745001,17.245001,15.196303,12475000
2006-02-07,17.200001,17.280001,17.025,17.16,15.121406,14700200
2006-02-08,17.254999,17.5,17.1,17.360001,15.297639,12809800
2006-02-09,17.555,17.665001,17.360001,17.594999,15.50472,13998400
2006-02-10,17.68,17.815001,17.5,17.75,15.641306,10493600
2006-02-13,17.18,17.355,17.035,17.285,15.23155,13833800
2006-02-14,17.4,17.455,17.219999,17.334999,15.275606,11034600
2006-02-15,17.355,17.65,17.035,17.59,15.500316,9871200
2006-02-16,17.66,17.924999,17.549999,17.924999,15.795515,10433400
2006-02-17,17.780001,17.959999,17.684999,17.695,15.592836,8056800
2006-02-21,17.725,18.025,17.459999,17.629999,15.535563,8661800
2006-02-22,17.700001,18.184999,17.68,18.01,15.870425,10431400
2006-02-23,18.004999,18.434999,17.959999,18.084999,15.936508,10974400
2006-02-24,18.15,18.184999,17.790001,17.959999,15.826353,9034600
2006-02-27,17.934999,18.389999,17.91,18.35,16.170025,8077800
2006-02-28,18.27,18.344999,17.969999,18.16,16.002602,9875800
2006-03-01,18.165001,18.309999,17.924999,18.139999,15.984977,8642600
2006-03-02,18.08,18.155001,17.66,17.725,15.619272,14728800
2006-03-03,18.02,18.215,17.75,17.790001,15.676556,11562000
2006-03-06,17.834999,18.23,17.6,17.955,15.821954,11609600
2006-03-07,17.924999,18.120001,17.690001,17.775,15.663338,8586400
2006-03-08,17.959999,17.969999,17.395,17.674999,15.575215,8145800
2006-03-09,17.65,17.82,17.424999,17.459999,15.385758,7071400
2006-03-10,17.575001,17.865,17.365,17.695,15.592836,12333000
2006-03-13,17.525,17.76,17.450001,17.514999,15.43422,7956600
2006-03-14,17.504999,18.200001,17.415001,18.125,15.971762,11344600
2006-03-15,18.125,18.309999,18.08,18.254999,16.086315,9688800
2006-03-16,18.305,18.360001,18.049999,18.09,15.940913,6637600
2006-03-17,18.155001,18.549999,18.1,18.305,16.130373,16265000
2006-03-20,18.395,18.674999,18.365,18.445,16.253738,10075600
2006-03-21,18.139999,18.684999,18.120001,18.139999,15.984977,9509200
2006-03-22,18.17,18.370001,18.084999,18.280001,16.108347,7431200
2006-03-23,18.15,18.245001,17.91,18.065001,15.918882,7370200
2006-03-24,18.139999,18.445,18.07,18.309999,16.134771,7344800
2006-03-27,18.299999,18.459999,18.16,18.295,16.121559,8815800
2006-03-28,18.370001,18.610001,18.165001,18.299999,16.125969,9723000
2006-03-29,18.465,18.885,18.32,18.764999,16.535727,12899800
2006-03-30,18.815001,19.055,18.6,18.764999,16.535727,9633600
2006-03-31,18.76,18.965,18.719999,18.815001,16.579782,8581200
2006-04-03,18.99,19.25,18.875,18.995001,16.738403,15231200
2006-04-04,19.125,19.24,18.985001,19.165001,16.888208,9335000
2006-04-05,19.145,19.174999,18.625,18.745001,16.518101,11467000
2006-04-06,18.725,18.940001,18.525,18.725,16.500475,9241400
2006-04-07,19.25,19.48,18.875,18.93,16.681122,13841800
2006-04-10,19.055,19.125,18.93,18.985001,16.729589,5561200
2006-04-11,19.125,19.155001,18.745001,18.785,16.553349,7913000
2006-04-12,18.905001,19.055,18.844999,19.004999,16.747213,5279600
2006-04-13,19.094999,19.34,18.950001,19.145,16.870579,7647200
2006-04-17,19.34,19.344999,18.745001,18.93,16.681122,9663600
2006-04-18,19.105,19.459999,18.99,19.285,16.993944,11339000
2006-04-19,19.26,19.6,19.26,19.440001,17.130537,9441400
2006-04-20,19.540001,19.6,19.4,19.43,17.121721,7424200
2006-04-21,19.59,19.75,19.15,19.35,17.051226,11463400
2006-04-24,19.495001,19.559999,19.25,19.305,17.011576,7589400
2006-04-25,19.370001,19.450001,19.01,19.08,16.813299,9245000
2006-04-26,19.135,19.165001,18.745001,18.780001,16.548944,13706800
2006-04-27,18.605,18.775,18.385,18.48,16.284578,19809800
2006-04-28,18.6,18.745001,18.495001,18.635,16.421175,11122200
2006-05-01,18.815001,18.99,18.6,18.625,16.412357,18116400
2006-05-02,18.77,19.1,18.559999,18.91,16.663504,15464000
2006-05-03,18.950001,18.965,18.5,18.674999,16.456421,16206800
2006-05-04,18.645,19.73,18.5,19.395,17.090881,29507000
2006-05-05,19.52,19.940001,19.52,19.815001,17.460985,14935800
2006-05-08,19.690001,19.775,19.615,19.629999,17.297964,11372800
2006-05-09,19.620001,19.66,19.184999,19.225,16.941074,12657200
2006-05-10,19.219999,19.26,19.0,19.1,16.830933,12813800
2006-05-11,18.995001,19.055,18.030001,18.27,16.099533,23034400
2006-05-12,18.254999,18.34,17.735001,17.825001,15.707396,16773400
2006-05-15,17.875,18.17,17.559999,18.15,15.993788,13821600
2006-05-16,18.190001,18.540001,18.09,18.530001,16.328644,18617400
2006-05-17,18.4,18.440001,18.084999,18.205,16.042252,13977800
2006-05-18,18.225,18.25,17.965,17.99,15.852797,13366000
2006-05-19,17.955,18.275,17.885,18.165001,16.007004,21801600
2006-05-22,18.379999,18.424999,17.940001,18.115,15.962942,13304000
2006-05-23,18.15,18.275,17.795,17.795,15.68096,9725200
2006-05-24,17.629999,17.834999,17.299999,17.605,15.513534,18717800
2006-05-25,17.695,17.959999,17.52,17.719999,15.614871,12368400
2006-05-26,17.82,17.875,17.605,17.715,15.610465,6509800
2006-05-30,17.655001,17.700001,17.34,17.465,15.390167,10328400
2006-05-31,17.465,17.84,17.440001,17.825001,15.707396,12488600
2006-06-01,17.745001,18.15,17.745001,18.105,15.954128,17233200
2006-06-02,18.1,18.155001,17.775,17.995001,15.857204,10264600
2006-06-05,17.92,18.09,17.674999,17.690001,15.588438,10106400
2006-06-06,17.75,17.780001,17.455,17.635,15.539968,11539400
2006-06-07,17.655001,17.995001,17.559999,17.855,15.733829,11651800
2006-06-08,17.75,18.219999,17.625,18.120001,15.967353,18912000
2006-06-09,18.065001,18.245001,17.91,17.945,15.813139,10600400
2006-06-12,17.950001,18.014999,17.690001,17.709999,15.606063,9612400
2006-06-13,17.629999,17.875,17.52,17.575001,15.487097,14372800
2006-06-14,17.540001,17.945,17.465,17.934999,15.804327,11754800
2006-06-15,17.959999,18.440001,17.76,18.395,16.209681,10733600
2006-06-16,18.295,18.49,18.174999,18.305,16.130373,14733800
2006-06-19,18.4,18.4,17.865,17.98,15.843982,9709400
2006-06-20,17.934999,18.200001,17.844999,17.915001,15.786702,9469600
2006-06-21,18.0,18.415001,17.959999,18.209999,16.046658,9974400
2006-06-22,18.25,18.275,17.895,18.045,15.901258,7422400
2006-06-23,18.030001,18.51,18.014999,18.25,16.081907,10005800
2006-06-26,18.344999,18.434999,18.15,18.245001,16.077499,7389200
2006-06-27,18.165001,18.290001,17.834999,17.870001,15.747052,10705400
2006-06-28,17.889999,17.950001,17.709999,17.865,15.742646,9061000
2006-06-29,18.02,19.0,17.975,18.985001,16.729589,17846400
2006-06-30,18.99,19.01,18.834999,18.879999,16.637068,11482600
2006-07-03,18.98,19.165001,18.965,19.01,16.751616,3977200
2006-07-05,18.889999,18.959999,18.530001,18.780001,16.548944,8698400
2006-07-06,18.855,19.0,18.725,18.940001,16.689938,8171000
2006-07-07,17.959999,18.07,17.549999,18.02,15.87923,32448800
2006-07-10,18.049999,18.120001,17.76,17.815001,15.698583,11326600
2006-07-11,17.735001,18.045,17.555,17.99,15.852797,10976400
2006-07-12,17.995001,17.995001,17.045,17.215,15.169865,23580800
2006-07-13,17.135,17.26,16.799999,17.01,14.989219,23867000
2006-07-14,16.98,17.014999,16.635,16.83,14.830601,16625000
2006-07-17,16.73,17.215,16.549999,17.120001,15.086151,14206800
2006-07-18,17.055,17.190001,16.465,16.700001,14.716045,26768000
2006-07-19,16.825001,17.059999,16.625,16.92,14.909912,14262600
2006-07-20,17.155001,17.209999,16.645,16.705,14.720452,14183400
2006-07-21,16.57,17.045,16.530001,16.895,14.887881,16665000
2006-07-24,16.945,17.375,16.9,17.355,15.293234,13698400
2006-07-25,17.254999,17.745001,17.245001,17.700001,15.597244,15972200
2006-07-26,17.475,17.540001,16.9,17.01,14.989219,23442200
2006-07-27,17.075001,17.245001,16.725,16.790001,14.795357,10711600
2006-07-28,16.834999,17.219999,16.83,17.014999,14.993624,11539000
2006-07-31,16.965,17.245001,16.83,17.115,15.081741,9322600
2006-08-01,16.995001,16.995001,16.200001,16.48,14.522184,27140400
2006-08-02,16.375,16.855,16.375,16.65,14.671988,38096200
2006-08-03,14.545,15.77,14.36,15.32,13.499991,114960000
2006-08-04,15.57,15.605,15.14,15.305,13.486772,31925600
2006-08-07,15.25,15.605,15.23,15.4,13.570483,26483200
