Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,49.424999,51.689999,49.200001,51.68,41.676979,12823400
2006-01-04,51.68,52.5,51.174999,52.369999,42.233421,12854200
2006-01-05,52.375,52.619999,51.470001,52.099998,42.015697,14754400
2006-01-06,52.5,53.744999,52.349998,53.740002,43.338264,8610200
2006-01-09,53.645,53.939999,52.724998,53.0,42.741493,8638400
2006-01-10,53.375,54.639999,53.040001,53.580002,43.209229,11065400
2006-01-11,53.580002,54.099998,52.360001,53.625,43.245514,10035400
2006-01-12,53.799999,54.25,52.529999,52.705002,42.503593,11623600
2006-01-13,52.709999,53.900002,52.625,53.639999,43.257622,8119600
2006-01-17,54.599998,54.875,54.25,54.25,43.749542,8847400
2006-01-18,54.700001,54.700001,53.77,54.555,43.995514,10673400
2006-01-19,54.049999,57.674999,54.049999,57.435001,46.318054,18956800
2006-01-20,58.674999,61.235001,58.555,61.125,49.293839,33200200
2006-01-23,61.625,63.435001,60.575001,63.0,50.805931,21525000
2006-01-24,62.630001,62.630001,61.599998,61.794998,49.834141,18992800
2006-01-25,62.395,62.395,59.52,60.349998,48.668842,18524000
2006-01-26,60.125,62.244999,59.064999,62.169998,50.13657,14055800
2006-01-27,62.950001,63.915001,62.044998,63.685001,51.35833,16341600
2006-01-30,63.735001,65.875,63.735001,65.324997,52.680897,16296200
2006-01-31,65.004997,65.004997,63.555,63.724998,51.390587,15323200
2006-02-01,64.0,64.540001,61.43,61.605,49.680931,12691400
2006-02-02,61.625,62.419998,60.005001,61.060001,49.241421,14865800
2006-02-03,61.185001,62.349998,59.75,61.205002,49.358353,12577400
2006-02-06,62.220001,63.099998,61.285,62.360001,50.289787,11981600
2006-02-07,61.875,61.875,58.424999,58.75,47.378544,16325200
2006-02-08,59.099998,60.0,57.880001,59.610001,48.072075,17756400
2006-02-09,60.005001,60.395,57.764999,58.060001,46.822079,13823400
2006-02-10,58.154999,60.005001,56.875,59.650002,48.104328,18237400
2006-02-13,59.900002,60.174999,58.459999,58.950001,47.539822,12781200
2006-02-14,57.700001,58.650002,57.424999,57.435001,46.318054,18526400
2006-02-15,57.945,57.945,55.525002,56.325001,45.422901,19058800
2006-02-16,57.0,58.334999,56.880001,57.014999,45.979355,18108200
2006-02-17,57.305,57.994999,56.360001,57.240002,46.160805,15123200
2006-02-21,57.990002,59.490002,57.990002,59.255001,47.785789,13985800
2006-02-22,59.0,59.0,58.044998,58.509998,47.184994,9212200
2006-02-23,56.549999,59.154999,56.549999,58.450001,47.136597,10217200
2006-02-24,59.375,60.040001,59.0,59.195,47.737408,8976000
2006-02-27,58.974998,59.07,57.584999,57.689999,46.721012,8649400
2006-02-28,57.650002,58.080002,57.150002,57.5,46.56715,11207400
